id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/18/value,qualifier/19/value
2786790309,1,34,16,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2025-03-10T17:25:20.249Z,2025-03-10T18:05:03Z,,,,,5573177419,30,"4ilnnpfgjfz35lni9ppzd93v9, 6anvl82jyio52wo87cbxdp4np, 2tthm6h5o033dz440e476rhbe, etz3rjq7chhaomst5u28nnff9, 506kxojakimt5s0v2c4q6b33e, bnar4f48vnx4oaz2lzch48es5, 2xp7fbcl6a4nua9jpm7b4k1sk, d2itdjj8bx0aztqggfgv7amay, 7z1pv1wezn5rydamnknklv2ay, 53nd6a4o02ebb0w2s12prijje, chteizjcvxpvze9p77gcttcoa, aa0888u38mjc1euhofseazb2t, 9auqrrixu34cgkpe8trlkaoh6, 3hi7nroqhsvj8elv8nd9a8ted, 91suopiz6irxqevhzv8lx76ne, 56sjqxlsf5iitgww0hogez8ph, 1gr0k94d0nh7msa32f6728aok, caoahimfnw46l1vnpsp6vf9qs, 5ssy03x358qpvbvlhdg2152qc, aiuhe3d7tyvihiu5ysnp2740k",5573248353,197,27963,5573177423,59,"1, 31, 24, 10, 32, 4, 35, 8, 36, 28, 7, 6, 11, 16, 17, 30, 37, 38, 42, 43",5573177425,130,4,5573249073,194,bnar4f48vnx4oaz2lzch48es5,5573177427,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5573177421,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5573177429,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786790739,1,34,16,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2025-03-10T17:26:56.792Z,2025-03-10T18:03:13Z,,,,,5573250775,197,4650,5573255381,194,8cox96ikk1k4c24f0y5ef45x,5573179891,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5573179881,30,"dmxzug2enscx331w5vmdzn2s5, 6m5ftd7c68b2d4d2931xs5srt, 60z63hezwwosjnhvamcwxtre1, 2mawaijd9czgtd5jh9myk434l, effgiwtme6eu08o1ninlnqqqd, 8cox96ikk1k4c24f0y5ef45x, 8domjmewnw5h6b19vef8w0afp, 6uj3c69lgu6boblkjiuhoy6eh, 1329qhvvxpp6j4q5esh4n3hii, 54ipja7wrxji6kn8yw5uhr6ga, 606hufq6dapf3qxcgilbc8tt5, ag40mk09zc8tzbkr7dnnqumay, d1j2a0az2datf1l2efdzne7vu, o7nooyu95nab78ys541e3uuh, 2datlbzulrzdgpyxv3fkzn0et, brsecgiiou4wcogoimzawyhp0, 3aoh34sqan7y34c2qa1d6xkyy, 3cdo7b8vwb5kzeoaxzqm6esk4, cyuoj9pesenese4i3pklv7d2h, 9yuyz4ci6wqikd6ckjstbt2i1",5573179889,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5573179887,130,2,5573179883,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5573179885,59,"1, 27, 44, 28, 3, 4, 17, 6, 7, 26, 9, 10, 11, 14, 15, 16, 18, 24, 25, 90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786803727,2,32,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2025-03-10T18:02:38.223Z,2025-03-10T18:02:38Z,,,,,5573253649,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786803731,2,32,1,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2025-03-10T18:02:38.223Z,2025-03-10T20:38:38Z,,,,,5573253661,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786803745,3,1,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,50.0,50.0,2025-03-10T18:02:38.224Z,2025-03-10T18:54:38Z,d2itdjj8bx0aztqggfgv7amay,B. Tahirović,,,5573253769,279,S,5573253761,212,6.4,5573253759,141,50.1,5573253757,140,43.9,5573253755,56,Back,5573253765,213,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786803755,4,1,1,0,2,9qsmopgutr7ut5g6workk8w4i,1,44.5,51.9,2025-03-10T18:02:40.505Z,2025-03-10T18:02:42Z,etz3rjq7chhaomst5u28nnff9,D. Wass,,,5573253843,212,11.4,5573253837,140,40.1,5573253849,213,1.99,5573253841,141,67.2,5573253833,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786803769,5,1,1,0,3,9qsmopgutr7ut5g6workk8w4i,1,40.6,69.3,2025-03-10T18:02:42.073Z,2025-03-10T18:02:44Z,bnar4f48vnx4oaz2lzch48es5,J. Rasmussen,,,5573253921,140,55.9,5573253925,212,16.5,5573253923,141,63.5,5573253919,56,Center,5573253927,213,6.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786803803,6,1,1,0,5,9qsmopgutr7ut5g6workk8w4i,1,55.8,65.0,2025-03-10T18:02:43.961Z,2025-03-10T18:54:42Z,d2itdjj8bx0aztqggfgv7amay,B. Tahirović,,,5573254163,141,84.3,5573254165,212,16.9,5573254159,56,Back,5573254161,140,45.6,5573254167,213,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786803817,7,1,1,0,12,9qsmopgutr7ut5g6workk8w4i,1,47.6,73.7,2025-03-10T18:02:50.345Z,2025-03-10T18:02:53Z,bnar4f48vnx4oaz2lzch48es5,J. Rasmussen,,,5573254221,141,53.9,5573254219,140,40.9,5573254217,56,Back,5573254223,212,15.2,5573254225,213,4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786803835,8,1,1,0,14,9qsmopgutr7ut5g6workk8w4i,1,41.0,51.8,2025-03-10T18:02:53.032Z,2025-03-10T18:02:55Z,506kxojakimt5s0v2c4q6b33e,F. Alves,,,5573254329,141,23.9,5573254333,213,5.00,5573254331,212,19.8,5573254325,56,Back,5573254327,140,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
