id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/9/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2754059335,1,34,16,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2024-12-01T13:57:32.256Z,2024-12-01T15:41:31Z,,,,,5395859095,197,12608,5395246081,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5395246089,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5395246079,30,"53y263xxfdf1itytiqhg3v6c5, 1xjhud4hyekcg08nue1iosmsq, 6xjbcik3a56d0vqy4vrq5eokp, 7uia9zlz3axnuc6usdn9u4kfe, 6ylzm57bvpufg3cenadtv7qhh, 7hukebiijqntuvetwzralzuju, 7rtrg77m3xozgfhu3p2ihfey2, 22zuxw8lez5w4vjd8spzzysyc, 22760086vtvx2xulry32q21hw, 3ylgelxr6ssp42hidfnchqp2i, 94hei5v2f93ga4b0iwxxisbu1, 2anc9ug5nr25khmtcc4id2pxx, 1yqlkot5sh85ot3eemo67djv9, 1ykl08k2c2kwxukw0gvslf6qd, 9yiz575rldkwu7icgqwk1qmdx, 1k9g7x8jwhzcpx8bc5ji7og0k, 9s85lkd1qi525r4horgbtostl, chsirsawrhuh787kofklnjmqd, 1hbucfyn2l3bxcw5r4zcb1dlg, 6c2isptqoy4cq5c8rlr9s1roq",5395246087,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5395747981,194,7hukebiijqntuvetwzralzuju,5395246083,59,"1, 2, 38, 34, 14, 4, 11, 8, 33, 10, 17, 5, 7, 13, 18, 24, 25, 29, 37, 59",5395246085,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754060069,1,34,16,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2024-12-01T13:58:24.958Z,2024-12-01T15:07:41Z,,,,,5395250053,30,"41ii5y9ebz5e3xhaif9kc8qmt, fwu0bja02waqct7l682s5mfp, 8mn8apr6n7t7s6lx4d4vvdnca, arhoud4vfjvmjaf2pkbm6s48a, ddl5g7raihnc9s4u3wetz8v10, a87w6l9zsbahdi4knm1347zs9, 8yfw9f74h0yfz51bkxxc8p39x, drlp4xtkta08jiu0px6m4ocq2, elhmf9cc26ec5p1wnwonuxf4l, e73sexp7kse0wlykdi7xcbg2c, e64kcio0848bpw39eedbjyd5g, 78kzajya12k4sm0ebfl37d6ok, 10esz9pvzonegry7p78n3ce09, bewwsztrqoqdp5ttkxry0i1yi, 7qgiqoaaarr6c2bs4yffqwju2, 4fhpb0b8muboggvquj2pvsiqx, c3sp1x0shf2b24rl5ike6v0iy, bidudbkachfl6126lhlr254wk, 8mcb1hiuk9rzf48cx3vj5i3th, bwfg9frq2ecbzg7wlzqjtnv2s",5395250055,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5395250061,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5395250057,59,"1, 43, 55, 5, 4, 22, 6, 24, 18, 20, 41, 21, 25, 30, 53, 73, 3, 13, 15, 19",5395250059,130,8,5395250063,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5395619605,197,24437,5395619603,194,a87w6l9zsbahdi4knm1347zs9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754129373,2,32,1,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2024-12-01T15:00:40.810Z,2024-12-01T15:00:44Z,,,,,5395623289,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754129363,2,32,1,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2024-12-01T15:00:40.810Z,2024-12-01T17:50:21Z,,,,,5395623237,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754129451,3,1,1,0,0,c165yjiny1qnmfdvefxvflnkc,1,50.0,50.0,2024-12-01T15:00:40.811Z,2024-12-01T15:00:46Z,22760086vtvx2xulry32q21hw,E. Yeboah,,,5395623717,213,3.75,5395623715,212,14.1,5395623709,56,Back,5395623713,141,38.2,5395623711,140,39.0,5395623719,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754129503,4,1,1,0,5,c165yjiny1qnmfdvefxvflnkc,1,37.9,42.7,2024-12-01T15:00:46.641Z,2024-12-01T15:11:01Z,22zuxw8lez5w4vjd8spzzysyc,T. Lauritsen,,,5395623995,141,78.9,5395623993,140,33.0,5395623997,212,25.1,5395623999,213,1.78,5395623991,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754129519,5,1,1,0,8,c165yjiny1qnmfdvefxvflnkc,0,34.2,79.8,2024-12-01T15:00:49.204Z,2024-12-01T15:11:13Z,7hukebiijqntuvetwzralzuju,O. Provstgaard,,,5395624079,1,,5395624077,213,6.13,5395624075,212,36.0,5395624073,141,71.6,5395624071,140,68.1,5395688123,155,,5395624069,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754129555,3,1,1,0,9,59as3grjvj19voay31j3yfgni,0,28.3,38.3,2024-12-01T15:00:50.360Z,2024-12-01T15:00:53Z,ddl5g7raihnc9s4u3wetz8v10,O. Diao,,,5395624283,1,,5395624271,3,,5395624279,212,37.3,5395624277,141,47.6,5395624273,56,Center,5395624275,140,63.3,5395624281,213,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754129601,6,1,1,0,13,c165yjiny1qnmfdvefxvflnkc,0,30.3,52.7,2024-12-01T15:00:54.155Z,2024-12-01T15:00:55Z,6ylzm57bvpufg3cenadtv7qhh,D. van Bruggen,,,5395624497,3,,5395624501,140,39.9,5395624505,212,10.1,5395624499,56,Back,5395624503,141,54.3,5395624507,213,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754129611,4,1,1,0,14,59as3grjvj19voay31j3yfgni,0,55.6,43.3,2024-12-01T15:00:55.526Z,2024-12-01T15:00:56Z,drlp4xtkta08jiu0px6m4ocq2,O. Sørensen,,,5395624581,140,63.6,5395624573,3,,5395624577,56,Center,5395624587,213,0.50,5395624585,212,9.6,5395624583,141,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
