id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2753984637,1,34,16,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2024-12-01T12:00:29.528Z,2024-12-01T13:08:39Z,,,,,5394851149,130,3,5394851147,59,"16, 22, 23, 26, 12, 4, 7, 8, 25, 15, 6, 1, 5, 9, 11, 13, 18, 20, 24, 31",5394851143,30,"c7gwbtdqptxjtu3tn3xctvit, 3361cs2j60yxzy9mir80byqc5, 7sbdudf1vycn8hinw0giakpyi, 5jdkdvxssuc8gvzwwrq5bs76y, 6rd849oap6uh93wdwjk8590q1, czpstoiy12awqpasz573ckp91, 5x8064b3yr7txk0czddfjtffu, 1902oagnhlo7x9xpumxvg1t78, adg5dfvzxjrzlz1n2jsfeyx3o, 3ejggtt1du1cui3wc1f8oqx62, 5j9d1plbsd5ic01r3ggziutwp, a6ham5hnwv62w3tynikyal68l, 33sxiwcjeqcop3ukuok86ujmd, 828b7y3phhpb62srvtrjhtgk4, 7foqorbwhgqjghtxa2nax6kgk, 5q4p56lg1vjsqo824aql0e1d6, bh06w40pwo6dy3cjrw3r2i0ru, d88feog3dgv09oxbzn15xqesq, 94560hgwsjkx8qgz48f7gzitw, 637840asun7f3wo16c5zkhi50",5394996909,197,23448,5394873287,194,5j9d1plbsd5ic01r3ggziutwp,5394851151,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5394851145,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5394851153,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2753986535,1,34,16,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2024-12-01T12:06:18.007Z,2024-12-01T13:13:55Z,,,,,5394872683,194,5733iw16239m83syv5dm8huj9,5394861629,30,"15fo180vixn0lb65fujttit3p, 6v4ykv7aw86ql22oksh682kus, 8ydi45wh0naevno6aos78vi09, 5733iw16239m83syv5dm8huj9, 6ul2nma4j0a7e2li6wyyrpal1, 5is9bcj143orulo4biogwxzl6, b13l1wrb747y9cdc8wqltan6d, d854rlweyk5wq6d2veyviukq2, 39f0bq9uk4etkf75uzu6qyrmy, diwrq7ulrey4juxk4dafct0q1, 9pnirb3qt48zeui3su8cvu1ka, 5kghds186740jygx97bihh6mt, 2wwpfsducpmryacr17y8k70iy, bqcjd0macjc7hmtz7zx34ym6t, 6d0lxiep13vdv32bdb0xwyrys, 58o5ram4bf58357786j9jr7kk, c36ffo382u9flu5foebt4di39, deyq3zqd0vwc821ngqldxqor9, 84f41rjxyp3rthpk1fu66wrqi, d85h1t14o7agqal849ca7fehg",5394861633,59,"32, 7, 20, 30, 12, 5, 8, 13, 9, 11, 17, 3, 4, 10, 14, 15, 23, 26, 31, 33",5394861637,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5394861639,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5394861635,130,4,5394988469,197,6291,5394861631,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012457,2,32,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2024-12-01T13:02:32.088Z,2024-12-01T13:02:34Z,,,,,5394998007,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012453,2,32,1,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2024-12-01T13:02:32.088Z,2024-12-01T16:24:13Z,,,,,5394997993,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012501,3,1,1,0,0,anga7587r1zv4ey71ge9zxol3,1,49.9,49.9,2024-12-01T13:02:32.287Z,2024-12-01T13:02:35Z,39f0bq9uk4etkf75uzu6qyrmy,M. Abubakari,,,5394998207,213,2.93,5394998209,279,S,5394998203,141,55.4,5394998199,56,Back,5394998201,140,33.2,5394998205,212,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012525,4,1,1,0,3,anga7587r1zv4ey71ge9zxol3,1,33.2,55.4,2024-12-01T13:02:35.739Z,2024-12-01T13:02:37Z,5733iw16239m83syv5dm8huj9,M. Rømer,,,5394998371,213,4.29,5394998351,56,Back,5394998363,141,36.9,5394998367,212,13.8,5394998357,140,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012573,5,1,1,0,5,anga7587r1zv4ey71ge9zxol3,1,27.8,36.9,2024-12-01T13:02:37.627Z,2024-12-01T13:02:41Z,6ul2nma4j0a7e2li6wyyrpal1,M. Jensen,,,5394998641,213,6.09,5394998631,157,,5394998643,1,,5394998639,212,57.7,5394998633,56,Right,5394998637,141,20.4,5394998635,140,81.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012575,6,61,1,0,9,anga7587r1zv4ey71ge9zxol3,1,81.5,20.4,2024-12-01T13:02:41.577Z,2024-12-01T13:02:41Z,diwrq7ulrey4juxk4dafct0q1,M. Warming,,,5394998655,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012627,7,61,1,0,11,anga7587r1zv4ey71ge9zxol3,0,80.6,19.5,2024-12-01T13:02:43.099Z,2024-12-01T13:58:44Z,b13l1wrb747y9cdc8wqltan6d,M. Hebo,,,5394998963,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754012731,3,12,1,0,13,aljua8crr0vkwit0j3m59jw9j,1,17.5,84.8,2024-12-01T13:02:45.242Z,2024-12-01T14:04:47Z,5j9d1plbsd5ic01r3ggziutwp,R. Vinderslev,,,5394999519,212,7.2,5394999513,140,20.8,5394999509,56,Back,5394999521,213,1.06,5394999515,141,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
