id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/11/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2802520073,1,34,16,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2025-04-18T16:04:45.015Z,2025-04-18T21:00:29Z,,,,5659778963,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5659778967,130,17,5659778965,59,"13, 2, 24, 4, 5, 30, 10, 35, 36, 7, 37, 6, 8, 11, 17, 28, 31, 32, 42, 50",5659778971,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5659778969,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5659904855,197,5111,5659904853,194,bnar4f48vnx4oaz2lzch48es5,5659778961,30,"844k9wmnxkk24xsjd4fdb4rca, hsobzlp177f9755mpsi7szmy, 2tthm6h5o033dz440e476rhbe, bnar4f48vnx4oaz2lzch48es5, bmkq3hz1z7lsji7wgr3j8978p, 56sjqxlsf5iitgww0hogez8ph, etz3rjq7chhaomst5u28nnff9, 2xp7fbcl6a4nua9jpm7b4k1sk, 7z1pv1wezn5rydamnknklv2ay, chteizjcvxpvze9p77gcttcoa, 1gr0k94d0nh7msa32f6728aok, aa0888u38mjc1euhofseazb2t, d2itdjj8bx0aztqggfgv7amay, 9auqrrixu34cgkpe8trlkaoh6, 91suopiz6irxqevhzv8lx76ne, 53nd6a4o02ebb0w2s12prijje, 6anvl82jyio52wo87cbxdp4np, 506kxojakimt5s0v2c4q6b33e, 5ssy03x358qpvbvlhdg2152qc, 51imtpvf4bb1ra8v8z8jmstg4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802521341,1,34,16,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2025-04-18T16:07:20.949Z,2025-04-18T17:00:06Z,,,,5659786379,130,4,5659786383,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5659786381,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5659904727,197,4597,5659786373,30,"49wkw0wkn4ta18b6657vjvglx, 7cpkykvmy8ujrahzdz7ksk2c5, 5ucbttulfcdufwr751zj0zcic, 5r1v2w303bvj0vv1893qr5d5h, chjcbjc5nv8uyiusfafts5zv9, 2rvx2wlfj2rxzcgye6wiw0v84, 3zc9hy5uicgp21wr6z5wyuntg, 6rd6a2f1k124dzp1p904yq3h0, 7a1vtc0e7ubua2t0dwx9ufk7o, 5uqf7a0y0fd1hf2rrmgx11tuy, 4cubrfqgrc5ivbd6fdj3k3zf8, 55gunqozsj8gs6oua7ee5xxhx, 4oxlpwcwpa44hstpm70iep0id, 3qcjzsb466tfri5yrj35wztw4, 2r8s61bmydlumhg62wd0y6fis, bgviotid6bht0k2452r5gehw4, ayistjficdvpd0v10681qf578, c1s6vw84nupd8c0mbj8gov5lg, 9h6c9ue598hllcri39erjitqs, apspqh3shqfwobvh35x60q5g4",5659904725,194,5uqf7a0y0fd1hf2rrmgx11tuy,5659786375,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5659786377,59,"13, 2, 25, 6, 3, 24, 36, 21, 7, 10, 8, 4, 11, 17, 18, 20, 29, 34, 38, 45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802543809,2,32,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2025-04-18T17:02:45.238Z,2025-04-18T17:02:46Z,,,,5659912347,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802543799,2,32,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2025-04-18T17:02:45.238Z,2025-04-18T19:56:53Z,,,,5659912299,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802543837,3,1,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,50.2,49.9,2025-04-18T17:02:45.239Z,2025-04-18T20:24:25Z,7a1vtc0e7ubua2t0dwx9ufk7o,S. Egeli,,5659912505,140,46.1,5659912517,279,S,5659912515,213,3.87,5659912513,212,5.8,5659912501,56,Back,5659912509,141,44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802543863,4,1,1,0,3,77tfx9me4aaqhzv78bmgsy9bg,1,52.1,46.6,2025-04-18T17:02:49.016Z,2025-04-18T19:59:18Z,4cubrfqgrc5ivbd6fdj3k3zf8,M. Dorgeles,,5659912689,141,26.2,5659912693,213,4.07,5659912685,56,Back,5659912687,140,42.2,5659912691,212,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802543879,5,1,1,0,5,77tfx9me4aaqhzv78bmgsy9bg,1,42.2,26.2,2025-04-18T17:02:50.967Z,2025-04-18T17:08:46Z,5r1v2w303bvj0vv1893qr5d5h,M. Brink,,5659912781,213,2.16,5659912773,56,Back,5659912775,140,26.9,5659912777,141,61.7,5659912779,212,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802543915,6,1,1,0,7,77tfx9me4aaqhzv78bmgsy9bg,1,26.7,60.5,2025-04-18T17:02:53.080Z,2025-04-18T17:02:55Z,2rvx2wlfj2rxzcgye6wiw0v84,L. Høgsberg,,5659912985,155,,5659913007,212,48.4,5659913017,1,,5659912995,140,61.8,5659913011,213,5.58,5659912989,56,Right,5659913001,141,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802543929,7,1,1,0,10,77tfx9me4aaqhzv78bmgsy9bg,0,61.6,11.9,2025-04-18T17:02:55.448Z,2025-04-18T17:02:55Z,3zc9hy5uicgp21wr6z5wyuntg,C. Yirenkyi,,5659913065,3,,5659913067,168,,5659913071,140,68.0,5659913069,56,Right,5659913073,141,6.2,5659913077,213,5.76,5659913075,212,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802543967,8,83,1,0,12,77tfx9me4aaqhzv78bmgsy9bg,0,68.0,6.2,2025-04-18T17:02:57.536Z,2025-04-18T19:59:57Z,5uqf7a0y0fd1hf2rrmgx11tuy,B. Nygren,,5659913503,399,2tthm6h5o033dz440e476rhbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802543985,4,61,1,0,13,9qsmopgutr7ut5g6workk8w4i,1,39.2,96.6,2025-04-18T17:02:58.903Z,2025-04-18T17:03:13Z,2tthm6h5o033dz440e476rhbe,M. Divković,,5659913369,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802544003,10,43,1,0,14,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2025-04-18T17:02:59.257Z,2025-04-18T20:00:12Z,5uqf7a0y0fd1hf2rrmgx11tuy,B. Nygren,,5659954479,399,1gr0k94d0nh7msa32f6728aok,5660912933,144,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802544001,5,50,1,0,14,9qsmopgutr7ut5g6workk8w4i,1,37.5,95.0,2025-04-18T17:02:59.863Z,2025-04-18T17:38:43Z,1gr0k94d0nh7msa32f6728aok,C. Bischoff,,5659913421,286,,5659913419,56,Back,5659913459,233,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802543991,9,7,1,0,14,77tfx9me4aaqhzv78bmgsy9bg,1,62.5,5.0,2025-04-18T17:02:59.864Z,2025-04-18T20:00:23Z,5uqf7a0y0fd1hf2rrmgx11tuy,B. Nygren,,5660913499,178,,5659913429,233,5,5659913383,56,Right,5659913433,285,,5660913497,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
