id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2806961859,1,34,16,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2025-04-27T11:05:56.448Z,2025-04-27T12:09:40Z,,,,,5684082197,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5684282097,194,33sxiwcjeqcop3ukuok86ujmd,5684082205,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5684082203,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5684082201,130,8,5684082199,59,"16, 20, 5, 26, 12, 4, 15, 22, 11, 7, 24, 1, 2, 8, 9, 17, 23, 28, 34, 31",5684282099,197,4602,5684082195,30,"dcocgxtuabo0rwzwukvqky9uy, d88feog3dgv09oxbzn15xqesq, 33sxiwcjeqcop3ukuok86ujmd, 5jdkdvxssuc8gvzwwrq5bs76y, 6rd849oap6uh93wdwjk8590q1, czpstoiy12awqpasz573ckp91, 3ejggtt1du1cui3wc1f8oqx62, 3361cs2j60yxzy9mir80byqc5, 7foqorbwhgqjghtxa2nax6kgk, 5x8064b3yr7txk0czddfjtffu, 94560hgwsjkx8qgz48f7gzitw, a6ham5hnwv62w3tynikyal68l, dshwz1df0rbe0fztksawvd0wl, 1902oagnhlo7x9xpumxvg1t78, 828b7y3phhpb62srvtrjhtgk4, 6gh4z3yubnpypzoakjom1rj3e, 7sbdudf1vycn8hinw0giakpyi, 6je6y9uk6km1tkzatpw8v9p1w, d4emkl168o7w0fy7shqdp6t5g, 637840asun7f3wo16c5zkhi50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2806965071,1,34,16,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2025-04-27T11:10:37.020Z,2025-04-27T12:56:02Z,,,,,5684099321,30,"9lgnm175tw163z53b8bmiu5pm, bitixkzgt5p65rlo2bnllcf6x, eq7tnnzwq0g9q4eac0o9t9xey, 5f3wfx327z9hef9k9l37c90wl, bp2ellllifbtxgf0p8qlbm1nt, 9qskwuil30g48xr3ax5p9j6j9, dyzzo6n83rg4fpvmqqa69moes, vrzye4jqrafujmjw3wakjpxw, akxcr1xe62dyl5jmh3ataq13o, 195o7hchielt14ic49r3k06sq, 73lwz4he5erpp25zi8crjvztg, wnin2353js3p5rh4d7e2ymwa, 5m27f84vvraap8bmfujt1qiok, dk9nlp77b6q38p751f8w3o8np, 6d8194j12jdzgqk5uwcemecr8, 9o10vhew3jar8tqnkabw0qoyx, 4n3t1p3zn5yzjv4w0clo3xvjd, dacr7r8nr09ke3o8dhqmdrklw, c9kn2pfftaimeqknbu9p8neok, b6q0tf252xvikt39g8jevju38",5684099329,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5684099327,130,4,5684099333,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5684099331,194,5f3wfx327z9hef9k9l37c90wl,5684099323,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5684587515,197,19904,5684099325,59,"1, 18, 30, 13, 55, 2, 15, 12, 11, 7, 10, 6, 14, 16, 17, 19, 24, 26, 27, 37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807001375,2,32,1,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2025-04-27T12:00:48.468Z,2025-04-27T12:00:49Z,,,,,5684289785,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807001369,2,32,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2025-04-27T12:00:48.468Z,2025-04-27T12:00:48Z,,,,,5684289773,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807001397,3,1,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,50.0,50.0,2025-04-27T12:00:48.469Z,2025-04-27T12:48:44Z,5x8064b3yr7txk0czddfjtffu,S. Emini,,,5684289883,56,Back,5684289887,141,39.5,5684289889,212,21.3,5684289885,140,30.9,5684289891,213,3.48,5684289893,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807001409,4,1,1,0,3,aljua8crr0vkwit0j3m59jw9j,0,30.5,39.5,2025-04-27T12:00:51.637Z,2025-04-27T12:49:08Z,5jdkdvxssuc8gvzwwrq5bs76y,T. Sommer,,,5684289953,157,,5684289963,213,0.39,5684289961,212,53.4,5684289959,141,69.3,5684289957,140,77.6,5684289965,1,,5684289955,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807001435,3,1,1,0,7,cftj6g399tknheudaxsdpfdgb,1,31.6,31.6,2025-04-27T12:00:56.368Z,2025-04-27T12:00:58Z,bp2ellllifbtxgf0p8qlbm1nt,S. Radić,,,5684290083,56,Back,5684290081,3,,5684290087,141,38.6,5684290089,212,11.4,5684290091,213,0.43,5684290085,140,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807001539,5,1,1,0,10,cftj6g399tknheudaxsdpfdgb,1,39.6,34.3,2025-04-27T12:00:58.828Z,2025-04-27T12:01:33Z,akxcr1xe62dyl5jmh3ataq13o,Renato Júnior,1.0,,5684290619,155,,5684290625,141,10.3,5684290633,213,5.85,5684290629,212,39.0,5684290637,1,,5684292303,210,15,5684290621,56,Right,5684290623,140,73.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807001493,5,45,1,0,16,aljua8crr0vkwit0j3m59jw9j,0,9.0,70.2,2025-04-27T12:01:05.204Z,2025-04-27T12:52:14Z,5x8064b3yr7txk0czddfjtffu,S. Emini,,,5684291611,233,7,5684290451,285,,5684290449,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807001725,7,3,1,0,16,cftj6g399tknheudaxsdpfdgb,1,91.0,29.8,2025-04-27T12:01:05.204Z,2025-04-27T12:01:24Z,195o7hchielt14ic49r3k06sq,Serginho,,,5684291567,286,,5684291565,56,Center,5684291577,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
