id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2817122409,1,34,16,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2025-05-19T16:03:07.049Z,2025-05-19T20:15:49Z,,,,,5740141817,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5740141813,130,17,5740141807,30,"4ilnnpfgjfz35lni9ppzd93v9, hsobzlp177f9755mpsi7szmy, 2tthm6h5o033dz440e476rhbe, bnar4f48vnx4oaz2lzch48es5, 506kxojakimt5s0v2c4q6b33e, 6anvl82jyio52wo87cbxdp4np, d2itdjj8bx0aztqggfgv7amay, etz3rjq7chhaomst5u28nnff9, 7z1pv1wezn5rydamnknklv2ay, 53nd6a4o02ebb0w2s12prijje, chteizjcvxpvze9p77gcttcoa, bmkq3hz1z7lsji7wgr3j8978p, aa0888u38mjc1euhofseazb2t, 9auqrrixu34cgkpe8trlkaoh6, 3hi7nroqhsvj8elv8nd9a8ted, 91suopiz6irxqevhzv8lx76ne, 56sjqxlsf5iitgww0hogez8ph, 1gr0k94d0nh7msa32f6728aok, caoahimfnw46l1vnpsp6vf9qs, 5ssy03x358qpvbvlhdg2152qc",5740378615,194,bnar4f48vnx4oaz2lzch48es5,5740195189,197,5111,5740141815,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5740141809,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5740141811,59,"1, 2, 24, 4, 32, 31, 8, 10, 36, 28, 7, 5, 6, 11, 16, 17, 30, 37, 38, 42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817123397,1,34,16,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2025-05-19T16:07:59.619Z,2025-05-19T17:05:52Z,,,,,5740199525,197,24384,5740147729,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5740147737,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5740147733,130,2,5740147735,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5740147727,30,"41ii5y9ebz5e3xhaif9kc8qmt, fwu0bja02waqct7l682s5mfp, 8mn8apr6n7t7s6lx4d4vvdnca, drlp4xtkta08jiu0px6m4ocq2, c3sp1x0shf2b24rl5ike6v0iy, a87w6l9zsbahdi4knm1347zs9, djlyi0ad4x1p0k4thn8n0axw4, bwfg9frq2ecbzg7wlzqjtnv2s, 1sdsqfn743j5tqem8ra7sppn8, elhmf9cc26ec5p1wnwonuxf4l, 78kzajya12k4sm0ebfl37d6ok, ddl5g7raihnc9s4u3wetz8v10, bidudbkachfl6126lhlr254wk, bcscjb9jdgu4ims9n3vwuj5k9, 7yim2aepctujr2m4p20a97755, ajhd3cqclubmexhscpd4w4ez9, e64kcio0848bpw39eedbjyd5g, 4zrsiizdbzwwkmit3ta0f0dbe, 1qcf5gb8wf8f4tu94xh96yqy, 8uqsrzfe8mnhs8v3ii2v7b2tw",5740207379,194,a87w6l9zsbahdi4knm1347zs9,5740147731,59,"1, 43, 55, 24, 3, 22, 11, 19, 7, 18, 21, 4, 13, 14, 16, 29, 41, 58, 80, 34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131859,2,32,1,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2025-05-19T17:03:02.144Z,2025-05-19T17:03:06Z,,,,,5740200319,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131863,2,32,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2025-05-19T17:03:02.144Z,2025-05-19T20:08:11Z,,,,,5740200327,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131883,3,1,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,49.8,49.6,2025-05-19T17:03:02.145Z,2025-05-19T17:03:05Z,7z1pv1wezn5rydamnknklv2ay,M. Kvistgaarden,,,5740200479,213,3.34,5740200471,141,45.7,5740200481,279,S,5740200475,212,13.2,5740200467,140,37.5,5740200463,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131887,4,1,1,0,3,9qsmopgutr7ut5g6workk8w4i,1,36.2,49.7,2025-05-19T17:03:05.554Z,2025-05-19T17:03:07Z,506kxojakimt5s0v2c4q6b33e,F. Alves,,,5740200495,213,1.97,5740200491,141,76.7,5740200493,212,19.9,5740200487,56,Back,5740200489,140,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131915,5,1,1,0,5,9qsmopgutr7ut5g6workk8w4i,1,27.6,76.7,2025-05-19T17:03:07.259Z,2025-05-19T17:03:09Z,bnar4f48vnx4oaz2lzch48es5,J. Rasmussen,,,5740200613,213,5.90,5740200611,212,11.0,5740200609,141,70.7,5740200607,140,37.3,5740200605,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131931,6,1,1,0,7,9qsmopgutr7ut5g6workk8w4i,1,34.3,70.1,2025-05-19T17:03:09.500Z,2025-05-19T17:03:11Z,chteizjcvxpvze9p77gcttcoa,N. Vallys,,,5740200727,56,Back,5740200729,140,15.6,5740200735,213,3.68,5740200731,141,52.8,5740200733,212,22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131949,7,1,1,0,9,9qsmopgutr7ut5g6workk8w4i,1,15.6,52.8,2025-05-19T17:03:11.659Z,2025-05-19T17:03:13Z,4ilnnpfgjfz35lni9ppzd93v9,P. Pentz,,,5740200817,213,6.01,5740200809,56,Back,5740200813,141,49.1,5740200811,140,24.2,5740200815,212,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131967,8,1,1,0,11,9qsmopgutr7ut5g6workk8w4i,1,24.4,49.3,2025-05-19T17:03:13.579Z,2025-05-19T17:03:15Z,d2itdjj8bx0aztqggfgv7amay,B. Tahirović,,,5740200915,212,14.5,5740200917,213,4.40,5740200909,56,Back,5740200913,141,29.0,5740200911,140,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
