id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2738529859,1,34,16,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2024-10-25T16:14:57.477Z,2024-10-25T16:57:33Z,,,,5310770035,197,6293,5310770033,194,b2492j7qzdo7g3ysxz6gq4g5x,5310650289,130,4,5310650293,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5310650287,59,"1, 5, 3, 6, 15, 4, 20, 33, 23, 8, 10, 2, 7, 9, 11, 17, 19, 30, 36, 41",5310650291,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5310650283,30,"b2492j7qzdo7g3ysxz6gq4g5x, 55u45p7vwom7civ3xy3hdf71m, 9zhmwx3g0m6xi2oh57g4z35nu, bplpqy3ierwlm12d1f3prue7e, cw6s5hf1tytvb98vjuosz9r6d, 4qo7eu3xwhkpssbuyk4n70fe1, 6wrch4yhbs6utcc0doguj90q, cuufy3ioo1kio56er2cfn0mqc, n2annzbap7hll02zo2v0ccgk, avtms6bcr8i7qdacuv225evo5, bb8q9cgqzw9n2tmkl8s3bth0q, 2513579m13glsous1p82fbjzd, 242y4x99xvpu9zvln5vxoepjp, 6f6x6f9iybgp9pmkqati2otn8, alqg6ch3anqkq9613hu6m1d04, 349g9rdismqpb1aarjp011bd, 7h39w16zvj1lbfb0rqr7kvt1x, d8nahz092xxj6muqc24hocp3o, 89xit2bryc0g4yhqina7akjkk, lmrff8mviimc33yyrpjzr2tw",5310650285,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738533821,1,34,16,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2024-10-25T16:23:50.996Z,2024-10-25T17:12:17Z,,,,5310672217,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5310777563,197,17331,5310672209,30,"a2l4ep71txn2edtjjcgewai5m, de0dokhb6u6hts2hu5aupgiga, dj2f6zk2cd8u9lt6odoei9cdl, ejixz16616b7krftxyzv9yiac, 7yst1mucy7jynmpzu1thox2i, 8vi3l756ez0e96k7muvg4ekbu, 8bi1tlz62rjwyak4pnnzgp562, 3q4tnk1z46lop4rbdpjtfoc2c, 5hw5sfiqhzg7mnghdp52f7fqi, 5lz41celw55rz3zh8pohclw5w, 1arzd8hqj73byhduozscqz5uy, bcdp9e3dezuaybm8ndrsanbx0, 4sgxth7onhb5mu29bgyupby3u, 974s3rwvb2ls1k1no4hlaz8ph, cul6phe87idi5dn1hsfywxhwp, 5vrsflxiv2dgfa8199a2qxsve, 2o5atg0lz3jy7k86tyqda8h04, ezi8426ran0bffeyfvloc2ihg, 5521epytthhw9afm2r3jn3384, cimgdip8em45rbnjq5fwlrx90",5310672219,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5310819575,194,1arzd8hqj73byhduozscqz5uy,5310672215,130,8,5310672213,59,"1, 20, 14, 21, 4, 13, 17, 8, 19, 10, 11, 5, 7, 15, 22, 27, 35, 37, 47, 39",5310672211,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554421,2,32,1,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2024-10-25T17:02:09.615Z,2024-10-25T17:02:09Z,,,,5310780231,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554467,2,32,1,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2024-10-25T17:02:09.615Z,2024-10-26T05:10:09Z,,,,5310780471,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738588239,560,1,1,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,49.8,50.1,2024-10-25T17:02:09.616Z,2024-10-25T17:53:10Z,bb8q9cgqzw9n2tmkl8s3bth0q,Y. Bakiz,,5310963199,279,S,5310963197,213,5.38,5310963195,212,3.2,5310963193,141,46.4,5310963191,140,51.7,5310963189,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738588415,561,1,1,0,2,ahnt9ejgwj58ul8auzdvi3czf,1,51.7,46.4,2024-10-25T17:02:11.615Z,2024-10-25T17:53:31Z,n2annzbap7hll02zo2v0ccgk,T. Adamsen,,5310963955,212,19.2,5310963953,141,46.7,5310963949,56,Back,5310963951,140,33.4,5310963957,213,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738588461,562,1,1,0,4,ahnt9ejgwj58ul8auzdvi3czf,1,36.0,44.8,2024-10-25T17:02:13.615Z,2024-10-25T17:53:36Z,bplpqy3ierwlm12d1f3prue7e,P. Mattsson,,5310964201,212,22.1,5310964203,213,4.18,5310964195,56,Back,5310964197,140,25.4,5310964199,141,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554521,3,1,1,0,9,ahnt9ejgwj58ul8auzdvi3czf,1,27.0,19.8,2024-10-25T17:02:19.281Z,2024-10-25T17:02:22Z,cw6s5hf1tytvb98vjuosz9r6d,R. Thelander,,5310780717,213,2.28,5310780701,56,Back,5310780705,140,14.4,5310780709,141,42.4,5310780713,212,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554557,4,1,1,0,13,ahnt9ejgwj58ul8auzdvi3czf,1,14.2,44.3,2024-10-25T17:02:22.640Z,2024-10-25T17:02:25Z,b2492j7qzdo7g3ysxz6gq4g5x,N. Larsen,,5310780869,141,78.2,5310780867,140,14.9,5310780865,56,Back,5310780871,212,23.1,5310780873,213,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2738554581,5,1,1,0,16,ahnt9ejgwj58ul8auzdvi3czf,1,14.9,78.2,2024-10-25T17:02:25.824Z,2024-10-25T17:02:27Z,4qo7eu3xwhkpssbuyk4n70fe1,Pedro Ganchas,,5310780985,56,Back,5310780987,140,8.4,5310780991,212,14.6,5310780993,213,4.22,5310780989,141,59.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
