id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2804386393,1,34,16,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2025-04-21T10:55:58.179Z,2025-04-21T12:01:56Z,,,,,5669929515,197,12608,5669840773,59,"1, 23, 38, 34, 13, 14, 2, 5, 45, 37, 10, 7, 17, 18, 22, 24, 25, 26, 59, 29",5669840769,30,"53y263xxfdf1itytiqhg3v6c5, 6lap0wrnichfxxqm5kgtoflec, 6xjbcik3a56d0vqy4vrq5eokp, 7uia9zlz3axnuc6usdn9u4kfe, 1ykl08k2c2kwxukw0gvslf6qd, 6ylzm57bvpufg3cenadtv7qhh, 1xjhud4hyekcg08nue1iosmsq, 2anc9ug5nr25khmtcc4id2pxx, babnrlnt04mal0268p9dxas8a, 1hbucfyn2l3bxcw5r4zcb1dlg, 3ylgelxr6ssp42hidfnchqp2i, 1yqlkot5sh85ot3eemo67djv9, 94hei5v2f93ga4b0iwxxisbu1, 9yiz575rldkwu7icgqwk1qmdx, ajk0mbprro09pccglih9y740k, 1k9g7x8jwhzcpx8bc5ji7og0k, 9s85lkd1qi525r4horgbtostl, 6kdy9i4p9fgyn45d9avb66cd0, 6c2isptqoy4cq5c8rlr9s1roq, chsirsawrhuh787kofklnjmqd",5669840777,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5669840771,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5669855177,194,1xjhud4hyekcg08nue1iosmsq,5669840779,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5669840775,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804387407,1,34,16,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-04-21T10:59:07.245Z,2025-04-21T11:57:16Z,,,,,5669844857,130,9,5669856075,194,b2492j7qzdo7g3ysxz6gq4g5x,5669844851,30,"b2492j7qzdo7g3ysxz6gq4g5x, 9zhmwx3g0m6xi2oh57g4z35nu, 7h39w16zvj1lbfb0rqr7kvt1x, bplpqy3ierwlm12d1f3prue7e, 7zaveckhldl5rieo5ddsqtt2i, 4qo7eu3xwhkpssbuyk4n70fe1, lioz4hr2umpne2bwar18qa96, 6wrch4yhbs6utcc0doguj90q, n2annzbap7hll02zo2v0ccgk, 349g9rdismqpb1aarjp011bd, bb8q9cgqzw9n2tmkl8s3bth0q, 2513579m13glsous1p82fbjzd, 242y4x99xvpu9zvln5vxoepjp, avtms6bcr8i7qdacuv225evo5, 6f6x6f9iybgp9pmkqati2otn8, 8ngloyr6r0m71p8kgpfe69bvu, d8nahz092xxj6muqc24hocp3o, cuufy3ioo1kio56er2cfn0mqc, 89xit2bryc0g4yhqina7akjkk, lmrff8mviimc33yyrpjzr2tw",5669844853,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5669844861,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5669926609,197,21755,5669844859,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5669844855,59,"1, 3, 19, 6, 25, 4, 21, 20, 23, 17, 10, 2, 7, 8, 9, 14, 30, 33, 36, 41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804402883,2,32,1,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-04-21T12:00:58.132Z,2025-04-21T12:00:58Z,,,,,5669931561,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804402889,2,32,1,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2025-04-21T12:00:58.132Z,2025-04-21T16:26:06Z,,,,,5669931583,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804402891,3,1,1,0,0,c165yjiny1qnmfdvefxvflnkc,1,50.1,50.0,2025-04-21T12:00:58.255Z,2025-04-21T12:01:01Z,2anc9ug5nr25khmtcc4id2pxx,H. Barry,,,5669931601,279,S,5669931593,140,26.9,5669931597,212,24.9,5669931591,56,Back,5669931595,141,42.7,5669931599,213,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804402975,4,1,1,0,3,c165yjiny1qnmfdvefxvflnkc,0,27.8,43.0,2025-04-21T12:01:01.625Z,2025-04-21T12:01:07Z,1ykl08k2c2kwxukw0gvslf6qd,S. Velkov,,,5669932017,140,86.4,5669932021,212,71.2,5669932013,155,,5669932019,141,95.7,5669932025,1,,5669932015,56,Left,5669932023,213,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804402993,3,1,1,0,9,ahnt9ejgwj58ul8auzdvi3czf,1,12.6,12.0,2025-04-21T12:01:07.683Z,2025-04-21T12:01:10Z,9zhmwx3g0m6xi2oh57g4z35nu,R. Østrøm,,,5669932127,213,5.98,5669932121,140,26.1,5669932123,141,5.5,5669932119,56,Back,5669932117,157,,5669932129,1,,5669932125,212,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804402997,4,1,1,0,12,ahnt9ejgwj58ul8auzdvi3czf,0,26.1,5.5,2025-04-21T12:01:10.176Z,2025-04-21T12:06:26Z,349g9rdismqpb1aarjp011bd,C. McCowatt,,,5669932157,168,,5669932163,141,9.5,5669932167,213,0.14,5669932161,140,44.7,5669932165,212,19.7,5669932159,56,Back,5669932155,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403001,5,1,1,0,12,c165yjiny1qnmfdvefxvflnkc,0,59.2,89.7,2025-04-21T12:01:10.376Z,2025-04-21T12:01:11Z,7uia9zlz3axnuc6usdn9u4kfe,L. Hetemi,,,5669932189,140,66.6,5669932191,141,92.4,5669932185,3,,5669932193,212,8.0,5669932187,56,Left,5669932195,213,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804403005,5,1,1,0,13,ahnt9ejgwj58ul8auzdvi3czf,0,36.6,6.7,2025-04-21T12:01:11.601Z,2025-04-21T12:01:12Z,n2annzbap7hll02zo2v0ccgk,T. Adamsen,,,5669932215,141,17.3,5669932213,140,22.3,5669932219,213,2.69,5669932211,56,Back,5669932217,212,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
