id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2746777445,1,34,16,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2024-11-10T12:11:32.948Z,2024-11-10T13:17:53Z,,,,,5355544903,30,"a2l4ep71txn2edtjjcgewai5m, de0dokhb6u6hts2hu5aupgiga, dj2f6zk2cd8u9lt6odoei9cdl, 6v1kpakd3t0jhnoh1eh75ev4k, 7yst1mucy7jynmpzu1thox2i, 8vi3l756ez0e96k7muvg4ekbu, ejixz16616b7krftxyzv9yiac, 3q4tnk1z46lop4rbdpjtfoc2c, 5hw5sfiqhzg7mnghdp52f7fqi, 5lz41celw55rz3zh8pohclw5w, 1arzd8hqj73byhduozscqz5uy, hpzxgnwobdttfgd04dykf26t, dq2eqqywinhsh9ijg8amqyp78, bcdp9e3dezuaybm8ndrsanbx0, 8mkrj5bnkyhx8kutc4656cy96, 4sgxth7onhb5mu29bgyupby3u, 974s3rwvb2ls1k1no4hlaz8ph, 8bi1tlz62rjwyak4pnnzgp562, cul6phe87idi5dn1hsfywxhwp, 5vrsflxiv2dgfa8199a2qxsve",5355544909,130,4,5355544911,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5355544917,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5355544915,197,1731,5355544913,194,1arzd8hqj73byhduozscqz5uy,5355544905,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5355544907,59,"1, 20, 14, 16, 4, 13, 21, 8, 19, 10, 11, 2, 3, 5, 6, 7, 15, 17, 22, 27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746777499,1,34,16,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2024-11-10T12:11:37.915Z,2024-11-10T13:45:26Z,,,,,5355545155,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5355545179,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5355545163,130,4,5355545167,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5355545159,59,"32, 7, 3, 13, 12, 5, 21, 14, 9, 11, 17, 1, 4, 8, 15, 22, 26, 27, 30, 33",5355545171,194,d854rlweyk5wq6d2veyviukq2,5355545175,197,6291,5355545153,30,"15fo180vixn0lb65fujttit3p, 6v4ykv7aw86ql22oksh682kus, 5kghds186740jygx97bihh6mt, d854rlweyk5wq6d2veyviukq2, 6ul2nma4j0a7e2li6wyyrpal1, 5is9bcj143orulo4biogwxzl6, bpw4cd5vmghjhelb3uxupmqjt, 6d0lxiep13vdv32bdb0xwyrys, 39f0bq9uk4etkf75uzu6qyrmy, diwrq7ulrey4juxk4dafct0q1, 9pnirb3qt48zeui3su8cvu1ka, cl3w811fge6189cbclaslb26t, 2wwpfsducpmryacr17y8k70iy, b13l1wrb747y9cdc8wqltan6d, 58o5ram4bf58357786j9jr7kk, 79b0b6eqck5vn4b3fawxsaok, deyq3zqd0vwc821ngqldxqor9, 6miatayfy07pf4og7qc7c7pqs, 5733iw16239m83syv5dm8huj9, d85h1t14o7agqal849ca7fehg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746813221,2,32,1,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2024-11-10T13:01:09.182Z,2024-11-10T16:15:31Z,,,,,5355730727,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746813207,3,32,1,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2024-11-10T13:01:09.182Z,2024-11-10T13:01:09Z,,,,,5355730659,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746813285,4,1,1,0,0,36g6ifzjliec1jqnbtf7yesme,1,49.9,50.0,2024-11-10T13:01:09.183Z,2024-11-10T13:01:12Z,3q4tnk1z46lop4rbdpjtfoc2c,M. Widell,,,5355731011,140,35.2,5355731017,213,3.07,5355731015,212,15.5,5355731013,141,51.6,5355731009,56,Back,5355731019,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746813325,5,1,1,0,3,36g6ifzjliec1jqnbtf7yesme,0,29.4,51.6,2024-11-10T13:01:12.384Z,2024-11-10T13:01:15Z,8vi3l756ez0e96k7muvg4ekbu,B. Pudel,,,5355731253,213,5.88,5355731243,155,,5355731249,141,26.7,5355731247,140,67.5,5355731245,56,Center,5355731255,1,,5355731251,212,43.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746813371,3,44,1,0,5,anga7587r1zv4ey71ge9zxol3,1,35.3,67.8,2024-11-10T13:01:14.671Z,2024-11-10T15:06:10Z,5is9bcj143orulo4biogwxzl6,L. Lissens,,,5355731463,56,Back,5355731507,233,6,5355731465,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746813337,6,44,1,0,5,36g6ifzjliec1jqnbtf7yesme,0,64.7,32.2,2024-11-10T13:01:14.672Z,2024-11-10T15:06:10Z,5hw5sfiqhzg7mnghdp52f7fqi,J. Iredale,,,5355731305,286,,5355731533,233,3,5355731303,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746813393,4,1,1,0,5,anga7587r1zv4ey71ge9zxol3,0,26.2,73.0,2024-11-10T13:01:14.919Z,2024-11-10T14:02:43Z,5is9bcj143orulo4biogwxzl6,L. Lissens,,,5355731589,141,100.0,5355731583,3,,5355731591,212,24.5,5355731593,213,0.93,5355731587,140,40.1,5355731585,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746813401,5,5,1,0,9,anga7587r1zv4ey71ge9zxol3,0,37.2,101.8,2024-11-10T13:01:19.145Z,2024-11-10T14:03:14Z,5is9bcj143orulo4biogwxzl6,L. Lissens,,,5355731623,56,Back,5355732295,233,7,5355731625,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
