id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2713193787,1,34,16,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2024-08-25T10:58:27.960Z,2024-08-25T12:06:24Z,,,,,5171899625,130,17,5171899623,59,"1, 59, 38, 4, 13, 14, 34, 5, 9, 7, 17, 3, 8, 10, 11, 18, 24, 25, 37, 71",5172063151,197,12608,5171899627,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5172050903,194,7hukebiijqntuvetwzralzuju,5171899629,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5171899619,30,"53y263xxfdf1itytiqhg3v6c5, 6c2isptqoy4cq5c8rlr9s1roq, 6xjbcik3a56d0vqy4vrq5eokp, 7hukebiijqntuvetwzralzuju, 1ykl08k2c2kwxukw0gvslf6qd, 6ylzm57bvpufg3cenadtv7qhh, 7uia9zlz3axnuc6usdn9u4kfe, 2anc9ug5nr25khmtcc4id2pxx, babnrlnt04mal0268p9dxas8a, 1yqlkot5sh85ot3eemo67djv9, 94hei5v2f93ga4b0iwxxisbu1, 32ohywx3gs0u6bqm4z59wxmmt, 22zuxw8lez5w4vjd8spzzysyc, 3ylgelxr6ssp42hidfnchqp2i, 7rtrg77m3xozgfhu3p2ihfey2, 9yiz575rldkwu7icgqwk1qmdx, 1k9g7x8jwhzcpx8bc5ji7og0k, 9s85lkd1qi525r4horgbtostl, 1hbucfyn2l3bxcw5r4zcb1dlg, 6uvp2evoo07gv5rc5ht2l012i",5171899621,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713194993,1,34,16,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2024-08-25T11:03:11.340Z,2024-08-25T12:00:11Z,,,,,5171906117,59,"1, 5, 2, 14, 3, 4, 33, 20, 23, 8, 10, 7, 19, 24, 30, 36, 41, 9",5171906121,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5172061939,194,b2492j7qzdo7g3ysxz6gq4g5x,5172061941,197,21755,5171906115,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5171906119,130,9,5171906123,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5171906113,30,"b2492j7qzdo7g3ysxz6gq4g5x, 55u45p7vwom7civ3xy3hdf71m, 2513579m13glsous1p82fbjzd, 5r1v2w303bvj0vv1893qr5d5h, 9zhmwx3g0m6xi2oh57g4z35nu, 4qo7eu3xwhkpssbuyk4n70fe1, cuufy3ioo1kio56er2cfn0mqc, 6wrch4yhbs6utcc0doguj90q, n2annzbap7hll02zo2v0ccgk, avtms6bcr8i7qdacuv225evo5, bb8q9cgqzw9n2tmkl8s3bth0q, 242y4x99xvpu9zvln5vxoepjp, 7h39w16zvj1lbfb0rqr7kvt1x, 9pv2ame21kaydllf78eo1nqc4, d8nahz092xxj6muqc24hocp3o, 89xit2bryc0g4yhqina7akjkk, lmrff8mviimc33yyrpjzr2tw, 6f6x6f9iybgp9pmkqati2otn8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713226069,2,32,1,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2024-08-25T12:00:47.682Z,2024-08-25T12:00:48Z,,,,,5172063395,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713226061,2,32,1,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2024-08-25T12:00:47.682Z,2024-08-25T14:41:25Z,,,,,5172063353,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713226093,3,1,1,0,0,c165yjiny1qnmfdvefxvflnkc,1,50.2,50.1,2024-08-25T12:00:47.683Z,2024-08-25T12:00:50Z,2anc9ug5nr25khmtcc4id2pxx,H. Barry,,,5172063471,213,2.82,5172063469,212,17.2,5172063473,279,S,5172063467,141,58.1,5172063463,56,Back,5172063465,140,34.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713226141,4,1,1,0,2,c165yjiny1qnmfdvefxvflnkc,1,34.7,58.1,2024-08-25T12:00:50.405Z,2024-08-25T12:00:54Z,7hukebiijqntuvetwzralzuju,O. Provstgaard,,,5172063729,213,4.96,5172063721,56,Back,5172063723,140,43.5,5172063725,141,5.3,5172063731,1,,5172063727,212,37.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713226181,5,1,1,0,6,c165yjiny1qnmfdvefxvflnkc,1,43.8,5.6,2024-08-25T12:00:54.660Z,2024-08-25T12:48:44Z,6ylzm57bvpufg3cenadtv7qhh,D. van Bruggen,,,5172063907,140,38.7,5172063911,212,21.2,5172063905,56,Back,5172063909,141,35.8,5172063913,213,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713226193,6,1,1,0,10,c165yjiny1qnmfdvefxvflnkc,1,38.1,40.0,2024-08-25T12:00:58.324Z,2024-08-25T12:48:52Z,1ykl08k2c2kwxukw0gvslf6qd,S. Velkov,,,5172063963,141,69.1,5172063959,56,Back,5172063965,212,19.8,5172063967,213,1.58,5172063961,140,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713226225,7,1,1,0,12,c165yjiny1qnmfdvefxvflnkc,1,38.0,69.1,2024-08-25T12:00:59.908Z,2024-08-25T12:01:05Z,7hukebiijqntuvetwzralzuju,O. Provstgaard,,,5172064167,213,5.29,5172064159,140,64.4,5172064163,212,51.0,5172064157,56,Right,5172064161,141,6.2,5172064155,196,,5172064171,1,,5172064153,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713226235,8,1,1,0,17,c165yjiny1qnmfdvefxvflnkc,1,63.9,11.9,2024-08-25T12:01:05.364Z,2024-08-25T12:01:07Z,6c2isptqoy4cq5c8rlr9s1roq,M. Elvius,,,5172064231,140,68.5,5172064235,212,5.9,5172064233,141,17.0,5172064229,56,Right,5172064237,213,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
