id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/8/value,qualifier/12/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId
2808764017,1,34,16,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2025-05-02T16:06:37.989Z,2025-05-02T17:05:25Z,,,,,5694204747,130,4,5694204743,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5694204751,194,55gunqozsj8gs6oua7ee5xxhx,5694204749,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5694204745,59,"13, 2, 24, 6, 3, 4, 36, 8, 17, 10, 7, 11, 18, 20, 21, 25, 29, 34, 38, 45",5694319833,197,21751,5694204741,30,"49wkw0wkn4ta18b6657vjvglx, 7cpkykvmy8ujrahzdz7ksk2c5, 2rvx2wlfj2rxzcgye6wiw0v84, 5r1v2w303bvj0vv1893qr5d5h, chjcbjc5nv8uyiusfafts5zv9, 55gunqozsj8gs6oua7ee5xxhx, 3zc9hy5uicgp21wr6z5wyuntg, 4cubrfqgrc5ivbd6fdj3k3zf8, 3qcjzsb466tfri5yrj35wztw4, 5uqf7a0y0fd1hf2rrmgx11tuy, 7a1vtc0e7ubua2t0dwx9ufk7o, 4oxlpwcwpa44hstpm70iep0id, 2r8s61bmydlumhg62wd0y6fis, bgviotid6bht0k2452r5gehw4, 6rd6a2f1k124dzp1p904yq3h0, 5ucbttulfcdufwr751zj0zcic, ayistjficdvpd0v10681qf578, c1s6vw84nupd8c0mbj8gov5lg, 9h6c9ue598hllcri39erjitqs, apspqh3shqfwobvh35x60q5g4",5694204753,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808764977,1,34,16,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2025-05-02T16:09:43.440Z,2025-05-02T20:30:41Z,,,,,5694318609,197,4650,5694210233,194,8cox96ikk1k4c24f0y5ef45x,5694210227,59,"1, 24, 27, 14, 3, 4, 17, 6, 90, 10, 9, 30, 25, 23, 19, 18, 16, 11, 5, 15",5694210223,30,"dmxzug2enscx331w5vmdzn2s5, 3cdo7b8vwb5kzeoaxzqm6esk4, 6m5ftd7c68b2d4d2931xs5srt, o7nooyu95nab78ys541e3uuh, effgiwtme6eu08o1ninlnqqqd, 8cox96ikk1k4c24f0y5ef45x, 8domjmewnw5h6b19vef8w0afp, 6uj3c69lgu6boblkjiuhoy6eh, 9yuyz4ci6wqikd6ckjstbt2i1, ag40mk09zc8tzbkr7dnnqumay, 606hufq6dapf3qxcgilbc8tt5, 4vfbiav52mg5s9vnx53f0nhuc, cyuoj9pesenese4i3pklv7d2h, 1u9dgzqu8rgald39n13g1wy6s, 6np04cprm5wsvs4prp8ehirro, 3aoh34sqan7y34c2qa1d6xkyy, brsecgiiou4wcogoimzawyhp0, d1j2a0az2datf1l2efdzne7vu, aeoqbtq15nt9ks5cx50vallhw, 2datlbzulrzdgpyxv3fkzn0et",5694210235,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5694210231,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5694210225,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5694210229,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808786373,2,32,1,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2025-05-02T17:01:19.098Z,2025-05-02T20:04:47Z,,,,,5694324905,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808786371,2,32,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2025-05-02T17:01:19.098Z,2025-05-02T17:01:19Z,,,,,5694324901,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808786437,3,1,1,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,50.0,50.0,2025-05-02T17:01:19.099Z,2025-05-02T17:01:25Z,8domjmewnw5h6b19vef8w0afp,M. Greve,,,5694325223,140,25.5,5694325227,212,27.3,5694325229,213,3.48,5694325221,56,Back,5694325225,141,36.6,5694325231,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808786467,4,1,1,0,8,9w3sjm5ml4sjr2v81oxzdrt8v,1,26.5,44.8,2025-05-02T17:01:27.370Z,2025-05-02T17:01:28Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,,5694325335,141,72.9,5694325331,56,Back,5694325333,140,29.8,5694325337,212,19.4,5694325339,213,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808786485,5,1,1,0,9,9w3sjm5ml4sjr2v81oxzdrt8v,0,31.7,72.7,2025-05-02T17:01:28.463Z,2025-05-02T17:01:31Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,,5694325407,141,96.5,5694325403,56,Left,5694325485,1,,5694325411,213,0.22,5694325405,140,100.0,5694325401,155,,5694325409,212,74.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808786717,3,5,1,0,12,77tfx9me4aaqhzv78bmgsy9bg,1,-0.8,5.2,2025-05-02T17:01:31.572Z,2025-05-02T17:06:02Z,7cpkykvmy8ujrahzdz7ksk2c5,P. Ankersen,,,5694326459,56,Back,5694326461,346,,5694326639,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808786755,6,5,1,0,12,9w3sjm5ml4sjr2v81oxzdrt8v,0,100.8,94.8,2025-05-02T17:01:31.572Z,2025-05-02T17:06:02Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,,5694326647,233,3,5694326633,56,Left,5694326635,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2808786741,4,1,1,0,36,77tfx9me4aaqhzv78bmgsy9bg,0,4.3,48.8,2025-05-02T17:01:55.499Z,2025-05-02T17:01:57Z,49wkw0wkn4ta18b6657vjvglx,A. Hansen,,,5694326575,1,,5694326571,212,62.1,5694326567,140,63.4,5694326569,141,51.3,5694326573,213,0.03,5694326577,74,,5694326565,56,Center,5694326561,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
