id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/16/value
2743531657,1,34,16,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2024-11-03T12:18:00.621Z,2024-11-03T12:58:17Z,,,,,5337838949,30,"7yim2aepctujr2m4p20a97755, fwu0bja02waqct7l682s5mfp, 8yfw9f74h0yfz51bkxxc8p39x, arhoud4vfjvmjaf2pkbm6s48a, ddl5g7raihnc9s4u3wetz8v10, a87w6l9zsbahdi4knm1347zs9, djlyi0ad4x1p0k4thn8n0axw4, 5cjx2i2perp5vr62en4cyer1m, 10esz9pvzonegry7p78n3ce09, elhmf9cc26ec5p1wnwonuxf4l, drlp4xtkta08jiu0px6m4ocq2, 41ii5y9ebz5e3xhaif9kc8qmt, c3sp1x0shf2b24rl5ike6v0iy, 8mcb1hiuk9rzf48cx3vj5i3th, bwfg9frq2ecbzg7wlzqjtnv2s, e73sexp7kse0wlykdi7xcbg2c, 78kzajya12k4sm0ebfl37d6ok, e64kcio0848bpw39eedbjyd5g, 8mn8apr6n7t7s6lx4d4vvdnca, 4fhpb0b8muboggvquj2pvsiqx",5337838959,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5337838951,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5338031549,197,4600,5337838953,59,"16, 43, 6, 5, 4, 22, 11, 17, 25, 18, 24, 1, 3, 15, 19, 20, 21, 41, 55, 73",5337838957,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5337979447,194,a87w6l9zsbahdi4knm1347zs9,5337838955,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743534221,1,34,16,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2024-11-03T12:21:15.171Z,2024-11-03T13:16:09Z,,,,,5337972651,194,bnar4f48vnx4oaz2lzch48es5,5337851955,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5337851957,59,"1, 2, 37, 4, 32, 30, 22, 10, 17, 36, 28, 5, 6, 11, 16, 18, 31, 35, 46",5337851961,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5337851963,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5337851953,30,"4ilnnpfgjfz35lni9ppzd93v9, hsobzlp177f9755mpsi7szmy, 1gr0k94d0nh7msa32f6728aok, bnar4f48vnx4oaz2lzch48es5, 506kxojakimt5s0v2c4q6b33e, 56sjqxlsf5iitgww0hogez8ph, 94didhw8o1blxonn4amoahcr9, etz3rjq7chhaomst5u28nnff9, 91suopiz6irxqevhzv8lx76ne, 7z1pv1wezn5rydamnknklv2ay, 53nd6a4o02ebb0w2s12prijje, bmkq3hz1z7lsji7wgr3j8978p, aa0888u38mjc1euhofseazb2t, 9auqrrixu34cgkpe8trlkaoh6, 3hi7nroqhsvj8elv8nd9a8ted, cft1n7qn5juaedelpvqwo2f3d, 6anvl82jyio52wo87cbxdp4np, 2xp7fbcl6a4nua9jpm7b4k1sk, 64ux2tbb35i36qf6oij2263qi",5338039473,197,5111,5337851959,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743570817,2,32,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2024-11-03T13:00:20.441Z,2024-11-03T13:00:20Z,,,,,5338048137,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743570821,2,32,1,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2024-11-03T13:00:20.441Z,2024-11-03T16:32:50Z,,,,,5338048161,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743570877,3,1,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,49.6,50.4,2024-11-03T13:00:20.442Z,2024-11-03T13:00:25Z,etz3rjq7chhaomst5u28nnff9,D. Wass,,,5338048467,279,S,5338048457,56,Back,5338048461,141,44.3,5338048459,140,23.3,5338048463,212,27.9,5338048465,213,3.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743570953,4,1,1,0,5,9qsmopgutr7ut5g6workk8w4i,0,27.2,46.1,2024-11-03T13:00:25.673Z,2024-11-03T13:00:29Z,4ilnnpfgjfz35lni9ppzd93v9,P. Pentz,,,5338048821,1,,5338048815,212,47.7,5338048807,140,72.3,5338048799,157,,5338048811,141,37.3,5338048803,56,Center,5338048819,213,6.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743571053,3,1,1,0,6,59as3grjvj19voay31j3yfgni,1,25.9,58.2,2024-11-03T13:00:27.137Z,2024-11-03T16:33:16Z,ddl5g7raihnc9s4u3wetz8v10,O. Diao,,,5338049241,3,,5338049251,213,2.95,5338049243,56,Back,5338049249,212,9.2,5338049245,140,17.3,5338049247,141,60.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743571061,4,44,1,0,10,59as3grjvj19voay31j3yfgni,1,24.9,65.2,2024-11-03T13:00:31.158Z,2024-11-03T13:53:44Z,a87w6l9zsbahdi4knm1347zs9,M. Bech,,,5338049347,233,5,5338049303,285,,5338049301,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743570977,5,44,1,0,10,9qsmopgutr7ut5g6workk8w4i,0,75.1,34.8,2024-11-03T13:00:31.159Z,2024-11-03T13:53:45Z,91suopiz6irxqevhzv8lx76ne,M. Rajović,,,5338048939,56,Center,5338049359,233,4,5338048941,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743571123,5,61,1,0,10,59as3grjvj19voay31j3yfgni,1,17.3,60.8,2024-11-03T13:00:31.402Z,2024-11-03T16:33:44Z,a87w6l9zsbahdi4knm1347zs9,M. Bech,,,5338049549,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
