id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2709217121,1,34,16,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2024-08-16T16:00:09.257Z,2024-08-16T17:05:32Z,,,,,5150016541,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5150016539,130,13,5150016535,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5150016537,59,"32, 24, 20, 3, 12, 23, 14, 13, 26, 21, 17, 1, 4, 7, 9, 15, 19, 22, 27, 30",5150016533,30,"15fo180vixn0lb65fujttit3p, 4bstdc3zla1sn85ev3bcmw1lg, 2sgey1g99rmupumezjo9rkxcl, 5kghds186740jygx97bihh6mt, 6ul2nma4j0a7e2li6wyyrpal1, c36ffo382u9flu5foebt4di39, 6d0lxiep13vdv32bdb0xwyrys, d854rlweyk5wq6d2veyviukq2, deyq3zqd0vwc821ngqldxqor9, bpw4cd5vmghjhelb3uxupmqjt, 9pnirb3qt48zeui3su8cvu1ka, cl3w811fge6189cbclaslb26t, 2wwpfsducpmryacr17y8k70iy, 6v4ykv7aw86ql22oksh682kus, 39f0bq9uk4etkf75uzu6qyrmy, 58o5ram4bf58357786j9jr7kk, 6zhj070huc77sl5o5bx6ey5g4, 79b0b6eqck5vn4b3fawxsaok, 6miatayfy07pf4og7qc7c7pqs, 5733iw16239m83syv5dm8huj9",5150016543,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5150095239,194,deyq3zqd0vwc821ngqldxqor9,5150094333,197,6291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709217561,1,34,16,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2024-08-16T16:03:28.649Z,2024-08-16T17:03:11Z,,,,,5150019013,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5150019005,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5150019007,59,"16, 13, 15, 5, 4, 73, 9, 21, 14, 7, 58, 1, 2, 3, 6, 17, 22, 24, 41, 45",5150019009,130,2,5150094327,197,24437,5150019011,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5150019003,30,"7yim2aepctujr2m4p20a97755, bidudbkachfl6126lhlr254wk, 8mcb1hiuk9rzf48cx3vj5i3th, arhoud4vfjvmjaf2pkbm6s48a, ddl5g7raihnc9s4u3wetz8v10, 4fhpb0b8muboggvquj2pvsiqx, e6p5i2ujvk0t9mo0h2gvrlka1, 78kzajya12k4sm0ebfl37d6ok, bcscjb9jdgu4ims9n3vwuj5k9, 1sdsqfn743j5tqem8ra7sppn8, 4zrsiizdbzwwkmit3ta0f0dbe, 41ii5y9ebz5e3xhaif9kc8qmt, 2mawaijd9czgtd5jh9myk434l, c3sp1x0shf2b24rl5ike6v0iy, 8yfw9f74h0yfz51bkxxc8p39x, 5cjx2i2perp5vr62en4cyer1m, a87w6l9zsbahdi4knm1347zs9, drlp4xtkta08jiu0px6m4ocq2, e64kcio0848bpw39eedbjyd5g, 3xp5g6ooahnnxyqpldskaytp1",5150094683,194,arhoud4vfjvmjaf2pkbm6s48a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231321,2,32,1,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2024-08-16T17:01:19.812Z,2024-08-16T17:01:19Z,,,,,5150097015,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231325,2,32,1,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2024-08-16T17:01:19.812Z,2024-08-16T17:01:21Z,,,,,5150097021,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231355,3,1,1,0,0,59as3grjvj19voay31j3yfgni,1,50.1,50.0,2024-08-16T17:01:19.813Z,2024-08-16T17:49:19Z,arhoud4vfjvmjaf2pkbm6s48a,E. Martínez,,,5150097159,212,28.5,5150097157,141,41.9,5150097155,140,23.5,5150097163,279,S,5150097153,56,Back,5150097161,213,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231375,4,1,1,0,4,59as3grjvj19voay31j3yfgni,0,26.9,41.5,2024-08-16T17:01:24.557Z,2024-08-16T17:49:21Z,8mcb1hiuk9rzf48cx3vj5i3th,C. Sørensen,,,5150097261,212,47.0,5150097253,157,,5150097265,1,,5150097255,56,Center,5150097257,140,71.4,5150097263,213,6.17,5150097259,141,33.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231379,3,1,1,0,7,anga7587r1zv4ey71ge9zxol3,0,26.9,78.0,2024-08-16T17:01:27.605Z,2024-08-16T17:01:28Z,5kghds186740jygx97bihh6mt,B. Hämäläinen,,,5150097303,1,,5150097301,213,0.81,5150097293,56,Back,5150097295,140,33.7,5150097297,141,89.0,5150097299,212,10.3,5150097291,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231387,5,1,1,0,9,59as3grjvj19voay31j3yfgni,0,62.1,7.7,2024-08-16T17:01:29.678Z,2024-08-16T17:01:30Z,e6p5i2ujvk0t9mo0h2gvrlka1,O. Brynhildsen,,,5150097351,56,Right,5150097359,213,5.92,5150097357,212,12,5150097355,141,1.5,5150097353,140,72.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231401,4,1,1,0,11,anga7587r1zv4ey71ge9zxol3,0,26.8,94.4,2024-08-16T17:01:30.836Z,2024-08-16T17:01:33Z,2sgey1g99rmupumezjo9rkxcl,K. Finnsson,,,5150097429,212,11.4,5150097427,141,89.1,5150097425,140,37.1,5150097423,56,Back,5150097431,213,5.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709231407,6,3,1,0,13,59as3grjvj19voay31j3yfgni,0,52.0,8.0,2024-08-16T17:01:33.661Z,2024-08-16T17:01:39Z,78kzajya12k4sm0ebfl37d6ok,D. Castillo,,,5150097463,286,,5150097551,233,5,5150097461,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
