id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2722749545,1,34,16,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-09-20T16:14:11.468Z,2024-09-20T16:56:17Z,,,,,5224360077,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5224360071,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5224360073,59,"16, 18, 24, 13, 55, 4, 12, 28, 11, 7, 10, 1, 2, 6, 8, 14, 17, 19, 23, 37",5224360079,197,19904,5224360081,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5224443763,194,5f3wfx327z9hef9k9l37c90wl,5224360075,130,4,5224360069,30,"dk9nlp77b6q38p751f8w3o8np, bitixkzgt5p65rlo2bnllcf6x, 4n3t1p3zn5yzjv4w0clo3xvjd, 5f3wfx327z9hef9k9l37c90wl, bp2ellllifbtxgf0p8qlbm1nt, auk14ut8cwaqop549u2zmfgt1, vrzye4jqrafujmjw3wakjpxw, 3bvc29bootgmo9tsapvygvnu2, akxcr1xe62dyl5jmh3ataq13o, 195o7hchielt14ic49r3k06sq, 73lwz4he5erpp25zi8crjvztg, 9lgnm175tw163z53b8bmiu5pm, 9qskwuil30g48xr3ax5p9j6j9, wnin2353js3p5rh4d7e2ymwa, 7w7ufa4v85hmj1qxnmqc4zgiy, 5m27f84vvraap8bmfujt1qiok, 6d8194j12jdzgqk5uwcemecr8, 9o10vhew3jar8tqnkabw0qoyx, acp1ba2irpv5wfmxke7ucmaga, b6q0tf252xvikt39g8jevju38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722750789,1,34,16,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2024-09-20T16:18:58.178Z,2024-09-20T17:01:57Z,,,,,5224367069,30,"49wkw0wkn4ta18b6657vjvglx, 7cpkykvmy8ujrahzdz7ksk2c5, c9e54hwefvwos94ri459uylbe, 5r1v2w303bvj0vv1893qr5d5h, ddsv1cx4vopu1xis5xwkx2qz8, etfoa7t308eq1xdmo9m2gfcgl, 5uqf7a0y0fd1hf2rrmgx11tuy, 6rd6a2f1k124dzp1p904yq3h0, 4rgz5z372h6sbwhpxl69cb6c5, 7a1vtc0e7ubua2t0dwx9ufk7o, 76k8ic97o66kaq2e52bmp27ai, 4cubrfqgrc5ivbd6fdj3k3zf8, 3qcjzsb466tfri5yrj35wztw4, 2r8s61bmydlumhg62wd0y6fis, bgviotid6bht0k2452r5gehw4, 2rvx2wlfj2rxzcgye6wiw0v84, e07zv7ag985v8lq9sebfi27l5, 3zc9hy5uicgp21wr6z5wyuntg, 9h6c9ue598hllcri39erjitqs, apspqh3shqfwobvh35x60q5g4",5224367075,130,4,5224454435,194,etfoa7t308eq1xdmo9m2gfcgl,5224367079,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5224454437,197,21751,5224367073,59,"13, 2, 5, 16, 19, 6, 10, 21, 7, 14, 11, 8, 17, 18, 20, 24, 32, 36, 38, 45",5224367071,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5224367077,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768085,2,32,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2024-09-20T17:02:24.172Z,2024-09-20T17:02:26Z,,,,,5224455689,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768079,2,32,1,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-09-20T17:02:24.172Z,2024-09-20T17:02:24Z,,,,,5224455661,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768093,3,1,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,50.2,50.1,2024-09-20T17:02:24.198Z,2024-09-20T19:13:26Z,4rgz5z372h6sbwhpxl69cb6c5,M. Ingvartsen,,,5224455731,56,Back,5224455741,279,S,5224455737,212,2.1,5224455733,140,49.9,5224455739,213,4.56,5224455735,141,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768125,4,1,1,0,2,77tfx9me4aaqhzv78bmgsy9bg,1,53.2,31.2,2024-09-20T17:02:26.789Z,2024-09-20T17:02:27Z,5uqf7a0y0fd1hf2rrmgx11tuy,B. Nygren,,,5224455877,141,6.2,5224455881,213,4.60,5224455873,56,Right,5224455875,140,51.3,5224455879,212,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768149,5,1,1,0,3,77tfx9me4aaqhzv78bmgsy9bg,1,51.3,6.2,2024-09-20T17:02:27.573Z,2024-09-20T17:02:30Z,7cpkykvmy8ujrahzdz7ksk2c5,P. Ankersen,,,5224455995,56,Back,5224456003,213,2.35,5224456001,212,24.5,5224455999,141,31.8,5224455997,140,34.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768163,6,1,1,0,6,77tfx9me4aaqhzv78bmgsy9bg,1,36.3,35.5,2024-09-20T17:02:30.229Z,2024-09-20T17:02:32Z,ddsv1cx4vopu1xis5xwkx2qz8,L. Hey,,,5224456085,141,56.7,5224456089,213,1.07,5224456083,140,43.9,5224456087,212,16.5,5224456081,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768181,7,1,1,0,8,77tfx9me4aaqhzv78bmgsy9bg,1,43.9,56.9,2024-09-20T17:02:32.501Z,2024-09-20T17:02:33Z,6rd6a2f1k124dzp1p904yq3h0,Z. Sertdemir,,,5224456135,140,31.3,5224456139,212,14.9,5224456141,213,2.66,5224456137,141,67.0,5224456133,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768199,8,1,1,0,9,77tfx9me4aaqhzv78bmgsy9bg,1,31.3,67.0,2024-09-20T17:02:33.829Z,2024-09-20T17:02:35Z,etfoa7t308eq1xdmo9m2gfcgl,J. Tverskov,,,5224456259,140,20.3,5224456263,212,15.9,5224456261,141,50.9,5224456265,213,3.90,5224456257,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768223,9,1,1,0,11,77tfx9me4aaqhzv78bmgsy9bg,1,20.3,50.9,2024-09-20T17:02:35.540Z,2024-09-20T17:02:38Z,49wkw0wkn4ta18b6657vjvglx,A. Hansen,,,5224456381,56,Back,5224456387,212,9.9,5224456383,140,29.7,5224456389,213,0.11,5224456385,141,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768239,10,1,1,0,13,77tfx9me4aaqhzv78bmgsy9bg,1,29.9,54.3,2024-09-20T17:02:38.100Z,2024-09-20T17:02:39Z,5r1v2w303bvj0vv1893qr5d5h,M. Brink,,,5224456479,212,13.4,5224456471,140,22.9,5224456475,141,70.8,5224456483,213,2.15,5224456467,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768263,11,1,1,0,15,77tfx9me4aaqhzv78bmgsy9bg,1,22.9,70.8,2024-09-20T17:02:39.716Z,2024-09-20T17:02:42Z,etfoa7t308eq1xdmo9m2gfcgl,J. Tverskov,,,5224456643,141,51.3,5224456641,140,9.5,5224456647,213,3.90,5224456639,56,Back,5224456645,212,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768289,12,1,1,0,18,77tfx9me4aaqhzv78bmgsy9bg,1,10.0,52.5,2024-09-20T17:02:42.628Z,2024-09-20T17:02:46Z,49wkw0wkn4ta18b6657vjvglx,A. Hansen,,,5224456793,1,,5224456777,155,,5224456791,213,1.02,5224456785,141,98.1,5224456779,56,Back,5224456781,140,28.0,5224456789,212,36.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768297,13,1,1,0,21,77tfx9me4aaqhzv78bmgsy9bg,0,28.0,98.1,2024-09-20T17:02:46.084Z,2024-09-20T17:02:46Z,c9e54hwefvwos94ri459uylbe,D. Svensson,,,5224456823,141,98.6,5224456817,3,,5224456827,213,0.04,5224456821,140,35.3,5224456819,56,Back,5224456825,212,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722768307,3,1,1,0,22,cftj6g399tknheudaxsdpfdgb,0,63.8,2.9,2024-09-20T17:02:46.773Z,2024-09-20T17:02:47Z,vrzye4jqrafujmjw3wakjpxw,T. Jørgensen,,,5224456869,140,72.4,5224456865,3,,5224456875,213,6.23,5224456873,212,9.0,5224456867,56,Right,5224456871,141,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
