id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/13/value
2777127567,1,34,16,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-02-16T12:27:56.127Z,2025-02-16T17:56:46Z,,,,,5520424351,194,b2492j7qzdo7g3ysxz6gq4g5x,5520309835,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5520309827,30,"b2492j7qzdo7g3ysxz6gq4g5x, 7h39w16zvj1lbfb0rqr7kvt1x, 2513579m13glsous1p82fbjzd, bplpqy3ierwlm12d1f3prue7e, 7zaveckhldl5rieo5ddsqtt2i, ew91bx066dre4xck30vmz10yc, cuufy3ioo1kio56er2cfn0mqc, 6wrch4yhbs6utcc0doguj90q, n2annzbap7hll02zo2v0ccgk, 349g9rdismqpb1aarjp011bd, bb8q9cgqzw9n2tmkl8s3bth0q, 9zhmwx3g0m6xi2oh57g4z35nu, 242y4x99xvpu9zvln5vxoepjp, avtms6bcr8i7qdacuv225evo5, 6f6x6f9iybgp9pmkqati2otn8, lioz4hr2umpne2bwar18qa96, d8nahz092xxj6muqc24hocp3o, 89xit2bryc0g4yhqina7akjkk, lmrff8mviimc33yyrpjzr2tw, 8ngloyr6r0m71p8kgpfe69bvu",5520309833,130,9,5520424353,197,6293,5520309831,59,"1, 19, 2, 6, 25, 40, 33, 20, 23, 17, 10, 3, 7, 8, 9, 21, 30, 36, 41, 14",5520309829,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5520309837,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,
2777127943,1,34,16,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2025-02-16T12:28:40.929Z,2025-02-16T13:05:18Z,,,,,5520311757,130,4,5520311761,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5520311751,30,"53y263xxfdf1itytiqhg3v6c5, 6lap0wrnichfxxqm5kgtoflec, 6xjbcik3a56d0vqy4vrq5eokp, 7uia9zlz3axnuc6usdn9u4kfe, 1ykl08k2c2kwxukw0gvslf6qd, 6ylzm57bvpufg3cenadtv7qhh, 22zuxw8lez5w4vjd8spzzysyc, 1xjhud4hyekcg08nue1iosmsq, babnrlnt04mal0268p9dxas8a, 1hbucfyn2l3bxcw5r4zcb1dlg, 3ylgelxr6ssp42hidfnchqp2i, 1yqlkot5sh85ot3eemo67djv9, f1jk2tqumutelh2ym21v5beuh, 7rtrg77m3xozgfhu3p2ihfey2, 94hei5v2f93ga4b0iwxxisbu1, 9yiz575rldkwu7icgqwk1qmdx, ajk0mbprro09pccglih9y740k, 1k9g7x8jwhzcpx8bc5ji7og0k, 6c2isptqoy4cq5c8rlr9s1roq, 6kdy9i4p9fgyn45d9avb66cd0",5520424241,194,1xjhud4hyekcg08nue1iosmsq,5520311755,59,"1, 23, 38, 34, 13, 14, 8, 2, 45, 37, 10, 7, 9, 11, 17, 18, 22, 24, 59, 26",5520424243,197,25261,5520311753,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5520311759,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,
2777151831,2,32,1,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2025-02-16T13:01:03.411Z,2025-02-16T16:44:17Z,,,,,5520431937,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777151843,3,32,1,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2025-02-16T13:01:03.411Z,2025-02-16T13:01:05Z,,,,,5520431975,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777151853,4,1,1,0,0,c165yjiny1qnmfdvefxvflnkc,1,49.9,50.0,2025-02-16T13:01:03.587Z,2025-02-16T13:01:07Z,22zuxw8lez5w4vjd8spzzysyc,T. Lauritsen,,,5520432021,140,25.6,5520432027,213,2.91,5520432019,56,Back,5520432023,141,59.0,5520432029,279,S,5520432025,212,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777151929,5,1,1,0,4,c165yjiny1qnmfdvefxvflnkc,0,28.3,57.6,2025-02-16T13:01:07.650Z,2025-02-16T13:48:05Z,6ylzm57bvpufg3cenadtv7qhh,D. van Bruggen,,,5520432395,212,47.3,5520432389,56,Center,5520432399,1,,5520432393,141,22.9,5520432387,157,,5520432391,140,67.3,5520432397,213,5.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777151933,3,1,1,0,7,ahnt9ejgwj58ul8auzdvi3czf,0,31.8,73.6,2025-02-16T13:01:10.478Z,2025-02-16T13:01:11Z,bplpqy3ierwlm12d1f3prue7e,P. Mattsson,,,5520432417,140,45.8,5520432421,212,15.1,5520432415,56,Back,5520432423,213,0.22,5520432413,3,,5520432419,141,78.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777151991,6,1,1,0,9,c165yjiny1qnmfdvefxvflnkc,1,54.5,18.2,2025-02-16T13:01:12.644Z,2025-02-16T13:01:15Z,6lap0wrnichfxxqm5kgtoflec,L. Flø,,,5520432675,213,0.36,5520432659,155,,5520432673,212,14.8,5520432671,141,25.9,5520432663,56,Center,5520432667,140,67.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777152003,7,1,1,0,11,c165yjiny1qnmfdvefxvflnkc,1,68.4,26.4,2025-02-16T13:01:15.330Z,2025-02-16T13:49:47Z,babnrlnt04mal0268p9dxas8a,G. Onugkha,,,5520432729,140,72.8,5520432727,56,Right,5520432731,141,19.7,5520432733,212,6.5,5520432735,213,5.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777197013,367,1,1,0,12,c165yjiny1qnmfdvefxvflnkc,1,71.8,19.6,2025-02-16T13:01:15.411Z,2025-02-16T13:49:26Z,1hbucfyn2l3bxcw5r4zcb1dlg,C. Gammelgaard,,,5520670851,140,70.0,5520670855,212,6.5,5520670849,56,Center,5520670859,213,1.86,5520670853,141,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
