id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/14/value,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/17/value
2721511171,1,34,16,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2024-09-16T15:53:32.201Z,2024-09-16T17:08:38Z,,,,,5217464153,197,23959,5217464155,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5217464149,130,9,5217464143,30,"dmxzug2enscx331w5vmdzn2s5, 6m5ftd7c68b2d4d2931xs5srt, 60z63hezwwosjnhvamcwxtre1, 2mawaijd9czgtd5jh9myk434l, 1t67kvg37jg2elz9voix5kcet, effgiwtme6eu08o1ninlnqqqd, 6uj3c69lgu6boblkjiuhoy6eh, 8domjmewnw5h6b19vef8w0afp, 54ipja7wrxji6kn8yw5uhr6ga, 6w9yjs87tue7noq71ftksxez8, 606hufq6dapf3qxcgilbc8tt5, 1329qhvvxpp6j4q5esh4n3hii, ag40mk09zc8tzbkr7dnnqumay, 2datlbzulrzdgpyxv3fkzn0et, bz76p441ynj57eytvsz9kmtck, 1u9dgzqu8rgald39n13g1wy6s, 3cdo7b8vwb5kzeoaxzqm6esk4, cyuoj9pesenese4i3pklv7d2h, 4vfbiav52mg5s9vnx53f0nhuc, 9yuyz4ci6wqikd6ckjstbt2i1",5217557553,194,effgiwtme6eu08o1ninlnqqqd,5217464147,59,"1, 27, 44, 28, 5, 3, 6, 17, 26, 19, 9, 7, 10, 15, 20, 23, 24, 25, 30, 90",5217464145,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5217464151,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2721511847,1,34,16,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2024-09-16T15:58:19.197Z,2024-09-16T17:00:56Z,,,,,5217468539,194,55gunqozsj8gs6oua7ee5xxhx,5217468541,197,4597,5217468531,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5217468537,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5217468535,130,4,5217468543,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5217468529,30,"49wkw0wkn4ta18b6657vjvglx, 7cpkykvmy8ujrahzdz7ksk2c5, c9e54hwefvwos94ri459uylbe, etfoa7t308eq1xdmo9m2gfcgl, 55gunqozsj8gs6oua7ee5xxhx, ddsv1cx4vopu1xis5xwkx2qz8, 5r1v2w303bvj0vv1893qr5d5h, 4cubrfqgrc5ivbd6fdj3k3zf8, 4rgz5z372h6sbwhpxl69cb6c5, 7a1vtc0e7ubua2t0dwx9ufk7o, 5uqf7a0y0fd1hf2rrmgx11tuy, 76k8ic97o66kaq2e52bmp27ai, 179f3j88wnmze82aicikkez9, 3qcjzsb466tfri5yrj35wztw4, 2r8s61bmydlumhg62wd0y6fis, bgviotid6bht0k2452r5gehw4, 6rd6a2f1k124dzp1p904yq3h0, 2rvx2wlfj2rxzcgye6wiw0v84, e07zv7ag985v8lq9sebfi27l5, 9h6c9ue598hllcri39erjitqs",5217468533,59,"13, 2, 5, 6, 4, 19, 16, 8, 7, 14, 10, 11, 15, 17, 18, 20, 21, 24, 32, 38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2721526693,2,32,1,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2024-09-16T17:00:07.604Z,2024-09-16T17:00:09Z,,,,,5217557619,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2721526689,2,32,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2024-09-16T17:00:07.604Z,2024-09-16T19:48:09Z,,,,,5217557617,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2721526701,3,1,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,50.2,50.1,2024-09-16T17:00:07.605Z,2024-09-16T18:00:44Z,4rgz5z372h6sbwhpxl69cb6c5,M. Ingvartsen,,,5217557661,212,9.1,5217557665,279,S,5217557663,213,2.98,5217557655,56,Back,5217557659,141,52.2,5217557657,140,41.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2721526723,4,1,1,0,2,77tfx9me4aaqhzv78bmgsy9bg,1,42.5,53.3,2024-09-16T17:00:09.891Z,2024-09-16T17:00:12Z,etfoa7t308eq1xdmo9m2gfcgl,J. Tverskov,,,5217557785,141,69.5,5217557789,213,1.92,5217557787,212,11.7,5217557781,56,Back,5217557783,140,38.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2721526733,5,1,1,0,5,77tfx9me4aaqhzv78bmgsy9bg,1,38.9,66.6,2024-09-16T17:00:12.659Z,2024-09-16T17:00:14Z,4cubrfqgrc5ivbd6fdj3k3zf8,M. Dorgeles,,,5217557831,140,43.0,5217557833,141,61.8,5217557829,56,Back,5217557837,213,5.63,5217557835,212,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2721526749,6,1,1,0,6,77tfx9me4aaqhzv78bmgsy9bg,1,43.0,62.4,2024-09-16T17:00:14.403Z,2024-09-16T17:00:19Z,etfoa7t308eq1xdmo9m2gfcgl,J. Tverskov,,,5217557929,140,35.6,5217557933,212,28.0,5217557927,56,Back,5217557931,141,22.9,5217557935,213,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2721526755,7,1,1,0,12,77tfx9me4aaqhzv78bmgsy9bg,1,32.4,9.4,2024-09-16T17:00:19.652Z,2024-09-16T17:00:22Z,55gunqozsj8gs6oua7ee5xxhx,K. Hansen,,,5217557979,212,21.3,5217557977,141,31.7,5217557975,140,18.1,5217557973,56,Back,5217557981,213,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2721526763,8,1,1,0,14,77tfx9me4aaqhzv78bmgsy9bg,1,18.9,30.4,2024-09-16T17:00:22.083Z,2024-09-16T17:00:26Z,49wkw0wkn4ta18b6657vjvglx,A. Hansen,,,5217558033,141,52.1,5217558029,56,Back,5217558037,213,1.22,5217558035,212,15.7,5217558031,140,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
