id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/11/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/15/value,qualifier/13/value
2800795625,1,34,16,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2025-04-13T15:14:19.827Z,2025-04-13T16:50:17Z,,,,,5650303893,197,4650,5650303891,194,8cox96ikk1k4c24f0y5ef45x,5650073135,59,"1, 24, 27, 17, 3, 4, 10, 14, 7, 16, 9, 5, 11, 18, 19, 25, 26, 28, 30, 44",5650073141,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5650073143,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5650073131,30,"dmxzug2enscx331w5vmdzn2s5, 3cdo7b8vwb5kzeoaxzqm6esk4, 6m5ftd7c68b2d4d2931xs5srt, 8domjmewnw5h6b19vef8w0afp, effgiwtme6eu08o1ninlnqqqd, 8cox96ikk1k4c24f0y5ef45x, ag40mk09zc8tzbkr7dnnqumay, o7nooyu95nab78ys541e3uuh, 1329qhvvxpp6j4q5esh4n3hii, brsecgiiou4wcogoimzawyhp0, 606hufq6dapf3qxcgilbc8tt5, aeoqbtq15nt9ks5cx50vallhw, d1j2a0az2datf1l2efdzne7vu, 3aoh34sqan7y34c2qa1d6xkyy, 6np04cprm5wsvs4prp8ehirro, cyuoj9pesenese4i3pklv7d2h, 54ipja7wrxji6kn8yw5uhr6ga, 2mawaijd9czgtd5jh9myk434l, 4vfbiav52mg5s9vnx53f0nhuc, 60z63hezwwosjnhvamcwxtre1",5650073133,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5650073137,130,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800796629,1,34,16,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2025-04-13T15:15:17.643Z,2025-04-13T16:09:50Z,,,,,5650078229,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5650078227,130,4,5650078223,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5650078221,30,"49wkw0wkn4ta18b6657vjvglx, 7cpkykvmy8ujrahzdz7ksk2c5, 5ucbttulfcdufwr751zj0zcic, 5r1v2w303bvj0vv1893qr5d5h, chjcbjc5nv8uyiusfafts5zv9, 2rvx2wlfj2rxzcgye6wiw0v84, 3zc9hy5uicgp21wr6z5wyuntg, 6rd6a2f1k124dzp1p904yq3h0, 7a1vtc0e7ubua2t0dwx9ufk7o, 5uqf7a0y0fd1hf2rrmgx11tuy, 4cubrfqgrc5ivbd6fdj3k3zf8, 55gunqozsj8gs6oua7ee5xxhx, 4oxlpwcwpa44hstpm70iep0id, 9qebp1745dtdjh5kg5n4wfq7e, 3qcjzsb466tfri5yrj35wztw4, 2r8s61bmydlumhg62wd0y6fis, ayistjficdvpd0v10681qf578, c1s6vw84nupd8c0mbj8gov5lg, 9h6c9ue598hllcri39erjitqs, apspqh3shqfwobvh35x60q5g4",5650310855,197,4597,5650078225,59,"13, 2, 25, 6, 3, 24, 36, 21, 7, 10, 8, 4, 11, 12, 17, 18, 29, 34, 38, 45",5650078231,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5650300813,194,5uqf7a0y0fd1hf2rrmgx11tuy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800840903,2,32,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2025-04-13T16:00:17.541Z,2025-04-13T19:30:47Z,,,,,5650320617,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800840917,2,32,1,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2025-04-13T16:00:17.541Z,2025-04-13T16:00:20Z,,,,,5650320667,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800840925,3,1,1,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,50.0,50.0,2025-04-13T16:00:18.058Z,2025-04-13T16:56:40Z,8domjmewnw5h6b19vef8w0afp,M. Greve,,,5650320717,213,3.35,5650320713,141,43.1,5650320709,56,Back,5650320711,140,28.7,5650320715,212,22.9,5650320719,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800840979,4,1,1,0,3,9w3sjm5ml4sjr2v81oxzdrt8v,1,28.7,43.3,2025-04-13T16:00:20.769Z,2025-04-13T16:00:22Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,,5650321047,212,17.5,5650321041,56,Back,5650321043,140,32.2,5650321045,141,68.4,5650321049,213,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800841045,5,1,1,0,4,9w3sjm5ml4sjr2v81oxzdrt8v,1,32.2,68.5,2025-04-13T16:00:22.401Z,2025-04-13T16:00:26Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,,5650321385,56,Back,5650321391,212,10.5,5650321393,213,5.99,5650321387,140,41.8,5650321389,141,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800841069,6,1,1,0,8,9w3sjm5ml4sjr2v81oxzdrt8v,1,52.2,68.2,2025-04-13T16:00:26.385Z,2025-04-13T16:56:49Z,brsecgiiou4wcogoimzawyhp0,L. Pedersen,,,5650321519,56,Left,5650321531,213,1.07,5650321527,212,20.8,5650321523,140,61.7,5650321525,141,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800841133,7,1,1,0,10,9w3sjm5ml4sjr2v81oxzdrt8v,1,61.7,95.0,2025-04-13T16:00:28.145Z,2025-04-13T16:00:32Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5650321923,140,44.4,5650321927,212,19.2,5650321921,56,Back,5650321925,141,85.9,5650321929,213,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800841161,8,1,1,0,14,9w3sjm5ml4sjr2v81oxzdrt8v,1,41.6,82.9,2025-04-13T16:00:32.209Z,2025-04-13T16:00:34Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,,5650322065,212,16.6,5650322067,213,0.57,5650322061,140,54.9,5650322063,141,96.2,5650322059,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
