id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/14/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2711893399,1,34,16,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2024-08-23T16:03:18.066Z,2024-08-23T17:22:41Z,,,,5164894429,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5164958989,194,1arzd8hqj73byhduozscqz5uy,5164894431,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5164894423,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5164894427,130,8,5164958991,197,1731,5164894425,59,"1, 20, 3, 6, 4, 2, 17, 16, 19, 8, 11, 5, 7, 9, 10, 21, 22, 24, 27, 37",5164894421,30,"a2l4ep71txn2edtjjcgewai5m, de0dokhb6u6hts2hu5aupgiga, dq2eqqywinhsh9ijg8amqyp78, 8mkrj5bnkyhx8kutc4656cy96, 7yst1mucy7jynmpzu1thox2i, hpzxgnwobdttfgd04dykf26t, 8bi1tlz62rjwyak4pnnzgp562, 6v1kpakd3t0jhnoh1eh75ev4k, 5hw5sfiqhzg7mnghdp52f7fqi, 3q4tnk1z46lop4rbdpjtfoc2c, 1arzd8hqj73byhduozscqz5uy, bcdp9e3dezuaybm8ndrsanbx0, 4sgxth7onhb5mu29bgyupby3u, rv6r0bwbl75er38wklyfpsr9, 5lz41celw55rz3zh8pohclw5w, ejixz16616b7krftxyzv9yiac, cul6phe87idi5dn1hsfywxhwp, brinkgys7026490q3ixx6h9uc, 5vrsflxiv2dgfa8199a2qxsve, ezi8426ran0bffeyfvloc2ihg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711893731,1,34,16,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-08-23T16:05:25.957Z,2024-08-23T16:58:08Z,,,,5164896303,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5164896307,130,12,5164896309,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5164959203,197,14750,5164896301,30,"1h31bvtbae4q0edlp0u672hn9, aswmi1pnkzkvkexp8ngief6j9, 4vmgmzg2004twoc39sk7zkzqh, cgkvw4q8ddcjl0po181upzwx6, 6my7s0ezr6jldotm1w6nk7b9x, e9lrzsiy94y46h62rnawi3sgl, 61sojkdsmaz9hbwaskt4rws15, 43q9ytkbmtk5y3tgv77v7pmg9, 3sadup8mjwu4dc96wz6lmixn9, 3uytpqx0e0jr6zgbfl1znsm7e, 8og8nxbkcb63van4llvpkbe8l, bxea3tj0tpi7zmf6k5jtut889, efubck8twu1elbhlomltnjjtg, 5f4qlbohzja204gxm9tkiekq2, 5lssweodhkyifhj333v6f6r6c, em0yawcqyqwf53hbj0zlz4duc, 3gemcjqban843su9c9y5l2sk4, ca1b5707pdpx0ucug40ggnahh, 9delpquqv81o7ftrgefb0wpp0, 3l3v5wj4c7vtqqwu05b526590",5164896305,59,"1, 2, 11, 19, 5, 3, 8, 7, 9, 31, 6, 10, 18, 22, 23, 24, 26, 29, 33, 40",5164896311,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5164959201,194,3sadup8mjwu4dc96wz6lmixn9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906991,2,32,1,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2024-08-23T17:02:19.273Z,2024-08-23T17:02:19Z,,,,5164964241,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907003,2,32,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-08-23T17:02:19.273Z,2024-08-23T17:02:21Z,,,,5164964321,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907011,3,1,1,0,0,36g6ifzjliec1jqnbtf7yesme,1,50.1,50.0,2024-08-23T17:02:19.274Z,2024-08-23T17:52:37Z,3q4tnk1z46lop4rbdpjtfoc2c,M. Widell,,5164964351,56,Back,5164964355,141,60.9,5164964353,140,25.6,5164964357,212,26.8,5164964361,279,S,5164964359,213,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907039,4,1,1,0,2,36g6ifzjliec1jqnbtf7yesme,0,29.8,53.7,2024-08-23T17:02:22.160Z,2024-08-23T17:52:38Z,hpzxgnwobdttfgd04dykf26t,O. Diakhité,,5164964511,141,11.3,5164964505,56,Right,5164964507,140,62.0,5164964515,212,44.4,5164964503,157,,5164964523,1,,5164964519,213,5.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907073,3,1,1,0,6,5rz9enoyknpg8ji78za5b82p0,0,37.6,80.1,2024-08-23T17:02:25.722Z,2024-08-23T17:02:31Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Emil Madsen,,5164964665,56,Left,5164964671,212,23.2,5164964669,141,100.0,5164964673,213,0.66,5164964663,3,,5164964667,140,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907079,4,5,1,0,9,5rz9enoyknpg8ji78za5b82p0,0,57.6,101.5,2024-08-23T17:02:28.721Z,2024-08-23T17:10:09Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Emil Madsen,,5164964695,347,,5164964943,233,5,5164964693,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907115,5,5,1,0,9,36g6ifzjliec1jqnbtf7yesme,1,42.4,-1.5,2024-08-23T17:02:28.721Z,2024-08-23T17:10:09Z,7yst1mucy7jynmpzu1thox2i,L. Kramer,,5164964921,233,4,5164964903,347,,5164964901,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907159,6,1,1,0,15,36g6ifzjliec1jqnbtf7yesme,1,39.8,0.0,2024-08-23T17:02:35.008Z,2024-08-23T17:02:39Z,de0dokhb6u6hts2hu5aupgiga,K. Jørgensen,,5164965129,212,32.5,5164965131,213,2.45,5164965123,56,Back,5164965127,141,28.8,5164965125,140,16.0,5164965121,107,,5164965133,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907197,7,1,1,0,20,36g6ifzjliec1jqnbtf7yesme,1,11.0,23.7,2024-08-23T17:02:39.647Z,2024-08-23T17:02:43Z,a2l4ep71txn2edtjjcgewai5m,V. Müller,,5164965295,212,35.5,5164965291,140,44.8,5164965287,157,,5164965299,1,,5164965297,213,0.04,5164965289,56,Back,5164965293,141,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711928061,361,61,1,0,21,36g6ifzjliec1jqnbtf7yesme,1,45.8,25.5,2024-08-23T17:02:40.273Z,2024-08-23T17:53:07Z,5hw5sfiqhzg7mnghdp52f7fqi,J. Iredale,,5165075729,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907217,9,1,1,0,22,36g6ifzjliec1jqnbtf7yesme,0,34.5,34.8,2024-08-23T17:02:41.544Z,2024-08-23T17:53:25Z,8bi1tlz62rjwyak4pnnzgp562,A. Jasson,,5164965385,212,6.4,5164965381,140,38.6,5164965379,56,Back,5164965387,213,0.84,5164965383,141,41.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907199,5,8,1,0,24,5rz9enoyknpg8ji78za5b82p0,1,54.0,67.4,2024-08-23T17:02:43.329Z,2024-08-23T17:32:27Z,8og8nxbkcb63van4llvpkbe8l,N. Poulsen,,5164965313,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907211,8,43,1,0,24,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2024-08-23T17:02:43.756Z,2024-08-23T17:53:43Z,5hw5sfiqhzg7mnghdp52f7fqi,J. Iredale,,5164965343,212,8.8,5164965337,56,Back,5165076733,144,1,5164965345,213,2.79,5164965339,140,34.5,5164965341,141,34.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907231,10,61,1,0,26,36g6ifzjliec1jqnbtf7yesme,1,32.4,41.3,2024-08-23T17:02:45.600Z,2024-08-23T17:53:46Z,8mkrj5bnkyhx8kutc4656cy96,M. Jiménez,,5164965447,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907237,11,61,1,0,27,36g6ifzjliec1jqnbtf7yesme,1,35.9,33.6,2024-08-23T17:02:46.556Z,2024-08-23T17:02:46Z,8bi1tlz62rjwyak4pnnzgp562,A. Jasson,,5164965483,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907263,12,1,1,0,28,36g6ifzjliec1jqnbtf7yesme,0,36.8,16.8,2024-08-23T17:02:47.936Z,2024-08-23T17:02:50Z,6v1kpakd3t0jhnoh1eh75ev4k,K. Davidsen,,5164965637,56,Right,5164965645,213,6.20,5164965639,140,87.6,5164965641,141,10.6,5164965647,1,,5164965635,155,,5164965643,212,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907283,6,12,1,0,31,5rz9enoyknpg8ji78za5b82p0,1,14.9,90.6,2024-08-23T17:02:51.129Z,2024-08-23T17:02:53Z,cgkvw4q8ddcjl0po181upzwx6,E. Kahl,,5164965715,56,Back,5164965723,213,0.93,5164965753,167,,5164965719,141,100.0,5164965721,212,8.8,5164965717,140,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711907287,7,5,1,0,31,5rz9enoyknpg8ji78za5b82p0,0,18.6,101.4,2024-08-23T17:02:51.249Z,2024-08-23T17:10:10Z,cgkvw4q8ddcjl0po181upzwx6,E. Kahl,,5164966451,233,13,5164965731,347,,5164965729,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
