id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2705933351,1,34,16,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-08-04T11:20:51.655Z,2024-08-04T13:01:13Z,,,,,5131782479,130,4,5131851305,197,11498,5131782481,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5131782483,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5131851303,194,5f3wfx327z9hef9k9l37c90wl,5131782473,30,"9lgnm175tw163z53b8bmiu5pm, 4n3t1p3zn5yzjv4w0clo3xvjd, eq7tnnzwq0g9q4eac0o9t9xey, 5f3wfx327z9hef9k9l37c90wl, 6ja2xnbktah4mog04g3kmjgmh, bp2ellllifbtxgf0p8qlbm1nt, 3bvc29bootgmo9tsapvygvnu2, 9wgpudcet9m8doz9ezbjxzkrt, akxcr1xe62dyl5jmh3ataq13o, b6q0tf252xvikt39g8jevju38, 73lwz4he5erpp25zi8crjvztg, auk14ut8cwaqop549u2zmfgt1, 195o7hchielt14ic49r3k06sq, 5m27f84vvraap8bmfujt1qiok, dk9nlp77b6q38p751f8w3o8np, 6d8194j12jdzgqk5uwcemecr8, bitixkzgt5p65rlo2bnllcf6x, 8ngloyr6r0m71p8kgpfe69bvu, xyt0wq20toh97811t65vu4no, dhc4ni9kqr758h17hwo6pq9zo",5131782475,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5131782477,59,"1, 24, 30, 13, 5, 55, 28, 10, 11, 37, 15, 4, 7, 14, 16, 17, 18, 21, 32, 31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705933879,1,34,16,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2024-08-04T11:23:11.884Z,2024-08-04T13:03:41Z,,,,,5131785123,59,"1, 5, 2, 22, 25, 4, 20, 21, 23, 8, 10, 3, 7, 9, 16, 19, 33, 36, 41",5131785121,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5131785127,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5131853297,197,6293,5131785125,130,4,5131853295,194,b2492j7qzdo7g3ysxz6gq4g5x,5131785129,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5131785119,30,"b2492j7qzdo7g3ysxz6gq4g5x, 55u45p7vwom7civ3xy3hdf71m, 2513579m13glsous1p82fbjzd, 5k4gsy5f7ius93bbks9wbvqei, 7zaveckhldl5rieo5ddsqtt2i, 4qo7eu3xwhkpssbuyk4n70fe1, 6wrch4yhbs6utcc0doguj90q, lioz4hr2umpne2bwar18qa96, n2annzbap7hll02zo2v0ccgk, avtms6bcr8i7qdacuv225evo5, bb8q9cgqzw9n2tmkl8s3bth0q, 9zhmwx3g0m6xi2oh57g4z35nu, 242y4x99xvpu9zvln5vxoepjp, cugmerpydsw8kqbo2rle9npm2, d0xv8spbowuj5vafz7zoy47hl, 7h39w16zvj1lbfb0rqr7kvt1x, cuufy3ioo1kio56er2cfn0mqc, 89xit2bryc0g4yhqina7akjkk, lmrff8mviimc33yyrpjzr2tw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705948815,2,32,1,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-08-04T12:00:28.079Z,2024-08-04T12:00:28Z,,,,,5131858623,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705948827,2,32,1,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2024-08-04T12:00:28.079Z,2024-08-04T22:06:00Z,,,,,5131858693,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705948847,3,1,1,0,0,cftj6g399tknheudaxsdpfdgb,1,50.1,50.0,2024-08-04T12:00:28.080Z,2024-08-04T12:00:30Z,9wgpudcet9m8doz9ezbjxzkrt,J. Jacobs,,,5131858799,141,57.0,5131858795,56,Back,5131858805,279,S,5131858797,140,34.0,5131858803,213,2.87,5131858801,212,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705948895,4,1,1,0,2,cftj6g399tknheudaxsdpfdgb,1,33.9,56.7,2024-08-04T12:00:30.754Z,2024-08-04T17:19:02Z,bp2ellllifbtxgf0p8qlbm1nt,S. Radić,,,5131859081,1,,5131859079,213,5.64,5131859071,56,Right,5131859073,140,71.9,5131859077,212,49.7,5132807393,157,,5131859075,141,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705948901,5,44,1,0,6,cftj6g399tknheudaxsdpfdgb,1,70.3,8.4,2024-08-04T12:00:35.058Z,2024-08-04T12:00:44Z,3bvc29bootgmo9tsapvygvnu2,M. Westergaard,,,5131859131,233,3,5131859101,56,Right,5131859103,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705948897,3,44,1,0,6,ahnt9ejgwj58ul8auzdvi3czf,0,29.7,91.6,2024-08-04T12:00:35.059Z,2024-08-04T12:49:18Z,lioz4hr2umpne2bwar18qa96,A. Klynge,,,5131859139,233,5,5131859087,285,,5131859085,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705948909,6,61,1,0,7,cftj6g399tknheudaxsdpfdgb,1,71.9,13.1,2024-08-04T12:00:35.731Z,2024-08-04T12:00:46Z,3bvc29bootgmo9tsapvygvnu2,M. Westergaard,,,5131859117,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705948963,4,8,1,0,8,ahnt9ejgwj58ul8auzdvi3czf,1,27.2,90.4,2024-08-04T12:00:36.397Z,2024-08-04T17:25:02Z,4qo7eu3xwhkpssbuyk4n70fe1,Pedro Ganchas,,,5132825393,384,,5132823385,15,,5131859379,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
