id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2725045251,1,34,16,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2024-09-23T15:56:13.400Z,2024-09-23T18:45:29Z,,,,,5236755619,130,8,5236755613,30,"ckhhpn9ppgvlrtubf7li3se09, 9ic9msq3tj4gx8wqa6wfwk50q, 7xc0qldxpidl07vij2wgu1sk5, 4gqnyyx3i92fayq6cxvekqwut, 4cbaoo2irqtme9goxuz6s3ey2, ayqy2vql1oumokqly9ahfrnx1, 6tckvu2rw7ns18dq7dim0sout, al9l7egkwbc0pv68zk42gegut, babnrlnt04mal0268p9dxas8a, 8inyievyp1az6q3dtlkpynf56, ssluj1c3ft94nkfs58dc8cq2, ajjw1ikceu3g39sy6dsf9kdg4, 8g4r9maz4invihjmdzpfxy0np, 6b8vhoisrfwkljhz4u7pduej8, 7hw1plnv7nvxnqpnfnxcxszpx, bbezbukg20q5b6kfnjuzhs55g, quh8tfvwi106toymoh38tbrp, 8jyfsal0lbf0ia92axymn2l1w, c9u2w9ikckbrra8vln2ucbf9w",5236755621,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5236755617,59,"1, 22, 2, 27, 5, 6, 10, 12, 9, 8, 30, 4, 7, 13, 14, 16, 31, 38, 17",5236878205,197,790,5236755623,194,4gqnyyx3i92fayq6cxvekqwut,5236755625,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5236755615,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2725046747,1,34,16,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2024-09-23T16:00:03.838Z,2024-09-23T17:29:37Z,,,,,5236763673,194,1arzd8hqj73byhduozscqz5uy,5236763671,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5236763665,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",5236763663,30,"cul6phe87idi5dn1hsfywxhwp, de0dokhb6u6hts2hu5aupgiga, 8mkrj5bnkyhx8kutc4656cy96, 3q4tnk1z46lop4rbdpjtfoc2c, 7yst1mucy7jynmpzu1thox2i, hpzxgnwobdttfgd04dykf26t, dj2f6zk2cd8u9lt6odoei9cdl, 6v1kpakd3t0jhnoh1eh75ev4k, 1arzd8hqj73byhduozscqz5uy, rv6r0bwbl75er38wklyfpsr9, 8bi1tlz62rjwyak4pnnzgp562, bcdp9e3dezuaybm8ndrsanbx0, 4sgxth7onhb5mu29bgyupby3u, 8vi3l756ez0e96k7muvg4ekbu, ejixz16616b7krftxyzv9yiac, 5vrsflxiv2dgfa8199a2qxsve, ezi8426ran0bffeyfvloc2ihg, 3tka46re2gsi9uw7pbxx5m0pg, 5521epytthhw9afm2r3jn3384",5236763667,59,"22, 20, 6, 8, 4, 2, 14, 16, 11, 9, 17, 5, 7, 13, 21, 27, 37, 40, 47",5236763669,130,2,5236763675,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5236875607,197,17331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2725066241,2,32,1,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2024-09-23T17:01:38.222Z,2024-09-23T19:53:57Z,,,,,5236876983,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2725066235,2,32,1,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2024-09-23T17:01:38.222Z,2024-09-23T17:01:38Z,,,,,5236876965,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2725066251,3,1,1,0,0,36g6ifzjliec1jqnbtf7yesme,1,50.1,49.5,2024-09-23T17:01:38.223Z,2024-09-23T19:46:03Z,1arzd8hqj73byhduozscqz5uy,M. Jørgensen,,,5236877075,140,25.5,5236877079,212,26.1,5236877081,213,3.28,5236877077,141,44.4,5236877073,56,Back,5236877083,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2725066253,4,1,1,0,4,36g6ifzjliec1jqnbtf7yesme,0,27.5,42.3,2024-09-23T17:01:42.321Z,2024-09-23T19:46:09Z,hpzxgnwobdttfgd04dykf26t,O. Diakhité,,,5236877095,140,29.2,5236877931,286,,5236877099,212,2.4,5236877097,141,39.9,5236877091,157,,5236877093,56,Back,5236877101,213,5.54,5236877925,236,,5236877103,1,5236877927,233,3,,,,,,,,,,,,,,,,,,,,,,,,,
2725066293,3,74,1,0,4,b3r6d8ydtmtjckam6pku9y400,1,70.4,60.5,2024-09-23T17:01:42.322Z,2024-09-23T19:46:15Z,babnrlnt04mal0268p9dxas8a,G. Onugkha,,,5236877747,285,,5236877941,233,4,5236877317,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2725066297,4,5,1,0,8,b3r6d8ydtmtjckam6pku9y400,0,62.1,101.1,2024-09-23T17:01:46.641Z,2024-09-23T17:14:55Z,7xc0qldxpidl07vij2wgu1sk5,K. Diks,,,5236877335,347,,5236877891,233,5,5236877331,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2725066387,5,5,1,0,8,36g6ifzjliec1jqnbtf7yesme,1,37.9,-1.1,2024-09-23T17:01:46.641Z,2024-09-23T17:14:55Z,hpzxgnwobdttfgd04dykf26t,O. Diakhité,,,5236877873,347,,5236877871,56,Back,5236877881,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2725066419,6,1,1,0,22,36g6ifzjliec1jqnbtf7yesme,1,38.8,0.0,2024-09-23T17:02:00.769Z,2024-09-23T17:02:05Z,de0dokhb6u6hts2hu5aupgiga,K. Jørgensen,,,5236878083,141,64.5,5236878087,213,1.82,5236878081,140,27.9,5236878089,1,,5236878077,107,,5236878079,56,Back,5236878085,212,46.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
