id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/15/value
2793745753,1,34,16,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2025-03-30T14:57:01.438Z,2025-03-30T15:58:57Z,,,,,5611286789,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5611286791,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5611286785,59,"16, 43, 55, 80, 4, 22, 19, 24, 7, 11, 58, 1, 3, 6, 14, 18, 20, 21, 29, 41",5611286787,130,4,5611286781,30,"7yim2aepctujr2m4p20a97755, fwu0bja02waqct7l682s5mfp, 8mn8apr6n7t7s6lx4d4vvdnca, 1qcf5gb8wf8f4tu94xh96yqy, ddl5g7raihnc9s4u3wetz8v10, a87w6l9zsbahdi4knm1347zs9, bwfg9frq2ecbzg7wlzqjtnv2s, drlp4xtkta08jiu0px6m4ocq2, 1sdsqfn743j5tqem8ra7sppn8, djlyi0ad4x1p0k4thn8n0axw4, 4zrsiizdbzwwkmit3ta0f0dbe, 41ii5y9ebz5e3xhaif9kc8qmt, c3sp1x0shf2b24rl5ike6v0iy, 8yfw9f74h0yfz51bkxxc8p39x, bcscjb9jdgu4ims9n3vwuj5k9, elhmf9cc26ec5p1wnwonuxf4l, e73sexp7kse0wlykdi7xcbg2c, 78kzajya12k4sm0ebfl37d6ok, ajhd3cqclubmexhscpd4w4ez9, e64kcio0848bpw39eedbjyd5g",5611286783,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5611658099,197,4600,5611362463,194,a87w6l9zsbahdi4knm1347zs9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793747781,1,34,16,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2025-03-30T14:59:31.399Z,2025-03-30T15:59:23Z,,,,,5611297879,130,4,5611366251,194,bnar4f48vnx4oaz2lzch48es5,5611660589,197,26270,5611297875,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5611297877,59,"1, 2, 24, 10, 30, 4, 35, 8, 36, 28, 7, 6, 11, 16, 17, 32, 37, 38, 42, 43",5611297883,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5611297873,30,"4ilnnpfgjfz35lni9ppzd93v9, hsobzlp177f9755mpsi7szmy, 2tthm6h5o033dz440e476rhbe, etz3rjq7chhaomst5u28nnff9, 56sjqxlsf5iitgww0hogez8ph, bnar4f48vnx4oaz2lzch48es5, 2xp7fbcl6a4nua9jpm7b4k1sk, d2itdjj8bx0aztqggfgv7amay, 7z1pv1wezn5rydamnknklv2ay, 53nd6a4o02ebb0w2s12prijje, chteizjcvxpvze9p77gcttcoa, aa0888u38mjc1euhofseazb2t, 9auqrrixu34cgkpe8trlkaoh6, 3hi7nroqhsvj8elv8nd9a8ted, 91suopiz6irxqevhzv8lx76ne, 506kxojakimt5s0v2c4q6b33e, 1gr0k94d0nh7msa32f6728aok, caoahimfnw46l1vnpsp6vf9qs, 5ssy03x358qpvbvlhdg2152qc, aiuhe3d7tyvihiu5ysnp2740k",5611297881,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793814329,2,32,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2025-03-30T16:00:37.272Z,2025-03-30T16:00:37Z,,,,,5611665971,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793814337,2,32,1,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2025-03-30T16:00:37.272Z,2025-03-30T20:36:09Z,,,,,5611666029,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793814415,3,1,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,49.9,50.1,2025-03-30T16:00:37.273Z,2025-03-30T16:00:41Z,d2itdjj8bx0aztqggfgv7amay,B. Tahirović,,,5611666439,140,37.0,5611666437,56,Back,5611666445,213,3.18,5611666447,279,S,5611666443,212,13.6,5611666441,141,49.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793814443,4,1,1,0,3,9qsmopgutr7ut5g6workk8w4i,1,35.9,45.7,2025-03-30T16:00:40.868Z,2025-03-30T20:29:42Z,etz3rjq7chhaomst5u28nnff9,D. Wass,,,5611666609,213,4.71,5611666605,141,30.1,5611666607,212,10.6,5611666601,56,Back,5611666603,140,35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793814459,5,1,1,0,5,9qsmopgutr7ut5g6workk8w4i,1,37.5,28.2,2025-03-30T16:00:42.292Z,2025-03-30T20:29:41Z,56sjqxlsf5iitgww0hogez8ph,J. Vanlerberghe,,,5611666701,1,,5611666687,155,,5611666699,213,1.06,5611666697,212,47.8,5611666689,196,,5611666695,141,89.6,5611666691,56,Left,5611666693,140,59.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793814489,6,1,1,0,7,9qsmopgutr7ut5g6workk8w4i,0,60.0,91.8,2025-03-30T16:00:45.035Z,2025-03-30T16:00:47Z,2tthm6h5o033dz440e476rhbe,M. Divković,,,5611666845,141,80.0,5611666847,212,24.6,5611666839,3,,5611666841,56,Left,5611666843,140,82.1,5611666849,213,5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793814573,3,12,1,0,10,59as3grjvj19voay31j3yfgni,1,12.5,27.4,2025-03-30T16:00:48.115Z,2025-03-30T16:00:52Z,ddl5g7raihnc9s4u3wetz8v10,O. Diao,,,5611667359,212,22.8,5611667357,141,35.1,5611667355,140,33.6,5611667361,213,0.23,5611667353,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793814583,4,44,1,0,14,59as3grjvj19voay31j3yfgni,1,36.2,36.8,2025-03-30T16:00:51.738Z,2025-03-30T17:55:52Z,bwfg9frq2ecbzg7wlzqjtnv2s,P. Bravo,,,5611667389,285,,5611667387,56,Back,5611667415,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
