id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/11/value,qualifier/17/value
2751170965,1,34,16,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-11-24T12:19:55.968Z,2024-11-24T13:03:26Z,,,,5379570995,194,5f3wfx327z9hef9k9l37c90wl,5379570993,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5379570997,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5379723851,197,27222,5379570985,30,"dk9nlp77b6q38p751f8w3o8np, bitixkzgt5p65rlo2bnllcf6x, acp1ba2irpv5wfmxke7ucmaga, 5f3wfx327z9hef9k9l37c90wl, 4n3t1p3zn5yzjv4w0clo3xvjd, 9qskwuil30g48xr3ax5p9j6j9, vrzye4jqrafujmjw3wakjpxw, 3bvc29bootgmo9tsapvygvnu2, akxcr1xe62dyl5jmh3ataq13o, 7w7ufa4v85hmj1qxnmqc4zgiy, 73lwz4he5erpp25zi8crjvztg, 9lgnm175tw163z53b8bmiu5pm, auk14ut8cwaqop549u2zmfgt1, wnin2353js3p5rh4d7e2ymwa, 5m27f84vvraap8bmfujt1qiok, 6d8194j12jdzgqk5uwcemecr8, 9o10vhew3jar8tqnkabw0qoyx, 8ngloyr6r0m71p8kgpfe69bvu, eq7tnnzwq0g9q4eac0o9t9xey, b6q0tf252xvikt39g8jevju38",5379570989,59,"16, 18, 23, 13, 24, 2, 12, 28, 11, 8, 10, 1, 4, 6, 14, 17, 19, 21, 30, 37",5379570987,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5379570991,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751172661,1,34,16,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2024-11-24T12:22:52.666Z,2024-11-24T13:19:10Z,,,,5379704963,197,1731,5379581031,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5379581035,130,8,5379581039,194,1arzd8hqj73byhduozscqz5uy,5379581033,59,"1, 20, 14, 16, 4, 13, 11, 6, 19, 17, 10, 2, 3, 5, 7, 15, 21, 22, 27, 35",5379581041,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5379581037,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5379581029,30,"a2l4ep71txn2edtjjcgewai5m, de0dokhb6u6hts2hu5aupgiga, dj2f6zk2cd8u9lt6odoei9cdl, 6v1kpakd3t0jhnoh1eh75ev4k, 7yst1mucy7jynmpzu1thox2i, 8vi3l756ez0e96k7muvg4ekbu, 1arzd8hqj73byhduozscqz5uy, 8mkrj5bnkyhx8kutc4656cy96, 5hw5sfiqhzg7mnghdp52f7fqi, 8bi1tlz62rjwyak4pnnzgp562, 5lz41celw55rz3zh8pohclw5w, hpzxgnwobdttfgd04dykf26t, dq2eqqywinhsh9ijg8amqyp78, bcdp9e3dezuaybm8ndrsanbx0, 4sgxth7onhb5mu29bgyupby3u, 974s3rwvb2ls1k1no4hlaz8ph, ejixz16616b7krftxyzv9yiac, cul6phe87idi5dn1hsfywxhwp, 5vrsflxiv2dgfa8199a2qxsve, 2o5atg0lz3jy7k86tyqda8h04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751199469,2,32,1,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2024-11-24T13:02:30.568Z,2024-11-24T16:00:03Z,,,,5379719777,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751199465,2,32,1,0,0,cftj6g399tknheudaxsdpfdgb,1,0.0,0.0,2024-11-24T13:02:30.568Z,2024-11-24T13:02:30Z,,,,5379719765,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751199513,3,1,1,0,0,cftj6g399tknheudaxsdpfdgb,1,50.1,50.0,2024-11-24T13:02:30.569Z,2024-11-24T13:02:34Z,vrzye4jqrafujmjw3wakjpxw,T. Jørgensen,,5379720025,56,Back,5379720029,141,41.5,5379720035,279,S,5379720027,140,30.0,5379720033,213,3.41,5379720031,212,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751199587,4,1,1,0,4,cftj6g399tknheudaxsdpfdgb,0,28.4,43.0,2024-11-24T13:02:34.638Z,2024-11-24T13:02:39Z,4n3t1p3zn5yzjv4w0clo3xvjd,D. Anyembe,,5379720343,213,0.59,5379720345,1,,5379720337,140,80.3,5379720341,212,65.4,5379720333,157,,5379720335,56,Left,5379720339,141,96.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751199627,3,12,1,0,8,36g6ifzjliec1jqnbtf7yesme,1,20.4,12.8,2024-11-24T13:02:39.057Z,2024-11-24T16:09:03Z,de0dokhb6u6hts2hu5aupgiga,K. Jørgensen,,5379720499,212,16.2,5379720493,140,35.8,5379720497,141,11.7,5379720501,213,6.24,5379720491,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751199637,4,50,1,0,11,36g6ifzjliec1jqnbtf7yesme,1,33.6,10.1,2024-11-24T13:02:42.010Z,2024-11-24T13:58:22Z,8mkrj5bnkyhx8kutc4656cy96,M. Jiménez,,5379720535,56,Back,5379974823,286,,5379720953,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751199711,5,7,1,0,11,cftj6g399tknheudaxsdpfdgb,1,66.4,89.9,2024-11-24T13:02:42.011Z,2024-11-24T16:10:04Z,5f3wfx327z9hef9k9l37c90wl,J. Grønning,,5380779607,385,,5379720983,285,,5379720869,56,Left,5380784347,178,,5379720867,167,,5379720927,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751199717,5,5,1,0,14,36g6ifzjliec1jqnbtf7yesme,1,33.7,-1.6,2024-11-24T13:02:45.025Z,2024-11-24T13:40:18Z,8mkrj5bnkyhx8kutc4656cy96,M. Jiménez,,5379720887,56,Back,5379720889,347,,5379720937,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751199721,6,5,1,0,14,cftj6g399tknheudaxsdpfdgb,0,66.3,101.6,2024-11-24T13:02:45.025Z,2024-11-24T13:40:18Z,5f3wfx327z9hef9k9l37c90wl,J. Grønning,,5379720901,347,,5379720897,56,Left,5379720967,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751199755,6,1,1,0,17,36g6ifzjliec1jqnbtf7yesme,0,39.7,0.0,2024-11-24T13:02:48.150Z,2024-11-24T13:02:50Z,de0dokhb6u6hts2hu5aupgiga,K. Jørgensen,,5379721061,213,0.26,5379721047,107,,5379721057,141,12.6,5379721055,140,75.3,5379721059,212,38.7,5379721051,56,Right,5379721063,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751199811,7,12,1,0,21,cftj6g399tknheudaxsdpfdgb,1,24.4,95.3,2024-11-24T13:02:51.681Z,2024-11-24T14:00:36Z,9qskwuil30g48xr3ax5p9j6j9,I. Näsberg,,5379721303,213,0.96,5379721347,167,,5379721295,56,Back,5379721299,141,100.0,5379721297,140,26.9,5379721301,212,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751199799,7,5,1,0,21,36g6ifzjliec1jqnbtf7yesme,1,72.3,-1.0,2024-11-24T13:02:52.259Z,2024-11-24T13:40:19Z,de0dokhb6u6hts2hu5aupgiga,K. Jørgensen,,5379721343,233,8,5379721219,56,Right,5379721221,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751199817,8,5,1,0,21,cftj6g399tknheudaxsdpfdgb,0,27.7,101.0,2024-11-24T13:02:52.259Z,2024-11-24T13:40:19Z,9qskwuil30g48xr3ax5p9j6j9,I. Näsberg,,5379721337,347,,5379721387,233,7,5379721335,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751200027,8,1,1,0,28,36g6ifzjliec1jqnbtf7yesme,1,73.6,0.0,2024-11-24T13:02:58.740Z,2024-11-24T13:03:07Z,de0dokhb6u6hts2hu5aupgiga,K. Jørgensen,,5379722339,212,19.5,5379722335,141,11.4,5379722329,56,Right,5379722325,107,,5379722343,213,0.46,5379722331,140,90.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751200031,9,50,1,0,36,36g6ifzjliec1jqnbtf7yesme,1,88.4,8.4,2024-11-24T13:03:07.418Z,2024-11-24T13:03:12Z,5hw5sfiqhzg7mnghdp52f7fqi,J. Iredale,,5379722369,56,Right,5379722595,233,9,5379722371,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751200063,9,7,1,0,36,cftj6g399tknheudaxsdpfdgb,1,11.6,91.6,2024-11-24T13:03:07.419Z,2024-11-24T16:10:09Z,3bvc29bootgmo9tsapvygvnu2,M. Westergaard,,5380783457,385,,5379722559,285,,5379722555,167,,5379722561,233,9,5380784889,178,,5379722557,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751200055,10,5,1,0,37,36g6ifzjliec1jqnbtf7yesme,1,87.6,-1.8,2024-11-24T13:03:08.559Z,2024-11-24T13:40:19Z,5hw5sfiqhzg7mnghdp52f7fqi,J. Iredale,,5379722525,347,,5379722523,56,Right,5379722767,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751200111,10,5,1,0,37,cftj6g399tknheudaxsdpfdgb,0,12.4,101.8,2024-11-24T13:03:08.559Z,2024-11-24T13:40:19Z,3bvc29bootgmo9tsapvygvnu2,M. Westergaard,,5379722741,56,Back,5379722803,233,10,5379722743,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751200379,11,1,1,0,55,36g6ifzjliec1jqnbtf7yesme,0,90.8,0.0,2024-11-24T13:03:25.790Z,2024-11-24T13:03:28Z,de0dokhb6u6hts2hu5aupgiga,K. Jørgensen,,5379724037,140,91.8,5379724043,213,1.52,5379724045,1,,5379724041,212,22.8,5379724033,107,,5379724039,141,32.2,5379724035,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751200437,11,12,1,0,59,cftj6g399tknheudaxsdpfdgb,1,8.0,57.2,2024-11-24T13:03:29.807Z,2024-11-24T13:03:32Z,9qskwuil30g48xr3ax5p9j6j9,I. Näsberg,,5379724301,15,,5379724281,140,29.6,5379724287,213,0.52,5379724285,212,26.2,5379724283,141,76.4,5379724279,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751200489,12,1,1,1,2,36g6ifzjliec1jqnbtf7yesme,1,68.0,17.9,2024-11-24T13:03:33.024Z,2024-11-24T13:03:53Z,8bi1tlz62rjwyak4pnnzgp562,A. Jasson,,5379724517,56,Right,5379724525,213,5.71,5379724523,212,10.9,5379724521,141,9.2,5379724519,140,76.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751200539,13,1,1,1,5,36g6ifzjliec1jqnbtf7yesme,1,76.7,9.2,2024-11-24T13:03:35.789Z,2024-11-24T16:10:28Z,de0dokhb6u6hts2hu5aupgiga,K. Jørgensen,,5379724797,213,1.47,5379724793,141,59.6,5379724799,1,,5379724795,212,34.4,5379724791,140,79.9,5379724787,155,,5379724789,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751200545,14,44,1,1,8,36g6ifzjliec1jqnbtf7yesme,1,82.9,61.8,2024-11-24T13:03:39.086Z,2024-11-24T16:11:45Z,8vi3l756ez0e96k7muvg4ekbu,B. Pudel,,5379724815,56,Center,5379724981,233,12,5379724817,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751200565,12,44,1,1,8,cftj6g399tknheudaxsdpfdgb,0,17.1,38.2,2024-11-24T13:03:39.087Z,2024-11-24T16:11:46Z,bitixkzgt5p65rlo2bnllcf6x,J. Mbom,,5379724995,233,14,5379724941,285,,5379724939,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751200559,15,1,1,1,8,36g6ifzjliec1jqnbtf7yesme,1,79.2,60.3,2024-11-24T13:03:39.367Z,2024-11-24T16:11:46Z,8vi3l756ez0e96k7muvg4ekbu,B. Pudel,,5379724923,213,0.00,5379724917,140,88.8,5379724915,56,Center,5379724921,212,10.1,5379724919,141,60.3,5379724913,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751399083,834,44,1,1,9,36g6ifzjliec1jqnbtf7yesme,1,88.3,61.7,2024-11-24T13:03:40.362Z,2024-11-24T16:11:50Z,1arzd8hqj73byhduozscqz5uy,M. Jørgensen,,5380791423,233,901,5380791417,56,Center,5380791421,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751399077,901,44,1,1,9,cftj6g399tknheudaxsdpfdgb,0,11.7,38.3,2024-11-24T13:03:40.363Z,2024-11-24T16:11:50Z,acp1ba2irpv5wfmxke7ucmaga,O. Bundgaard,,5380791387,56,Back,5380791443,233,834,5380791389,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751200919,18,1,1,1,10,36g6ifzjliec1jqnbtf7yesme,0,88.4,59.4,2024-11-24T13:03:40.624Z,2024-11-24T13:04:06Z,1arzd8hqj73byhduozscqz5uy,M. Jørgensen,,5379726625,56,Center,5379726629,141,47.6,5379726623,3,,5379726631,212,8.6,5379726627,140,91.3,5379726633,213,5.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751200641,13,12,1,1,11,cftj6g399tknheudaxsdpfdgb,1,8.7,45.8,2024-11-24T13:03:41.950Z,2024-11-24T14:03:28Z,9qskwuil30g48xr3ax5p9j6j9,I. Näsberg,,5379725275,56,Back,5379726827,141,60.7,5379726829,212,12.0,5379726825,140,14.8,5379726831,213,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751200597,16,13,1,1,12,36g6ifzjliec1jqnbtf7yesme,1,86.0,31.5,2024-11-24T13:03:42.773Z,2024-11-24T16:12:11Z,de0dokhb6u6hts2hu5aupgiga,K. Jørgensen,,5379725611,102,40.7,5379725609,75,,5380794887,121,,5379725615,108,,5379725613,103,38.9,5379725051,56,Center,5379725623,230,99.3,5379725625,231,47.7,5379725049,63,5379725383,20,5379725047,22,5379725617,328,5379725621,458,,,,,,,,,,,,,,,,,,,,,,,
2751200667,14,5,1,1,13,cftj6g399tknheudaxsdpfdgb,1,-0.7000000000000001,58.8,2024-11-24T13:03:43.820Z,2024-11-24T16:12:13Z,bitixkzgt5p65rlo2bnllcf6x,J. Mbom,,5379725493,346,,5379725415,56,Back,5379725695,233,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
