id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/19/value
2777223325,1,34,16,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2025-02-16T14:13:57.233Z,2025-02-16T15:06:16Z,,,,,5520808563,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5520808565,59,"16, 22, 23, 6, 12, 2, 15, 8, 9, 10, 11, 5, 7, 20, 24, 25, 26, 31, 14, 27",5520808571,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5520808569,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5520808567,130,8,5521110273,194,5j9d1plbsd5ic01r3ggziutwp,5521103445,197,23447,5520808561,30,"dcocgxtuabo0rwzwukvqky9uy, 3361cs2j60yxzy9mir80byqc5, 7sbdudf1vycn8hinw0giakpyi, 5j9d1plbsd5ic01r3ggziutwp, 6rd849oap6uh93wdwjk8590q1, dshwz1df0rbe0fztksawvd0wl, 3ejggtt1du1cui3wc1f8oqx62, 1902oagnhlo7x9xpumxvg1t78, 828b7y3phhpb62srvtrjhtgk4, a8opuarwq9byw73nhfgvo9nca, 7foqorbwhgqjghtxa2nax6kgk, 33sxiwcjeqcop3ukuok86ujmd, 5x8064b3yr7txk0czddfjtffu, d88feog3dgv09oxbzn15xqesq, 94560hgwsjkx8qgz48f7gzitw, adg5dfvzxjrzlz1n2jsfeyx3o, 5jdkdvxssuc8gvzwwrq5bs76y, 637840asun7f3wo16c5zkhi50, 9ki0zmbky1zluxnz63008ozmy, 9zx0qi6gbfnvt6wwpkgprhy50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777227051,1,34,16,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2025-02-16T14:16:34.721Z,2025-02-16T15:41:38Z,,,,,5520828611,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5520828607,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5520828601,59,"1, 2, 11, 27, 5, 3, 8, 7, 9, 15, 10, 6, 16, 19, 20, 22, 23, 29, 31, 40",5520828599,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5520845523,194,3sadup8mjwu4dc96wz6lmixn9,5520828603,130,12,5521106877,197,26266,5520828597,30,"1h31bvtbae4q0edlp0u672hn9, aswmi1pnkzkvkexp8ngief6j9, 4vmgmzg2004twoc39sk7zkzqh, 654obqy73ov2t5800r2woo6w9, 6my7s0ezr6jldotm1w6nk7b9x, e9lrzsiy94y46h62rnawi3sgl, 61sojkdsmaz9hbwaskt4rws15, 43q9ytkbmtk5y3tgv77v7pmg9, 3sadup8mjwu4dc96wz6lmixn9, bz77hr28a1yskifpuvzu8smsq, 7je01bs3a4q6c2gd02ee6da3u, 8og8nxbkcb63van4llvpkbe8l, 6jgd09iosfe5mn3tputmjx2ad, cgkvw4q8ddcjl0po181upzwx6, 5qvy65ckiigykkowpyco05zv9, 5f4qlbohzja204gxm9tkiekq2, 5lssweodhkyifhj333v6f6r6c, ca1b5707pdpx0ucug40ggnahh, 3uytpqx0e0jr6zgbfl1znsm7e, 3l3v5wj4c7vtqqwu05b526590",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777280061,2,32,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2025-02-16T15:01:51.290Z,2025-02-16T18:33:35Z,,,,,5521117785,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777280049,2,32,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2025-02-16T15:01:51.290Z,2025-02-16T15:01:51Z,,,,,5521117705,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777280137,3,1,1,0,1,5rz9enoyknpg8ji78za5b82p0,1,49.9,50.1,2025-02-16T15:01:52.291Z,2025-02-16T15:59:47Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Madsen,,,5521118181,279,S,5521118177,212,17.7,5521118171,56,Back,5521118179,213,3.08,5521118175,141,51.8,5521118173,140,33.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777280195,4,1,1,0,6,5rz9enoyknpg8ji78za5b82p0,1,37.0,43.7,2025-02-16T15:01:57.772Z,2025-02-16T18:58:34Z,6my7s0ezr6jldotm1w6nk7b9x,F. Tingager,,,5521118459,1,,5522409081,157,,5521118451,140,83.7,5521118449,56,Right,5521118457,213,5.90,5521118453,141,14.8,5521118455,212,52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777280205,5,44,1,0,9,5rz9enoyknpg8ji78za5b82p0,1,85.6,15.6,2025-02-16T15:02:01.089Z,2025-02-16T16:01:20Z,bz77hr28a1yskifpuvzu8smsq,Y. Badji,,,5521118533,233,3,5521118505,56,Right,5521118507,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777280187,3,44,1,0,9,aljua8crr0vkwit0j3m59jw9j,0,14.4,84.4,2025-02-16T15:02:01.090Z,2025-02-16T16:01:20Z,7sbdudf1vycn8hinw0giakpyi,E. Duru,,,5521118559,233,5,5521118413,56,Back,5521118415,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777280233,6,1,1,0,10,5rz9enoyknpg8ji78za5b82p0,1,83.5,14.6,2025-02-16T15:02:01.803Z,2025-02-16T15:02:03Z,bz77hr28a1yskifpuvzu8smsq,Y. Badji,,,5521118697,140,78.0,5521118703,213,2.14,5521118699,141,27.8,5521118701,212,10.7,5521118695,56,Center,5521118693,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777280243,7,1,1,0,12,5rz9enoyknpg8ji78za5b82p0,0,80.3,37.0,2025-02-16T15:02:03.547Z,2025-02-16T16:00:25Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Madsen,,,5521503655,141,36.8,5521503661,213,3.20,5521503657,212,2.2,5521503651,140,78.2,5521118749,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
