id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/10/value,qualifier/14/value,qualifier/12/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value
2780036697,1,34,16,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2025-02-23T12:08:16.357Z,2025-02-23T13:08:51Z,,,,,5536218287,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5536218283,130,8,5536357765,194,5j9d1plbsd5ic01r3ggziutwp,5536357767,197,23448,5536218289,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5536218277,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5536218279,59,"16, 22, 23, 6, 12, 2, 15, 7, 9, 10, 8, 11, 14, 17, 20, 24, 25, 26, 27, 31",5536218275,30,"dcocgxtuabo0rwzwukvqky9uy, 3361cs2j60yxzy9mir80byqc5, 7sbdudf1vycn8hinw0giakpyi, 5j9d1plbsd5ic01r3ggziutwp, 6rd849oap6uh93wdwjk8590q1, dshwz1df0rbe0fztksawvd0wl, 3ejggtt1du1cui3wc1f8oqx62, 5x8064b3yr7txk0czddfjtffu, 828b7y3phhpb62srvtrjhtgk4, a8opuarwq9byw73nhfgvo9nca, 1902oagnhlo7x9xpumxvg1t78, 7foqorbwhgqjghtxa2nax6kgk, 9ki0zmbky1zluxnz63008ozmy, 6gh4z3yubnpypzoakjom1rj3e, d88feog3dgv09oxbzn15xqesq, 94560hgwsjkx8qgz48f7gzitw, adg5dfvzxjrzlz1n2jsfeyx3o, 5jdkdvxssuc8gvzwwrq5bs76y, 9zx0qi6gbfnvt6wwpkgprhy50, 637840asun7f3wo16c5zkhi50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780041611,1,34,16,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2025-02-23T12:18:57.553Z,2025-02-23T13:06:04Z,,,,,5536365881,194,5uqf7a0y0fd1hf2rrmgx11tuy,5536245645,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5536245647,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5536245631,30,"49wkw0wkn4ta18b6657vjvglx, 7cpkykvmy8ujrahzdz7ksk2c5, 5ucbttulfcdufwr751zj0zcic, 5r1v2w303bvj0vv1893qr5d5h, 2rvx2wlfj2rxzcgye6wiw0v84, 179f3j88wnmze82aicikkez9, 4cubrfqgrc5ivbd6fdj3k3zf8, 3zc9hy5uicgp21wr6z5wyuntg, 3qcjzsb466tfri5yrj35wztw4, 7a1vtc0e7ubua2t0dwx9ufk7o, 5uqf7a0y0fd1hf2rrmgx11tuy, 9qebp1745dtdjh5kg5n4wfq7e, 2r8s61bmydlumhg62wd0y6fis, bgviotid6bht0k2452r5gehw4, 6rd6a2f1k124dzp1p904yq3h0, e07zv7ag985v8lq9sebfi27l5, 9h6c9ue598hllcri39erjitqs, apspqh3shqfwobvh35x60q5g4, 4oxlpwcwpa44hstpm70iep0id, b4ocx2ub0iwtzac72gd0voj6c",5536245641,130,4,5536245637,59,"13, 2, 25, 6, 24, 15, 8, 36, 17, 7, 10, 12, 18, 20, 21, 23, 38, 45, 11, 28",5536356933,197,4597,5536245633,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780064121,2,32,1,0,0,aljua8crr0vkwit0j3m59jw9j,1,0.0,0.0,2025-02-23T13:01:38.608Z,2025-02-23T13:01:38Z,,,,,5536362147,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780064171,2,32,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2025-02-23T13:01:38.608Z,2025-02-23T16:42:35Z,,,,,5536362371,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780064179,3,1,1,0,1,77tfx9me4aaqhzv78bmgsy9bg,1,50.0,50.0,2025-02-23T13:01:39.824Z,2025-02-23T13:02:43Z,3qcjzsb466tfri5yrj35wztw4,L. Nene,,,5536362401,212,15.5,5536362405,279,S,5536362397,140,35.3,5536362395,56,Back,5536362399,141,48.2,5536362403,213,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780064183,4,1,1,0,2,77tfx9me4aaqhzv78bmgsy9bg,1,35.1,48.4,2025-02-23T13:01:41.304Z,2025-02-23T13:02:43Z,4cubrfqgrc5ivbd6fdj3k3zf8,M. Dorgeles,,,5536362423,56,Back,5536362429,212,10.8,5536362425,140,31.5,5536362427,141,33.6,5536362431,213,4.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780064185,5,1,1,0,3,77tfx9me4aaqhzv78bmgsy9bg,1,31.5,33.6,2025-02-23T13:01:42Z,2025-02-23T13:02:44Z,5r1v2w303bvj0vv1893qr5d5h,M. Brink,,,5536362443,213,4.40,5536362435,56,Back,5536362439,141,14.6,5536362437,140,27.5,5536362441,212,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780064235,6,1,1,0,7,77tfx9me4aaqhzv78bmgsy9bg,1,27.9,23.1,2025-02-23T13:01:46.103Z,2025-02-23T16:42:56Z,7cpkykvmy8ujrahzdz7ksk2c5,P. Ankersen,,,5536362683,213,2.41,5536362681,212,24.5,5536362677,140,10.5,5536362675,56,Back,5536362679,141,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780064267,7,43,1,0,9,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2025-02-23T13:01:48.455Z,2025-02-23T15:02:50Z,179f3j88wnmze82aicikkez9,E. Marxen,,,5536362825,56,Back,5536362829,141,53.1,5536966111,144,1,5536362827,140,7.8,5536362837,213,2.32,5536362833,212,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780064307,8,1,1,0,11,77tfx9me4aaqhzv78bmgsy9bg,1,7.8,53.1,2025-02-23T13:01:50.312Z,2025-02-23T13:01:53Z,49wkw0wkn4ta18b6657vjvglx,A. Hansen,,,5536363019,140,22.0,5536363023,212,29.3,5536363017,56,Back,5536363021,141,90.2,5536363025,213,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
