id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value
2794293561,1,34,16,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2025-03-31T16:02:44.951Z,2025-03-31T17:07:21Z,,,,,5614298581,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5614298577,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5614298573,59,"41, 13, 24, 36, 6, 2, 11, 17, 19, 8, 30, 1, 4, 7, 12, 14, 22, 33, 40, 48",5614298569,30,"f2ibn3ej2doay3b4u8ezeix62, 6b8vhoisrfwkljhz4u7pduej8, 2ubad2kxha6n1c8c8sr2ogmad, ftw3io63hk5vuoa3lyfgowes, ayqy2vql1oumokqly9ahfrnx1, 7xc0qldxpidl07vij2wgu1sk5, aahyom322jdc6f21960ycuzth, c9u2w9ikckbrra8vln2ucbf9w, 823p7p1amx8lp445bo6bi01lg, 8inyievyp1az6q3dtlkpynf56, ssluj1c3ft94nkfs58dc8cq2, ckhhpn9ppgvlrtubf7li3se09, ajjw1ikceu3g39sy6dsf9kdg4, 8g4r9maz4invihjmdzpfxy0np, al9l7egkwbc0pv68zk42gegut, 7hw1plnv7nvxnqpnfnxcxszpx, 9ic9msq3tj4gx8wqa6wfwk50q, rq6npjy37kolscu8lrj4r2dx, 66psa7xh8odnlp39ue5vzpes4, 40qo5mz95bi0rnv09l13retxw",5614298571,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5614298579,194,7xc0qldxpidl07vij2wgu1sk5,5614298575,130,8,5614370161,197,790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794294881,1,34,16,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2025-03-31T16:10:04.072Z,2025-03-31T16:59:34Z,,,,,5614306413,194,8cox96ikk1k4c24f0y5ef45x,5614306405,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5614306407,59,"1, 27, 14, 28, 3, 4, 17, 6, 7, 26, 9, 10, 11, 15, 16, 18, 24, 25, 30, 90",5614306415,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5614306403,30,"dmxzug2enscx331w5vmdzn2s5, 6m5ftd7c68b2d4d2931xs5srt, o7nooyu95nab78ys541e3uuh, 2mawaijd9czgtd5jh9myk434l, effgiwtme6eu08o1ninlnqqqd, 8cox96ikk1k4c24f0y5ef45x, 8domjmewnw5h6b19vef8w0afp, 6uj3c69lgu6boblkjiuhoy6eh, 1329qhvvxpp6j4q5esh4n3hii, 54ipja7wrxji6kn8yw5uhr6ga, 606hufq6dapf3qxcgilbc8tt5, ag40mk09zc8tzbkr7dnnqumay, d1j2a0az2datf1l2efdzne7vu, 2datlbzulrzdgpyxv3fkzn0et, brsecgiiou4wcogoimzawyhp0, 3aoh34sqan7y34c2qa1d6xkyy, 3cdo7b8vwb5kzeoaxzqm6esk4, cyuoj9pesenese4i3pklv7d2h, 4vfbiav52mg5s9vnx53f0nhuc, 9yuyz4ci6wqikd6ckjstbt2i1",5614306411,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5614306409,130,2,5614375543,197,23959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308089,2,32,1,0,0,b3r6d8ydtmtjckam6pku9y400,1,0.0,0.0,2025-03-31T17:02:50.578Z,2025-03-31T20:25:52Z,,,,,5614383609,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308093,2,32,1,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2025-03-31T17:02:50.578Z,2025-03-31T17:02:53Z,,,,,5614383627,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308155,3,1,1,0,0,b3r6d8ydtmtjckam6pku9y400,1,49.9,49.9,2025-03-31T17:02:50.579Z,2025-03-31T17:03:00Z,ssluj1c3ft94nkfs58dc8cq2,E. Achouri,,,5614383953,279,S,5614383947,141,43.7,5614383943,56,Back,5614383945,140,26.7,5614383949,212,24.7,5614383951,213,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308185,4,1,1,0,9,b3r6d8ydtmtjckam6pku9y400,0,32.2,41.2,2025-03-31T17:03:00.400Z,2025-03-31T17:03:03Z,f2ibn3ej2doay3b4u8ezeix62,D. Ramaj,,,5614384169,141,8.3,5614384173,213,5.82,5614384171,212,50.2,5614384175,1,,5614384165,56,Right,5614384163,157,,5614384167,140,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308209,3,1,1,0,14,9w3sjm5ml4sjr2v81oxzdrt8v,1,20.6,83.5,2025-03-31T17:03:04.861Z,2025-03-31T17:03:06Z,o7nooyu95nab78ys541e3uuh,F. Lauenborg,,,5614384343,213,5.83,5614384341,212,5.9,5614384339,141,79.7,5614384337,140,25.7,5614384333,3,,5614384335,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308213,4,61,1,0,16,9w3sjm5ml4sjr2v81oxzdrt8v,1,24.8,81.4,2025-03-31T17:03:06.723Z,2025-03-31T17:03:07Z,6uj3c69lgu6boblkjiuhoy6eh,J. Björkengren,,,5614384355,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308223,5,1,1,0,17,b3r6d8ydtmtjckam6pku9y400,1,87.0,6.7,2025-03-31T17:03:08.064Z,2025-03-31T17:03:10Z,aahyom322jdc6f21960ycuzth,J. Larsson,,,5614384455,56,Right,5614384457,140,74.3,5614384463,213,3.17,5614384459,141,6.1,5614384461,212,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2794308233,6,1,1,0,19,b3r6d8ydtmtjckam6pku9y400,1,74.1,6.8,2025-03-31T17:03:09.952Z,2025-03-31T17:03:10Z,6b8vhoisrfwkljhz4u7pduej8,R. Huescas,,,5614384509,140,75.2,5614384511,141,12.8,5614384515,213,1.29,5614384507,56,Right,5614384513,212,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
