id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2743814383,1,34,16,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2024-11-03T16:10:55.368Z,2024-11-03T18:07:33Z,,,,,5339691697,197,1731,5339353419,30,"a2l4ep71txn2edtjjcgewai5m, de0dokhb6u6hts2hu5aupgiga, dj2f6zk2cd8u9lt6odoei9cdl, 3q4tnk1z46lop4rbdpjtfoc2c, 7yst1mucy7jynmpzu1thox2i, 8vi3l756ez0e96k7muvg4ekbu, 6v1kpakd3t0jhnoh1eh75ev4k, ejixz16616b7krftxyzv9yiac, 5hw5sfiqhzg7mnghdp52f7fqi, 5lz41celw55rz3zh8pohclw5w, 1arzd8hqj73byhduozscqz5uy, hpzxgnwobdttfgd04dykf26t, dq2eqqywinhsh9ijg8amqyp78, bcdp9e3dezuaybm8ndrsanbx0, 8mkrj5bnkyhx8kutc4656cy96, 4sgxth7onhb5mu29bgyupby3u, 974s3rwvb2ls1k1no4hlaz8ph, cul6phe87idi5dn1hsfywxhwp, 5vrsflxiv2dgfa8199a2qxsve, 2o5atg0lz3jy7k86tyqda8h04",5339353425,130,4,5339691695,194,1arzd8hqj73byhduozscqz5uy,5339353427,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5339353423,59,"1, 20, 14, 8, 4, 13, 16, 21, 19, 10, 11, 2, 3, 5, 6, 7, 15, 22, 27, 35",5339353421,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5339353429,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743817887,1,34,16,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2024-11-03T16:13:17.037Z,2024-11-03T17:31:18Z,,,,,5339373029,59,"1, 2, 38, 34, 14, 4, 37, 8, 18, 10, 17, 3, 5, 7, 11, 13, 24, 25, 33, 71",5339373027,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5339701653,194,7hukebiijqntuvetwzralzuju,5339373025,30,"53y263xxfdf1itytiqhg3v6c5, 1xjhud4hyekcg08nue1iosmsq, 6xjbcik3a56d0vqy4vrq5eokp, 7uia9zlz3axnuc6usdn9u4kfe, 6ylzm57bvpufg3cenadtv7qhh, 7hukebiijqntuvetwzralzuju, 1hbucfyn2l3bxcw5r4zcb1dlg, 22zuxw8lez5w4vjd8spzzysyc, 9yiz575rldkwu7icgqwk1qmdx, 3ylgelxr6ssp42hidfnchqp2i, 94hei5v2f93ga4b0iwxxisbu1, 32ohywx3gs0u6bqm4z59wxmmt, 2anc9ug5nr25khmtcc4id2pxx, 1yqlkot5sh85ot3eemo67djv9, 7rtrg77m3xozgfhu3p2ihfey2, 1ykl08k2c2kwxukw0gvslf6qd, 1k9g7x8jwhzcpx8bc5ji7og0k, 9s85lkd1qi525r4horgbtostl, 22760086vtvx2xulry32q21hw, 6uvp2evoo07gv5rc5ht2l012i",5339701655,197,25261,5339373033,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5339373037,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5339373031,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743878695,2,32,1,0,0,36g6ifzjliec1jqnbtf7yesme,1,0.0,0.0,2024-11-03T17:01:58.720Z,2024-11-03T21:37:45Z,,,,,5339710531,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743878681,2,32,1,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2024-11-03T17:01:58.720Z,2024-11-03T17:01:58Z,,,,,5339710413,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743878741,3,1,1,0,0,36g6ifzjliec1jqnbtf7yesme,1,50.0,50.0,2024-11-03T17:01:58.721Z,2024-11-03T17:02:02Z,3q4tnk1z46lop4rbdpjtfoc2c,M. Widell,,,5339710767,56,Back,5339710771,140,30.2,5339710773,141,56.3,5339710777,213,2.94,5339710779,279,S,5339710775,212,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743878771,4,1,1,0,3,36g6ifzjliec1jqnbtf7yesme,0,31.0,56.3,2024-11-03T17:02:02.579Z,2024-11-03T17:09:45Z,8vi3l756ez0e96k7muvg4ekbu,B. Pudel,,,5339710915,213,5.89,5339710909,140,72.0,5339710907,56,Center,5339710905,157,,5339710911,141,30.3,5339710913,212,46.5,5339710917,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743878809,3,1,1,0,6,c165yjiny1qnmfdvefxvflnkc,0,34.5,80.5,2024-11-03T17:02:05.218Z,2024-11-03T17:02:16Z,94hei5v2f93ga4b0iwxxisbu1,D. Emmanouilidis,,,5339711085,56,Back,5339711093,213,2.32,5339711091,212,19.3,5339711089,141,100.0,5339711087,140,22.0,5339711083,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743878813,4,5,1,0,7,c165yjiny1qnmfdvefxvflnkc,0,23.2,101.0,2024-11-03T17:02:06.667Z,2024-11-03T17:14:48Z,3ylgelxr6ssp42hidfnchqp2i,K. Kirkegaard,,,5339711115,347,,5339711173,233,5,5339711111,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743878817,5,5,1,0,7,36g6ifzjliec1jqnbtf7yesme,1,76.8,-1.0,2024-11-03T17:02:06.667Z,2024-11-03T17:02:09Z,8vi3l756ez0e96k7muvg4ekbu,B. Pudel,,,5339711129,347,,5339711141,233,4,5339711127,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743878881,6,1,1,0,10,36g6ifzjliec1jqnbtf7yesme,1,77.7,0.0,2024-11-03T17:02:09.398Z,2024-11-03T17:02:12Z,de0dokhb6u6hts2hu5aupgiga,K. Jørgensen,,,5339711505,107,,5339711513,212,15.0,5339711511,141,10.1,5339711515,213,2.59,5339711507,56,Right,5339711509,140,65.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
