id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/14/value,qualifier/16/value
2706037517,1,34,16,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2024-08-04T15:08:33.586Z,2024-08-04T16:00:14Z,,,,,5132503083,197,5111,5132507897,194,etz3rjq7chhaomst5u28nnff9,5132334635,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5132334631,130,17,5132334629,59,"1, 2, 37, 4, 5, 30, 10, 35, 36, 11, 28, 8, 9, 16, 18, 22, 23, 32, 41, 99",5132334633,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5132334625,30,"4ilnnpfgjfz35lni9ppzd93v9, hsobzlp177f9755mpsi7szmy, 1gr0k94d0nh7msa32f6728aok, bnar4f48vnx4oaz2lzch48es5, bmkq3hz1z7lsji7wgr3j8978p, 56sjqxlsf5iitgww0hogez8ph, etz3rjq7chhaomst5u28nnff9, 2xp7fbcl6a4nua9jpm7b4k1sk, 7z1pv1wezn5rydamnknklv2ay, 9auqrrixu34cgkpe8trlkaoh6, 53nd6a4o02ebb0w2s12prijje, 8domjmewnw5h6b19vef8w0afp, 53tbs0tyag4c741oqro5t7b2t, 3hi7nroqhsvj8elv8nd9a8ted, cft1n7qn5juaedelpvqwo2f3d, 94didhw8o1blxonn4amoahcr9, 7ctsofo6904i5ysgpfh2sdv1m, 506kxojakimt5s0v2c4q6b33e, 17e766t2zpr5pmshhww0iu4us, 22760086vtvx2xulry32q21hw",5132334627,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706039497,1,34,16,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2024-08-04T15:11:58.821Z,2024-08-04T16:08:13Z,,,,,5132502659,197,6291,5132345887,130,13,5132345885,59,"32, 24, 20, 3, 6, 5, 13, 14, 26, 21, 17, 1, 7, 12, 15, 19, 22, 23, 27, 29",5132345889,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5132504741,194,deyq3zqd0vwc821ngqldxqor9,5132345881,30,"15fo180vixn0lb65fujttit3p, 4bstdc3zla1sn85ev3bcmw1lg, 2sgey1g99rmupumezjo9rkxcl, 5kghds186740jygx97bihh6mt, 5q5ph311bi310zt1e45u7i7dh, 5is9bcj143orulo4biogwxzl6, d854rlweyk5wq6d2veyviukq2, 6d0lxiep13vdv32bdb0xwyrys, deyq3zqd0vwc821ngqldxqor9, bpw4cd5vmghjhelb3uxupmqjt, 9pnirb3qt48zeui3su8cvu1ka, cl3w811fge6189cbclaslb26t, 6v4ykv7aw86ql22oksh682kus, 6ul2nma4j0a7e2li6wyyrpal1, 58o5ram4bf58357786j9jr7kk, 6zhj070huc77sl5o5bx6ey5g4, 79b0b6eqck5vn4b3fawxsaok, c36ffo382u9flu5foebt4di39, 6miatayfy07pf4og7qc7c7pqs, cty7nsrs5yn785m330c2gbwq2",5132345891,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5132345883,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706068475,2,32,1,0,0,anga7587r1zv4ey71ge9zxol3,1,0.0,0.0,2024-08-04T16:02:22.271Z,2024-08-04T18:43:43Z,,,,,5132512945,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706068483,2,32,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2024-08-04T16:02:22.271Z,2024-08-04T16:02:24Z,,,,,5132512965,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706068517,3,1,1,0,0,anga7587r1zv4ey71ge9zxol3,1,49.9,50.1,2024-08-04T16:02:22.272Z,2024-08-04T16:56:37Z,6d0lxiep13vdv32bdb0xwyrys,L. Sandgrav,,,5132513119,140,26.0,5132513117,56,Back,5132513123,212,25.4,5132513121,141,55.4,5132513125,213,3.00,5132513127,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706068579,4,1,1,0,3,anga7587r1zv4ey71ge9zxol3,0,27.1,53.9,2024-08-04T16:02:25.401Z,2024-08-04T16:56:38Z,5kghds186740jygx97bihh6mt,B. Hämäläinen,,,5132513459,140,77.7,5132513457,56,Right,5132513455,157,,5132513461,141,18.9,5132513463,212,58.2,5132513467,1,,5132513465,213,5.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706068581,3,1,1,0,6,9qsmopgutr7ut5g6workk8w4i,0,27.3,74.6,2024-08-04T16:02:29.065Z,2024-08-04T16:02:30Z,bnar4f48vnx4oaz2lzch48es5,J. Rasmussen,,,5132513479,213,5.74,5132513477,212,13.1,5132513475,141,64.7,5132513469,3,,5132513473,140,38.0,5132513471,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706068621,5,1,1,0,8,anga7587r1zv4ey71ge9zxol3,1,59.2,25.0,2024-08-04T16:02:31.225Z,2024-08-04T16:56:49Z,6d0lxiep13vdv32bdb0xwyrys,L. Sandgrav,,,5132513709,141,8.0,5132513705,56,Right,5132513707,140,65.6,5132513713,213,5.24,5132513711,212,13.4,5132513703,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706068649,6,1,1,0,10,anga7587r1zv4ey71ge9zxol3,0,66.0,8.6,2024-08-04T16:02:32.810Z,2024-08-04T16:56:50Z,4bstdc3zla1sn85ev3bcmw1lg,T. Storm,,,5132513915,213,6.25,5132513917,1,,5132513911,141,7.0,5132513913,212,33.1,5132513905,155,,5132513907,56,Right,5132513909,140,97.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706068661,4,12,1,0,12,9qsmopgutr7ut5g6workk8w4i,1,6.9,86.0,2024-08-04T16:02:35.224Z,2024-08-04T16:02:37Z,bnar4f48vnx4oaz2lzch48es5,J. Rasmussen,,,5132514041,167,,5132513989,141,100.0,5132513987,140,3.6,5132513985,56,Back,5132514029,15,,5132513993,213,1.90,5132513991,212,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
