id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/14/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2818856353,1,34,16,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2025-05-25T14:06:25.010Z,2025-05-25T15:06:54Z,,,,,5749885983,30,"5f4qlbohzja204gxm9tkiekq2, aswmi1pnkzkvkexp8ngief6j9, 5lssweodhkyifhj333v6f6r6c, 3l3v5wj4c7vtqqwu05b526590, 6my7s0ezr6jldotm1w6nk7b9x, 8xrco8qhcvplvc3wmcschoi22, 61sojkdsmaz9hbwaskt4rws15, 7je01bs3a4q6c2gd02ee6da3u, 3uytpqx0e0jr6zgbfl1znsm7e, 3sadup8mjwu4dc96wz6lmixn9, 43q9ytkbmtk5y3tgv77v7pmg9, 1h31bvtbae4q0edlp0u672hn9, e9lrzsiy94y46h62rnawi3sgl, 8og8nxbkcb63van4llvpkbe8l, asfu3i70ss0wqmdenqpx37p7u, 5qvy65ckiigykkowpyco05zv9, ca1b5707pdpx0ucug40ggnahh, 5zvghimmgu52ei5xz3qav4wt0, 76av5tb8cxhmr0yh3pbmk8npw, 26wmniyab5c3n946w2ezh37kk",5749885985,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5749885991,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5749885987,59,"22, 2, 23, 40, 5, 14, 8, 10, 31, 9, 7, 1, 3, 6, 17, 20, 29, 37, 39, 60",5749885989,130,10,5749995503,194,3sadup8mjwu4dc96wz6lmixn9,5749995505,197,21749,5749885993,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818857571,1,34,16,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2025-05-25T14:10:13.935Z,2025-05-25T14:56:53Z,,,,,5749893087,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5749893089,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5749893079,30,"4ilnnpfgjfz35lni9ppzd93v9, hsobzlp177f9755mpsi7szmy, 2tthm6h5o033dz440e476rhbe, bnar4f48vnx4oaz2lzch48es5, 506kxojakimt5s0v2c4q6b33e, 6anvl82jyio52wo87cbxdp4np, 2xp7fbcl6a4nua9jpm7b4k1sk, etz3rjq7chhaomst5u28nnff9, 7z1pv1wezn5rydamnknklv2ay, 53nd6a4o02ebb0w2s12prijje, chteizjcvxpvze9p77gcttcoa, bmkq3hz1z7lsji7wgr3j8978p, aa0888u38mjc1euhofseazb2t, d2itdjj8bx0aztqggfgv7amay, 9auqrrixu34cgkpe8trlkaoh6, 3hi7nroqhsvj8elv8nd9a8ted, 91suopiz6irxqevhzv8lx76ne, 56sjqxlsf5iitgww0hogez8ph, 1gr0k94d0nh7msa32f6728aok, caoahimfnw46l1vnpsp6vf9qs",5749995435,197,5111,5749893083,59,"1, 2, 24, 4, 32, 31, 35, 10, 36, 28, 7, 5, 6, 8, 11, 16, 17, 30, 37, 38",5749893085,130,17,5749904459,194,bnar4f48vnx4oaz2lzch48es5,5749893081,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877201,2,32,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2025-05-25T15:01:37.691Z,2025-05-25T21:35:57Z,,,,,5750004455,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877209,2,32,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2025-05-25T15:01:37.691Z,2025-05-25T15:01:40Z,,,,,5750004499,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877257,3,1,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,50.3,50.0,2025-05-25T15:01:37.692Z,2025-05-25T15:01:41Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Madsen,,,5750004747,279,S,5750004739,140,28.8,5750004745,213,3.20,5750004743,212,22.6,5750004737,56,Back,5750004741,141,48.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877489,4,1,1,0,3,5rz9enoyknpg8ji78za5b82p0,0,32.5,42.2,2025-05-25T15:01:41.103Z,2025-05-25T15:02:29Z,6my7s0ezr6jldotm1w6nk7b9x,F. Tingager,,,5750006007,56,Center,5750006009,140,78.3,5750006017,1,,5750006005,157,,5750006013,212,48.9,5750006015,213,6.10,5750006011,141,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877339,3,79,1,0,7,9qsmopgutr7ut5g6workk8w4i,0,0.0,0.0,2025-05-25T15:01:45.502Z,2025-05-25T15:01:45Z,,,,,5750005197,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877427,4,79,1,0,12,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2025-05-25T15:01:49.984Z,2025-05-25T15:01:50Z,,,,,5750005619,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877509,5,4,1,0,17,9qsmopgutr7ut5g6workk8w4i,1,21.0,80.2,2025-05-25T15:01:55.220Z,2025-05-25T15:02:41Z,bnar4f48vnx4oaz2lzch48es5,J. Rasmussen,,,5750006269,233,5,5750006247,56,Back,5750006249,152,,5750006243,13,,5750009905,294,,5750006255,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818877497,5,4,1,0,17,5rz9enoyknpg8ji78za5b82p0,0,79.0,19.8,2025-05-25T15:01:55.221Z,2025-05-25T15:02:26Z,3sadup8mjwu4dc96wz6lmixn9,P. Mortensen,,,5750006313,233,5,5750006133,13,,5750006135,56,Right,5750008653,294,,5750006137,152,,5750006141,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
