id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/8/value,qualifier/9/value,qualifier/10/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value,qualifier/18/value
2813383777,1,34,16,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2025-05-11T11:13:48.510Z,2025-05-11T12:06:05Z,,,,,5719798233,197,4597,5719579543,59,"13, 2, 25, 6, 3, 24, 10, 18, 17, 7, 8, 4, 11, 20, 21, 29, 34, 38, 40, 45",5719798231,194,5uqf7a0y0fd1hf2rrmgx11tuy,5719579563,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5719579559,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5719579551,130,8,5719579537,30,"49wkw0wkn4ta18b6657vjvglx, 7cpkykvmy8ujrahzdz7ksk2c5, 5ucbttulfcdufwr751zj0zcic, 5r1v2w303bvj0vv1893qr5d5h, chjcbjc5nv8uyiusfafts5zv9, 2rvx2wlfj2rxzcgye6wiw0v84, 5uqf7a0y0fd1hf2rrmgx11tuy, 2r8s61bmydlumhg62wd0y6fis, 3qcjzsb466tfri5yrj35wztw4, 7a1vtc0e7ubua2t0dwx9ufk7o, 4cubrfqgrc5ivbd6fdj3k3zf8, 55gunqozsj8gs6oua7ee5xxhx, 4oxlpwcwpa44hstpm70iep0id, bgviotid6bht0k2452r5gehw4, 6rd6a2f1k124dzp1p904yq3h0, ayistjficdvpd0v10681qf578, c1s6vw84nupd8c0mbj8gov5lg, 9h6c9ue598hllcri39erjitqs, 8dqghahifyr8tjcndw9pip3x0, apspqh3shqfwobvh35x60q5g4",5719579539,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813386117,1,34,16,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2025-05-11T11:17:07.523Z,2025-05-11T12:18:40Z,,,,,5719592025,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5719592021,130,17,5719592013,30,"4ilnnpfgjfz35lni9ppzd93v9, hsobzlp177f9755mpsi7szmy, 2tthm6h5o033dz440e476rhbe, bnar4f48vnx4oaz2lzch48es5, 506kxojakimt5s0v2c4q6b33e, 6anvl82jyio52wo87cbxdp4np, 2xp7fbcl6a4nua9jpm7b4k1sk, etz3rjq7chhaomst5u28nnff9, 7z1pv1wezn5rydamnknklv2ay, 53nd6a4o02ebb0w2s12prijje, chteizjcvxpvze9p77gcttcoa, bmkq3hz1z7lsji7wgr3j8978p, aa0888u38mjc1euhofseazb2t, d2itdjj8bx0aztqggfgv7amay, 9auqrrixu34cgkpe8trlkaoh6, 3hi7nroqhsvj8elv8nd9a8ted, 91suopiz6irxqevhzv8lx76ne, 56sjqxlsf5iitgww0hogez8ph, 1gr0k94d0nh7msa32f6728aok, caoahimfnw46l1vnpsp6vf9qs",5719592023,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5719935799,194,bnar4f48vnx4oaz2lzch48es5,5719813299,197,5111,5719592019,59,"1, 2, 24, 4, 32, 31, 35, 10, 36, 28, 7, 5, 6, 8, 11, 16, 17, 30, 37, 38",5719592017,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813429419,2,32,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2025-05-11T12:00:40.670Z,2025-05-11T17:55:29Z,,,,,5719814631,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813429413,2,32,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2025-05-11T12:00:40.670Z,2025-05-11T12:00:42Z,,,,,5719814617,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813429429,3,1,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,49.6,49.4,2025-05-11T12:00:40.685Z,2025-05-11T12:41:09Z,etz3rjq7chhaomst5u28nnff9,D. Wass,,,5719814683,141,52.5,5719814679,56,Center,5719814685,212,2.3,5719814681,140,50.4,5719814689,279,S,5719814687,213,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813429517,4,1,1,0,4,9qsmopgutr7ut5g6workk8w4i,1,57.7,62.9,2025-05-11T12:00:45.293Z,2025-05-11T12:00:48Z,chteizjcvxpvze9p77gcttcoa,N. Vallys,,,5719815135,140,59.3,5719815141,213,1.49,5719815133,56,Left,5719815139,212,20.5,5719815137,141,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813429557,5,1,1,0,7,9qsmopgutr7ut5g6workk8w4i,1,59.1,93.0,2025-05-11T12:00:47.992Z,2025-05-11T12:00:50Z,2tthm6h5o033dz440e476rhbe,M. Divković,,,5719815323,212,25.6,5719815317,56,Back,5719815319,140,36.5,5719815321,141,78.8,5719815325,213,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813429595,6,1,1,0,10,9qsmopgutr7ut5g6workk8w4i,1,36.4,73.5,2025-05-11T12:00:50.824Z,2025-05-11T12:00:53Z,bnar4f48vnx4oaz2lzch48es5,J. Rasmussen,,,5719815531,212,22.0,5719815529,141,41.2,5719815533,213,4.66,5719815527,140,35.2,5719815525,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813429653,7,1,1,0,12,9qsmopgutr7ut5g6workk8w4i,1,35.2,41.2,2025-05-11T12:00:52.905Z,2025-05-11T12:00:56Z,506kxojakimt5s0v2c4q6b33e,F. Alves,,,5719815839,140,14.9,5719815837,56,Back,5719815843,212,22.4,5719815845,213,2.83,5719815841,141,51.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813429789,8,1,1,0,15,9qsmopgutr7ut5g6workk8w4i,1,19.2,59.0,2025-05-11T12:00:56.200Z,2025-05-11T12:01:14Z,4ilnnpfgjfz35lni9ppzd93v9,P. Pentz,1.0,,5719816617,212,65.0,5719816619,213,0.07,5719816613,140,80.9,5719816621,1,,5719817815,210,15,5719816615,141,66.0,5719816611,56,Center,5719816609,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
