id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/value,qualifier/15/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/14/value,qualifier/18/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2795573055,1,34,16,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2025-04-04T16:10:14.793Z,2025-04-04T21:53:44Z,,,,,5621655127,194,a87w6l9zsbahdi4knm1347zs9,5621538881,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5621538875,59,"16, 43, 29, 80, 4, 22, 19, 24, 7, 11, 58, 1, 3, 6, 14, 18, 20, 21, 41, 55",5621538879,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5621538877,130,4,5621538873,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5621538871,30,"7yim2aepctujr2m4p20a97755, fwu0bja02waqct7l682s5mfp, ajhd3cqclubmexhscpd4w4ez9, 1qcf5gb8wf8f4tu94xh96yqy, ddl5g7raihnc9s4u3wetz8v10, a87w6l9zsbahdi4knm1347zs9, bwfg9frq2ecbzg7wlzqjtnv2s, drlp4xtkta08jiu0px6m4ocq2, 1sdsqfn743j5tqem8ra7sppn8, djlyi0ad4x1p0k4thn8n0axw4, 4zrsiizdbzwwkmit3ta0f0dbe, 41ii5y9ebz5e3xhaif9kc8qmt, c3sp1x0shf2b24rl5ike6v0iy, 8yfw9f74h0yfz51bkxxc8p39x, bcscjb9jdgu4ims9n3vwuj5k9, elhmf9cc26ec5p1wnwonuxf4l, e73sexp7kse0wlykdi7xcbg2c, 78kzajya12k4sm0ebfl37d6ok, e64kcio0848bpw39eedbjyd5g, 8mn8apr6n7t7s6lx4d4vvdnca",5621654623,197,24384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795574345,1,34,16,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2025-04-04T16:13:13.942Z,2025-04-04T22:07:34Z,,,,,5621546047,59,"1, 24, 27, 16, 3, 4, 10, 6, 26, 17, 9, 7, 11, 14, 15, 18, 25, 28, 30, 90",5621546049,130,8,5621546045,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5621546051,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5621546053,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5621655009,197,4650,5621546043,30,"dmxzug2enscx331w5vmdzn2s5, 3cdo7b8vwb5kzeoaxzqm6esk4, 6m5ftd7c68b2d4d2931xs5srt, brsecgiiou4wcogoimzawyhp0, effgiwtme6eu08o1ninlnqqqd, 8cox96ikk1k4c24f0y5ef45x, ag40mk09zc8tzbkr7dnnqumay, 6uj3c69lgu6boblkjiuhoy6eh, 54ipja7wrxji6kn8yw5uhr6ga, 8domjmewnw5h6b19vef8w0afp, 606hufq6dapf3qxcgilbc8tt5, 1329qhvvxpp6j4q5esh4n3hii, d1j2a0az2datf1l2efdzne7vu, o7nooyu95nab78ys541e3uuh, 2datlbzulrzdgpyxv3fkzn0et, 3aoh34sqan7y34c2qa1d6xkyy, cyuoj9pesenese4i3pklv7d2h, 2mawaijd9czgtd5jh9myk434l, 4vfbiav52mg5s9vnx53f0nhuc, 9yuyz4ci6wqikd6ckjstbt2i1",5621655007,194,8cox96ikk1k4c24f0y5ef45x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595217,2,32,1,0,0,59as3grjvj19voay31j3yfgni,1,0.0,0.0,2025-04-04T17:01:52.142Z,2025-04-04T17:01:54Z,,,,,5621660539,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595213,2,32,1,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,0.0,0.0,2025-04-04T17:01:52.142Z,2025-04-04T19:59:06Z,,,,,5621660523,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595243,3,1,1,0,0,9w3sjm5ml4sjr2v81oxzdrt8v,1,50.0,50.0,2025-04-04T17:01:52.143Z,2025-04-04T17:01:55Z,8domjmewnw5h6b19vef8w0afp,M. Greve,,,5621660697,141,46.5,5621660703,279,S,5621660701,213,3.28,5621660695,140,33.8,5621660699,212,17.2,5621660693,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595269,4,1,1,0,2,9w3sjm5ml4sjr2v81oxzdrt8v,1,33.3,45.2,2025-04-04T17:01:55.116Z,2025-04-04T17:01:57Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,,5621660827,213,1.41,5621660819,140,36.4,5621660817,56,Back,5621660823,212,20.1,5621660821,141,74.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595325,5,1,1,0,4,9w3sjm5ml4sjr2v81oxzdrt8v,1,37.1,72.4,2025-04-04T17:01:57.019Z,2025-04-04T17:02:01Z,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,,5621661105,141,47.8,5621661109,213,4.55,5621661107,212,16.9,5621661103,140,34.5,5621661101,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595351,6,1,1,0,9,9w3sjm5ml4sjr2v81oxzdrt8v,0,35.6,45.0,2025-04-04T17:02:01.292Z,2025-04-04T17:02:05Z,effgiwtme6eu08o1ninlnqqqd,D. Høegh,,,5621661257,140,62.3,5621661259,141,91.7,5621661261,212,42.4,5621661263,213,0.85,5621661253,56,Left,5621661265,1,,5621661251,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595365,3,44,1,0,11,59as3grjvj19voay31j3yfgni,1,33.2,6.6,2025-04-04T17:02:03.635Z,2025-04-04T17:46:08Z,fwu0bja02waqct7l682s5mfp,K. Mbabu,,,5621661313,56,Back,5621661375,233,7,5621661317,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795595357,7,44,1,0,11,9w3sjm5ml4sjr2v81oxzdrt8v,0,66.8,93.4,2025-04-04T17:02:03.636Z,2025-04-04T17:46:08Z,6m5ftd7c68b2d4d2931xs5srt,O. Olsen,,,5621661381,233,3,5621661291,56,Left,5621661293,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
