id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2750065857,1,34,16,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2024-11-22T17:06:22.676Z,2024-11-22T18:01:13Z,,,,5373742187,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5373742195,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5373742185,30,"49wkw0wkn4ta18b6657vjvglx, 7cpkykvmy8ujrahzdz7ksk2c5, 2rvx2wlfj2rxzcgye6wiw0v84, etfoa7t308eq1xdmo9m2gfcgl, ddsv1cx4vopu1xis5xwkx2qz8, 55gunqozsj8gs6oua7ee5xxhx, 5r1v2w303bvj0vv1893qr5d5h, c9e54hwefvwos94ri459uylbe, 4rgz5z372h6sbwhpxl69cb6c5, 7a1vtc0e7ubua2t0dwx9ufk7o, 5uqf7a0y0fd1hf2rrmgx11tuy, 4cubrfqgrc5ivbd6fdj3k3zf8, 76k8ic97o66kaq2e52bmp27ai, 3qcjzsb466tfri5yrj35wztw4, 2r8s61bmydlumhg62wd0y6fis, 6rd6a2f1k124dzp1p904yq3h0, e07zv7ag985v8lq9sebfi27l5, 3zc9hy5uicgp21wr6z5wyuntg, 9h6c9ue598hllcri39erjitqs, apspqh3shqfwobvh35x60q5g4",5373835455,194,55gunqozsj8gs6oua7ee5xxhx,5373835089,197,4597,5373742189,59,"13, 2, 24, 6, 19, 4, 16, 5, 7, 14, 10, 8, 11, 17, 18, 21, 32, 36, 38, 45",5373742191,130,4,5373742193,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750067349,1,34,16,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-11-22T17:09:57.939Z,2024-11-22T18:01:25Z,,,,5373835809,197,21749,5373750331,130,12,5373750327,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5373750325,30,"1h31bvtbae4q0edlp0u672hn9, aswmi1pnkzkvkexp8ngief6j9, 4vmgmzg2004twoc39sk7zkzqh, cgkvw4q8ddcjl0po181upzwx6, 6my7s0ezr6jldotm1w6nk7b9x, e9lrzsiy94y46h62rnawi3sgl, 61sojkdsmaz9hbwaskt4rws15, 43q9ytkbmtk5y3tgv77v7pmg9, 3sadup8mjwu4dc96wz6lmixn9, 3uytpqx0e0jr6zgbfl1znsm7e, 8og8nxbkcb63van4llvpkbe8l, 7je01bs3a4q6c2gd02ee6da3u, 9trvbmdwo8fkndwjz9mr1bfmx, 8xrco8qhcvplvc3wmcschoi22, efubck8twu1elbhlomltnjjtg, 5qvy65ckiigykkowpyco05zv9, 3gemcjqban843su9c9y5l2sk4, 654obqy73ov2t5800r2woo6w9, ca1b5707pdpx0ucug40ggnahh, 3l3v5wj4c7vtqqwu05b526590",5373750333,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5373835807,194,3sadup8mjwu4dc96wz6lmixn9,5373750335,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5373750329,59,"1, 2, 11, 19, 5, 3, 8, 7, 9, 31, 6, 10, 13, 14, 18, 20, 26, 27, 29, 40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084345,2,32,1,0,0,77tfx9me4aaqhzv78bmgsy9bg,1,0.0,0.0,2024-11-22T18:02:12.582Z,2024-11-22T20:40:43Z,,,,5373840171,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084349,2,32,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-11-22T18:02:12.582Z,2024-11-22T18:02:14Z,,,,5373840189,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084379,3,1,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,50.0,50.0,2024-11-22T18:02:12.583Z,2024-11-22T20:40:56Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Madsen,,5373840335,279,S,5373840329,141,43.1,5373840331,212,4.9,5373840333,213,4.39,5373840325,56,Back,5373840327,140,48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084385,4,1,1,0,7,5rz9enoyknpg8ji78za5b82p0,1,55.1,57.3,2024-11-22T18:02:20.394Z,2024-11-22T20:41:05Z,3uytpqx0e0jr6zgbfl1znsm7e,T. Bech,,5373840365,212,20.5,5373840367,213,1.09,5373840359,56,Left,5373840361,140,64.2,5373840363,141,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084391,5,1,1,0,8,5rz9enoyknpg8ji78za5b82p0,1,71.2,88.0,2024-11-22T18:02:21.321Z,2024-11-22T18:02:22Z,4vmgmzg2004twoc39sk7zkzqh,G. Links,,5373840393,213,0.76,5373840391,212,6.4,5373840389,141,94.5,5373840385,56,Left,5373840387,140,75.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084399,6,1,1,0,9,5rz9enoyknpg8ji78za5b82p0,1,75.6,94.5,2024-11-22T18:02:22.138Z,2024-11-22T18:02:22Z,cgkvw4q8ddcjl0po181upzwx6,E. Kahl,,5373840431,140,80.4,5373840433,141,86.2,5373840437,213,5.44,5373840435,212,7.6,5373840429,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084417,7,1,1,0,10,5rz9enoyknpg8ji78za5b82p0,0,85.8,89.3,2024-11-22T18:02:22.858Z,2024-11-22T20:41:19Z,43q9ytkbmtk5y3tgv77v7pmg9,M. Madsen,,5373840497,213,1.23,5373840491,140,88.3,5373840489,56,Left,5373840495,212,7.9,5373840493,141,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750084425,3,5,1,0,12,77tfx9me4aaqhzv78bmgsy9bg,1,11.8,-0.6000000000000001,2024-11-22T18:02:24.773Z,2024-11-22T18:11:36Z,ddsv1cx4vopu1xis5xwkx2qz8,L. Hey,,5373840553,347,,5373840551,56,Back,5373840557,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
