id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2780109321,1,34,16,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2025-02-23T13:56:36.974Z,2025-02-23T15:00:37Z,,,,,5536600537,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5536600545,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5536600535,30,"53y263xxfdf1itytiqhg3v6c5, 6lap0wrnichfxxqm5kgtoflec, 6xjbcik3a56d0vqy4vrq5eokp, 7uia9zlz3axnuc6usdn9u4kfe, 1ykl08k2c2kwxukw0gvslf6qd, 6ylzm57bvpufg3cenadtv7qhh, 22zuxw8lez5w4vjd8spzzysyc, 1xjhud4hyekcg08nue1iosmsq, babnrlnt04mal0268p9dxas8a, 1hbucfyn2l3bxcw5r4zcb1dlg, 3ylgelxr6ssp42hidfnchqp2i, 2anc9ug5nr25khmtcc4id2pxx, 1yqlkot5sh85ot3eemo67djv9, 7rtrg77m3xozgfhu3p2ihfey2, 94hei5v2f93ga4b0iwxxisbu1, 9yiz575rldkwu7icgqwk1qmdx, ajk0mbprro09pccglih9y740k, 1k9g7x8jwhzcpx8bc5ji7og0k, chsirsawrhuh787kofklnjmqd, 6c2isptqoy4cq5c8rlr9s1roq",5536600539,59,"1, 23, 38, 34, 13, 14, 8, 2, 45, 37, 10, 5, 7, 11, 17, 18, 22, 24, 29, 59",5536600541,130,4,5536945645,194,1xjhud4hyekcg08nue1iosmsq,5536600543,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5536954933,197,12608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780112137,1,34,16,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2025-02-23T14:00:30.673Z,2025-02-23T15:55:27Z,,,,,5536615647,30,"3hi7nroqhsvj8elv8nd9a8ted, 6anvl82jyio52wo87cbxdp4np, 2tthm6h5o033dz440e476rhbe, aa0888u38mjc1euhofseazb2t, 506kxojakimt5s0v2c4q6b33e, bnar4f48vnx4oaz2lzch48es5, d2itdjj8bx0aztqggfgv7amay, 2xp7fbcl6a4nua9jpm7b4k1sk, 91suopiz6irxqevhzv8lx76ne, 53nd6a4o02ebb0w2s12prijje, 7z1pv1wezn5rydamnknklv2ay, bmkq3hz1z7lsji7wgr3j8978p, chteizjcvxpvze9p77gcttcoa, etz3rjq7chhaomst5u28nnff9, 9auqrrixu34cgkpe8trlkaoh6, 1tt9jeekqwpyi6lnj4vyouuj8, caoahimfnw46l1vnpsp6vf9qs, 5ssy03x358qpvbvlhdg2152qc, aiuhe3d7tyvihiu5ysnp2740k, 51imtpvf4bb1ra8v8z8jmstg4",5536615653,59,"16, 31, 24, 6, 32, 4, 8, 35, 17, 28, 36, 5, 7, 10, 11, 34, 38, 42, 43, 50",5536615649,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5536615661,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5536641437,194,bnar4f48vnx4oaz2lzch48es5,5536969525,197,27963,5536615657,130,4,5536615665,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780174971,2,32,1,0,0,c165yjiny1qnmfdvefxvflnkc,1,0.0,0.0,2025-02-23T15:01:13.527Z,2025-02-23T17:41:00Z,,,,,5536957477,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780174985,2,32,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,0.0,0.0,2025-02-23T15:01:13.527Z,2025-02-23T15:01:14Z,,,,,5536957529,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780175055,3,1,1,0,0,9qsmopgutr7ut5g6workk8w4i,1,50.0,50.0,2025-02-23T15:01:13.541Z,2025-02-23T15:01:18Z,7z1pv1wezn5rydamnknklv2ay,M. Kvistgaarden,,,5536957883,141,52.1,5536957881,140,38.7,5536957885,212,12.0,5536957879,56,Back,5536957887,213,3.02,5536957889,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780175085,4,1,1,0,4,9qsmopgutr7ut5g6workk8w4i,1,38.2,52.5,2025-02-23T15:01:17.901Z,2025-02-23T15:01:19Z,aa0888u38mjc1euhofseazb2t,S. Spierings,,,5536958083,212,14.2,5536958081,141,32.7,5536958079,140,34.0,5536958085,213,4.40,5536958077,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780175137,5,1,1,0,6,9qsmopgutr7ut5g6workk8w4i,1,33.9,32.7,2025-02-23T15:01:19.829Z,2025-02-23T15:01:23Z,506kxojakimt5s0v2c4q6b33e,F. Alves,,,5536958311,140,39.1,5536958313,141,70.0,5536958309,56,Back,5536958317,213,1.36,5536958315,212,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780175175,6,1,1,0,9,9qsmopgutr7ut5g6workk8w4i,1,39.3,73.0,2025-02-23T15:01:22.949Z,2025-02-23T17:55:53Z,bnar4f48vnx4oaz2lzch48es5,J. Rasmussen,,,5536958561,141,96.9,5536958551,56,Left,5536958565,212,24.7,5536958555,140,57.0,5536958569,213,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780175205,7,1,1,0,13,9qsmopgutr7ut5g6workk8w4i,1,58.6,95.3,2025-02-23T15:01:26.612Z,2025-02-23T15:49:27Z,2tthm6h5o033dz440e476rhbe,M. Divković,,,5536958731,212,22.1,5536958733,213,3.64,5536958729,141,79.9,5536958727,140,40.1,5536958725,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780175261,8,1,1,0,16,9qsmopgutr7ut5g6workk8w4i,1,41.4,76.9,2025-02-23T15:01:29.813Z,2025-02-23T15:01:32Z,bnar4f48vnx4oaz2lzch48es5,J. Rasmussen,,,5536959035,56,Back,5536959045,212,18.9,5536959047,213,4.60,5536959039,140,39.4,5536959043,141,49.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
