id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/9/value,qualifier/13/value,qualifier/12/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2754194019,1,34,16,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-12-01T16:04:56.031Z,2024-12-01T17:16:18Z,,,,,5396332565,194,3sadup8mjwu4dc96wz6lmixn9,5395979473,130,12,5395979481,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5395979479,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5395979469,59,"1, 2, 11, 19, 5, 3, 10, 8, 9, 31, 7, 13, 14, 15, 16, 20, 23, 26, 29, 40",5395979463,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5395979459,30,"1h31bvtbae4q0edlp0u672hn9, aswmi1pnkzkvkexp8ngief6j9, 4vmgmzg2004twoc39sk7zkzqh, cgkvw4q8ddcjl0po181upzwx6, 6my7s0ezr6jldotm1w6nk7b9x, e9lrzsiy94y46h62rnawi3sgl, 7je01bs3a4q6c2gd02ee6da3u, 61sojkdsmaz9hbwaskt4rws15, 3sadup8mjwu4dc96wz6lmixn9, 3uytpqx0e0jr6zgbfl1znsm7e, 43q9ytkbmtk5y3tgv77v7pmg9, 9trvbmdwo8fkndwjz9mr1bfmx, 8xrco8qhcvplvc3wmcschoi22, bz77hr28a1yskifpuvzu8smsq, 6jgd09iosfe5mn3tputmjx2ad, 5qvy65ckiigykkowpyco05zv9, 5lssweodhkyifhj333v6f6r6c, 3gemcjqban843su9c9y5l2sk4, ca1b5707pdpx0ucug40ggnahh, 3l3v5wj4c7vtqqwu05b526590",5396332567,197,14750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754199803,1,34,16,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2024-12-01T16:09:13.131Z,2024-12-01T17:15:10Z,,,,,5396010991,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5396333233,197,6293,5396010989,30,"b2492j7qzdo7g3ysxz6gq4g5x, 55u45p7vwom7civ3xy3hdf71m, 2513579m13glsous1p82fbjzd, bplpqy3ierwlm12d1f3prue7e, 9zhmwx3g0m6xi2oh57g4z35nu, 4qo7eu3xwhkpssbuyk4n70fe1, cuufy3ioo1kio56er2cfn0mqc, 6wrch4yhbs6utcc0doguj90q, n2annzbap7hll02zo2v0ccgk, avtms6bcr8i7qdacuv225evo5, bb8q9cgqzw9n2tmkl8s3bth0q, 242y4x99xvpu9zvln5vxoepjp, 6f6x6f9iybgp9pmkqati2otn8, alqg6ch3anqkq9613hu6m1d04, 349g9rdismqpb1aarjp011bd, 7h39w16zvj1lbfb0rqr7kvt1x, 7zaveckhldl5rieo5ddsqtt2i, d8nahz092xxj6muqc24hocp3o, 89xit2bryc0g4yhqina7akjkk, lmrff8mviimc33yyrpjzr2tw",5396010995,130,9,5396010993,59,"1, 5, 2, 6, 3, 4, 33, 20, 23, 8, 10, 7, 9, 11, 17, 19, 25, 30, 36, 41",5396010999,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5396333231,194,b2492j7qzdo7g3ysxz6gq4g5x,5396010997,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754259889,2,32,1,0,0,5rz9enoyknpg8ji78za5b82p0,1,0.0,0.0,2024-12-01T17:00:42.279Z,2024-12-01T17:00:42Z,,,,,5396341695,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754259893,2,32,1,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,0.0,0.0,2024-12-01T17:00:42.279Z,2024-12-01T17:00:44Z,,,,,5396341703,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754259899,3,1,1,0,0,ahnt9ejgwj58ul8auzdvi3czf,1,49.9,50.0,2024-12-01T17:00:42.400Z,2024-12-01T17:55:28Z,bb8q9cgqzw9n2tmkl8s3bth0q,Y. Bakiz,,,5396341749,213,5.64,5396341747,212,2.4,5396341743,140,51.7,5396341745,141,47.9,5396341741,56,Center,5396341751,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754259935,4,1,1,0,2,ahnt9ejgwj58ul8auzdvi3czf,1,47.0,52.4,2024-12-01T17:00:44.801Z,2024-12-01T17:00:46Z,n2annzbap7hll02zo2v0ccgk,T. Adamsen,,,5396341925,141,79.1,5396341921,56,Back,5396341929,213,1.52,5396341927,212,18.2,5396341923,140,47.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754259957,5,61,1,0,4,ahnt9ejgwj58ul8auzdvi3czf,1,56.2,80.0,2024-12-01T17:00:46.289Z,2024-12-01T17:55:52Z,cuufy3ioo1kio56er2cfn0mqc,M. Freundlich,,,5396342017,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754260019,6,1,1,0,5,ahnt9ejgwj58ul8auzdvi3czf,1,57.7,92.6,2024-12-01T17:00:48Z,2024-12-01T17:00:53Z,2513579m13glsous1p82fbjzd,A. Poulsen,,,5396342323,141,75.6,5396342327,213,3.59,5396342319,56,Back,5396342321,140,34.6,5396342325,212,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754260037,7,1,1,0,11,ahnt9ejgwj58ul8auzdvi3czf,1,24.6,71.5,2024-12-01T17:00:53.328Z,2024-12-01T17:00:55Z,4qo7eu3xwhkpssbuyk4n70fe1,Pedro Ganchas,,,5396342439,213,5.33,5396342437,212,8.3,5396342433,140,29.2,5396342435,141,61.5,5396342431,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754260085,8,1,1,0,13,ahnt9ejgwj58ul8auzdvi3czf,1,29.2,59.9,2024-12-01T17:00:55.296Z,2024-12-01T17:00:59Z,bplpqy3ierwlm12d1f3prue7e,P. Mattsson,,,5396342709,213,1.42,5396342707,212,18.1,5396342703,140,31.8,5396342705,141,86.2,5396342701,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
