id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/8/value,qualifier/12/value,qualifier/10/value,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2792557097,1,34,16,0,0,czkf5t3ai00ghwbga03i5aqxw,1,0.0,0.0,2025-03-29T13:11:53.733Z,2025-03-29T14:16:05Z,,,,5604927041,130,8,5604927035,30,"26dlb4txygf7qzukjikr23mxh, bv57jiquzqjnzuxzw5r663aad, ab3og2sas7q4czd31wbdbnro, bhaqw4112j43c753dlxhy61ud, ebhyx7fm13sy9qjf4vylzg89h, 23p0dby12ymf55wwi0xz2fnx1, 3xughe5ngeamjas70lyheyezu, 7pel84swlqfux6obt6lznze1h, dvl8q7nwvz3o6d73220d1ag2d, 370kkwnidcltqyooh51z6uzqi, 5t5ib5l818gj98xrztrj0kbca, 7yocn8krssddsjcnmpe1y9b10, 6n7sw8r0fhcoa8hfuxrtm96tx, 3bepi58wwope38a478y7jwlxw, 1utyorvutnk14hp6dr079t1m2, csd7qb9u0a9am2ltse9w31uz8, dkc69jkzi4e9ysgmwldz249as, e5oacvmfe0ig0vfrk0oxaqcq1, a3jetivxcnpp4z36nhboz5ysq, 5jos8v6hr086q8at9iuyhwded",5604927045,194,ebhyx7fm13sy9qjf4vylzg89h,5604927047,197,5157,5604927037,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5604927039,59,"35, 18, 27, 13, 4, 3, 22, 6, 10, 7, 15, 40, 8, 9, 11, 12, 20, 23, 29, 5",5604927049,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5604927043,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792564077,1,34,16,0,0,93ohqui2qgqm8408viwmm1ken,1,0.0,0.0,2025-03-29T13:18:34.704Z,2025-03-29T14:11:03Z,,,,5604964141,59,"1, 17, 25, 7, 18, 19, 8, 23, 9, 10, 22, 33, 2, 11, 13, 16, 20, 29, 35, 38",5604964137,30,"cj7aybqox4kzoicnzea7b64t1, 4yg4i2wvdz87rrxpn0rqn2xg5, carpl05zgalgbsd6gnk3akc89, d58ji96mcnebbci6skc46x9uc, 4j6a6qec8m58zgojpbv8wxnf9, as6coaak724tr7igyz1wwlfc9, 5mb3g5nufbwhw09w3wgm6glwp, azcjwvw9799e6bawnlcb0lt2i, 90eoelhr2oxpg3ejr2whwwu6t, 62w849kqrnjm00xr12suencgl, dvi2tleym136aqpvwfi4lustm, 7iv79dtpsplpjl1jxod3swmlm, lh30ckelpek3u7jbzotxuvze, 4az5n8aekw6ipzu7fagqhkys4, 70uwtz6q782qjf2mqpdlqpbkl, b9tsqyrv0xp0tt5nzwrmy9gb9, 53dvtfms2uxd500y87x5jf2eh, 8ydeghsg8bdyovqjnr56hz8x5, 7si8brq1p8o6fvw93hq9v9bmc, 7hugqbtot3c8fmxtfqld9l15g",5604964147,194,62w849kqrnjm00xr12suencgl,5604964151,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5604964145,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5604964149,197,25087,5604964139,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5604964143,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792605435,2,32,1,0,0,93ohqui2qgqm8408viwmm1ken,1,0.0,0.0,2025-03-29T14:03:57.654Z,2025-03-29T14:03:59Z,,,,5605180485,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792605447,2,32,1,0,0,czkf5t3ai00ghwbga03i5aqxw,1,0.0,0.0,2025-03-29T14:03:57.654Z,2025-03-29T14:04:01Z,,,,5605180551,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792605537,3,1,1,0,0,93ohqui2qgqm8408viwmm1ken,1,50.1,50.1,2025-03-29T14:03:57.655Z,2025-03-29T14:04:04Z,62w849kqrnjm00xr12suencgl,A. Christiansen,,5605181001,212,13.4,5605180997,140,38.1,5605181005,279,S,5605180999,141,43.4,5605180995,56,Back,5605181003,213,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792605555,4,1,1,0,5,93ohqui2qgqm8408viwmm1ken,1,39.0,40.7,2025-03-29T14:04:03.088Z,2025-03-29T14:04:05Z,azcjwvw9799e6bawnlcb0lt2i,L. Berg Johnsen,,5605181125,141,53.9,5605181129,213,2.49,5605181123,140,27.7,5605181121,56,Back,5605181127,212,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792605583,5,1,1,0,6,93ohqui2qgqm8408viwmm1ken,1,26.7,54.2,2025-03-29T14:04:04.632Z,2025-03-29T14:04:08Z,as6coaak724tr7igyz1wwlfc9,C. Rösler,,5605181235,140,27.7,5605181241,213,4.76,5605181237,141,18.3,5605181239,212,24.4,5605181233,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792605593,6,1,1,0,7,93ohqui2qgqm8408viwmm1ken,0,27.7,18.3,2025-03-29T14:04:04.712Z,2025-03-29T14:04:42Z,4yg4i2wvdz87rrxpn0rqn2xg5,J. Stryger Larsen,,5605181275,56,Back,5605181281,212,12.5,5605181279,141,14.4,5605181273,155,,5605181277,140,39.3,5605181283,213,6.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792605589,3,1,1,0,10,czkf5t3ai00ghwbga03i5aqxw,0,52.6,97.5,2025-03-29T14:04:08.215Z,2025-03-29T14:11:53Z,ab3og2sas7q4czd31wbdbnro,K. Kosugi,,5605227923,141,100.0,5605181267,56,Left,5605227915,157,,5605227929,1,,5605227927,213,0.15,5605227925,212,17.3,5605227921,140,68.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792605649,7,1,1,0,12,93ohqui2qgqm8408viwmm1ken,0,29.8,6.5,2025-03-29T14:04:10.456Z,2025-03-29T14:04:40Z,4yg4i2wvdz87rrxpn0rqn2xg5,J. Stryger Larsen,,5605181593,141,6.2,5605181589,56,Back,5605184271,233,4,5605181705,236,,5605181595,212,2.9,5605181711,286,,5605181597,213,6.21,5605181591,140,32.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
