id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId
2817123219,1,34,16,0,0,spvvjmk37iid7hsky9g3nce7,1,0.0,0.0,2025-05-19T16:07:09.304Z,2025-05-19T17:04:26Z,,,,,5740146681,59,"1, 14, 11, 10, 5, 24, 17, 22, 18, 7, 19, 35, 6, 15, 16, 23, 25, 26, 27, 39",5740146691,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5740146683,130,8,5740146685,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5740146687,194,czfitwajt0sayki90i3fk5n85,5740146677,30,"4cytj4f9uirlo8vb8mcsv6v6y, 23iwje6cgkgc05szzf2l5z97u, 9dfl060r1skgp74piehh2uvhl, drzdo6ouxi5n4jafhfajpor85, a0i74nqik3lbi02ngno0m0ys4, 5h6xr50d54zcxnktz7q58oa1h, 9hg51o20uf6u2bjgshjax9soa, czfitwajt0sayki90i3fk5n85, 15mg49mqn215ce4ojukev0o2x, 93qjy2eilbuufwu2kbwpfng7p, f0iow2x82mfh6x1olrrjo5puc, bomd9wl2cnqwck46ctwjqju1h, bbrdybdlcobf8cc9epxzeledw, bqravo7lm21jq5m4cz8uhx638, dgxqp83lhb316dec1rpi5op62, 48wcoed2907qqcsfoyhd4y87o, b7bmxh0q5aa8646sxmvy0etqs, 43anppywo7v1ydan12sq816ac, eb0ovd9v1dlil87ty5ueboy6s, to4j02so007q7mkqpnrrumtw",5740146679,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5740146689,197,7821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817123929,1,34,16,0,0,ac8jow4mdkvnsv5s0och4qqm,1,0.0,0.0,2025-05-19T16:10:46.715Z,2025-05-19T17:17:56Z,,,,,5740150861,59,"25, 21, 6, 5, 3, 2, 19, 24, 7, 23, 10, 40, 4, 16, 17, 20, 27, 32, 39, 77",5740150863,130,10,5740150859,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5740150871,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5740150857,30,"8vl4hue7ixvxh4dtner52sfrp, aqjwz3wm0it916o2vb5tz9vxl, 2lyhi7j3id7emsh54ehdva3ca, 17zz0x6tm20e9yfh4q5ehaf9x, 8unnvgvft6knxupbp9oxh621h, 253za05jf3mmaqkjndm10d2lm, ci5y030e6r9umgyjbupwske7d, c9qk8n9d4130okk9go1brzskq, 7qgiqoaaarr6c2bs4yffqwju2, 9niqy9wbsy6b03fa5iyx22gic, aw75jdzi3u012jkwj7t0eln2s, 89ow55pri5urh5lk857koiihg, 6a6ki8j5n8w1oa3wvdc00chqt, hm7w2b4a6j0q3bprq118r5uy, av9lz5umeimwlq7v4q4d7twr8, 7srm9q1vlw55g0p0tugtlr3ai, dxjb3lzx9qudbom1zbgyupt78, bpu2cfexsy3lcf7avl9im6gb8, 32xfhqnf7sa2pyyttqac9u385, 4smb0sorl9dms1k26si6tbqzu",5740150865,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5740150867,194,8unnvgvft6knxupbp9oxh621h,5740150869,197,22113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131453,2,32,1,0,0,spvvjmk37iid7hsky9g3nce7,1,0.0,0.0,2025-05-19T17:01:43.683Z,2025-05-19T17:01:46Z,,,,,5740197907,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131451,2,32,1,0,0,ac8jow4mdkvnsv5s0och4qqm,1,0.0,0.0,2025-05-19T17:01:43.683Z,2025-05-19T17:01:43Z,,,,,5740197895,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131455,3,1,1,0,0,spvvjmk37iid7hsky9g3nce7,1,50.0,50.0,2025-05-19T17:01:43.694Z,2025-05-19T17:14:11Z,drzdo6ouxi5n4jafhfajpor85,N. Røjkjær,,,5740197913,141,48.5,5740197911,140,30.1,5740197919,279,S,5740197917,213,3.19,5740197915,212,20.9,5740197909,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131487,4,1,1,0,4,spvvjmk37iid7hsky9g3nce7,1,32.2,46.6,2025-05-19T17:01:48.302Z,2025-05-19T17:01:51Z,a0i74nqik3lbi02ngno0m0ys4,Abdullah Iqbal,,,5740198135,157,,5740198137,56,Right,5740198139,140,68.7,5740198145,213,5.66,5740198147,1,,5740198141,141,5.8,5740198143,212,47.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131501,5,1,1,0,7,spvvjmk37iid7hsky9g3nce7,1,68.0,5.8,2025-05-19T17:01:51.383Z,2025-05-19T17:01:53Z,9hg51o20uf6u2bjgshjax9soa,E. Stroud,,,5740198189,56,Right,5740198185,3,,5740198187,168,,5740198197,213,0.28,5740198195,212,8.2,5740198191,140,75.5,5740198193,141,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131503,6,44,1,0,9,spvvjmk37iid7hsky9g3nce7,1,79.8,9.4,2025-05-19T17:01:53.419Z,2025-05-19T18:57:16Z,drzdo6ouxi5n4jafhfajpor85,N. Røjkjær,,,5740198203,286,,5740198201,56,Right,5740198235,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131497,3,44,1,0,9,ac8jow4mdkvnsv5s0och4qqm,0,20.2,90.6,2025-05-19T17:01:53.420Z,2025-05-19T18:57:16Z,17zz0x6tm20e9yfh4q5ehaf9x,S. Martinsson Ngouali,,,5740198181,56,Back,5740198239,233,6,5740198183,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131515,7,1,1,0,10,spvvjmk37iid7hsky9g3nce7,0,74.6,8.2,2025-05-19T17:01:54.128Z,2025-05-19T17:01:56Z,drzdo6ouxi5n4jafhfajpor85,N. Røjkjær,,,5740198263,3,,5740198275,213,5.99,5740198269,140,95.6,5740198265,168,,5740198273,212,23.0,5740198267,56,Right,5740198271,141,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131521,4,5,1,0,12,ac8jow4mdkvnsv5s0och4qqm,1,5.0,101.6,2025-05-19T17:01:56.389Z,2025-05-19T17:43:52Z,17zz0x6tm20e9yfh4q5ehaf9x,S. Martinsson Ngouali,,,5740198347,56,Back,5740198349,347,,5740198355,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131517,8,5,1,0,12,spvvjmk37iid7hsky9g3nce7,0,95.0,-1.6,2025-05-19T17:01:56.389Z,2025-05-19T17:02:00Z,drzdo6ouxi5n4jafhfajpor85,N. Røjkjær,,,5740198277,56,Right,5740198279,347,,5740198361,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131575,5,1,1,0,28,ac8jow4mdkvnsv5s0och4qqm,0,6.3,100.0,2025-05-19T17:02:12.508Z,2025-05-19T17:02:14Z,2lyhi7j3id7emsh54ehdva3ca,O. Zandén,,,5740198675,213,5.88,5740198671,141,93.9,5740198667,56,Back,5740198673,212,13.9,5740198665,107,,5740198669,140,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131585,9,1,1,0,30,spvvjmk37iid7hsky9g3nce7,0,65.4,7.3,2025-05-19T17:02:14.254Z,2025-05-19T17:02:15Z,czfitwajt0sayki90i3fk5n85,J. Gustavsson,,,5740198721,212,18.4,5740198723,213,0.94,5740198713,3,,5740198715,56,Center,5740198717,140,75.8,5740198719,141,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131591,6,1,1,0,32,ac8jow4mdkvnsv5s0och4qqm,0,17.7,65.1,2025-05-19T17:02:15.789Z,2025-05-19T17:02:16Z,aw75jdzi3u012jkwj7t0eln2s,W. Odefalk,,,5740198753,212,6.3,5740198751,141,73.0,5740198747,56,Back,5740198745,3,,5740198749,140,20.9,5740198755,213,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131597,10,1,1,0,33,spvvjmk37iid7hsky9g3nce7,0,73.9,25.9,2025-05-19T17:02:17.182Z,2025-05-19T17:02:17Z,drzdo6ouxi5n4jafhfajpor85,N. Røjkjær,,,5740198809,212,11.4,5740198807,141,41.5,5740198805,140,78.0,5740198801,3,,5740198803,56,Center,5740198811,213,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131605,7,1,1,0,34,ac8jow4mdkvnsv5s0och4qqm,1,19.5,67.9,2025-05-19T17:02:18.100Z,2025-05-19T17:16:07Z,c9qk8n9d4130okk9go1brzskq,K. Ackermann,,,5740198861,213,5.75,5740198855,140,27.2,5740198857,141,60.9,5740198859,212,9.4,5740198853,56,Back,5740198851,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131609,8,1,1,0,36,ac8jow4mdkvnsv5s0och4qqm,1,27.2,60.9,2025-05-19T17:02:20.276Z,2025-05-19T17:15:19Z,ci5y030e6r9umgyjbupwske7d,Daleho Irandust,,,5740198903,213,5.74,5740198901,212,8.8,5740198897,140,34.4,5740198895,56,Back,5740198893,3,,5740198899,141,54.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131619,9,1,1,0,38,ac8jow4mdkvnsv5s0och4qqm,0,34.4,54.2,2025-05-19T17:02:21.972Z,2025-05-19T17:02:22Z,9niqy9wbsy6b03fa5iyx22gic,E. Alladoh,,,5740198931,157,,5740198941,213,5.85,5740198933,56,Back,5740198939,212,13.6,5740198943,1,,5740198937,141,45.8,5740198935,140,46.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131645,11,1,1,0,40,spvvjmk37iid7hsky9g3nce7,1,52.6,54.2,2025-05-19T17:02:24.159Z,2025-05-19T17:02:25Z,a0i74nqik3lbi02ngno0m0ys4,Abdullah Iqbal,,,5740199093,213,0.70,5740199091,212,15.0,5740199085,56,Center,5740199087,140,63.5,5740199089,141,68.4,5740199083,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131651,12,44,1,0,42,spvvjmk37iid7hsky9g3nce7,1,62.6,73.2,2025-05-19T17:02:25.774Z,2025-05-19T17:02:29Z,f0iow2x82mfh6x1olrrjo5puc,A. Manneh,,,5740199127,233,10,5740199115,56,Center,5740199117,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131647,10,44,1,0,42,ac8jow4mdkvnsv5s0och4qqm,0,37.4,26.8,2025-05-19T17:02:25.775Z,2025-05-19T17:15:52Z,c9qk8n9d4130okk9go1brzskq,K. Ackermann,,,5740199165,233,12,5740199097,56,Back,5740199099,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131681,13,1,1,0,42,spvvjmk37iid7hsky9g3nce7,0,64.9,70.3,2025-05-19T17:02:26.022Z,2025-05-19T17:02:29Z,f0iow2x82mfh6x1olrrjo5puc,A. Manneh,,,5740199259,3,,5740199267,212,8.7,5740199265,141,71.4,5740199269,213,0.09,5740199261,56,Center,5740199263,140,73.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131665,11,12,1,0,43,ac8jow4mdkvnsv5s0och4qqm,1,22.2,27.9,2025-05-19T17:02:26.708Z,2025-05-19T17:02:39Z,253za05jf3mmaqkjndm10d2lm,H. Karlsson,,,5740199195,140,42.4,5740199197,141,26.7,5740199199,212,21.2,5740199211,15,,5740199193,56,Back,5740199201,213,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131689,14,1,1,0,44,spvvjmk37iid7hsky9g3nce7,1,64.4,71.2,2025-05-19T17:02:28.431Z,2025-05-19T17:02:30Z,f0iow2x82mfh6x1olrrjo5puc,A. Manneh,,,5740199303,141,65.7,5740199301,140,69.1,5740199299,56,Center,5740199305,212,6.2,5740199307,213,5.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131693,15,61,1,0,45,spvvjmk37iid7hsky9g3nce7,1,68.0,67.9,2025-05-19T17:02:29.116Z,2025-05-19T17:17:03Z,drzdo6ouxi5n4jafhfajpor85,N. Røjkjær,,,5740199315,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817137887,168,1,1,0,46,spvvjmk37iid7hsky9g3nce7,1,63.2,71.1,2025-05-19T17:02:29.833Z,2025-05-19T17:17:47Z,f0iow2x82mfh6x1olrrjo5puc,A. Manneh,,,5740238483,56,Center,5740238489,212,9.4,5740238485,140,67.5,5740238491,213,5.21,5740238487,141,58.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817137885,167,1,1,0,47,spvvjmk37iid7hsky9g3nce7,0,64.5,52.3,2025-05-19T17:02:30.692Z,2025-05-19T17:18:01Z,93qjy2eilbuufwu2kbwpfng7p,V. Gustafson,,,5740238987,213,0.60,5740238985,212,13.3,5740238977,56,Center,5740238979,140,74.9,5740238983,141,63.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131695,16,43,1,0,47,spvvjmk37iid7hsky9g3nce7,1,0.0,0.0,2025-05-19T17:02:30.735Z,2025-05-19T17:02:35Z,drzdo6ouxi5n4jafhfajpor85,N. Røjkjær,,,5740199461,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131743,12,12,1,0,47,ac8jow4mdkvnsv5s0och4qqm,1,24.5,27.1,2025-05-19T17:02:31.188Z,2025-05-19T17:02:39Z,253za05jf3mmaqkjndm10d2lm,H. Karlsson,,,5740199551,212,64.6,5740199549,141,64.2,5740199545,56,Center,5740199553,213,0.40,5740199547,140,81.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131711,18,43,1,0,48,spvvjmk37iid7hsky9g3nce7,1,0.0,0.0,2025-05-19T17:02:31.967Z,2025-05-19T17:18:11Z,f0iow2x82mfh6x1olrrjo5puc,A. Manneh,,,5740199387,140,70.5,5740199391,141,62.9,5740199385,56,Center,5740199393,212,7.4,5740239373,144,1,5740199397,213,5.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131785,19,1,1,0,54,spvvjmk37iid7hsky9g3nce7,1,21.6,34.3,2025-05-19T17:02:38.638Z,2025-05-19T17:02:49Z,4cytj4f9uirlo8vb8mcsv6v6y,N. Törnqvist,,,5740199805,213,1.32,5740199799,140,25.4,5740199801,141,57.0,5740199797,56,Back,5740199803,212,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131831,20,1,1,1,5,spvvjmk37iid7hsky9g3nce7,1,31.1,52.2,2025-05-19T17:02:49.182Z,2025-05-19T17:02:56Z,a0i74nqik3lbi02ngno0m0ys4,Abdullah Iqbal,,,5740200063,141,18.9,5740200061,140,34.3,5740200067,213,4.86,5740200065,212,22.9,5740200059,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
