id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2797210403,1,34,16,0,0,durq4oppf7c08tnbzrlebt0uz,1,0.0,0.0,2025-04-06T13:34:58.135Z,2025-04-06T14:33:30Z,,,,5630348943,194,8wz2m0yj4f0ci90m0wjftnoid,5630348947,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5630348935,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5630348939,130,4,5630348933,30,"4id56bnddab7qd1mxxsm8ueqc, 4w8yuib6lrya8ucle0j9maxka, 8ebx705t6jvq53z6tjk0ke1d6, 6vy0wrnn1jz4tjp9ofxr9qesq, 1t67kvg37jg2elz9voix5kcet, 2mfqgk982ky4y88ddcljx25n8, 174tz9lh744fhcxzabu00746h, 8wz2m0yj4f0ci90m0wjftnoid, 5svga5s2fg0n058ms3pndyhhw, 40l3vtezw1ofwk2occi4z5w45, cntz26i7p4q9fyzh55xswpudw, 27hg1g0tz1l6mt4eugz841hw5, reelt18o0lhvy8vl8h33glpl, dczigjj5jklu5214hs3rw1mvo, 30117qloj2vhnxq4djfktp7u1, 7uqexxe985u3bbx5lxx2vgand, b83hbe115qfbfh703m5idim8k, 2e1j4tbrlrgqvm7io0hfu7is5, 2e1xnfe3hisebv1tytnkzk178, 9eaa74frc7sjli4e48cey3r4k",5630348937,59,"39, 5, 24, 11, 6, 2, 8, 22, 18, 7, 9, 1, 3, 4, 10, 16, 17, 20, 28, 32",5630348945,197,25126,5630348941,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797232131,1,34,16,0,0,46yo78zak2j7kaxc5ak1fnm60,1,0.0,0.0,2025-04-06T13:54:14.396Z,2025-04-06T14:32:45Z,,,,5630468809,59,"25, 16, 2, 7, 30, 4, 8, 11, 19, 21, 20, 1, 5, 12, 15, 17, 18, 22, 23, 27",5630468805,30,"6pdqmo7vuzy9lt7v6vvmqybu2, 3ihcnb7xmqlsefg10xbdraqqd, 7qsp3fm0wkymgiej6s7jj06p5, a4f6z4alegkvrhm4k864w9lg5, 96v3rv4y74yt6ukwh2churhbe, 3n6cx9whi75ybd9h6pv7i3mga, 9469qatlpe6rdqko8c6ha4out, 9ajfpzjfipsub15tats3mo2j9, 5dxrx40pty4wtwdrd341p0aju, 59dtrk7ly4lepf7s0gywhu51w, c2pfggtw5hreyomdwogbhjpqs, 43tfpd1zge7whbwd5xchiu06i, b5kncgqkpiofwduo2snjz74dl, ec6qqle54cq9gck2jhnbpjzs9, el14eiipsagmeuhborw0ksfoq, 81bn1esm8kuwq5yofmyxnnemt, 43qtylo4kl50nmdiiu5hufqj8, bldfwo1qulwwguw05wrv0setw, 46ups8z9vhv73u0op2ld07wus, 8e8v25kjfqsohkczqxj5xsmj8",5630468813,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5630468817,197,10418,5630468811,130,13,5630468815,194,96v3rv4y74yt6ukwh2churhbe,5630468819,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5630468807,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797266943,2,32,1,0,0,46yo78zak2j7kaxc5ak1fnm60,1,0.0,0.0,2025-04-06T14:31:45.986Z,2025-04-06T14:31:46Z,,,,5630660097,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797266929,2,32,1,0,0,durq4oppf7c08tnbzrlebt0uz,1,0.0,0.0,2025-04-06T14:31:45.986Z,2025-04-06T14:31:46Z,,,,5630660003,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797267001,3,1,1,0,0,durq4oppf7c08tnbzrlebt0uz,1,50.1,50.1,2025-04-06T14:31:45.987Z,2025-04-06T14:31:50Z,5svga5s2fg0n058ms3pndyhhw,Mohammad Alsalkhadi,,5630660433,56,Back,5630660437,141,37.3,5630660441,213,3.47,5630660443,279,S,5630660439,212,26.8,5630660435,140,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797267021,4,1,1,0,4,durq4oppf7c08tnbzrlebt0uz,0,26.0,37.3,2025-04-06T14:31:50.132Z,2025-04-06T15:31:14Z,1t67kvg37jg2elz9voix5kcet,H. Andersson,,5630660573,1,,5630660563,56,Center,5630660567,141,74.7,5630660561,155,,5630660565,140,72.3,5630660569,212,54.9,5630660571,213,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797267073,3,1,1,0,6,46yo78zak2j7kaxc5ak1fnm60,0,24.6,25.2,2025-04-06T14:31:52.502Z,2025-04-06T14:31:53Z,3ihcnb7xmqlsefg10xbdraqqd,Carl-Robert Sebastian Ohlsson,,5630660857,213,0.45,5630660853,141,43.6,5630660847,3,,5630660855,212,29.0,5630660849,56,Back,5630660851,140,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797267113,5,61,1,0,9,durq4oppf7c08tnbzrlebt0uz,0,63.0,50.9,2025-04-06T14:31:55.646Z,2025-04-06T14:31:55Z,174tz9lh744fhcxzabu00746h,L. Le Roux,,5630661029,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797267167,4,4,1,0,12,46yo78zak2j7kaxc5ak1fnm60,1,49.8,35.0,2025-04-06T14:31:58.062Z,2025-04-06T14:32:02Z,5dxrx40pty4wtwdrd341p0aju,O. Faraj,,5630661423,233,6,5630661403,286,,5630661397,56,Back,5630661395,13,,5630661399,152,,5630661401,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797267151,6,4,1,0,12,durq4oppf7c08tnbzrlebt0uz,0,50.2,65.0,2025-04-06T14:31:58.063Z,2025-04-06T14:32:02Z,174tz9lh744fhcxzabu00746h,L. Le Roux,,5630661331,285,,5630661327,152,,5630661323,13,,5630661475,233,4,5630661325,56,Center,5630661329,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
