id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId
2802934547,1,34,16,0,0,6i936isoyj6d0uuxdj537uc97,1,0.0,0.0,2025-04-19T12:07:00.009Z,2025-04-19T13:07:58Z,,,,,5662063277,30,"2trecv075gi4o78mfuyh4xiol, atxo9oz3czimyk1t4xigfrkrt, 9bmo8w8t7slkzbb5owilyoqju, 9uumw2ntt4397bee2p3m2qdt6, c36ffo382u9flu5foebt4di39, b248ue8bteo0awvp627dokd0, edzj7i715cpyuuumcttajkc0l, eikthetfmpxyeqsisa7vs3hsl, 8uzx6yb66zjn0ke2rwqlg7wus, c3jxdm8s5meuohhv6hthhdy0a, e9q5sweea5ymhqqwh5tucuzth, 87x84p759ef1d1qyffeghbp3p, bdw87kq6mx8rdkkpb9w5nar1m, d7nx940m1bs3895u6vnu8ah1x, eacqkvqbdrk7h93nzhwk0jff9, 5h0by2ot7i2z6daqdqj6nyiqy, 2iaisohuaaw7ioyox0d9zuvl6, 2s9ra3bnhkcid5uz7abhdhr6d, bpzni5riygngh99pfbcu8f78q, bzm752bvefjt54nj6ruf9tbtg",5662063285,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5662063291,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5662063289,197,28656,5662063283,130,17,5662063279,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5662063281,59,"1, 11, 15, 3, 5, 2, 6, 13, 9, 18, 8, 12, 4, 7, 14, 17, 20, 21, 25, 29",5662063287,194,edzj7i715cpyuuumcttajkc0l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802938427,1,34,16,0,0,7hlumphk42363z3i2nry2wrzj,1,0.0,0.0,2025-04-19T12:11:12.618Z,2025-04-19T13:04:35Z,,,,,5662083231,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5662083241,197,8325,5662083237,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5662083243,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5662083233,59,"40, 37, 14, 21, 19, 2, 15, 9, 5, 10, 8, 30, 3, 4, 7, 11, 20, 22, 24, 28",5662083229,30,"3qlfkqrawehngfhe1zmy1a61g, 7a08ravzlia5dhw5dm1q707pw, 3hn1o03lxsjzju3uorl6rnpxw, 5jv0xmo83g4lbzo8nodqbh46i, 4er21aspnwqojlenu6lhc2b4l, bfnqlxk0wiv1uy0ptwwqhk9hw, 2k1v6526ielemu1w3rayxdkkq, 9d08simhpio6vi217mqtro6ad, 8ntq70sdmvbmmvchvu5jd6ndh, a2ggooyqi2s1berhxtm75j5qt, ay6mgdylpu08d9pydxejbd562, b8022a60ucgg0syjuj2m85atw, 2lafgzvhv0er31i6c2nb6xqfo, sxahqo62pj3wu3yfeah4fiay, 3kgwkv2bjw5h244h675kmsclx, ez7xc7vakt4fmabtp61w72yju, ekiy8mogxcfn05kwouydbdwr8, 3v40cf58jryvu4l4cxu4w9ht6, 7e058o66inex7g90wrwaeauw9, 4xkiduv00nq24op9s8nuxbqxg",5662083239,194,8ntq70sdmvbmmvchvu5jd6ndh,5662083235,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802975313,2,32,1,0,0,7hlumphk42363z3i2nry2wrzj,1,0.0,0.0,2025-04-19T13:00:31.524Z,2025-04-19T13:00:34Z,,,,,5662276531,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802975305,2,32,1,0,0,6i936isoyj6d0uuxdj537uc97,1,0.0,0.0,2025-04-19T13:00:31.524Z,2025-04-19T13:00:31Z,,,,,5662276501,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802975363,3,1,1,0,0,6i936isoyj6d0uuxdj537uc97,1,50.1,50.0,2025-04-19T13:00:31.525Z,2025-04-19T13:00:35Z,e9q5sweea5ymhqqwh5tucuzth,N. Mäenpää,,,5662276715,213,3.22,5662276707,56,Back,5662276709,140,28.4,5662276713,212,22.9,5662276711,141,47.2,5662276717,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802975387,4,1,1,0,3,6i936isoyj6d0uuxdj537uc97,0,27.2,45.1,2025-04-19T13:00:35.383Z,2025-04-19T13:00:39Z,c36ffo382u9flu5foebt4di39,P. Gregor,,,5662276845,212,54.0,5662276849,1,,5662276839,56,Right,5662276843,141,7.4,5662276837,157,,5662276847,213,5.79,5662276841,140,72.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802975397,3,44,1,0,7,7hlumphk42363z3i2nry2wrzj,1,27.6,91.6,2025-04-19T13:00:38.780Z,2025-04-19T13:00:42Z,3hn1o03lxsjzju3uorl6rnpxw,Y. Kalley,,,5662276925,233,5,5662276913,285,,5662276911,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802975391,5,44,1,0,7,6i936isoyj6d0uuxdj537uc97,0,72.4,8.4,2025-04-19T13:00:38.781Z,2025-04-19T13:00:44Z,atxo9oz3czimyk1t4xigfrkrt,V. Granath,,,5662276975,233,3,5662276863,56,Right,5662276865,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802975427,4,12,1,0,7,7hlumphk42363z3i2nry2wrzj,1,26.9,90.2,2025-04-19T13:00:39.183Z,2025-04-19T13:00:44Z,3hn1o03lxsjzju3uorl6rnpxw,Y. Kalley,,,5662277053,141,100.0,5662277133,167,,5662277049,56,Back,5662277051,140,40.9,5662277057,213,0.46,5662277055,212,16.4,5662277085,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802975439,5,5,1,0,9,7hlumphk42363z3i2nry2wrzj,0,39.5,101.2,2025-04-19T13:00:40.959Z,2025-04-19T13:02:19Z,3hn1o03lxsjzju3uorl6rnpxw,Y. Kalley,,,5662277107,347,,5662277105,56,Back,5662277439,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
