id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2817811941,1,34,16,0,0,93ohqui2qgqm8408viwmm1ken,1,0.0,0.0,2025-05-22T16:05:17.061Z,2025-05-22T18:18:25Z,,,,5744096599,30,"7iv79dtpsplpjl1jxod3swmlm, 4yg4i2wvdz87rrxpn0rqn2xg5, carpl05zgalgbsd6gnk3akc89, azcjwvw9799e6bawnlcb0lt2i, as6coaak724tr7igyz1wwlfc9, 4j6a6qec8m58zgojpbv8wxnf9, d58ji96mcnebbci6skc46x9uc, 62w849kqrnjm00xr12suencgl, dvi2tleym136aqpvwfi4lustm, 90eoelhr2oxpg3ejr2whwwu6t, 7hugqbtot3c8fmxtfqld9l15g, cj7aybqox4kzoicnzea7b64t1, lh30ckelpek3u7jbzotxuvze, 5mb3g5nufbwhw09w3wgm6glwp, 4az5n8aekw6ipzu7fagqhkys4, b9tsqyrv0xp0tt5nzwrmy9gb9, 8ydeghsg8bdyovqjnr56hz8x5, 329r6jq5pn0m174v3berarh90, 7si8brq1p8o6fvw93hq9v9bmc, 27w9691m35wlxy4ujti7sppn8",5744096609,194,62w849kqrnjm00xr12suencgl,5744096607,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5744096611,197,23796,5744096603,59,"33, 17, 25, 23, 19, 18, 7, 10, 22, 9, 38, 1, 2, 8, 11, 16, 29, 32, 35, 40",5744096605,130,3,5744096613,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5744096601,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817812293,1,34,16,0,0,5mbo4f0vps12dr0fcvjn3wyp5,1,0.0,0.0,2025-05-22T16:07:13.092Z,2025-05-22T16:07:13Z,,,,5744098813,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5744098815,194,99i96gbkvesmh3wspv8rl1ln9,5744098803,30,"a0vo94v0vvnojrnvvscd7zp3p, b11ffe62rpm020r3u6t1lhvx1, eqfhoh81e8uj2as95ev3yfnx1, 99i96gbkvesmh3wspv8rl1ln9, eahcgnvlq1tkswvjuovyzxxw5, cwkz9uxtres4bockr3spd4hxx, 3hz7fbme9sm4xkj5fo3moeluc, 8ez1awevbmegf1z0kgjtp048a, 3xx0l8c30mjstvxq7z1s0fnit, prvbf3gxwflgzxuvgvb7ls5x, 6oaqk4pdojnlefa3zubsysmvp, 7gbgk4q4bxc1h7kcd0u96o9nt, b0rem4wo1p6sumrp6mb77f11w, alxccjq2y6il5yjw108a0axnt, azvjk1schroxi2dq22hwnqr1m, 9yb0exf35kl3avhdnlhv23glx, 2l14t89f2n27b28xqfguvr4es, 642iajthdnr0zophv7ys35q1g, b5efwfrqbzdfknrjq3agklvdg, 6utvjndbc0etrvdrul1oajdp0",5744098811,130,8,5744098807,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5744098819,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5744098809,59,"15, 17, 3, 7, 32, 4, 43, 33, 11, 10, 22, 30, 5, 8, 9, 16, 21, 26, 45, 47",5744098817,197,25072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822299,2,32,1,0,0,5mbo4f0vps12dr0fcvjn3wyp5,1,0.0,0.0,2025-05-22T17:01:39.042Z,2025-05-22T17:01:41Z,,,,5744157771,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822295,2,32,1,0,0,93ohqui2qgqm8408viwmm1ken,1,0.0,0.0,2025-05-22T17:01:39.042Z,2025-05-22T18:19:14Z,,,,5744157759,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822301,3,1,1,0,0,5mbo4f0vps12dr0fcvjn3wyp5,1,50.1,50.0,2025-05-22T17:01:39.043Z,2025-05-22T19:00:59Z,99i96gbkvesmh3wspv8rl1ln9,A. Salétros,,5744157779,141,41.3,5744157777,140,31.2,5744157785,279,S,5744157781,212,20.7,5744157775,56,Back,5744157783,213,3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822311,4,1,1,0,4,5mbo4f0vps12dr0fcvjn3wyp5,0,31.9,40.9,2025-05-22T17:01:43.186Z,2025-05-22T17:05:25Z,cwkz9uxtres4bockr3spd4hxx,S. Papagiannopoulos,,5744157831,56,Back,5744157829,157,,5744157835,141,35.7,5744157833,140,39.1,5744157837,212,8.3,5744157841,1,,5744157839,213,5.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822309,3,61,1,0,4,93ohqui2qgqm8408viwmm1ken,1,57.9,65.4,2025-05-22T17:01:43.843Z,2025-05-22T17:01:43Z,90eoelhr2oxpg3ejr2whwwu6t,I. Kiese Thelin,,5744157827,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822339,5,1,1,0,9,93ohqui2qgqm8408viwmm1ken,0,44.1,91.1,2025-05-22T17:01:48.948Z,2025-05-22T17:01:50Z,d58ji96mcnebbci6skc46x9uc,O. Rosengren,,5744157959,213,6.01,5744157957,212,28.3,5744157953,140,70.1,5744157955,141,79.9,5744157949,155,,5744157951,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822349,5,1,1,0,11,5mbo4f0vps12dr0fcvjn3wyp5,1,24.2,22.5,2025-05-22T17:01:50.786Z,2025-05-22T17:06:14Z,cwkz9uxtres4bockr3spd4hxx,S. Papagiannopoulos,,5744158009,141,21.9,5744158003,3,,5744158011,212,9.6,5744158007,140,33.3,5744158005,56,Back,5744158013,213,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822359,6,1,1,0,13,5mbo4f0vps12dr0fcvjn3wyp5,1,33.3,21.9,2025-05-22T17:01:52.498Z,2025-05-22T17:01:55Z,8ez1awevbmegf1z0kgjtp048a,Á. Csongvai,,5744158071,212,13.0,5744158069,141,19.2,5744158075,1,,5744158073,213,6.14,5744158067,140,45.6,5744158063,157,,5744158065,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
