id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2805162763,1,34,16,0,0,46yo78zak2j7kaxc5ak1fnm60,1,0.0,0.0,2025-04-23T16:05:48.871Z,2025-04-23T17:02:47Z,,,,,5674233347,194,9469qatlpe6rdqko8c6ha4out,5674233339,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5674233351,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5674233341,59,"25, 16, 2, 7, 5, 4, 11, 8, 10, 20, 27, 1, 9, 15, 17, 18, 21, 23, 24, 30",5674233343,130,13,5674233345,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5674233349,197,10418,5674233337,30,"6pdqmo7vuzy9lt7v6vvmqybu2, 3ihcnb7xmqlsefg10xbdraqqd, 7qsp3fm0wkymgiej6s7jj06p5, a4f6z4alegkvrhm4k864w9lg5, b5kncgqkpiofwduo2snjz74dl, 3n6cx9whi75ybd9h6pv7i3mga, 9ajfpzjfipsub15tats3mo2j9, 9469qatlpe6rdqko8c6ha4out, 2mk86jc25lu7lqklnvntxmtxw, c2pfggtw5hreyomdwogbhjpqs, 8e8v25kjfqsohkczqxj5xsmj8, 43tfpd1zge7whbwd5xchiu06i, cxq6miltbekjrfil30uuo0tn8, el14eiipsagmeuhborw0ksfoq, 81bn1esm8kuwq5yofmyxnnemt, 43qtylo4kl50nmdiiu5hufqj8, 59dtrk7ly4lepf7s0gywhu51w, 46ups8z9vhv73u0op2ld07wus, 10dorj1evvavs9abofp4ix4b8, 96v3rv4y74yt6ukwh2churhbe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805164839,1,34,16,0,0,9zqn9ugvg64it0lr5z8cq4g9v,1,0.0,0.0,2025-04-23T16:10:43.522Z,2025-04-23T17:52:23Z,,,,,5674245315,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5674245311,59,"32, 28, 21, 8, 4, 25, 15, 14, 9, 10, 29, 99, 13, 16, 17, 19, 22, 24, 39, 42",5674245313,130,4,5674245321,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5674245319,197,4756,5674245307,30,"dzdryjruyr4lpu3t7d5pgpn11, 8kkbwlif9496fekfraadrws9g, 3ks6pxe94hk9l4q46do2c628l, 8j55jduxd0jfxrxh88kdqgcq2, 17jltcnnaha4707duh52hirit, 8h4jv2n2b8w3hmn4oec3tvevo, eq9x5pboy1dehdauroonsw3c9, 3durmgxmp7tzxsr234mlhot1, epnkff9nsysx1eyh90muhmvl6, bar5tlyxm2vim2ewqauywgb85, 8k4fw4zak03as07nwf1kiktuc, 42p4op3tm9umpwxyxde5xjefp, 7sez5w47trh4xnngir0epzl04, 780mdhlnrheqczv6o7p5l8hzo, c3okou4sh3r5i7mei6lpjks4q, e8s9kg55x4npvg6tkuwe5wj6c, 5sobeblelb6fl7aafw833iwwk, dmj5oe18blqnxozkfd8q5myfp, acredwjpf6ou0mdqx2cpxm4no, b8d9uwfw2r74ueh6vskteqvx0",5674245317,194,3durmgxmp7tzxsr234mlhot1,5674245309,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805189983,2,32,1,0,0,46yo78zak2j7kaxc5ak1fnm60,1,0.0,0.0,2025-04-23T17:00:32.121Z,2025-04-23T17:00:40Z,,,,,5674389107,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805189979,2,32,1,0,0,9zqn9ugvg64it0lr5z8cq4g9v,1,0.0,0.0,2025-04-23T17:00:32.121Z,2025-04-25T12:43:01Z,,,,,5674389101,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190013,3,1,1,0,0,9zqn9ugvg64it0lr5z8cq4g9v,1,49.9,50.1,2025-04-23T17:00:32.122Z,2025-04-23T17:00:40Z,epnkff9nsysx1eyh90muhmvl6,S. Hrstić,,,5674389249,141,57.5,5674389245,56,Back,5674389255,279,S,5674389251,212,11.2,5674389253,213,2.67,5674389247,140,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190017,4,1,1,0,1,9zqn9ugvg64it0lr5z8cq4g9v,1,39.7,58.7,2025-04-23T17:00:34.035Z,2025-04-23T17:00:40Z,8j55jduxd0jfxrxh88kdqgcq2,S. Andersen,,,5674389267,212,22.7,5674389263,140,39.0,5674389261,56,Back,5674389265,141,92.0,5674389269,213,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190041,5,1,1,0,4,9zqn9ugvg64it0lr5z8cq4g9v,1,39.7,91.7,2025-04-23T17:00:36.129Z,2025-04-23T17:00:42Z,3ks6pxe94hk9l4q46do2c628l,A. Lundkvist,,,5674389387,212,16.7,5674389385,141,80.6,5674389381,56,Back,5674389383,140,25.5,5674389389,213,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190081,6,1,1,0,10,9zqn9ugvg64it0lr5z8cq4g9v,1,27.1,79.1,2025-04-23T17:00:42.419Z,2025-04-23T17:00:46Z,8h4jv2n2b8w3hmn4oec3tvevo,A. Faye,,,5674389615,212,17.8,5674389613,141,53.0,5674389611,140,27.5,5674389609,56,Back,5674389617,213,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190103,7,1,1,0,14,9zqn9ugvg64it0lr5z8cq4g9v,1,29.9,49.3,2025-04-23T17:00:46.851Z,2025-04-23T17:00:50Z,17jltcnnaha4707duh52hirit,M. Lode,,,5674389739,141,71.1,5674389735,56,Back,5674389743,213,1.47,5674389741,212,14.9,5674389737,140,31.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190127,8,1,1,0,18,9zqn9ugvg64it0lr5z8cq4g9v,0,35.6,71.5,2025-04-23T17:00:50.510Z,2025-04-23T17:00:53Z,8h4jv2n2b8w3hmn4oec3tvevo,A. Faye,,,5674389855,56,Center,5674389859,141,56.7,5674389857,140,96.2,5674389865,1,,5674389861,212,64.4,5674389863,213,6.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190199,4,1,1,0,22,46yo78zak2j7kaxc5ak1fnm60,1,7.6,54.8,2025-04-23T17:00:55.044Z,2025-04-23T17:00:59Z,6pdqmo7vuzy9lt7v6vvmqybu2,R. Forsell,,,5674390209,140,17.0,5674390213,212,13.0,5674390211,141,67.3,5674390215,213,0.71,5674390207,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190217,5,1,1,0,27,46yo78zak2j7kaxc5ak1fnm60,1,19.4,64.6,2025-04-23T17:00:59.394Z,2025-04-23T17:01:01Z,a4f6z4alegkvrhm4k864w9lg5,Sebastian Jonas Ohlsson,,,5674390323,213,4.44,5674390311,56,Back,5674390313,140,12.9,5674390315,141,29.2,5674390317,212,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190235,6,1,1,0,29,46yo78zak2j7kaxc5ak1fnm60,1,18.1,27.6,2025-04-23T17:01:01.474Z,2025-04-23T17:01:04Z,3n6cx9whi75ybd9h6pv7i3mga,L. Hien,,,5674390467,213,5.98,5674390459,56,Back,5674390465,212,21.2,5674390463,141,18.3,5674390461,140,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190263,7,1,1,0,32,46yo78zak2j7kaxc5ak1fnm60,0,36.5,10.7,2025-04-23T17:01:04.579Z,2025-04-23T17:06:01Z,c2pfggtw5hreyomdwogbhjpqs,E. Barsoum,,,5674390627,140,44.5,5674390633,213,5.98,5674390631,212,8.8,5674390625,56,Back,5674390629,141,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190253,9,8,1,0,33,9zqn9ugvg64it0lr5z8cq4g9v,1,58.0,92.4,2025-04-23T17:01:05.987Z,2025-04-25T13:32:51Z,3ks6pxe94hk9l4q46do2c628l,A. Lundkvist,,,5677360007,385,,5674390565,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190275,8,5,1,0,34,46yo78zak2j7kaxc5ak1fnm60,1,41.6,-1.6,2025-04-23T17:01:06.499Z,2025-04-23T17:45:46Z,3ihcnb7xmqlsefg10xbdraqqd,Carl-Robert Sebastian Ohlsson,,,5674390701,233,10,5674390687,347,,5674390685,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190267,10,5,1,0,34,9zqn9ugvg64it0lr5z8cq4g9v,0,58.4,101.6,2025-04-23T17:01:06.499Z,2025-04-23T17:01:10Z,3ks6pxe94hk9l4q46do2c628l,A. Lundkvist,,,5674390715,233,8,5674390635,56,Left,5674390637,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190407,9,1,1,0,48,46yo78zak2j7kaxc5ak1fnm60,1,38.9,0.0,2025-04-23T17:01:20.306Z,2025-04-23T17:01:21Z,3n6cx9whi75ybd9h6pv7i3mga,L. Hien,,,5674391429,213,0.84,5674391423,140,46.0,5674391421,56,Back,5674391419,107,,5674391425,141,10.4,5674391427,212,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190421,10,1,1,0,49,46yo78zak2j7kaxc5ak1fnm60,1,46.5,10.7,2025-04-23T17:01:21.155Z,2025-04-23T17:01:22Z,9ajfpzjfipsub15tats3mo2j9,C. Gravius,,,5674391509,140,36.0,5674391515,213,3.45,5674391511,141,5.6,5674391513,212,11.6,5674391507,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190467,11,1,1,0,50,46yo78zak2j7kaxc5ak1fnm60,1,33.3,6.7,2025-04-23T17:01:22.258Z,2025-04-23T17:01:25Z,3n6cx9whi75ybd9h6pv7i3mga,L. Hien,,,5674391715,212,14.8,5674391713,141,21.8,5674391711,140,43.4,5674391709,56,Back,5674391717,213,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190489,12,1,1,0,52,46yo78zak2j7kaxc5ak1fnm60,1,44.4,33.3,2025-04-23T17:01:25.090Z,2025-04-23T17:01:27Z,9469qatlpe6rdqko8c6ha4out,N. Girmai Netabay,,,5674391817,213,1.93,5674391809,56,Back,5674391815,212,14.0,5674391811,140,39.7,5674391813,141,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190513,13,1,1,0,55,46yo78zak2j7kaxc5ak1fnm60,1,43.1,57.5,2025-04-23T17:01:27.474Z,2025-04-25T13:34:09Z,a4f6z4alegkvrhm4k864w9lg5,Sebastian Jonas Ohlsson,,,5674391985,140,58.6,5674391983,56,Left,5674391989,212,24.8,5674391991,213,0.85,5674391987,141,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190545,14,1,1,0,58,46yo78zak2j7kaxc5ak1fnm60,0,64.6,86.3,2025-04-23T17:01:30.194Z,2025-04-23T17:01:33Z,7qsp3fm0wkymgiej6s7jj06p5,M. Diaby,,,5674392157,141,39.2,5674392163,1,,5674392161,213,5.29,5674392159,212,38.2,5674392153,56,Center,5674392151,155,,5674392155,140,84.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190543,11,43,1,1,0,9zqn9ugvg64it0lr5z8cq4g9v,1,0.0,0.0,2025-04-23T17:01:32.432Z,2025-04-23T17:02:43Z,3ks6pxe94hk9l4q46do2c628l,A. Lundkvist,,,5674396201,144,44,5674392145,56,Back,5674392149,285,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190549,12,12,1,1,0,9zqn9ugvg64it0lr5z8cq4g9v,1,26.2,66.1,2025-04-23T17:01:32.740Z,2025-04-23T17:01:33Z,3ks6pxe94hk9l4q46do2c628l,A. Lundkvist,,,5674392173,141,68.8,5674392171,140,33.8,5674392169,56,Back,5674392193,15,,5674392175,212,8.2,5674392177,213,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190563,13,12,1,1,2,9zqn9ugvg64it0lr5z8cq4g9v,1,26.8,73.3,2025-04-23T17:01:34.788Z,2025-04-23T17:01:35Z,8k4fw4zak03as07nwf1kiktuc,S. Nioule,,,5674392257,213,6.24,5674392271,15,,5674392249,56,Back,5674392255,212,11.6,5674392251,140,37.8,5674392253,141,72.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190611,15,1,1,1,7,46yo78zak2j7kaxc5ak1fnm60,0,67.1,32.4,2025-04-23T17:01:39.810Z,2025-04-23T17:01:40Z,9ajfpzjfipsub15tats3mo2j9,C. Gravius,,,5674392505,140,80.9,5674392503,56,Center,5674392509,212,14.5,5674392507,141,30.6,5674392511,213,6.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190613,14,8,1,1,8,9zqn9ugvg64it0lr5z8cq4g9v,1,26.5,69.9,2025-04-23T17:01:40.819Z,2025-04-25T13:34:39Z,3durmgxmp7tzxsr234mlhot1,S. Gustafson,,,5674392519,56,Back,5677363331,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190637,15,1,1,1,9,9zqn9ugvg64it0lr5z8cq4g9v,1,26.6,70.2,2025-04-23T17:01:41.599Z,2025-04-23T17:01:42Z,eq9x5pboy1dehdauroonsw3c9,S. Leach Holm,,,5674392637,141,80.3,5674392641,213,1.49,5674392633,56,Back,5674392635,140,27.1,5674392639,212,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190661,17,1,1,1,11,9zqn9ugvg64it0lr5z8cq4g9v,1,27.1,77.8,2025-04-23T17:01:43.395Z,2025-04-23T17:01:45Z,3durmgxmp7tzxsr234mlhot1,S. Gustafson,,,5674392777,141,70.6,5674392781,213,5.40,5674392779,212,6.3,5674392775,140,30.9,5674392773,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
