id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2810957359,1,34,16,0,0,33hzf6j2rd9r50g2n4agsytkd,1,0.0,0.0,2025-05-05T16:18:04.446Z,2025-05-05T16:18:04Z,,,,,5706118997,130,4,5706118999,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5706118991,30,"kod0xzh15xxa52700ufz7kyd, 5ijbt4bhic3y1zasavky12311, 4nx0njulsjs2hegiee011dxpl, 7ctf2925tg7mc3a05unhxsd1w, 7wesnkwthjcluc9b83s8ab1g4, b3jbj4ayr4x1x0ynt9dcu5u6s, 6ivuk1j53ybmv5hhzp55ybzzd, 7d9e5tvw9ghew36m4mh2nr23u, 4psxc0t1nm2o7a984utuzwciy, bi57bgog4e5pmkde5tl4bvxg4, aybt4s09eeonv6pdk2v9c9v6c, f1qvh9qszr743tj8zb3kcvaei, c8uz8jj2xzomls23oz4rcuiqy, cpamr0c0qq5lf5u6de1cbvgx6, 3s86186xnukjddv1sqf3pvl9m, 1a112nxaob06fjynlat625u96, 6nh2bvbggqul1m3t1gv9k7pqs, bi5afrvo7cv1elj9wxyn5vsut, 1bufat0ubgsc88lkybvxb1bs9, 6dljoel48bfd9nsmmnkck3owl",5706119005,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5706118993,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5706119003,197,23548,5706118995,59,"1, 6, 12, 32, 4, 24, 9, 8, 19, 16, 10, 2, 7, 11, 13, 18, 22, 25, 26, 28",5706119001,194,5ijbt4bhic3y1zasavky12311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810963163,1,34,16,0,0,1939bnru25svvgv15k2c7tw2y,1,0.0,0.0,2025-05-05T16:30:43.122Z,2025-05-05T17:16:29Z,,,,,5706152401,59,"1, 15, 23, 2, 29, 6, 27, 10, 24, 25, 11, 30, 13, 16, 17, 19, 26, 14, 22, 28",5706152409,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5706152397,30,"2qac7z5bt0grylf296n67j384, 5l4q2q8nszqp6k8exo9eyqnrp, 2d1dh619cfgvel4bv7tpfxjo5, agsollzstr45ee0z17tle8d1w, 85mzxov9sqq8gec4e0wwt8h78, amgtzrnw9lmo9o506a0mhzip6, 21abg7evjtjt6kzisu43jckmi, 60fbyywnjiz6l8n7gmi2mjld5, 116vh3v105pa9vyw10hpvuwdm, 25ytwmg2c5xcqp5ta12oznm22, 1vr7p76nx255ikv7w00s6gnsa, 5uek9dtfn577w1mv9w83oznbp, 18m0hkgbsvq0axzflltkyylsl, 3vezn38wnyk5dtstopwbl0dn8, eyn7izezzer5izneismz7dm8l, 9hybzhhut4ac2xinqk7kzzpwp, 5kgu7z697mnyizf6pbaf5j5zo, 6ge1pogxpimmolqpr3gdillhw, 65g4xqnwptbit61n0x1f2j3f8, 8zvc2mjym1u4uev3t60rhmvis",5706152399,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5706152415,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5706152405,130,13,5706152413,197,25078,5706152411,194,21abg7evjtjt6kzisu43jckmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810981135,2,32,1,0,0,1939bnru25svvgv15k2c7tw2y,1,0.0,0.0,2025-05-05T17:10:51.638Z,2025-05-05T17:10:51Z,,,,,5706257151,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810981145,2,32,1,0,0,33hzf6j2rd9r50g2n4agsytkd,1,0.0,0.0,2025-05-05T17:10:51.638Z,2025-05-05T17:10:54Z,,,,,5706257205,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810981167,3,1,1,0,0,1939bnru25svvgv15k2c7tw2y,1,50.0,50.0,2025-05-05T17:10:51.639Z,2025-05-05T17:10:54Z,116vh3v105pa9vyw10hpvuwdm,F. Ihler,,,5706257363,140,25.4,5706257371,279,S,5706257361,56,Back,5706257367,212,25.8,5706257369,213,3.17,5706257365,141,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810981199,4,1,1,0,2,1939bnru25svvgv15k2c7tw2y,1,25.9,50.9,2025-05-05T17:10:54.446Z,2025-05-05T17:10:57Z,85mzxov9sqq8gec4e0wwt8h78,I. Buhari,,,5706257585,140,26.6,5706257589,212,17.5,5706257587,141,76.6,5706257591,213,1.53,5706257583,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810981225,5,1,1,0,6,1939bnru25svvgv15k2c7tw2y,1,30.9,77.6,2025-05-05T17:10:57.663Z,2025-05-05T17:11:00Z,agsollzstr45ee0z17tle8d1w,T. Yegbe,,,5706257795,56,Back,5706257803,213,4.57,5706257797,140,28.3,5706257801,212,19.2,5706257799,141,49.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810981265,6,1,1,0,9,1939bnru25svvgv15k2c7tw2y,1,28.3,48.8,2025-05-05T17:11:00.750Z,2025-05-05T17:11:05Z,85mzxov9sqq8gec4e0wwt8h78,I. Buhari,,,5706258027,56,Back,5706258029,140,31.8,5706258035,213,1.37,5706258031,141,75.4,5706258033,212,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810981287,7,1,1,0,13,1939bnru25svvgv15k2c7tw2y,0,32.3,81.6,2025-05-05T17:11:04.927Z,2025-05-05T17:16:36Z,agsollzstr45ee0z17tle8d1w,T. Yegbe,,,5706258165,56,Back,5706258169,141,100.0,5706258173,213,0.71,5706258167,140,47.6,5706258171,212,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810981289,8,43,1,0,14,1939bnru25svvgv15k2c7tw2y,1,0.0,0.0,2025-05-05T17:11:05.958Z,2025-05-05T17:16:30Z,2d1dh619cfgvel4bv7tpfxjo5,N. Hult,,,5706258177,56,Left,5706275887,144,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
