id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,qualifier/10/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId
2804389663,1,34,16,0,0,33hzf6j2rd9r50g2n4agsytkd,1,0.0,0.0,2025-04-21T11:07:17.359Z,2025-04-21T11:57:44Z,,,,5669855503,30,"kod0xzh15xxa52700ufz7kyd, 5ijbt4bhic3y1zasavky12311, f1qvh9qszr743tj8zb3kcvaei, 7ctf2925tg7mc3a05unhxsd1w, 4nx0njulsjs2hegiee011dxpl, 7wesnkwthjcluc9b83s8ab1g4, 7d9e5tvw9ghew36m4mh2nr23u, aybt4s09eeonv6pdk2v9c9v6c, 4psxc0t1nm2o7a984utuzwciy, 6ivuk1j53ybmv5hhzp55ybzzd, 1bufat0ubgsc88lkybvxb1bs9, 3s86186xnukjddv1sqf3pvl9m, f10q2mnvhe30a9au85fjnnt3o, bi57bgog4e5pmkde5tl4bvxg4, 1a112nxaob06fjynlat625u96, bqid9rom7z7zb9kf10ft9ao7o, 6nh2bvbggqul1m3t1gv9k7pqs, b3jbj4ayr4x1x0ynt9dcu5u6s, bi5afrvo7cv1elj9wxyn5vsut, 6dljoel48bfd9nsmmnkck3owl",5669855517,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5669855505,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5669855511,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5669855515,197,23548,5669855507,59,"1, 6, 2, 32, 12, 4, 8, 10, 19, 9, 26, 13, 5, 16, 18, 21, 22, 24, 25, 28",5669855513,194,5ijbt4bhic3y1zasavky12311,5669855509,130,4,,,,,,,,,,,,,,,,,,,,,,,
2804390867,1,34,16,0,0,czkf5t3ai00ghwbga03i5aqxw,1,0.0,0.0,2025-04-21T11:12:57.107Z,2025-04-21T11:12:57Z,,,,5669863009,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5669863001,30,"26dlb4txygf7qzukjikr23mxh, csd7qb9u0a9am2ltse9w31uz8, 9jszz4regvdvl0v4i8s41jbah, dkc69jkzi4e9ysgmwldz249as, ebhyx7fm13sy9qjf4vylzg89h, 23p0dby12ymf55wwi0xz2fnx1, 1utyorvutnk14hp6dr079t1m2, 6n7sw8r0fhcoa8hfuxrtm96tx, dvl8q7nwvz3o6d73220d1ag2d, a3jetivxcnpp4z36nhboz5ysq, 3bepi58wwope38a478y7jwlxw, d5jgrd0clyl4rskqu6j8hcwkp, 370kkwnidcltqyooh51z6uzqi, bhaqw4112j43c753dlxhy61ud, 6051gs5j7d6zss35h2twoqnd, bv57jiquzqjnzuxzw5r663aad, ab3og2sas7q4czd31wbdbnro, 2zjl0xu23wp9j6ciq25irsq38, 1kmf6cvipol87w83cf6gb504, 8awq0zw9oyj9gy3ruxv105jis",5669863015,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5669863013,197,5157,5669863007,130,8,5669863011,194,ebhyx7fm13sy9qjf4vylzg89h,5669863003,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5669863005,59,"35, 12, 19, 20, 4, 3, 11, 8, 10, 29, 9, 45, 7, 13, 14, 18, 27, 32, 36, 31",,,,,,,,,,,,,,,,,,,,,,,
2804402723,2,32,1,0,0,czkf5t3ai00ghwbga03i5aqxw,1,0.0,0.0,2025-04-21T12:00:34.672Z,2025-04-21T12:00:37Z,,,,5669930749,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804402735,2,32,1,0,0,33hzf6j2rd9r50g2n4agsytkd,1,0.0,0.0,2025-04-21T12:00:34.672Z,2025-04-21T12:00:38Z,,,,5669930815,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804402753,3,1,1,0,0,czkf5t3ai00ghwbga03i5aqxw,1,49.9,50.1,2025-04-21T12:00:34.673Z,2025-04-21T12:00:40Z,dvl8q7nwvz3o6d73220d1ag2d,T. Nguen,,5669930925,56,Back,5669930935,279,S,5669930933,213,3.15,5669930931,212,21.3,5669930927,140,29.6,5669930929,141,49.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804402777,4,1,1,0,3,czkf5t3ai00ghwbga03i5aqxw,1,30.1,51.6,2025-04-21T12:00:38.446Z,2025-04-21T12:00:43Z,26dlb4txygf7qzukjikr23mxh,J. Rinne,,5669931035,157,,5669931043,212,50.3,5669931045,213,5.80,5669931037,56,Right,5669931047,1,,5669931041,141,17.3,5669931039,140,72.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2804402779,5,44,1,0,6,czkf5t3ai00ghwbga03i5aqxw,1,65.8,16.8,2025-04-21T12:00:40.721Z,2025-04-21T12:58:55Z,1utyorvutnk14hp6dr079t1m2,Z. Sawo,,5669931059,56,Right,5669931061,286,,5669931097,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804402783,3,44,1,0,6,33hzf6j2rd9r50g2n4agsytkd,0,34.2,83.2,2025-04-21T12:00:40.722Z,2025-04-21T12:58:55Z,f1qvh9qszr743tj8zb3kcvaei,M. de Brienne,,5669940861,233,5,5669931083,56,Back,5669931085,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804402781,6,1,1,0,6,czkf5t3ai00ghwbga03i5aqxw,0,72.5,17.3,2025-04-21T12:00:41.014Z,2025-04-21T12:00:44Z,1utyorvutnk14hp6dr079t1m2,Z. Sawo,,5669931077,141,28.6,5669931071,3,,5669931079,212,9.1,5669931075,140,77.1,5669931073,56,Center,5669931081,213,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804402807,4,1,1,0,10,33hzf6j2rd9r50g2n4agsytkd,1,35.6,76.6,2025-04-21T12:00:45.560Z,2025-04-21T12:00:46Z,aybt4s09eeonv6pdk2v9c9v6c,A. Boudri,,5669931205,3,,5669931215,213,4.73,5669931213,212,6.0,5669931207,56,Back,5669931211,141,67.8,5669931209,140,35.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
