id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/17/value
2805165033,1,34,16,0,0,6i936isoyj6d0uuxdj537uc97,1,0.0,0.0,2025-04-23T16:11:10.502Z,2025-04-23T16:58:34Z,,,,,5674246557,197,28383,5674246553,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5674246549,59,"1, 17, 15, 2, 4, 3, 6, 13, 9, 11, 8, 12, 7, 10, 14, 18, 20, 25, 26, 29",5674246555,194,edzj7i715cpyuuumcttajkc0l,5674246547,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5674246545,30,"2trecv075gi4o78mfuyh4xiol, 5h0by2ot7i2z6daqdqj6nyiqy, 9bmo8w8t7slkzbb5owilyoqju, b248ue8bteo0awvp627dokd0, bdw87kq6mx8rdkkpb9w5nar1m, 9uumw2ntt4397bee2p3m2qdt6, edzj7i715cpyuuumcttajkc0l, eikthetfmpxyeqsisa7vs3hsl, 8uzx6yb66zjn0ke2rwqlg7wus, atxo9oz3czimyk1t4xigfrkrt, e9q5sweea5ymhqqwh5tucuzth, 87x84p759ef1d1qyffeghbp3p, d7nx940m1bs3895u6vnu8ah1x, 7q001jk9hk2ylv31sv48fv7dg, eacqkvqbdrk7h93nzhwk0jff9, c3jxdm8s5meuohhv6hthhdy0a, 2iaisohuaaw7ioyox0d9zuvl6, bpzni5riygngh99pfbcu8f78q, l7librn1vzdub2poztkj3fv8, bzm752bvefjt54nj6ruf9tbtg",5674246559,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5674246551,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805172787,1,34,16,0,0,spvvjmk37iid7hsky9g3nce7,1,0.0,0.0,2025-04-23T16:28:23.684Z,2025-04-23T16:28:23Z,,,,,5674290745,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5674290743,197,7821,5674290733,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5674290737,130,13,5674290735,59,"1, 14, 17, 5, 13, 4, 10, 22, 18, 6, 19, 35, 7, 9, 15, 23, 25, 27, 39, 28",5674290731,30,"4cytj4f9uirlo8vb8mcsv6v6y, 23iwje6cgkgc05szzf2l5z97u, 9hg51o20uf6u2bjgshjax9soa, a0i74nqik3lbi02ngno0m0ys4, c1kv9ybtguhs625d1vwlwa6ay, 507n9mr51v21q8isz9ll3m6eh, drzdo6ouxi5n4jafhfajpor85, czfitwajt0sayki90i3fk5n85, 15mg49mqn215ce4ojukev0o2x, bbrdybdlcobf8cc9epxzeledw, f0iow2x82mfh6x1olrrjo5puc, bomd9wl2cnqwck46ctwjqju1h, 93qjy2eilbuufwu2kbwpfng7p, 73h2980bizllhxfk8ic8uketw, bqravo7lm21jq5m4cz8uhx638, 593l8h3nilz2d0x42d7phllp0, b7bmxh0q5aa8646sxmvy0etqs, eb0ovd9v1dlil87ty5ueboy6s, to4j02so007q7mkqpnrrumtw, 48wcoed2907qqcsfoyhd4y87o",5674290739,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5674290741,194,czfitwajt0sayki90i3fk5n85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190291,2,32,1,0,0,6i936isoyj6d0uuxdj537uc97,1,0.0,0.0,2025-04-23T17:01:09.130Z,2025-04-25T20:26:05Z,,,,,5674390777,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190299,2,32,1,0,0,spvvjmk37iid7hsky9g3nce7,1,0.0,0.0,2025-04-23T17:01:09.130Z,2025-04-23T17:01:11Z,,,,,5674390799,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190317,3,1,1,0,0,6i936isoyj6d0uuxdj537uc97,1,50.3,49.9,2025-04-23T17:01:09.131Z,2025-04-23T17:01:12Z,eikthetfmpxyeqsisa7vs3hsl,G. Eyjólfsson,,,5674390879,212,27.8,5674390883,279,S,5674390873,56,Back,5674390877,141,44.0,5674390881,213,3.29,5674390875,140,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190341,4,1,1,0,3,6i936isoyj6d0uuxdj537uc97,1,25.2,42.7,2025-04-23T17:01:12.300Z,2025-04-23T17:01:14Z,bdw87kq6mx8rdkkpb9w5nar1m,F. Schyberg,,,5674391021,213,5.04,5674391019,212,18.9,5674391017,141,16.4,5674391013,56,Back,5674391015,140,30.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190365,5,1,1,0,5,6i936isoyj6d0uuxdj537uc97,1,30.9,16.4,2025-04-23T17:01:14.285Z,2025-04-23T17:17:02Z,9uumw2ntt4397bee2p3m2qdt6,G. Wallentin,,,5674391189,212,41.4,5674391181,155,,5674391193,1,,5674391185,140,70.0,5674391183,56,Center,5674391191,213,0.13,5674391187,141,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190379,6,44,1,0,8,6i936isoyj6d0uuxdj537uc97,1,71.4,29.2,2025-04-23T17:01:17.703Z,2025-04-23T17:58:59Z,8uzx6yb66zjn0ke2rwqlg7wus,Y. Agnero,,,5674391273,286,,5674391271,56,Center,5674391335,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190373,3,44,1,0,8,spvvjmk37iid7hsky9g3nce7,0,28.6,70.8,2025-04-23T17:01:17.704Z,2025-04-23T17:59:00Z,c1kv9ybtguhs625d1vwlwa6ay,J. Kiilerich,,,5674391327,233,6,5674391219,56,Back,5674391221,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805201101,131,1,1,0,9,6i936isoyj6d0uuxdj537uc97,0,81.6,26.6,2025-04-23T17:01:18.479Z,2025-04-23T17:17:00Z,8uzx6yb66zjn0ke2rwqlg7wus,Y. Agnero,,,5674454439,213,0.71,5674454431,56,Center,5674454435,141,28.6,5674454437,212,2.1,5674454433,140,83.1,5674454763,3,,5674454429,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
