id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/8/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2805484333,1,34,16,0,0,7hlumphk42363z3i2nry2wrzj,1,0.0,0.0,2025-04-24T16:10:45.262Z,2025-04-24T17:04:22Z,,,,,5676042535,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5676042527,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5676042531,130,2,5676042539,197,8325,5676042525,30,"3qlfkqrawehngfhe1zmy1a61g, 7a08ravzlia5dhw5dm1q707pw, 3hn1o03lxsjzju3uorl6rnpxw, 9d08simhpio6vi217mqtro6ad, sxahqo62pj3wu3yfeah4fiay, 4er21aspnwqojlenu6lhc2b4l, a2ggooyqi2s1berhxtm75j5qt, 5jv0xmo83g4lbzo8nodqbh46i, 8ntq70sdmvbmmvchvu5jd6ndh, ekiy8mogxcfn05kwouydbdwr8, ay6mgdylpu08d9pydxejbd562, b8022a60ucgg0syjuj2m85atw, bfnqlxk0wiv1uy0ptwwqhk9hw, 2lafgzvhv0er31i6c2nb6xqfo, 3kgwkv2bjw5h244h675kmsclx, 2k1v6526ielemu1w3rayxdkkq, 3yr67mc539f140lpoowkrtgyc, 3v40cf58jryvu4l4cxu4w9ht6, 4xkiduv00nq24op9s8nuxbqxg, ad5g9zrtf9q0hksnibia99lhw",5676042541,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5676042529,59,"40, 37, 14, 9, 4, 19, 10, 21, 5, 20, 8, 30, 2, 3, 7, 15, 18, 22, 28, 36",5676042537,194,8ntq70sdmvbmmvchvu5jd6ndh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805485199,1,34,16,0,0,evf5hhqgnjhwjsth1m6pawxdp,1,0.0,0.0,2025-04-24T16:17:06.600Z,2025-04-24T16:55:18Z,,,,,5676048087,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5676048099,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5676048091,130,4,5676048095,194,2erjnb3l5mngpxyicnzhk7phx,5676048093,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5676048089,59,"1, 18, 22, 15, 13, 3, 23, 8, 9, 17, 14, 25, 5, 6, 7, 10, 16, 21, 26, 29",5676048097,197,25075,5676048085,30,"b6xqk78ndtb9qmjtlavgj02qx, 1vla5l510mtb859zevvplneju, 8s2p8s6huogpkao0lce8m5n8, 1dy0207jxgg8gvuygsd95wdn8, 2erjnb3l5mngpxyicnzhk7phx, 3tbz518udos9vb9bqypn9il7t, 94i0qwhb3xu4pu37gofme9mnd, bm0bafkutd9qb9qee06cys9re, 80s55a7uw8kypoikefwhtdm5m, 4w0adddkbx4642lkebbcmxbzd, d9ta7wtarys9urr5lzoxqv3d, 1k2svnzs4woe6gpegqlrxjjf8, 7hi9yit8aifyojt7i0kg69as5, ckwgkqxv6u28byqau4rz47efp, as7qhgi67gngq0nb3zmwg8jro, 3zuutaowhz53ivr0i5sg5y8t0, dptjb2pmzpzagb4rcndchf7ro, 2vfhae70oyyzm0qttlckworqi, 8lnksuku11t9oyvqs0pwx45jo, dp55sn2vl9mg3tpjby7peun3e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491661,2,32,1,0,0,7hlumphk42363z3i2nry2wrzj,1,0.0,0.0,2025-04-24T17:00:33.429Z,2025-04-24T17:00:35Z,,,,,5676087627,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491659,2,32,1,0,0,evf5hhqgnjhwjsth1m6pawxdp,1,0.0,0.0,2025-04-24T17:00:33.429Z,2025-04-24T17:00:33Z,,,,,5676087625,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491669,3,1,1,0,0,evf5hhqgnjhwjsth1m6pawxdp,1,49.9,49.7,2025-04-24T17:00:33.430Z,2025-04-24T17:00:37Z,80s55a7uw8kypoikefwhtdm5m,M. Fenger,,,5676087659,56,Back,5676087669,279,S,5676087661,140,38.3,5676087665,212,13.0,5676087663,141,56.3,5676087667,213,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805494129,77,1,1,0,1,evf5hhqgnjhwjsth1m6pawxdp,1,43.2,49.7,2025-04-24T17:00:35.013Z,2025-04-24T17:07:49Z,1dy0207jxgg8gvuygsd95wdn8,D. Kruse,,,5676101797,140,36.3,5676101803,213,2.25,5676101799,141,62.8,5676101801,212,11.5,5676101795,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491685,4,1,1,0,3,evf5hhqgnjhwjsth1m6pawxdp,1,38.7,56.3,2025-04-24T17:00:36.963Z,2025-04-24T17:00:41Z,3tbz518udos9vb9bqypn9il7t,A. Erlingmark,,,5676087769,213,1.94,5676087761,56,Back,5676087767,212,12.2,5676087763,140,34.5,5676087765,141,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491683,3,45,1,0,8,7hlumphk42363z3i2nry2wrzj,0,46.7,16.7,2025-04-24T17:00:41.563Z,2025-04-24T17:56:26Z,a2ggooyqi2s1berhxtm75j5qt,D. Moberg Karlsson,,,5676087757,56,Back,5676087813,233,5,5676087759,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491691,5,3,1,0,8,evf5hhqgnjhwjsth1m6pawxdp,1,53.3,83.3,2025-04-24T17:00:41.563Z,2025-04-24T17:56:26Z,8s2p8s6huogpkao0lce8m5n8,N. Tolf,,,5676087795,233,3,5676087793,286,,5676087791,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805491701,6,1,1,0,9,evf5hhqgnjhwjsth1m6pawxdp,1,46.0,85.4,2025-04-24T17:00:42.434Z,2025-04-24T17:00:46Z,8s2p8s6huogpkao0lce8m5n8,N. Tolf,,,5676087855,213,3.78,5676087847,56,Back,5676087853,212,14.5,5676087851,141,72.6,5676087849,140,34.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
