id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId
2814155291,1,34,16,0,0,evf5hhqgnjhwjsth1m6pawxdp,1,0.0,0.0,2025-05-12T16:26:20.114Z,2025-05-12T16:26:20Z,,,,,5723776797,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5723776809,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5723776795,30,"1k2svnzs4woe6gpegqlrxjjf8, 1vla5l510mtb859zevvplneju, ckwgkqxv6u28byqau4rz47efp, 1dy0207jxgg8gvuygsd95wdn8, 2erjnb3l5mngpxyicnzhk7phx, 3tbz518udos9vb9bqypn9il7t, 2vfhae70oyyzm0qttlckworqi, bm0bafkutd9qb9qee06cys9re, 80s55a7uw8kypoikefwhtdm5m, 4w0adddkbx4642lkebbcmxbzd, d9ta7wtarys9urr5lzoxqv3d, 7hi9yit8aifyojt7i0kg69as5, dptjb2pmzpzagb4rcndchf7ro, as7qhgi67gngq0nb3zmwg8jro, 3zuutaowhz53ivr0i5sg5y8t0, 8s2p8s6huogpkao0lce8m5n8, 8lnksuku11t9oyvqs0pwx45jo, dp55sn2vl9mg3tpjby7peun3e, b4bzaam658g6wf3knwxlghas5, 18qj6qj3vw6jg0unnhjevkw0k",5723776805,194,2erjnb3l5mngpxyicnzhk7phx,5723776799,59,"25, 18, 6, 15, 13, 3, 21, 8, 9, 17, 14, 5, 16, 7, 10, 22, 26, 29, 30, 12",5723776803,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5723776807,197,22120,5723776801,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,
2814157147,1,34,16,0,0,czkf5t3ai00ghwbga03i5aqxw,1,0.0,0.0,2025-05-12T16:31:18.353Z,2025-05-12T17:29:13Z,,,,,5723787395,197,5157,5723787389,59,"45, 12, 27, 20, 4, 3, 29, 14, 10, 32, 9, 35, 7, 13, 19, 31, 36, 38, 34, 25",5723787391,130,8,5723787397,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5723787393,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5723787741,194,ebhyx7fm13sy9qjf4vylzg89h,5723787387,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5723787385,30,"d5jgrd0clyl4rskqu6j8hcwkp, csd7qb9u0a9am2ltse9w31uz8, ab3og2sas7q4czd31wbdbnro, dkc69jkzi4e9ysgmwldz249as, ebhyx7fm13sy9qjf4vylzg89h, 23p0dby12ymf55wwi0xz2fnx1, a3jetivxcnpp4z36nhboz5ysq, 6051gs5j7d6zss35h2twoqnd, dvl8q7nwvz3o6d73220d1ag2d, 2zjl0xu23wp9j6ciq25irsq38, 3bepi58wwope38a478y7jwlxw, 26dlb4txygf7qzukjikr23mxh, 370kkwnidcltqyooh51z6uzqi, bhaqw4112j43c753dlxhy61ud, 9jszz4regvdvl0v4i8s41jbah, 8awq0zw9oyj9gy3ruxv105jis, 1kmf6cvipol87w83cf6gb504, 1nhbmj4k7snfiqubfjweje710, aklu4afzffv8ggxwn5wm5wphw, 820rgu4x8w0jmh6v9d6udhwyc",,,,,,,,,,,,,,,,,,,,,,,,,,
2814171211,2,32,1,0,0,evf5hhqgnjhwjsth1m6pawxdp,1,0.0,0.0,2025-05-12T17:10:27.861Z,2025-05-12T17:10:30Z,,,,,5723870053,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814171205,2,32,1,0,0,czkf5t3ai00ghwbga03i5aqxw,1,0.0,0.0,2025-05-12T17:10:27.861Z,2025-05-12T17:10:28Z,,,,,5723870021,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814171251,3,1,1,0,0,czkf5t3ai00ghwbga03i5aqxw,1,50.1,49.9,2025-05-12T17:10:27.862Z,2025-05-12T17:11:11Z,dvl8q7nwvz3o6d73220d1ag2d,T. Nguen,,,5723870269,213,3.15,5723870271,279,S,5723870267,212,26.4,5723870263,140,25.0,5723870261,56,Back,5723870265,141,49.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814171285,4,1,1,0,4,czkf5t3ai00ghwbga03i5aqxw,1,25.3,49.6,2025-05-12T17:10:32.141Z,2025-05-12T17:10:35Z,d5jgrd0clyl4rskqu6j8hcwkp,F. Manojlović,,,5723870449,213,0.49,5723870437,155,,5723870441,140,51.7,5723870447,212,31.3,5723870443,141,71.1,5723870439,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814171299,5,1,1,0,7,czkf5t3ai00ghwbga03i5aqxw,0,53.7,69.7,2025-05-12T17:10:35.341Z,2025-05-12T17:16:08Z,dkc69jkzi4e9ysgmwldz249as,M. Siltanen,,,5723870517,56,Center,5723888163,168,,5723870515,3,,5723870525,213,6.21,5723870519,140,67.0,5723870521,141,68.2,5723870523,212,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814171327,3,1,1,0,8,evf5hhqgnjhwjsth1m6pawxdp,0,35.8,35.1,2025-05-12T17:10:36.315Z,2025-05-12T17:16:23Z,2vfhae70oyyzm0qttlckworqi,A. Carlén,,,5723870663,56,Center,5723870661,157,,5723870667,141,54.6,5723870665,140,70.8,5723870673,1,,5723870671,213,0.35,5723870669,212,39.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814171361,6,1,1,0,12,czkf5t3ai00ghwbga03i5aqxw,1,22.2,47.0,2025-05-12T17:10:40.365Z,2025-05-12T17:10:42Z,d5jgrd0clyl4rskqu6j8hcwkp,F. Manojlović,,,5723870869,213,1.34,5723870865,141,64.5,5723870867,212,12.2,5723870861,56,Back,5723870863,140,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814171395,7,1,1,0,14,czkf5t3ai00ghwbga03i5aqxw,1,24.9,64.5,2025-05-12T17:10:42.269Z,2025-05-12T17:10:45Z,23p0dby12ymf55wwi0xz2fnx1,M. Danielson,,,5723871039,213,0.14,5723871035,141,66.7,5723871037,212,10.9,5723871031,56,Back,5723871033,140,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
