id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2817122765,1,34,16,0,0,46yo78zak2j7kaxc5ak1fnm60,1,0.0,0.0,2025-05-19T16:04:51.603Z,2025-05-19T17:08:49Z,,,,,5740143981,197,10418,5740143973,59,"25, 12, 16, 5, 30, 4, 7, 8, 19, 20, 10, 1, 2, 11, 15, 17, 18, 21, 23, 27",5740143977,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5740143975,130,13,5740143969,30,"6pdqmo7vuzy9lt7v6vvmqybu2, ec6qqle54cq9gck2jhnbpjzs9, 3ihcnb7xmqlsefg10xbdraqqd, b5kncgqkpiofwduo2snjz74dl, 96v3rv4y74yt6ukwh2churhbe, 3n6cx9whi75ybd9h6pv7i3mga, a4f6z4alegkvrhm4k864w9lg5, 9469qatlpe6rdqko8c6ha4out, 5dxrx40pty4wtwdrd341p0aju, c2pfggtw5hreyomdwogbhjpqs, 2mk86jc25lu7lqklnvntxmtxw, 43tfpd1zge7whbwd5xchiu06i, 7qsp3fm0wkymgiej6s7jj06p5, 9ajfpzjfipsub15tats3mo2j9, el14eiipsagmeuhborw0ksfoq, 81bn1esm8kuwq5yofmyxnnemt, 43qtylo4kl50nmdiiu5hufqj8, 59dtrk7ly4lepf7s0gywhu51w, 46ups8z9vhv73u0op2ld07wus, 8e8v25kjfqsohkczqxj5xsmj8",5740143971,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5740143983,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5740143979,194,96v3rv4y74yt6ukwh2churhbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817124345,1,34,16,0,0,evf5hhqgnjhwjsth1m6pawxdp,1,0.0,0.0,2025-05-19T16:13:30.378Z,2025-05-19T16:57:01Z,,,,,5740153457,30,"1k2svnzs4woe6gpegqlrxjjf8, 1vla5l510mtb859zevvplneju, 8s2p8s6huogpkao0lce8m5n8, 1dy0207jxgg8gvuygsd95wdn8, 2erjnb3l5mngpxyicnzhk7phx, 3tbz518udos9vb9bqypn9il7t, b4bzaam658g6wf3knwxlghas5, bm0bafkutd9qb9qee06cys9re, 80s55a7uw8kypoikefwhtdm5m, as7qhgi67gngq0nb3zmwg8jro, d9ta7wtarys9urr5lzoxqv3d, 18qj6qj3vw6jg0unnhjevkw0k, cde3a2svj5fyjgiugm1n3lwd0, 7hi9yit8aifyojt7i0kg69as5, ckwgkqxv6u28byqau4rz47efp, dptjb2pmzpzagb4rcndchf7ro, 4w0adddkbx4642lkebbcmxbzd, 2vfhae70oyyzm0qttlckworqi, 8lnksuku11t9oyvqs0pwx45jo, dp55sn2vl9mg3tpjby7peun3e",5740153463,130,4,5740153465,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5740153471,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5740153467,194,2erjnb3l5mngpxyicnzhk7phx,5740153469,197,22120,5740153459,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5740153461,59,"25, 18, 22, 15, 13, 3, 30, 8, 9, 7, 14, 12, 4, 5, 6, 16, 17, 21, 26, 29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131321,2,32,1,0,0,46yo78zak2j7kaxc5ak1fnm60,1,0.0,0.0,2025-05-19T17:01:15.071Z,2025-05-19T17:01:17Z,,,,,5740197131,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131315,2,32,1,0,0,evf5hhqgnjhwjsth1m6pawxdp,1,0.0,0.0,2025-05-19T17:01:15.071Z,2025-05-19T17:01:15Z,,,,,5740197099,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131327,3,1,1,0,0,46yo78zak2j7kaxc5ak1fnm60,1,50.0,50.0,2025-05-19T17:01:15.072Z,2025-05-19T17:01:18Z,c2pfggtw5hreyomdwogbhjpqs,E. Barsoum,,,5740197165,141,47.3,5740197171,279,S,5740197167,212,13.4,5740197163,140,37.4,5740197161,56,Back,5740197169,213,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131343,4,1,1,0,2,46yo78zak2j7kaxc5ak1fnm60,0,37.4,47.3,2025-05-19T17:01:17.534Z,2025-05-19T17:01:21Z,3n6cx9whi75ybd9h6pv7i3mga,L. Hien,,,5740197275,141,62.4,5740197277,212,36.7,5740197281,1,,5740197273,140,71.0,5740197269,157,,5740197271,56,Center,5740197279,213,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131349,3,44,1,0,5,evf5hhqgnjhwjsth1m6pawxdp,1,28.4,31.6,2025-05-19T17:01:20.941Z,2025-05-19T17:55:01Z,2erjnb3l5mngpxyicnzhk7phx,G. Svensson,,,5740197305,233,5,5740197301,56,Back,5740197303,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131345,5,44,1,0,5,46yo78zak2j7kaxc5ak1fnm60,0,71.6,68.4,2025-05-19T17:01:20.942Z,2025-05-19T17:55:02Z,2mk86jc25lu7lqklnvntxmtxw,M. Rafferty,,,5740197309,233,3,5740197285,56,Center,5740197287,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131353,4,12,1,0,6,evf5hhqgnjhwjsth1m6pawxdp,1,27.6,21.8,2025-05-19T17:01:21.734Z,2025-05-19T17:01:23Z,2erjnb3l5mngpxyicnzhk7phx,G. Svensson,,,5740197329,56,Back,5740197333,141,42.1,5740197335,212,18.8,5740197337,213,0.82,5740197331,140,39.8,5740197353,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817131361,6,1,1,0,9,46yo78zak2j7kaxc5ak1fnm60,0,69.7,60.6,2025-05-19T17:01:24.269Z,2025-05-19T17:01:25Z,a4f6z4alegkvrhm4k864w9lg5,Sebastian Jonas Ohlsson,,,5740197385,56,Center,5740197387,140,77.4,5740197391,212,8.3,5740197393,213,0.23,5740197389,141,63.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
