id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/16/value
2813379055,1,34,16,0,0,spvvjmk37iid7hsky9g3nce7,1,0.0,0.0,2025-05-11T11:06:24.628Z,2025-05-11T11:58:37Z,,,,,5719554677,30,"4cytj4f9uirlo8vb8mcsv6v6y, 23iwje6cgkgc05szzf2l5z97u, 9hg51o20uf6u2bjgshjax9soa, a0i74nqik3lbi02ngno0m0ys4, c1kv9ybtguhs625d1vwlwa6ay, 507n9mr51v21q8isz9ll3m6eh, drzdo6ouxi5n4jafhfajpor85, czfitwajt0sayki90i3fk5n85, 15mg49mqn215ce4ojukev0o2x, 93qjy2eilbuufwu2kbwpfng7p, f0iow2x82mfh6x1olrrjo5puc, bomd9wl2cnqwck46ctwjqju1h, bbrdybdlcobf8cc9epxzeledw, 9dfl060r1skgp74piehh2uvhl, bqravo7lm21jq5m4cz8uhx638, dgxqp83lhb316dec1rpi5op62, 593l8h3nilz2d0x42d7phllp0, 5h6xr50d54zcxnktz7q58oa1h, eb0ovd9v1dlil87ty5ueboy6s, to4j02so007q7mkqpnrrumtw",5719554693,197,7821,5719554691,194,czfitwajt0sayki90i3fk5n85,5719554685,130,13,5719554695,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5719554681,59,"1, 14, 17, 5, 13, 4, 10, 22, 18, 7, 19, 35, 6, 11, 15, 16, 23, 24, 27, 39",5719554679,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5719554689,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813380963,1,34,16,0,0,5mbo4f0vps12dr0fcvjn3wyp5,1,0.0,0.0,2025-05-11T11:09:22.517Z,2025-05-11T11:09:22Z,,,,,5719564363,59,"15, 17, 3, 33, 16, 4, 8, 7, 43, 10, 19, 30, 5, 9, 11, 22, 26, 32, 45, 47",5719564361,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5719564369,194,99i96gbkvesmh3wspv8rl1ln9,5719564367,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5719564359,30,"a0vo94v0vvnojrnvvscd7zp3p, b11ffe62rpm020r3u6t1lhvx1, eqfhoh81e8uj2as95ev3yfnx1, 8ez1awevbmegf1z0kgjtp048a, 9yb0exf35kl3avhdnlhv23glx, cwkz9uxtres4bockr3spd4hxx, alxccjq2y6il5yjw108a0axnt, 99i96gbkvesmh3wspv8rl1ln9, 3hz7fbme9sm4xkj5fo3moeluc, prvbf3gxwflgzxuvgvb7ls5x, eyqeg6wzhjibkt4zs5dfgzc9h, 7gbgk4q4bxc1h7kcd0u96o9nt, b0rem4wo1p6sumrp6mb77f11w, azvjk1schroxi2dq22hwnqr1m, 3xx0l8c30mjstvxq7z1s0fnit, 6oaqk4pdojnlefa3zubsysmvp, 642iajthdnr0zophv7ys35q1g, eahcgnvlq1tkswvjuovyzxxw5, b5efwfrqbzdfknrjq3agklvdg, 6utvjndbc0etrvdrul1oajdp0",5719564365,130,3,5719564373,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5719564371,197,25072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813432793,2,32,1,0,0,spvvjmk37iid7hsky9g3nce7,1,0.0,0.0,2025-05-11T12:03:26.713Z,2025-05-11T12:03:26Z,,,,,5719831917,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813432817,2,32,1,0,0,5mbo4f0vps12dr0fcvjn3wyp5,1,0.0,0.0,2025-05-11T12:03:26.713Z,2025-05-11T12:03:29Z,,,,,5719832005,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813432943,3,1,1,0,0,spvvjmk37iid7hsky9g3nce7,1,50.1,50.0,2025-05-11T12:03:26.714Z,2025-05-11T12:03:33Z,15mg49mqn215ce4ojukev0o2x,J. Bergström,,,5719832689,213,0.77,5719832673,56,Center,5719832679,140,54.2,5719832693,278,,5719832691,279,S,5719832685,141,56.1,5719832687,212,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813432963,4,1,1,0,6,spvvjmk37iid7hsky9g3nce7,1,54.2,96.2,2025-05-11T12:03:33.174Z,2025-05-11T12:03:34Z,f0iow2x82mfh6x1olrrjo5puc,A. Manneh,,,5719832817,140,42.4,5719832813,56,Back,5719832821,212,13.0,5719832823,213,3.44,5719832819,141,90.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813433059,5,1,1,0,7,spvvjmk37iid7hsky9g3nce7,1,42.2,90.5,2025-05-11T12:03:34.538Z,2025-05-11T12:03:38Z,a0i74nqik3lbi02ngno0m0ys4,Abdullah Iqbal,,,5719833319,213,6.25,5719833313,140,57.0,5719833311,56,Left,5719833315,141,89.7,5719833317,212,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813433063,6,50,1,0,9,spvvjmk37iid7hsky9g3nce7,1,57.4,88.9,2025-05-11T12:03:36.636Z,2025-05-11T12:10:59Z,drzdo6ouxi5n4jafhfajpor85,N. Røjkjær,,,5719833423,233,3,5719833351,56,Left,5719833353,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813433029,3,7,1,0,9,5mbo4f0vps12dr0fcvjn3wyp5,0,42.6,11.1,2025-05-11T12:03:36.637Z,2025-05-11T12:10:59Z,99i96gbkvesmh3wspv8rl1ln9,A. Salétros,,,5719833159,56,Back,5719833359,233,6,5719833163,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813433067,4,3,1,0,11,5mbo4f0vps12dr0fcvjn3wyp5,1,46.8,33.7,2025-05-11T12:03:37.991Z,2025-05-11T12:11:00Z,b11ffe62rpm020r3u6t1lhvx1,M. Thychosen,,,5719833355,56,Back,5719849903,286,,5719851453,233,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
