id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value
2796034989,1,34,16,0,0,evf5hhqgnjhwjsth1m6pawxdp,1,0.0,0.0,2025-04-05T12:07:53.652Z,2025-04-05T12:07:53Z,,,,5624043669,59,"1, 29, 22, 15, 13, 3, 30, 23, 9, 17, 14, 25, 5, 6, 7, 8, 16, 18, 21, 26",5624043679,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5624043675,194,2erjnb3l5mngpxyicnzhk7phx,5624043667,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5624043671,130,4,5624043665,30,"b6xqk78ndtb9qmjtlavgj02qx, dp55sn2vl9mg3tpjby7peun3e, 8s2p8s6huogpkao0lce8m5n8, 1dy0207jxgg8gvuygsd95wdn8, 2erjnb3l5mngpxyicnzhk7phx, 3tbz518udos9vb9bqypn9il7t, b4bzaam658g6wf3knwxlghas5, 94i0qwhb3xu4pu37gofme9mnd, 80s55a7uw8kypoikefwhtdm5m, 4w0adddkbx4642lkebbcmxbzd, d9ta7wtarys9urr5lzoxqv3d, 1k2svnzs4woe6gpegqlrxjjf8, 7hi9yit8aifyojt7i0kg69as5, ckwgkqxv6u28byqau4rz47efp, as7qhgi67gngq0nb3zmwg8jro, bm0bafkutd9qb9qee06cys9re, dptjb2pmzpzagb4rcndchf7ro, 1vla5l510mtb859zevvplneju, 2vfhae70oyyzm0qttlckworqi, 8lnksuku11t9oyvqs0pwx45jo",5624043673,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5624043677,197,22120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796036951,1,34,16,0,0,6i936isoyj6d0uuxdj537uc97,1,0.0,0.0,2025-04-05T12:09:43.481Z,2025-04-05T12:09:43Z,,,,5624054057,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5624054053,59,"1, 17, 15, 2, 5, 3, 6, 13, 9, 11, 8, 12, 4, 7, 14, 18, 20, 21, 25, 26",5624054051,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5624054055,130,13,5624054059,194,edzj7i715cpyuuumcttajkc0l,5624054049,30,"2trecv075gi4o78mfuyh4xiol, 5h0by2ot7i2z6daqdqj6nyiqy, 9bmo8w8t7slkzbb5owilyoqju, b248ue8bteo0awvp627dokd0, c36ffo382u9flu5foebt4di39, 9uumw2ntt4397bee2p3m2qdt6, edzj7i715cpyuuumcttajkc0l, eikthetfmpxyeqsisa7vs3hsl, 8uzx6yb66zjn0ke2rwqlg7wus, atxo9oz3czimyk1t4xigfrkrt, e9q5sweea5ymhqqwh5tucuzth, 87x84p759ef1d1qyffeghbp3p, bdw87kq6mx8rdkkpb9w5nar1m, d7nx940m1bs3895u6vnu8ah1x, eacqkvqbdrk7h93nzhwk0jff9, c3jxdm8s5meuohhv6hthhdy0a, 2iaisohuaaw7ioyox0d9zuvl6, 2s9ra3bnhkcid5uz7abhdhr6d, bpzni5riygngh99pfbcu8f78q, l7librn1vzdub2poztkj3fv8",5624054061,197,19334,5624054063,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796084331,2,32,1,0,0,evf5hhqgnjhwjsth1m6pawxdp,1,0.0,0.0,2025-04-05T13:00:59.652Z,2025-04-05T13:01:02Z,,,,5624303513,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796084357,2,32,1,0,0,6i936isoyj6d0uuxdj537uc97,1,0.0,0.0,2025-04-05T13:00:59.652Z,2025-04-05T13:01:01Z,,,,5624303633,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796084391,3,1,1,0,0,6i936isoyj6d0uuxdj537uc97,1,50.2,49.7,2025-04-05T13:00:59.653Z,2025-04-05T13:07:03Z,e9q5sweea5ymhqqwh5tucuzth,N. Mäenpää,,5624303833,140,26.2,5624303837,212,25.3,5624303831,56,Back,5624303835,141,45.8,5624303839,213,3.25,5624303841,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796084449,4,1,1,0,3,6i936isoyj6d0uuxdj537uc97,0,26.6,48.5,2025-04-05T13:01:02.846Z,2025-04-05T13:01:07Z,c36ffo382u9flu5foebt4di39,P. Gregor,,5624304171,157,,5624304181,213,5.69,5624304183,1,,5624304179,212,61.2,5624304177,141,0.0,5624304173,56,Right,5624304175,140,74.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796084475,3,5,1,0,6,evf5hhqgnjhwjsth1m6pawxdp,1,21.6,102.0,2025-04-05T13:01:06.608Z,2025-04-05T13:57:44Z,8s2p8s6huogpkao0lce8m5n8,N. Tolf,,5624304325,56,Back,5624304349,233,5,5624304327,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796084459,5,5,1,0,6,6i936isoyj6d0uuxdj537uc97,0,78.4,-2.0,2025-04-05T13:01:06.608Z,2025-04-05T13:01:12Z,c36ffo382u9flu5foebt4di39,P. Gregor,,5624304375,233,3,5624304223,347,,5624304221,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796084517,4,1,1,0,11,evf5hhqgnjhwjsth1m6pawxdp,1,18.3,100.0,2025-04-05T13:01:10.774Z,2025-04-05T13:01:12Z,8s2p8s6huogpkao0lce8m5n8,N. Tolf,,5624304517,213,4.45,5624304511,141,82.3,5624304507,140,14.9,5624304503,56,Back,5624304499,107,,5624304515,212,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796084541,5,1,1,0,12,evf5hhqgnjhwjsth1m6pawxdp,1,14.6,85.0,2025-04-05T13:01:12.265Z,2025-04-05T13:01:14Z,3tbz518udos9vb9bqypn9il7t,A. Erlingmark,,5624304663,213,1.10,5624304649,56,Back,5624304659,212,7.2,5624304653,140,17.7,5624304657,141,94.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
