id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value
2818800257,1,34,16,0,0,6i936isoyj6d0uuxdj537uc97,1,0.0,0.0,2025-05-25T11:12:57.059Z,2025-05-25T12:05:49Z,,,,,5749569307,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5749569299,30,"87x84p759ef1d1qyffeghbp3p, atxo9oz3czimyk1t4xigfrkrt, 9bmo8w8t7slkzbb5owilyoqju, 2s9ra3bnhkcid5uz7abhdhr6d, bdw87kq6mx8rdkkpb9w5nar1m, b248ue8bteo0awvp627dokd0, edzj7i715cpyuuumcttajkc0l, bpzni5riygngh99pfbcu8f78q, 8uzx6yb66zjn0ke2rwqlg7wus, c3jxdm8s5meuohhv6hthhdy0a, bzm752bvefjt54nj6ruf9tbtg, 2trecv075gi4o78mfuyh4xiol, 9uumw2ntt4397bee2p3m2qdt6, 7q001jk9hk2ylv31sv48fv7dg, eikthetfmpxyeqsisa7vs3hsl, eacqkvqbdrk7h93nzhwk0jff9, 2iaisohuaaw7ioyox0d9zuvl6, l7librn1vzdub2poztkj3fv8, d4nz5uqb2xsmza0ui0l20sgk, 3xpfng5pdiv25frh985emkl5g",5749569309,194,edzj7i715cpyuuumcttajkc0l,5749569313,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5749569311,197,28383,5749569303,59,"12, 11, 15, 21, 4, 2, 6, 25, 9, 18, 29, 1, 3, 10, 13, 14, 20, 26, 28, 32",5749569301,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5749569305,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818801157,1,34,16,0,0,1939bnru25svvgv15k2c7tw2y,1,0.0,0.0,2025-05-25T11:19:17.343Z,2025-05-25T12:08:45Z,,,,,5749574803,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5749574795,30,"2qac7z5bt0grylf296n67j384, 5l4q2q8nszqp6k8exo9eyqnrp, 2d1dh619cfgvel4bv7tpfxjo5, amgtzrnw9lmo9o506a0mhzip6, 85mzxov9sqq8gec4e0wwt8h78, 6legryh9z8lvc4bq4s456m09h, 21abg7evjtjt6kzisu43jckmi, 60fbyywnjiz6l8n7gmi2mjld5, 116vh3v105pa9vyw10hpvuwdm, wv67qz43iwolqireq2ttfx1w, 25ytwmg2c5xcqp5ta12oznm22, 5uek9dtfn577w1mv9w83oznbp, agsollzstr45ee0z17tle8d1w, 1qyvk3eveiz8n40houjgtko9h, 1vr7p76nx255ikv7w00s6gnsa, 18m0hkgbsvq0axzflltkyylsl, 3vezn38wnyk5dtstopwbl0dn8, dp4bh2qpsagd632sfe3qq4hqt, 6tqclthbz4m9kqiukixum1mhg, 8zvc2mjym1u4uev3t60rhmvis",5749574801,130,13,5749574805,194,6legryh9z8lvc4bq4s456m09h,5749574799,59,"1, 15, 23, 6, 29, 8, 27, 10, 24, 21, 25, 30, 2, 4, 11, 13, 16, 18, 20, 28",5749574807,197,25078,5749574797,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5749574809,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818808543,2,32,1,0,0,1939bnru25svvgv15k2c7tw2y,1,0.0,0.0,2025-05-25T12:01:21.549Z,2025-05-25T12:01:24Z,,,,,5749617511,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818808541,2,32,1,0,0,6i936isoyj6d0uuxdj537uc97,1,0.0,0.0,2025-05-25T12:01:21.549Z,2025-05-25T12:01:21Z,,,,,5749617503,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818808559,3,1,1,0,0,6i936isoyj6d0uuxdj537uc97,1,50.4,49.9,2025-05-25T12:01:21.550Z,2025-05-25T12:01:24Z,bpzni5riygngh99pfbcu8f78q,A. Damnjanovic Nilsson,,,5749617559,141,40.6,5749617557,140,30.4,5749617565,279,S,5749617555,56,Back,5749617563,213,3.43,5749617561,212,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818808577,4,1,1,0,2,6i936isoyj6d0uuxdj537uc97,1,30.6,38.0,2025-05-25T12:01:23.866Z,2025-05-25T12:01:27Z,bdw87kq6mx8rdkkpb9w5nar1m,F. Schyberg,,,5749617647,213,4.93,5749617641,140,34.0,5749617643,141,14.1,5749617639,56,Back,5749617645,212,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818808587,5,1,1,0,6,6i936isoyj6d0uuxdj537uc97,0,31.9,13.4,2025-05-25T12:01:27.673Z,2025-05-25T12:01:30Z,b248ue8bteo0awvp627dokd0,B. Kurtulus,,,5749617685,213,0.02,5749617681,141,14.7,5749617683,212,40.5,5749617675,157,,5749617677,56,Right,5749617679,140,70.5,5749617687,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818808593,3,44,1,0,9,1939bnru25svvgv15k2c7tw2y,1,27.9,78.6,2025-05-25T12:01:30.925Z,2025-05-25T14:09:26Z,amgtzrnw9lmo9o506a0mhzip6,R. Wikström,,,5749617741,233,6,5749617709,56,Back,5749617711,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818808597,6,44,1,0,9,6i936isoyj6d0uuxdj537uc97,0,72.1,21.4,2025-05-25T12:01:30.926Z,2025-05-25T14:09:26Z,atxo9oz3czimyk1t4xigfrkrt,V. Granath,,,5749617745,233,3,5749617723,286,,5749617721,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818808601,4,1,1,0,9,1939bnru25svvgv15k2c7tw2y,0,24.5,80.9,2025-05-25T12:01:31.243Z,2025-05-25T12:06:57Z,amgtzrnw9lmo9o506a0mhzip6,R. Wikström,,,5749617749,3,,5749617755,141,59.7,5749617759,213,5.80,5749617757,212,31.2,5749617753,140,50.8,5749617751,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
