id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId
2810281479,1,34,16,0,0,spvvjmk37iid7hsky9g3nce7,1,0.0,0.0,2025-05-04T13:40:54.978Z,2025-05-04T13:40:55Z,,,,,5702417587,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5702417593,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5702417597,197,7821,5702417591,130,13,5702417595,194,czfitwajt0sayki90i3fk5n85,5702417599,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5702417585,30,"4cytj4f9uirlo8vb8mcsv6v6y, 23iwje6cgkgc05szzf2l5z97u, 9hg51o20uf6u2bjgshjax9soa, a0i74nqik3lbi02ngno0m0ys4, c1kv9ybtguhs625d1vwlwa6ay, 507n9mr51v21q8isz9ll3m6eh, drzdo6ouxi5n4jafhfajpor85, czfitwajt0sayki90i3fk5n85, 15mg49mqn215ce4ojukev0o2x, 93qjy2eilbuufwu2kbwpfng7p, f0iow2x82mfh6x1olrrjo5puc, bbrdybdlcobf8cc9epxzeledw, 9dfl060r1skgp74piehh2uvhl, bqravo7lm21jq5m4cz8uhx638, dgxqp83lhb316dec1rpi5op62, 5h6xr50d54zcxnktz7q58oa1h, b7bmxh0q5aa8646sxmvy0etqs, eb0ovd9v1dlil87ty5ueboy6s, to4j02so007q7mkqpnrrumtw, 5bjycgpdp1w7wr01mgb4z3j10",5702417589,59,"1, 14, 17, 5, 13, 4, 10, 22, 18, 7, 19, 6, 11, 15, 16, 24, 25, 27, 39, 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810284799,1,34,16,0,0,evf5hhqgnjhwjsth1m6pawxdp,1,0.0,0.0,2025-05-04T13:42:54.444Z,2025-05-04T13:42:54Z,,,,,5702435807,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5702435819,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5702435811,130,4,5702435815,194,2erjnb3l5mngpxyicnzhk7phx,5702435813,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5702435817,197,25074,5702435805,30,"b6xqk78ndtb9qmjtlavgj02qx, 1vla5l510mtb859zevvplneju, 8s2p8s6huogpkao0lce8m5n8, 1dy0207jxgg8gvuygsd95wdn8, 2erjnb3l5mngpxyicnzhk7phx, 3tbz518udos9vb9bqypn9il7t, d9ta7wtarys9urr5lzoxqv3d, ckwgkqxv6u28byqau4rz47efp, 80s55a7uw8kypoikefwhtdm5m, 4w0adddkbx4642lkebbcmxbzd, as7qhgi67gngq0nb3zmwg8jro, 1k2svnzs4woe6gpegqlrxjjf8, 7hi9yit8aifyojt7i0kg69as5, bm0bafkutd9qb9qee06cys9re, 3zuutaowhz53ivr0i5sg5y8t0, dptjb2pmzpzagb4rcndchf7ro, 2vfhae70oyyzm0qttlckworqi, 94i0qwhb3xu4pu37gofme9mnd, 8lnksuku11t9oyvqs0pwx45jo, dp55sn2vl9mg3tpjby7peun3e",5702435809,59,"1, 18, 22, 15, 13, 3, 14, 6, 9, 17, 7, 25, 5, 8, 10, 16, 21, 23, 26, 29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810352325,2,32,1,0,0,evf5hhqgnjhwjsth1m6pawxdp,1,0.0,0.0,2025-05-04T14:31:09.485Z,2025-05-04T14:31:09Z,,,,,5702805255,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810352339,2,32,1,0,0,spvvjmk37iid7hsky9g3nce7,1,0.0,0.0,2025-05-04T14:31:09.485Z,2025-05-04T14:31:12Z,,,,,5702805327,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810352435,3,1,1,0,0,evf5hhqgnjhwjsth1m6pawxdp,1,49.6,49.6,2025-05-04T14:31:09.486Z,2025-05-04T14:31:13Z,80s55a7uw8kypoikefwhtdm5m,M. Fenger,,,5702805867,213,3.08,5702805863,141,51.3,5702805859,56,Back,5702805869,279,S,5702805861,140,32.4,5702805865,212,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810352453,4,1,1,0,3,evf5hhqgnjhwjsth1m6pawxdp,1,44.0,43.3,2025-05-04T14:31:12.710Z,2025-05-04T14:31:14Z,1dy0207jxgg8gvuygsd95wdn8,D. Kruse,,,5702805995,213,4.69,5702805991,141,18.0,5702805989,140,43.7,5702805987,56,Back,5702805993,212,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810352527,5,1,1,0,5,evf5hhqgnjhwjsth1m6pawxdp,1,45.6,14.9,2025-05-04T14:31:14.564Z,2025-05-04T14:31:16Z,1vla5l510mtb859zevvplneju,F. Eriksson,,,5702806373,141,34.8,5702806369,56,Center,5702806379,213,0.94,5702806375,212,16.7,5702806371,140,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810352537,6,1,1,0,7,evf5hhqgnjhwjsth1m6pawxdp,0,55.0,34.9,2025-05-04T14:31:16.533Z,2025-05-04T14:31:16Z,1dy0207jxgg8gvuygsd95wdn8,D. Kruse,,,5702806435,212,5.1,5702806431,140,56.8,5702806429,56,Center,5702806437,213,5.10,5702806433,141,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810352571,3,61,1,0,8,spvvjmk37iid7hsky9g3nce7,1,47.8,64.9,2025-05-04T14:31:17.724Z,2025-05-04T14:31:17Z,drzdo6ouxi5n4jafhfajpor85,N. Røjkjær,,,5702806587,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810352635,7,1,1,0,9,evf5hhqgnjhwjsth1m6pawxdp,0,65.6,24.6,2025-05-04T14:31:19.350Z,2025-05-04T14:50:37Z,ckwgkqxv6u28byqau4rz47efp,A. Trondsen,,,5702806901,141,34.3,5702806905,213,0.59,5702806895,56,Center,5702806899,140,74.9,5702806903,212,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
