id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2818847261,1,34,16,0,0,5mbo4f0vps12dr0fcvjn3wyp5,1,0.0,0.0,2025-05-25T13:38:31.839Z,2025-05-25T20:31:41Z,,,,5749833579,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5749833583,197,22091,5749833585,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5749833577,130,11,5749833581,194,99i96gbkvesmh3wspv8rl1ln9,5749833575,59,"15, 17, 19, 3, 4, 32, 8, 7, 9, 33, 10, 30, 5, 11, 16, 18, 22, 43, 45, 47",5749833571,30,"a0vo94v0vvnojrnvvscd7zp3p, b11ffe62rpm020r3u6t1lhvx1, eyqeg6wzhjibkt4zs5dfgzc9h, eqfhoh81e8uj2as95ev3yfnx1, cwkz9uxtres4bockr3spd4hxx, eahcgnvlq1tkswvjuovyzxxw5, alxccjq2y6il5yjw108a0axnt, 99i96gbkvesmh3wspv8rl1ln9, azvjk1schroxi2dq22hwnqr1m, 8ez1awevbmegf1z0kgjtp048a, prvbf3gxwflgzxuvgvb7ls5x, 7gbgk4q4bxc1h7kcd0u96o9nt, b0rem4wo1p6sumrp6mb77f11w, 3xx0l8c30mjstvxq7z1s0fnit, 9yb0exf35kl3avhdnlhv23glx, 2q5dedfrzn793s2alaaig8i6s, 6oaqk4pdojnlefa3zubsysmvp, 3hz7fbme9sm4xkj5fo3moeluc, b5efwfrqbzdfknrjq3agklvdg, 6utvjndbc0etrvdrul1oajdp0",5749833573,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818847813,1,34,16,0,0,ac8jow4mdkvnsv5s0och4qqm,1,0.0,0.0,2025-05-25T13:39:47.937Z,2025-05-25T20:31:45Z,,,,5749836769,197,22113,5749836757,30,"8vl4hue7ixvxh4dtner52sfrp, aqjwz3wm0it916o2vb5tz9vxl, 4smb0sorl9dms1k26si6tbqzu, 17zz0x6tm20e9yfh4q5ehaf9x, 253za05jf3mmaqkjndm10d2lm, 8unnvgvft6knxupbp9oxh621h, ci5y030e6r9umgyjbupwske7d, aykbbz6l05b9t5n8uaxp6n2fo, 9niqy9wbsy6b03fa5iyx22gic, hm7w2b4a6j0q3bprq118r5uy, 7qgiqoaaarr6c2bs4yffqwju2, 89ow55pri5urh5lk857koiihg, 6a6ki8j5n8w1oa3wvdc00chqt, aw75jdzi3u012jkwj7t0eln2s, 3slq45oyri6a8smz52fezhct0, av9lz5umeimwlq7v4q4d7twr8, c9qk8n9d4130okk9go1brzskq, dxjb3lzx9qudbom1zbgyupt78, bpu2cfexsy3lcf7avl9im6gb8, 32xfhqnf7sa2pyyttqac9u385",5749836771,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5749836767,194,8unnvgvft6knxupbp9oxh621h,5749836763,130,8,5749836761,59,"25, 21, 77, 5, 2, 3, 19, 31, 23, 16, 7, 40, 4, 10, 14, 17, 24, 27, 32, 39",5749836759,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5749836765,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818865649,2,32,1,0,0,ac8jow4mdkvnsv5s0och4qqm,1,0.0,0.0,2025-05-25T14:30:29.452Z,2025-05-25T16:40:05Z,,,,5749939255,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818865655,2,32,1,0,0,5mbo4f0vps12dr0fcvjn3wyp5,1,0.0,0.0,2025-05-25T14:30:29.452Z,2025-05-25T14:30:31Z,,,,5749939277,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818865667,3,1,1,0,0,ac8jow4mdkvnsv5s0och4qqm,1,50.0,50.0,2025-05-25T14:30:29.453Z,2025-05-25T14:41:50Z,ci5y030e6r9umgyjbupwske7d,Daleho Irandust,,5749939319,213,3.46,5749939317,212,22.5,5749939313,140,29.7,5749939321,279,S,5749939311,56,Back,5749939315,141,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818865685,4,1,1,0,3,ac8jow4mdkvnsv5s0och4qqm,0,30.3,39.5,2025-05-25T14:30:32.539Z,2025-05-25T14:30:35Z,253za05jf3mmaqkjndm10d2lm,H. Karlsson,,5749939473,213,0.43,5749939463,157,,5749939475,1,,5749939465,56,Center,5749939471,212,54.8,5749939467,140,77.7,5749939469,141,73.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818865693,3,1,1,0,6,5mbo4f0vps12dr0fcvjn3wyp5,1,24.2,16.7,2025-05-25T14:30:36.362Z,2025-05-25T14:30:38Z,eahcgnvlq1tkswvjuovyzxxw5,F. Benković,,5749939527,212,12.6,5749939523,140,36.2,5749939525,141,18.0,5749939521,56,Back,5749939519,3,,5749939529,213,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818865695,4,1,1,0,8,5mbo4f0vps12dr0fcvjn3wyp5,0,36.2,18.0,2025-05-25T14:30:37.962Z,2025-05-25T14:30:38Z,8ez1awevbmegf1z0kgjtp048a,Á. Csongvai,,5749939539,141,47.5,5749939543,213,0.82,5749939537,140,53.9,5749939545,1,,5749939541,212,27.3,5749939533,157,,5749939535,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818865709,5,1,1,0,10,ac8jow4mdkvnsv5s0och4qqm,1,45.0,65.7,2025-05-25T14:30:39.466Z,2025-05-25T14:30:42Z,253za05jf3mmaqkjndm10d2lm,H. Karlsson,,5749939659,140,63.6,5749939665,213,0.81,5749939661,141,95.6,5749939663,212,28.2,5749939655,3,,5749939657,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818865713,6,61,1,0,12,ac8jow4mdkvnsv5s0och4qqm,0,63.7,95.6,2025-05-25T14:30:42.362Z,2025-05-25T14:30:46Z,7qgiqoaaarr6c2bs4yffqwju2,V. Lind,,5749939687,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
