id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/8/value,qualifier/9/value,qualifier/10/value,qualifier/14/value,qualifier/12/value,qualifier/11/value,qualifier/16/value
2803773307,1,34,16,0,0,durq4oppf7c08tnbzrlebt0uz,1,0.0,0.0,2025-04-20T11:05:33.267Z,2025-04-20T11:05:33Z,,,,,5666556869,197,25126,5666556871,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5666556857,30,"27hg1g0tz1l6mt4eugz841hw5, 4w8yuib6lrya8ucle0j9maxka, reelt18o0lhvy8vl8h33glpl, 174tz9lh744fhcxzabu00746h, 2mfqgk982ky4y88ddcljx25n8, 8ebx705t6jvq53z6tjk0ke1d6, 8wz2m0yj4f0ci90m0wjftnoid, 2e1xnfe3hisebv1tytnkzk178, 5svga5s2fg0n058ms3pndyhhw, 40l3vtezw1ofwk2occi4z5w45, 30117qloj2vhnxq4djfktp7u1, 4id56bnddab7qd1mxxsm8ueqc, dczigjj5jklu5214hs3rw1mvo, 1t67kvg37jg2elz9voix5kcet, cntz26i7p4q9fyzh55xswpudw, 7uqexxe985u3bbx5lxx2vgand, b83hbe115qfbfh703m5idim8k, 2e1j4tbrlrgqvm7io0hfu7is5, 3eo81o5kixwopw1onaipk3l78, 9eaa74frc7sjli4e48cey3r4k",5666556859,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5666556867,194,8wz2m0yj4f0ci90m0wjftnoid,5666556861,59,"1, 5, 3, 8, 2, 24, 22, 28, 18, 7, 10, 39, 4, 6, 9, 16, 17, 20, 26, 32",5666556865,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5666556863,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803774903,1,34,16,0,0,ac8jow4mdkvnsv5s0och4qqm,1,0.0,0.0,2025-04-20T11:08:39.042Z,2025-04-20T12:11:20Z,,,,,5666565097,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5666565101,197,22113,5666565089,30,"8vl4hue7ixvxh4dtner52sfrp, aqjwz3wm0it916o2vb5tz9vxl, 2lyhi7j3id7emsh54ehdva3ca, 17zz0x6tm20e9yfh4q5ehaf9x, 253za05jf3mmaqkjndm10d2lm, 8unnvgvft6knxupbp9oxh621h, ci5y030e6r9umgyjbupwske7d, c9qk8n9d4130okk9go1brzskq, 9niqy9wbsy6b03fa5iyx22gic, aw75jdzi3u012jkwj7t0eln2s, 7qgiqoaaarr6c2bs4yffqwju2, 89ow55pri5urh5lk857koiihg, av9lz5umeimwlq7v4q4d7twr8, 7srm9q1vlw55g0p0tugtlr3ai, dxjb3lzx9qudbom1zbgyupt78, bpu2cfexsy3lcf7avl9im6gb8, c7uvrj36f6lhfurysy774ku8k, 47ymu9whey6w61nk2nx7gpv6c, 32xfhqnf7sa2pyyttqac9u385, 4smb0sorl9dms1k26si6tbqzu",5666565093,59,"25, 21, 6, 5, 2, 3, 19, 24, 23, 10, 7, 40, 17, 20, 27, 32, 33, 34, 39, 77",5666565099,194,8unnvgvft6knxupbp9oxh621h,5666565103,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5666565095,130,8,5666565091,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803811595,2,32,1,0,0,ac8jow4mdkvnsv5s0och4qqm,1,0.0,0.0,2025-04-20T12:00:36.325Z,2025-04-20T12:01:21Z,,,,,5666751779,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803811711,2,32,1,0,0,durq4oppf7c08tnbzrlebt0uz,1,0.0,0.0,2025-04-20T12:00:36.325Z,2025-04-20T12:01:23Z,,,,,5666752295,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803812121,3,1,1,0,0,durq4oppf7c08tnbzrlebt0uz,1,49.9,50.5,2025-04-20T12:00:37.115Z,2025-04-20T14:05:51Z,5svga5s2fg0n058ms3pndyhhw,Mohammad Alsalkhadi,,,5666778933,213,3.30,5666778923,56,Back,5666779577,279,S,5666778927,140,32.9,5666778929,141,46.2,5666778931,212,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803812145,6,1,1,0,2,durq4oppf7c08tnbzrlebt0uz,1,36.2,43.2,2025-04-20T12:00:38.649Z,2025-04-20T12:06:38Z,174tz9lh744fhcxzabu00746h,L. Le Roux,,,5666782049,212,10.8,5666782041,140,34.9,5666782045,141,27.4,5666782039,56,Back,5666782053,213,4.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803812133,4,1,1,0,3,durq4oppf7c08tnbzrlebt0uz,1,38.0,14.3,2025-04-20T12:00:40.313Z,2025-04-20T12:06:54Z,4w8yuib6lrya8ucle0j9maxka,V. Larsson,,,5666783671,212,16.4,5666783675,213,2.40,5666783663,56,Back,5666783665,140,26.5,5666783667,141,30.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803812135,5,1,1,0,6,durq4oppf7c08tnbzrlebt0uz,1,29.3,23.7,2025-04-20T12:00:42.472Z,2025-04-20T12:07:12Z,2mfqgk982ky4y88ddcljx25n8,J. Rapp,,,5666785245,56,Back,5666785253,213,1.68,5666785249,141,62.4,5666785247,140,26.5,5666785251,212,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803812151,7,1,1,0,8,durq4oppf7c08tnbzrlebt0uz,1,26.4,66.7,2025-04-20T12:00:44.827Z,2025-04-20T12:07:39Z,8ebx705t6jvq53z6tjk0ke1d6,E. Grozdanić,,,5666787683,212,13.9,5666787685,213,1.26,5666787681,141,86.1,5666787679,140,30.5,5666787677,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803812209,10,1,1,0,10,durq4oppf7c08tnbzrlebt0uz,1,30.6,88.5,2025-04-20T12:00:46.673Z,2025-04-20T12:08:15Z,reelt18o0lhvy8vl8h33glpl,A. Björnström,,,5666791917,140,22.9,5666791921,212,15.7,5666791919,141,68.7,5666791923,213,4.17,5666791915,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
