id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/10/value,qualifier/14/value,qualifier/16/value
2813535387,1,34,16,0,0,93ohqui2qgqm8408viwmm1ken,1,0.0,0.0,2025-05-11T13:34:01.909Z,2025-05-11T14:38:16Z,,,,,5720377781,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5720377787,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5720377773,30,"cj7aybqox4kzoicnzea7b64t1, 4yg4i2wvdz87rrxpn0rqn2xg5, carpl05zgalgbsd6gnk3akc89, azcjwvw9799e6bawnlcb0lt2i, as6coaak724tr7igyz1wwlfc9, 7si8brq1p8o6fvw93hq9v9bmc, 7hugqbtot3c8fmxtfqld9l15g, d58ji96mcnebbci6skc46x9uc, 329r6jq5pn0m174v3berarh90, 4az5n8aekw6ipzu7fagqhkys4, dvi2tleym136aqpvwfi4lustm, 7iv79dtpsplpjl1jxod3swmlm, lh30ckelpek3u7jbzotxuvze, duhvdeeqlyxgt2qve8fjgrpat, 90eoelhr2oxpg3ejr2whwwu6t, 62w849kqrnjm00xr12suencgl, b9tsqyrv0xp0tt5nzwrmy9gb9, 53dvtfms2uxd500y87x5jf2eh, d8b1lbi0r229uiylsfm2lo3ro, 27w9691m35wlxy4ujti7sppn8",5720377775,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5720377779,130,9,5720377783,194,azcjwvw9799e6bawnlcb0lt2i,5720377777,59,"1, 17, 25, 23, 19, 35, 38, 7, 32, 11, 22, 33, 2, 6, 9, 10, 16, 20, 34, 40",5720377785,197,25087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813538937,1,34,16,0,0,46yo78zak2j7kaxc5ak1fnm60,1,0.0,0.0,2025-05-11T13:37:10.651Z,2025-05-11T14:37:49Z,,,,,5720396707,130,13,5720396717,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5720396709,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5720396713,197,10418,5720396705,59,"25, 12, 2, 7, 5, 4, 16, 11, 9, 20, 10, 1, 15, 17, 18, 19, 21, 23, 27, 30",5720396703,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5720396701,30,"6pdqmo7vuzy9lt7v6vvmqybu2, ec6qqle54cq9gck2jhnbpjzs9, 7qsp3fm0wkymgiej6s7jj06p5, a4f6z4alegkvrhm4k864w9lg5, b5kncgqkpiofwduo2snjz74dl, 3n6cx9whi75ybd9h6pv7i3mga, 3ihcnb7xmqlsefg10xbdraqqd, 9ajfpzjfipsub15tats3mo2j9, cxq6miltbekjrfil30uuo0tn8, c2pfggtw5hreyomdwogbhjpqs, 2mk86jc25lu7lqklnvntxmtxw, 43tfpd1zge7whbwd5xchiu06i, el14eiipsagmeuhborw0ksfoq, 81bn1esm8kuwq5yofmyxnnemt, 43qtylo4kl50nmdiiu5hufqj8, 5dxrx40pty4wtwdrd341p0aju, 59dtrk7ly4lepf7s0gywhu51w, 46ups8z9vhv73u0op2ld07wus, 8e8v25kjfqsohkczqxj5xsmj8, 96v3rv4y74yt6ukwh2churhbe",5720396711,194,3ihcnb7xmqlsefg10xbdraqqd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813583623,2,32,1,0,0,93ohqui2qgqm8408viwmm1ken,1,0.0,0.0,2025-05-11T14:31:15.816Z,2025-05-11T14:31:16Z,,,,,5720638261,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813583635,2,32,1,0,0,46yo78zak2j7kaxc5ak1fnm60,1,0.0,0.0,2025-05-11T14:31:15.816Z,2025-05-11T14:31:19Z,,,,,5720638301,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813583661,3,1,1,0,0,46yo78zak2j7kaxc5ak1fnm60,1,50.0,50.0,2025-05-11T14:31:15.817Z,2025-05-11T14:39:18Z,c2pfggtw5hreyomdwogbhjpqs,E. Barsoum,,,5720638413,212,20.9,5720638409,141,49.7,5720638405,140,30.1,5720638417,213,3.15,5720638401,56,Back,5720638421,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813583723,4,1,1,0,3,46yo78zak2j7kaxc5ak1fnm60,0,30.1,49.7,2025-05-11T14:31:19.623Z,2025-05-11T14:31:22Z,3n6cx9whi75ybd9h6pv7i3mga,L. Hien,,,5720638751,157,,5720638761,213,0.38,5720638757,141,79.4,5720638759,212,54.5,5720638763,1,,5720638755,140,78.3,5720638753,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813583765,3,1,1,0,7,93ohqui2qgqm8408viwmm1ken,0,23.9,23.4,2025-05-11T14:31:23.514Z,2025-05-11T14:31:24Z,4yg4i2wvdz87rrxpn0rqn2xg5,J. Stryger Larsen,,,5720638947,3,,5720638955,140,32.1,5720638959,141,30.0,5720638963,212,9.7,5720638951,56,Back,5720638967,213,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813583797,5,1,1,0,8,46yo78zak2j7kaxc5ak1fnm60,0,60.7,69.9,2025-05-11T14:31:24.711Z,2025-05-11T14:31:26Z,c2pfggtw5hreyomdwogbhjpqs,E. Barsoum,,,5720639101,213,2.38,5720639097,141,75.3,5720639095,140,57.0,5720639093,56,Center,5720639099,212,5.3,5720639091,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813583803,4,61,1,0,10,93ohqui2qgqm8408viwmm1ken,0,45.5,23.4,2025-05-11T14:31:26.537Z,2025-05-11T14:31:26Z,4az5n8aekw6ipzu7fagqhkys4,E. Ekong,,,5720639135,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813583869,6,1,1,0,11,46yo78zak2j7kaxc5ak1fnm60,1,57.4,73.9,2025-05-11T14:31:27.783Z,2025-05-11T14:31:31Z,c2pfggtw5hreyomdwogbhjpqs,E. Barsoum,,,5720639491,140,58.8,5720639497,213,1.40,5720639489,56,Left,5720639493,141,86.5,5720639495,212,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
