id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/9/value,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2796033599,1,34,16,0,0,4jg5vd59i24chckyua90dr1lg,1,0.0,0.0,2025-04-05T12:06:39.643Z,2025-04-05T13:03:10Z,,,,,5624036095,194,3xrja99d4b0jewfjzelq4rspg,5624036083,59,"1, 3, 33, 18, 5, 4, 17, 14, 9, 7, 10, 34, 8, 12, 13, 20, 21, 24, 29, 36",5624036079,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5624036087,130,15,5624036075,30,"dsw7clrtv93nkdnppqhfm1n9, bdgqvvkpadpthmlm40wa6dcyx, 77767sxrg8n7kfm58qf1wq32s, 3xrja99d4b0jewfjzelq4rspg, 4ly7t29cozmc49wu7avkvv3yt, 10lj2qekb1e4c8ful68b1pazt, 451liwl34giar3r8y7b295w16, di0z3rihhkz11o1ccqo2b654a, 9mvwnz2zlvx54nggvvw3l9ega, 21ht7s882is4sisnr8dpf61yi, 546vmchsyl1wt10pr13r5oup6, 6f0gn0s326avqwshii5mvfz10, 5k4gsy5f7ius93bbks9wbvqei, 3907otfahqaiqsy7hx3k142dw, dcewpavwmjbplo5fahrzfxega, 9jqz6yi90pj9dlvgktdwrsf10, cdlngd5oc988etq8dp8bh4s7p, dy1lhnql8cpw307wcxw3brndg, rxypx04u4hxdd5dfwoazp2xg, es8z1xh8vhhtrjs8jrfbrqrro",5624036099,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5624036097,197,5798,5624036091,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796047189,1,34,16,0,0,czkf5t3ai00ghwbga03i5aqxw,1,0.0,0.0,2025-04-05T12:19:09.300Z,2025-04-05T12:19:09Z,,,,,5624109103,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5624109107,130,8,5624109109,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5624109101,30,"d5jgrd0clyl4rskqu6j8hcwkp, bv57jiquzqjnzuxzw5r663aad, ab3og2sas7q4czd31wbdbnro, dkc69jkzi4e9ysgmwldz249as, 5jos8v6hr086q8at9iuyhwded, ebhyx7fm13sy9qjf4vylzg89h, dvl8q7nwvz3o6d73220d1ag2d, 7pel84swlqfux6obt6lznze1h, 1utyorvutnk14hp6dr079t1m2, 370kkwnidcltqyooh51z6uzqi, 5t5ib5l818gj98xrztrj0kbca, 26dlb4txygf7qzukjikr23mxh, 23p0dby12ymf55wwi0xz2fnx1, 6n7sw8r0fhcoa8hfuxrtm96tx, csd7qb9u0a9am2ltse9w31uz8, 6051gs5j7d6zss35h2twoqnd, 9jszz4regvdvl0v4i8s41jbah, e5oacvmfe0ig0vfrk0oxaqcq1, a3jetivxcnpp4z36nhboz5ysq, 2zjl0xu23wp9j6ciq25irsq38",5624109115,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5624109111,194,ebhyx7fm13sy9qjf4vylzg89h,5624109105,59,"45, 18, 27, 20, 5, 4, 10, 6, 11, 7, 15, 35, 3, 8, 12, 14, 19, 23, 29, 32",5624109113,197,25089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796083949,2,32,1,0,0,4jg5vd59i24chckyua90dr1lg,1,0.0,0.0,2025-04-05T13:00:33.199Z,2025-04-05T13:00:36Z,,,,,5624301355,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796083941,2,32,1,0,0,czkf5t3ai00ghwbga03i5aqxw,1,0.0,0.0,2025-04-05T13:00:33.199Z,2025-04-05T13:00:33Z,,,,,5624301311,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796083993,3,1,1,0,0,czkf5t3ai00ghwbga03i5aqxw,1,50.1,50.1,2025-04-05T13:00:33.200Z,2025-04-05T13:00:37Z,dvl8q7nwvz3o6d73220d1ag2d,T. Nguen,,,5624301591,1,,5624301593,279,S,5624301585,141,51.5,5624301581,56,Back,5624301589,213,3.11,5624301587,212,32.9,5624301583,140,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796084033,4,1,1,0,3,czkf5t3ai00ghwbga03i5aqxw,1,19.5,48.8,2025-04-05T13:00:37.088Z,2025-04-05T13:00:41Z,d5jgrd0clyl4rskqu6j8hcwkp,F. Manojlović,,,5624301965,1,,5624301955,140,58.9,5624301963,213,5.87,5624301959,141,21.9,5624301949,56,Center,5624301947,157,,5624301961,212,45.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796084049,5,1,1,0,7,czkf5t3ai00ghwbga03i5aqxw,1,58.9,21.9,2025-04-05T13:00:41.110Z,2025-04-05T13:03:26Z,7pel84swlqfux6obt6lznze1h,R. Schüller,,,5624302069,212,11.5,5624302071,213,5.72,5624302067,141,12.9,5624302059,3,,5624302061,168,,5624302063,56,Right,5624302065,140,68.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796084057,6,1,1,0,9,czkf5t3ai00ghwbga03i5aqxw,0,68.2,12.9,2025-04-05T13:00:42.463Z,2025-04-05T13:00:43Z,bv57jiquzqjnzuxzw5r663aad,A. Ståhl,,,5624302119,212,12.2,5624302117,141,22.5,5624302111,168,,5624302113,56,Center,5624302121,213,0.57,5624302115,140,78.0,5624302109,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796084083,3,1,1,0,10,4jg5vd59i24chckyua90dr1lg,0,28.8,77.0,2025-04-05T13:00:43.663Z,2025-04-05T13:00:44Z,10lj2qekb1e4c8ful68b1pazt,T. Anker,,,5624302265,140,70.0,5624302263,56,Center,5624302273,1,,5624302261,157,,5624302269,212,45.8,5624302271,213,5.95,5624302267,141,54.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2796084111,7,1,1,0,12,czkf5t3ai00ghwbga03i5aqxw,0,34.5,52.2,2025-04-05T13:00:45.816Z,2025-04-05T13:04:51Z,ebhyx7fm13sy9qjf4vylzg89h,J. Une Larsson,,,5624302395,212,18.8,5624302393,141,42.2,5624302397,213,5.91,5624302387,3,,5624302391,140,51.2,5624302389,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
