id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,qualifier/11/value,qualifier/13/value,qualifier/15/value,qualifier/8/value,qualifier/12/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2802354763,1,34,16,0,0,93ohqui2qgqm8408viwmm1ken,1,0.0,0.0,2025-04-18T12:12:36.699Z,2025-04-18T13:08:13Z,,,,5658863325,194,90eoelhr2oxpg3ejr2whwwu6t,5658863323,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5658863329,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5658863317,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5658863327,197,23796,5658863319,59,"1, 2, 25, 40, 18, 19, 11, 23, 20, 9, 29, 33, 7, 10, 16, 22, 32, 35, 38, 37",5658863315,30,"cj7aybqox4kzoicnzea7b64t1, lh30ckelpek3u7jbzotxuvze, carpl05zgalgbsd6gnk3akc89, 27w9691m35wlxy4ujti7sppn8, 4j6a6qec8m58zgojpbv8wxnf9, as6coaak724tr7igyz1wwlfc9, 4az5n8aekw6ipzu7fagqhkys4, azcjwvw9799e6bawnlcb0lt2i, 53dvtfms2uxd500y87x5jf2eh, 90eoelhr2oxpg3ejr2whwwu6t, 8ydeghsg8bdyovqjnr56hz8x5, 7iv79dtpsplpjl1jxod3swmlm, d58ji96mcnebbci6skc46x9uc, 62w849kqrnjm00xr12suencgl, b9tsqyrv0xp0tt5nzwrmy9gb9, dvi2tleym136aqpvwfi4lustm, 329r6jq5pn0m174v3berarh90, 7si8brq1p8o6fvw93hq9v9bmc, 7hugqbtot3c8fmxtfqld9l15g, 1pkp4fqrgj87mk6x7lhryt6vo",5658863321,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802356511,1,34,16,0,0,4jg5vd59i24chckyua90dr1lg,1,0.0,0.0,2025-04-18T12:20:09.317Z,2025-04-18T13:12:10Z,,,,5658873407,30,"dsw7clrtv93nkdnppqhfm1n9, dcewpavwmjbplo5fahrzfxega, 77767sxrg8n7kfm58qf1wq32s, di0z3rihhkz11o1ccqo2b654a, 4ly7t29cozmc49wu7avkvv3yt, 10lj2qekb1e4c8ful68b1pazt, 546vmchsyl1wt10pr13r5oup6, 5k4gsy5f7ius93bbks9wbvqei, 9mvwnz2zlvx54nggvvw3l9ega, 21ht7s882is4sisnr8dpf61yi, rxypx04u4hxdd5dfwoazp2xg, 6f0gn0s326avqwshii5mvfz10, bdgqvvkpadpthmlm40wa6dcyx, 3907otfahqaiqsy7hx3k142dw, 6lykrd3hzedl7xljr167gow5x, 451liwl34giar3r8y7b295w16, 3xrja99d4b0jewfjzelq4rspg, 9jqz6yi90pj9dlvgktdwrsf10, dy1lhnql8cpw307wcxw3brndg, es8z1xh8vhhtrjs8jrfbrqrro",5658873419,197,5799,5658873413,130,4,5658873415,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5658873421,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5658873411,59,"1, 13, 33, 14, 5, 4, 10, 8, 9, 7, 29, 34, 3, 12, 15, 17, 18, 20, 24, 36",5658873409,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5658873417,194,dsw7clrtv93nkdnppqhfm1n9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802365047,2,32,1,0,0,4jg5vd59i24chckyua90dr1lg,1,0.0,0.0,2025-04-18T13:00:50.160Z,2025-04-18T13:00:51Z,,,,5658923491,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802365041,2,32,1,0,0,93ohqui2qgqm8408viwmm1ken,1,0.0,0.0,2025-04-18T13:00:50.160Z,2025-04-18T13:00:50Z,,,,5658923463,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802365063,3,1,1,0,0,4jg5vd59i24chckyua90dr1lg,1,50.0,50.0,2025-04-18T13:00:50.161Z,2025-04-18T13:00:57Z,di0z3rihhkz11o1ccqo2b654a,L. Walta,,5658923607,141,86.2,5658923613,279,S,5658923603,56,Left,5658923609,212,31.4,5658923611,213,0.90,5658923605,140,68.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802365065,4,1,1,0,7,4jg5vd59i24chckyua90dr1lg,0,92.2,84.8,2025-04-18T13:00:57.415Z,2025-04-18T13:09:45Z,rxypx04u4hxdd5dfwoazp2xg,I. Bjerkebo,,5658923629,155,,5658923637,212,2.9,5658923631,56,Left,5658923635,141,80.5,5658923627,2,,5658923639,213,4.82,5658923633,140,92.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802367333,119,61,1,0,7,93ohqui2qgqm8408viwmm1ken,1,6.8,21.7,2025-04-18T13:00:57.722Z,2025-04-18T13:09:59Z,lh30ckelpek3u7jbzotxuvze,J. Karlsson,,5658937585,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802365087,3,12,1,0,8,93ohqui2qgqm8408viwmm1ken,1,8.5,36.1,2025-04-18T13:00:58.841Z,2025-04-18T13:01:06Z,4j6a6qec8m58zgojpbv8wxnf9,P. Jansson,,5658923769,141,28.3,5658923773,213,5.81,5658923767,140,18.4,5658923771,212,11.7,5658923765,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802365083,5,1,1,0,11,4jg5vd59i24chckyua90dr1lg,0,84.9,68.8,2025-04-18T13:01:01.623Z,2025-04-18T13:01:04Z,di0z3rihhkz11o1ccqo2b654a,L. Walta,,5658923737,212,6.9,5658923729,3,,5658923731,56,Center,5658923735,141,64.5,5658923739,213,5.85,5658923733,140,90.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802365121,4,12,1,0,16,93ohqui2qgqm8408viwmm1ken,1,9.7,38.0,2025-04-18T13:01:06.424Z,2025-04-18T13:12:59Z,4j6a6qec8m58zgojpbv8wxnf9,P. Jansson,,5658923937,140,15.0,5658923943,213,0.04,5658923941,212,5.6,5658923935,56,Back,5658923939,141,38.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
