id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2803912257,1,34,16,0,0,9zqn9ugvg64it0lr5z8cq4g9v,1,0.0,0.0,2025-04-20T13:37:42.471Z,2025-04-20T15:31:21Z,,,,,5667277589,197,4756,5667277591,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5667277587,194,3durmgxmp7tzxsr234mlhot1,5667277585,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5667277577,30,"dzdryjruyr4lpu3t7d5pgpn11, 8kkbwlif9496fekfraadrws9g, 3ks6pxe94hk9l4q46do2c628l, 8j55jduxd0jfxrxh88kdqgcq2, 17jltcnnaha4707duh52hirit, 8h4jv2n2b8w3hmn4oec3tvevo, dmj5oe18blqnxozkfd8q5myfp, 3durmgxmp7tzxsr234mlhot1, bar5tlyxm2vim2ewqauywgb85, epnkff9nsysx1eyh90muhmvl6, 4iguik2n53ywq82altuqoouwa, 42p4op3tm9umpwxyxde5xjefp, 7sez5w47trh4xnngir0epzl04, eq9x5pboy1dehdauroonsw3c9, 780mdhlnrheqczv6o7p5l8hzo, c3okou4sh3r5i7mei6lpjks4q, e8s9kg55x4npvg6tkuwe5wj6c, 5sobeblelb6fl7aafw833iwwk, 8k4fw4zak03as07nwf1kiktuc, acredwjpf6ou0mdqx2cpxm4no",5667277579,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5667277581,59,"32, 28, 21, 8, 4, 25, 24, 14, 10, 9, 11, 99, 13, 15, 16, 17, 19, 22, 29, 39",5667277583,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803915251,1,34,16,0,0,evf5hhqgnjhwjsth1m6pawxdp,1,0.0,0.0,2025-04-20T13:40:44.065Z,2025-04-20T13:40:44Z,,,,,5667293583,130,4,5667293581,59,"1, 18, 22, 15, 13, 3, 23, 8, 9, 17, 14, 25, 5, 6, 7, 10, 16, 21, 26, 29",5667293579,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5667293577,30,"b6xqk78ndtb9qmjtlavgj02qx, 1vla5l510mtb859zevvplneju, 8s2p8s6huogpkao0lce8m5n8, 1dy0207jxgg8gvuygsd95wdn8, 2erjnb3l5mngpxyicnzhk7phx, 3tbz518udos9vb9bqypn9il7t, 94i0qwhb3xu4pu37gofme9mnd, bm0bafkutd9qb9qee06cys9re, 80s55a7uw8kypoikefwhtdm5m, 4w0adddkbx4642lkebbcmxbzd, d9ta7wtarys9urr5lzoxqv3d, 1k2svnzs4woe6gpegqlrxjjf8, 7hi9yit8aifyojt7i0kg69as5, ckwgkqxv6u28byqau4rz47efp, as7qhgi67gngq0nb3zmwg8jro, 3zuutaowhz53ivr0i5sg5y8t0, dptjb2pmzpzagb4rcndchf7ro, 2vfhae70oyyzm0qttlckworqi, 8lnksuku11t9oyvqs0pwx45jo, dp55sn2vl9mg3tpjby7peun3e",5667293585,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5667293587,194,2erjnb3l5mngpxyicnzhk7phx,5667293591,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5667293589,197,22120,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803954587,2,32,1,0,0,9zqn9ugvg64it0lr5z8cq4g9v,1,0.0,0.0,2025-04-20T14:31:38.647Z,2025-04-20T14:31:39Z,,,,,5667510397,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803954595,2,32,1,0,0,evf5hhqgnjhwjsth1m6pawxdp,1,0.0,0.0,2025-04-20T14:31:38.647Z,2025-04-20T14:31:41Z,,,,,5667510431,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803954641,3,1,1,0,0,9zqn9ugvg64it0lr5z8cq4g9v,1,50.1,50.1,2025-04-20T14:31:38.648Z,2025-04-20T14:31:42Z,epnkff9nsysx1eyh90muhmvl6,S. Hrstić,,,5667510641,279,S,5667510635,141,48.1,5667510639,213,3.27,5667510637,212,10.9,5667510631,56,Back,5667510633,140,39.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803954651,4,1,1,0,1,9zqn9ugvg64it0lr5z8cq4g9v,1,40.5,48.2,2025-04-20T14:31:40.504Z,2025-04-20T14:31:43Z,3durmgxmp7tzxsr234mlhot1,S. Gustafson,,,5667510705,56,Back,5667510707,140,24.9,5667510709,141,47.6,5667510713,213,3.17,5667510711,212,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803954699,5,1,1,0,4,9zqn9ugvg64it0lr5z8cq4g9v,1,25.0,47.6,2025-04-20T14:31:43.528Z,2025-04-20T14:31:47Z,dzdryjruyr4lpu3t7d5pgpn11,O. Jansson,,,5667510993,140,67.2,5667510991,56,Center,5667511001,1,,5667510989,157,,5667510995,141,26.2,5667510997,212,46.6,5667510999,213,5.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803954711,6,44,1,0,8,9zqn9ugvg64it0lr5z8cq4g9v,1,71.2,29.4,2025-04-20T14:31:47.129Z,2025-04-20T14:31:51Z,epnkff9nsysx1eyh90muhmvl6,S. Hrstić,,,5667511095,233,3,5667511069,56,Center,5667511071,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803954707,3,44,1,0,8,evf5hhqgnjhwjsth1m6pawxdp,0,28.8,70.6,2025-04-20T14:31:47.130Z,2025-04-20T14:31:52Z,3tbz518udos9vb9bqypn9il7t,A. Erlingmark,,,5667511117,233,6,5667511039,56,Back,5667511041,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803954775,7,1,1,0,9,9zqn9ugvg64it0lr5z8cq4g9v,0,67.2,26.2,2025-04-20T14:31:47.897Z,2025-04-20T14:31:52Z,epnkff9nsysx1eyh90muhmvl6,S. Hrstić,,,5667511395,140,68.6,5667511399,212,19.2,5667511397,141,0.0,5667511401,213,4.79,5667511393,56,Right,5667511391,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
