id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value,qualifier/15/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId
2809408199,1,34,16,0,0,6i936isoyj6d0uuxdj537uc97,1,0.0,0.0,2025-05-03T14:40:42.225Z,2025-05-03T14:40:42Z,,,,,5697690835,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5697690845,197,10629,5697690841,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5697690843,194,edzj7i715cpyuuumcttajkc0l,5697690847,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5697690837,59,"1, 11, 15, 2, 4, 3, 6, 25, 9, 18, 29, 12, 7, 10, 13, 14, 20, 21, 26",5697690833,30,"2trecv075gi4o78mfuyh4xiol, atxo9oz3czimyk1t4xigfrkrt, 9bmo8w8t7slkzbb5owilyoqju, b248ue8bteo0awvp627dokd0, bdw87kq6mx8rdkkpb9w5nar1m, 9uumw2ntt4397bee2p3m2qdt6, edzj7i715cpyuuumcttajkc0l, bpzni5riygngh99pfbcu8f78q, 8uzx6yb66zjn0ke2rwqlg7wus, c3jxdm8s5meuohhv6hthhdy0a, bzm752bvefjt54nj6ruf9tbtg, 87x84p759ef1d1qyffeghbp3p, d7nx940m1bs3895u6vnu8ah1x, 7q001jk9hk2ylv31sv48fv7dg, eikthetfmpxyeqsisa7vs3hsl, eacqkvqbdrk7h93nzhwk0jff9, 2iaisohuaaw7ioyox0d9zuvl6, 2s9ra3bnhkcid5uz7abhdhr6d, l7librn1vzdub2poztkj3fv8",5697690839,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809412605,1,34,16,0,0,durq4oppf7c08tnbzrlebt0uz,1,0.0,0.0,2025-05-03T14:42:44.227Z,2025-05-03T15:37:34Z,,,,,5697714101,59,"1, 7, 3, 24, 6, 2, 11, 8, 10, 9, 22, 39, 4, 5, 20, 26, 28, 32, 21",5697714115,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5697714109,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5697714097,30,"27hg1g0tz1l6mt4eugz841hw5, 40l3vtezw1ofwk2occi4z5w45, reelt18o0lhvy8vl8h33glpl, 8ebx705t6jvq53z6tjk0ke1d6, 1t67kvg37jg2elz9voix5kcet, 2mfqgk982ky4y88ddcljx25n8, 6vy0wrnn1jz4tjp9ofxr9qesq, 174tz9lh744fhcxzabu00746h, 30117qloj2vhnxq4djfktp7u1, cntz26i7p4q9fyzh55xswpudw, 8wz2m0yj4f0ci90m0wjftnoid, 4id56bnddab7qd1mxxsm8ueqc, dczigjj5jklu5214hs3rw1mvo, 4w8yuib6lrya8ucle0j9maxka, 2e1j4tbrlrgqvm7io0hfu7is5, 3eo81o5kixwopw1onaipk3l78, 2e1xnfe3hisebv1tytnkzk178, 9eaa74frc7sjli4e48cey3r4k, 3llas47eqkf3qv6t8oyqdjeok",5697714105,130,10,5697714113,197,22122,5697714099,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",5697714111,194,8wz2m0yj4f0ci90m0wjftnoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809486357,2,32,1,0,0,6i936isoyj6d0uuxdj537uc97,1,0.0,0.0,2025-05-03T15:30:45.071Z,2025-05-03T15:30:45Z,,,,,5698101549,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809486363,2,32,1,0,0,durq4oppf7c08tnbzrlebt0uz,1,0.0,0.0,2025-05-03T15:30:45.071Z,2025-05-03T15:30:47Z,,,,,5698101641,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809486373,3,1,1,0,0,durq4oppf7c08tnbzrlebt0uz,1,50.2,51.6,2025-05-03T15:30:45.243Z,2025-05-03T15:30:49Z,30117qloj2vhnxq4djfktp7u1,A. Zeljković,,,5698101695,212,18.1,5698101691,140,33.0,5698101693,141,50.9,5698101689,56,Back,5698101697,213,3.17,5698101699,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809486533,4,1,1,0,4,durq4oppf7c08tnbzrlebt0uz,0,34.1,48.1,2025-05-03T15:30:49.675Z,2025-05-03T15:47:28Z,8ebx705t6jvq53z6tjk0ke1d6,E. Grozdanić,,,5698102561,140,72.4,5698102563,141,16.1,5698102567,213,5.79,5698102559,56,Right,5698256533,155,,5698102571,1,,5698102565,212,45.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809486485,3,43,1,0,6,6i936isoyj6d0uuxdj537uc97,1,0.0,0.0,2025-05-03T15:30:51.498Z,2025-05-03T15:31:02Z,9bmo8w8t7slkzbb5owilyoqju,G. Friberg,,,5698102301,56,Back,5698102303,285,0,5698103919,144,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809486547,5,4,1,0,7,durq4oppf7c08tnbzrlebt0uz,1,72.1,15.2,2025-05-03T15:30:53.003Z,2025-05-03T15:31:00Z,40l3vtezw1ofwk2occi4z5w45,Carl Johansson,,,5698103719,294,,5698103047,56,Right,5698103773,233,4,5698103043,13,,5698103049,152,,5698103051,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809486585,4,4,1,0,7,6i936isoyj6d0uuxdj537uc97,0,27.9,84.8,2025-05-03T15:30:53.004Z,2025-05-03T15:31:01Z,9bmo8w8t7slkzbb5owilyoqju,G. Friberg,,,5698103561,285,,5698103559,152,,5698103557,56,Back,5698103553,13,,5698103555,294,,5698103677,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809487367,6,1,1,0,37,durq4oppf7c08tnbzrlebt0uz,0,71.1,11.9,2025-05-03T15:31:22.396Z,2025-05-03T15:31:24Z,reelt18o0lhvy8vl8h33glpl,A. Björnström,,,5698107111,141,47.0,5698107113,212,28.5,5698107099,2,,5698107105,152,,5698107109,140,86.0,5698107115,213,0.99,5698107107,56,Center,5698107103,155,,5698107101,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
