id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/15/value,qualifier/16/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2801367359,1,34,16,0,0,93ohqui2qgqm8408viwmm1ken,1,0.0,0.0,2025-04-14T16:13:35.611Z,2025-04-14T17:21:40Z,,,,5653217817,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5653217829,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5653217821,130,9,5653217825,194,62w849kqrnjm00xr12suencgl,5653217823,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5653217815,30,"cj7aybqox4kzoicnzea7b64t1, 4yg4i2wvdz87rrxpn0rqn2xg5, carpl05zgalgbsd6gnk3akc89, azcjwvw9799e6bawnlcb0lt2i, 4j6a6qec8m58zgojpbv8wxnf9, as6coaak724tr7igyz1wwlfc9, 7hugqbtot3c8fmxtfqld9l15g, d58ji96mcnebbci6skc46x9uc, 53dvtfms2uxd500y87x5jf2eh, 62w849kqrnjm00xr12suencgl, dvi2tleym136aqpvwfi4lustm, 7iv79dtpsplpjl1jxod3swmlm, lh30ckelpek3u7jbzotxuvze, 5mb3g5nufbwhw09w3wgm6glwp, 90eoelhr2oxpg3ejr2whwwu6t, 4az5n8aekw6ipzu7fagqhkys4, 70uwtz6q782qjf2mqpdlqpbkl, b9tsqyrv0xp0tt5nzwrmy9gb9, 8ydeghsg8bdyovqjnr56hz8x5, 7si8brq1p8o6fvw93hq9v9bmc",5653217827,197,2216,5653217819,59,"1, 17, 25, 23, 18, 19, 38, 7, 20, 10, 22, 33, 2, 8, 9, 11, 13, 16, 29, 35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801368039,1,34,16,0,0,5mbo4f0vps12dr0fcvjn3wyp5,1,0.0,0.0,2025-04-14T16:16:34.514Z,2025-04-14T17:20:57Z,,,,5653222053,130,17,5653222055,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5653222047,30,"7gbgk4q4bxc1h7kcd0u96o9nt, b11ffe62rpm020r3u6t1lhvx1, eyqeg6wzhjibkt4zs5dfgzc9h, eqfhoh81e8uj2as95ev3yfnx1, cwkz9uxtres4bockr3spd4hxx, eahcgnvlq1tkswvjuovyzxxw5, 8ez1awevbmegf1z0kgjtp048a, 99i96gbkvesmh3wspv8rl1ln9, 3xx0l8c30mjstvxq7z1s0fnit, alxccjq2y6il5yjw108a0axnt, prvbf3gxwflgzxuvgvb7ls5x, b0rem4wo1p6sumrp6mb77f11w, azvjk1schroxi2dq22hwnqr1m, cnv6xdzm10qnklag4gbim6sph, 5rbr8z5frgawr2ykcmcxbbluy, 2l14t89f2n27b28xqfguvr4es, 6oaqk4pdojnlefa3zubsysmvp, 642iajthdnr0zophv7ys35q1g, 3hz7fbme9sm4xkj5fo3moeluc, 6utvjndbc0etrvdrul1oajdp0",5653222059,197,25072,5653222061,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5653222051,59,"30, 17, 19, 3, 4, 32, 33, 7, 11, 8, 10, 5, 9, 13, 20, 21, 22, 26, 43, 47",5653222057,194,99i96gbkvesmh3wspv8rl1ln9,5653222049,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801385141,2,32,1,0,0,93ohqui2qgqm8408viwmm1ken,1,0.0,0.0,2025-04-14T17:10:27.073Z,2025-04-14T17:10:27Z,,,,5653321767,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801385147,2,32,1,0,0,5mbo4f0vps12dr0fcvjn3wyp5,1,0.0,0.0,2025-04-14T17:10:27.073Z,2025-04-14T17:10:29Z,,,,5653321785,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801385175,3,1,1,0,0,93ohqui2qgqm8408viwmm1ken,1,50.3,49.9,2025-04-14T17:10:27.074Z,2025-04-14T17:10:31Z,62w849kqrnjm00xr12suencgl,A. Christiansen,,5653321973,212,29.1,5653321975,213,3.21,5653321969,140,22.7,5653321977,279,S,5653321967,56,Back,5653321971,141,46.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801385237,4,1,1,0,4,93ohqui2qgqm8408viwmm1ken,0,25.2,48.7,2025-04-14T17:10:31.294Z,2025-04-14T17:10:36Z,cj7aybqox4kzoicnzea7b64t1,Ricardo Friedrich,,5653322395,212,49.6,5653322387,157,,5653322393,141,64.6,5653322397,213,0.22,5653322391,140,71.3,5653322389,56,Center,5653322399,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801385229,3,44,1,0,7,5mbo4f0vps12dr0fcvjn3wyp5,1,28.9,35.6,2025-04-14T17:10:34.559Z,2025-04-14T17:18:47Z,cwkz9uxtres4bockr3spd4hxx,S. Papagiannopoulos,,5653322303,285,,5653322461,233,5,5653322299,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801385239,5,44,1,0,7,93ohqui2qgqm8408viwmm1ken,0,71.1,64.4,2025-04-14T17:10:34.560Z,2025-04-14T17:23:23Z,53dvtfms2uxd500y87x5jf2eh,E. Botheim,,5653322407,56,Center,5653322479,233,3,5653322409,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801385243,4,1,1,0,8,5mbo4f0vps12dr0fcvjn3wyp5,0,29.5,35.8,2025-04-14T17:10:35.178Z,2025-04-14T17:10:36Z,cwkz9uxtres4bockr3spd4hxx,S. Papagiannopoulos,,5653322449,141,62.3,5653322453,213,1.31,5653322451,212,18.7,5653322443,3,,5653322445,56,Back,5653322447,140,34.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801385299,6,1,1,0,10,93ohqui2qgqm8408viwmm1ken,1,64.1,37.7,2025-04-14T17:10:37.340Z,2025-04-14T17:10:40Z,d58ji96mcnebbci6skc46x9uc,O. Rosengren,,5653322757,56,Right,5653322765,213,4.71,5653322755,3,,5653322763,212,16.5,5653322761,141,13.4,5653322759,140,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
