id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/15/value,qualifier/16/value,qualifier/17/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2805168969,1,34,16,0,0,1939bnru25svvgv15k2c7tw2y,1,0.0,0.0,2025-04-23T16:19:15.153Z,2025-04-23T17:02:25Z,,,,,5674268755,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5674268761,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5674268765,197,25078,5674268767,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5674268753,30,"c6xakidja1353l11ws0apj1t5, 5l4q2q8nszqp6k8exo9eyqnrp, 2d1dh619cfgvel4bv7tpfxjo5, agsollzstr45ee0z17tle8d1w, amgtzrnw9lmo9o506a0mhzip6, 1qyvk3eveiz8n40houjgtko9h, 21abg7evjtjt6kzisu43jckmi, 60fbyywnjiz6l8n7gmi2mjld5, 1vr7p76nx255ikv7w00s6gnsa, 6tqclthbz4m9kqiukixum1mhg, 25ytwmg2c5xcqp5ta12oznm22, 5uek9dtfn577w1mv9w83oznbp, 18m0hkgbsvq0axzflltkyylsl, 3vezn38wnyk5dtstopwbl0dn8, eyn7izezzer5izneismz7dm8l, 9hybzhhut4ac2xinqk7kzzpwp, 116vh3v105pa9vyw10hpvuwdm, 5kgu7z697mnyizf6pbaf5j5zo, 8zvc2mjym1u4uev3t60rhmvis, 85mzxov9sqq8gec4e0wwt8h78",5674268759,130,13,5674268757,59,"31, 15, 23, 2, 6, 4, 27, 10, 11, 20, 25, 30, 13, 16, 17, 19, 24, 26, 28, 29",5674268763,194,21abg7evjtjt6kzisu43jckmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805173015,1,34,16,0,0,4jg5vd59i24chckyua90dr1lg,1,0.0,0.0,2025-04-23T16:28:53.644Z,2025-04-23T17:52:11Z,,,,,5674292071,197,5799,5674292059,59,"1, 13, 33, 18, 5, 4, 7, 14, 9, 10, 29, 34, 3, 8, 15, 17, 21, 24, 26, 36",5674292073,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5674292061,130,8,5674292055,30,"dsw7clrtv93nkdnppqhfm1n9, dcewpavwmjbplo5fahrzfxega, 77767sxrg8n7kfm58qf1wq32s, 3xrja99d4b0jewfjzelq4rspg, 4ly7t29cozmc49wu7avkvv3yt, 10lj2qekb1e4c8ful68b1pazt, 21ht7s882is4sisnr8dpf61yi, di0z3rihhkz11o1ccqo2b654a, 9mvwnz2zlvx54nggvvw3l9ega, 546vmchsyl1wt10pr13r5oup6, rxypx04u4hxdd5dfwoazp2xg, 6f0gn0s326avqwshii5mvfz10, bdgqvvkpadpthmlm40wa6dcyx, 5k4gsy5f7ius93bbks9wbvqei, 6lykrd3hzedl7xljr167gow5x, 451liwl34giar3r8y7b295w16, cdlngd5oc988etq8dp8bh4s7p, dy1lhnql8cpw307wcxw3brndg, 8rd3ahkalx8n0uwwavbjdnv2s, es8z1xh8vhhtrjs8jrfbrqrro",5674292069,194,3xrja99d4b0jewfjzelq4rspg,5674292057,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5674292065,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190039,2,32,1,0,0,4jg5vd59i24chckyua90dr1lg,1,0.0,0.0,2025-04-23T17:00:34.402Z,2025-04-23T17:00:42Z,,,,,5674389379,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190047,2,32,1,0,0,1939bnru25svvgv15k2c7tw2y,1,0.0,0.0,2025-04-23T17:00:34.402Z,2025-04-25T11:59:02Z,,,,,5674389423,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190051,3,1,1,0,0,4jg5vd59i24chckyua90dr1lg,1,49.7,50.0,2025-04-23T17:00:34.403Z,2025-04-23T17:00:43Z,di0z3rihhkz11o1ccqo2b654a,L. Walta,,,5674389443,213,3.46,5674389441,212,21.7,5674389437,140,30.1,5674389435,56,Back,5674389439,141,40.0,5674389445,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190055,4,1,1,0,3,4jg5vd59i24chckyua90dr1lg,0,29.3,42.1,2025-04-23T17:00:37.908Z,2025-04-23T17:20:27Z,10lj2qekb1e4c8ful68b1pazt,T. Anker,,,5674389487,1,,5674389483,212,52.3,5674389477,56,Right,5674389481,141,0.0,5674389475,157,,5674389479,140,70.1,5674389485,213,5.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190061,3,5,1,0,7,1939bnru25svvgv15k2c7tw2y,1,29.8,101.8,2025-04-23T17:00:42.272Z,2025-04-23T17:43:43Z,2d1dh619cfgvel4bv7tpfxjo5,N. Hult,,,5674389505,347,,5674389569,233,5,5674389503,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190059,5,5,1,0,7,4jg5vd59i24chckyua90dr1lg,0,70.2,-1.8,2025-04-23T17:00:42.272Z,2025-04-23T17:00:46Z,4ly7t29cozmc49wu7avkvv3yt,T. Carlsson,,,5674389495,56,Right,5674389497,347,,5674389575,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190141,4,1,1,0,15,1939bnru25svvgv15k2c7tw2y,1,30.2,100.0,2025-04-23T17:00:50.204Z,2025-04-23T17:00:54Z,2d1dh619cfgvel4bv7tpfxjo5,N. Hult,,,5674389915,107,,5674389925,213,4.93,5674389919,140,31.6,5674389921,141,92.1,5674389917,56,Back,5674389923,212,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805703741,789,83,1,0,19,4jg5vd59i24chckyua90dr1lg,1,68.3,11.8,2025-04-23T17:00:53.790Z,2025-04-25T12:17:40Z,di0z3rihhkz11o1ccqo2b654a,L. Walta,,,5677270047,399,60fbyywnjiz6l8n7gmi2mjld5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190145,5,61,1,0,20,1939bnru25svvgv15k2c7tw2y,1,34.7,90.9,2025-04-23T17:00:54.412Z,2025-04-23T17:00:54Z,60fbyywnjiz6l8n7gmi2mjld5,S. Olsson,,,5674389945,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805190157,6,61,1,0,21,1939bnru25svvgv15k2c7tw2y,0,34.9,84.7,2025-04-23T17:00:55.821Z,2025-04-23T17:00:55Z,21abg7evjtjt6kzisu43jckmi,B. Zeneli,,,5674390015,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
