id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/12/value,qualifier/16/value,qualifier/11/value,qualifier/9/value,qualifier/15/value
2815019509,1,34,16,0,0,spvvjmk37iid7hsky9g3nce7,1,0.0,0.0,2025-05-15T16:06:30.691Z,2025-05-15T17:27:55Z,,,,,5728695933,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5728695931,130,13,5728695939,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5728695935,194,czfitwajt0sayki90i3fk5n85,5728695927,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5728695929,59,"1, 14, 11, 24, 5, 4, 22, 10, 19, 17, 6, 35, 7, 15, 16, 18, 25, 26, 27, 39",5728695937,197,7821,5728695925,30,"4cytj4f9uirlo8vb8mcsv6v6y, 23iwje6cgkgc05szzf2l5z97u, 9dfl060r1skgp74piehh2uvhl, 5h6xr50d54zcxnktz7q58oa1h, a0i74nqik3lbi02ngno0m0ys4, 507n9mr51v21q8isz9ll3m6eh, czfitwajt0sayki90i3fk5n85, drzdo6ouxi5n4jafhfajpor85, f0iow2x82mfh6x1olrrjo5puc, 9hg51o20uf6u2bjgshjax9soa, bbrdybdlcobf8cc9epxzeledw, bomd9wl2cnqwck46ctwjqju1h, 93qjy2eilbuufwu2kbwpfng7p, bqravo7lm21jq5m4cz8uhx638, dgxqp83lhb316dec1rpi5op62, 15mg49mqn215ce4ojukev0o2x, b7bmxh0q5aa8646sxmvy0etqs, 43anppywo7v1ydan12sq816ac, eb0ovd9v1dlil87ty5ueboy6s, to4j02so007q7mkqpnrrumtw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815021077,1,34,16,0,0,czkf5t3ai00ghwbga03i5aqxw,1,0.0,0.0,2025-05-15T16:14:04.700Z,2025-05-15T16:58:50Z,,,,,5728705381,59,"35, 12, 27, 13, 5, 3, 29, 20, 10, 7, 9, 45, 4, 14, 19, 25, 31, 32, 34, 36",5728705383,130,8,5728705385,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5728705377,30,"26dlb4txygf7qzukjikr23mxh, csd7qb9u0a9am2ltse9w31uz8, ab3og2sas7q4czd31wbdbnro, bhaqw4112j43c753dlxhy61ud, 5jos8v6hr086q8at9iuyhwded, 23p0dby12ymf55wwi0xz2fnx1, a3jetivxcnpp4z36nhboz5ysq, dkc69jkzi4e9ysgmwldz249as, dvl8q7nwvz3o6d73220d1ag2d, 370kkwnidcltqyooh51z6uzqi, 3bepi58wwope38a478y7jwlxw, d5jgrd0clyl4rskqu6j8hcwkp, ebhyx7fm13sy9qjf4vylzg89h, 6051gs5j7d6zss35h2twoqnd, 9jszz4regvdvl0v4i8s41jbah, 820rgu4x8w0jmh6v9d6udhwyc, 8awq0zw9oyj9gy3ruxv105jis, 2zjl0xu23wp9j6ciq25irsq38, aklu4afzffv8ggxwn5wm5wphw, 1kmf6cvipol87w83cf6gb504",5728705389,197,5157,5728705391,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5728705387,194,23p0dby12ymf55wwi0xz2fnx1,5728705379,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027669,2,32,1,0,0,czkf5t3ai00ghwbga03i5aqxw,1,0.0,0.0,2025-05-15T17:00:33.308Z,2025-05-15T17:00:36Z,,,,,5728745827,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027665,2,32,1,0,0,spvvjmk37iid7hsky9g3nce7,1,0.0,0.0,2025-05-15T17:00:33.308Z,2025-05-15T17:26:48Z,,,,,5728745819,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027675,3,1,1,0,0,czkf5t3ai00ghwbga03i5aqxw,1,49.9,49.9,2025-05-15T17:00:33.675Z,2025-05-15T17:00:36Z,dvl8q7nwvz3o6d73220d1ag2d,T. Nguen,,,5728745855,212,28.4,5728745857,213,3.09,5728745859,279,S,5728745851,140,22.9,5728745849,56,Back,5728745853,141,52.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027707,4,1,1,0,3,czkf5t3ai00ghwbga03i5aqxw,0,24.1,57.2,2025-05-15T17:00:36.398Z,2025-05-15T17:00:44Z,26dlb4txygf7qzukjikr23mxh,J. Rinne,,,5728746059,141,100.0,5728746055,56,Left,5728746063,213,0.38,5728746061,212,80.2,5728746053,155,,5728746065,1,,5728746057,140,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027715,3,5,1,0,10,spvvjmk37iid7hsky9g3nce7,1,9.4,-1.4,2025-05-15T17:00:43.856Z,2025-05-15T17:26:34Z,507n9mr51v21q8isz9ll3m6eh,A. Norén,,,5728746093,56,Back,5728746117,233,5,5728746095,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027709,5,5,1,0,10,czkf5t3ai00ghwbga03i5aqxw,0,90.6,101.4,2025-05-15T17:00:43.856Z,2025-05-15T17:00:48Z,26dlb4txygf7qzukjikr23mxh,J. Rinne,,,5728746125,233,3,5728746067,56,Left,5728746069,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027753,4,1,1,0,19,spvvjmk37iid7hsky9g3nce7,1,16.6,0.0,2025-05-15T17:00:52.308Z,2025-05-15T17:00:53Z,507n9mr51v21q8isz9ll3m6eh,A. Norén,,,5728746277,212,8.5,5728746269,107,,5728746275,141,10.4,5728746279,213,1.42,5728746273,140,17.8,5728746271,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2815027755,5,1,1,0,19,spvvjmk37iid7hsky9g3nce7,1,17.8,10.4,2025-05-15T17:00:53.093Z,2025-05-15T17:00:54Z,czfitwajt0sayki90i3fk5n85,J. Gustavsson,,,5728746299,213,3.72,5728746297,212,7.3,5728746295,141,4.6,5728746291,56,Back,5728746293,140,12.0,5728746311,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
