id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2820651529,1,34,16,0,0,evf5hhqgnjhwjsth1m6pawxdp,1,0.0,0.0,2025-06-01T11:11:44.362Z,2025-06-01T11:55:50Z,,,,5759938229,59,"25, 18, 22, 15, 13, 5, 23, 8, 9, 17, 14, 12, 31, 6, 7, 16, 21, 26, 29, 33",5759938233,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5759938227,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5759938225,30,"1k2svnzs4woe6gpegqlrxjjf8, 1vla5l510mtb859zevvplneju, 8s2p8s6huogpkao0lce8m5n8, 1dy0207jxgg8gvuygsd95wdn8, 2erjnb3l5mngpxyicnzhk7phx, 7hi9yit8aifyojt7i0kg69as5, 94i0qwhb3xu4pu37gofme9mnd, bm0bafkutd9qb9qee06cys9re, 80s55a7uw8kypoikefwhtdm5m, 4w0adddkbx4642lkebbcmxbzd, d9ta7wtarys9urr5lzoxqv3d, 18qj6qj3vw6jg0unnhjevkw0k, 4cwcil3cb9unr1x7y5l2xiiac, ckwgkqxv6u28byqau4rz47efp, as7qhgi67gngq0nb3zmwg8jro, dptjb2pmzpzagb4rcndchf7ro, 2vfhae70oyyzm0qttlckworqi, 8lnksuku11t9oyvqs0pwx45jo, dp55sn2vl9mg3tpjby7peun3e, cckvj631p5dkbf9b9z0m6v4es",5759938231,130,4,5759938235,194,2erjnb3l5mngpxyicnzhk7phx,5759938239,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5759938237,197,22120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820651779,1,34,16,0,0,ac8jow4mdkvnsv5s0och4qqm,1,0.0,0.0,2025-06-01T11:14:40.754Z,2025-06-01T11:58:35Z,,,,5759939753,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5759939765,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5759939757,130,8,5759939755,59,"25, 21, 27, 5, 4, 3, 19, 24, 23, 39, 7, 40, 2, 10, 14, 16, 17, 32, 33, 77",5759939763,197,22113,5759939751,30,"8vl4hue7ixvxh4dtner52sfrp, aqjwz3wm0it916o2vb5tz9vxl, dxjb3lzx9qudbom1zbgyupt78, 17zz0x6tm20e9yfh4q5ehaf9x, 6a6ki8j5n8w1oa3wvdc00chqt, 8unnvgvft6knxupbp9oxh621h, ci5y030e6r9umgyjbupwske7d, c9qk8n9d4130okk9go1brzskq, 9niqy9wbsy6b03fa5iyx22gic, 32xfhqnf7sa2pyyttqac9u385, 7qgiqoaaarr6c2bs4yffqwju2, 89ow55pri5urh5lk857koiihg, 253za05jf3mmaqkjndm10d2lm, aw75jdzi3u012jkwj7t0eln2s, 3slq45oyri6a8smz52fezhct0, hm7w2b4a6j0q3bprq118r5uy, av9lz5umeimwlq7v4q4d7twr8, bpu2cfexsy3lcf7avl9im6gb8, c7uvrj36f6lhfurysy774ku8k, 4smb0sorl9dms1k26si6tbqzu",5759939759,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5759939761,194,8unnvgvft6knxupbp9oxh621h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820659217,2,32,1,0,0,ac8jow4mdkvnsv5s0och4qqm,1,0.0,0.0,2025-06-01T12:00:29.121Z,2025-06-01T12:00:29Z,,,,5759982279,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820659223,2,32,1,0,0,evf5hhqgnjhwjsth1m6pawxdp,1,0.0,0.0,2025-06-01T12:00:29.121Z,2025-06-01T12:00:31Z,,,,5759982295,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820659231,3,1,1,0,0,ac8jow4mdkvnsv5s0och4qqm,1,50.0,50.0,2025-06-01T12:00:29.122Z,2025-06-01T12:04:46Z,ci5y030e6r9umgyjbupwske7d,Daleho Irandust,,5759982353,56,Back,5759982355,140,28.8,5759982363,279,S,5759982359,212,23.5,5759982361,213,3.47,5759982357,141,38.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820659239,4,1,1,0,3,ac8jow4mdkvnsv5s0och4qqm,1,29.5,37.4,2025-06-01T12:00:32.241Z,2025-06-01T12:00:33Z,6a6ki8j5n8w1oa3wvdc00chqt,E. Björkander,,5759982403,141,70.8,5759982405,212,36.6,5759982407,213,0.67,5759982401,140,56.8,5759982399,56,Center,5759982409,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820659243,5,61,1,0,4,ac8jow4mdkvnsv5s0och4qqm,0,56.8,70.8,2025-06-01T12:00:33.586Z,2025-06-01T12:00:34Z,17zz0x6tm20e9yfh4q5ehaf9x,S. Martinsson Ngouali,,5759982415,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820659241,3,61,1,0,4,evf5hhqgnjhwjsth1m6pawxdp,0,40.5,14.0,2025-06-01T12:00:33.803Z,2025-06-01T12:00:33Z,94i0qwhb3xu4pu37gofme9mnd,K. Þórðarson,,5759982413,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820659265,6,1,1,0,8,ac8jow4mdkvnsv5s0och4qqm,0,56.9,93.6,2025-06-01T12:00:37.410Z,2025-06-01T12:00:38Z,dxjb3lzx9qudbom1zbgyupt78,K. Barslund,,5759982501,140,78.8,5759982497,155,,5759982499,56,Left,5759982503,141,87.7,5759982507,213,6.11,5759982505,212,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820659273,4,12,1,0,9,evf5hhqgnjhwjsth1m6pawxdp,1,17.2,18.0,2025-06-01T12:00:38.378Z,2025-06-01T12:05:55Z,2erjnb3l5mngpxyicnzhk7phx,G. Svensson,,5759982543,56,Back,5759982545,140,34.2,5759982551,213,0.33,5759982547,141,27.1,5759982549,212,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
