id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/13/value,qualifier/8/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2814684343,1,34,16,0,0,6i936isoyj6d0uuxdj537uc97,1,0.0,0.0,2025-05-14T16:05:41.262Z,2025-05-14T16:56:10Z,,,,,5726794643,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5726794647,130,13,5726794651,194,edzj7i715cpyuuumcttajkc0l,5726794653,197,28383,5726794641,30,"87x84p759ef1d1qyffeghbp3p, atxo9oz3czimyk1t4xigfrkrt, 9bmo8w8t7slkzbb5owilyoqju, b248ue8bteo0awvp627dokd0, bdw87kq6mx8rdkkpb9w5nar1m, 9uumw2ntt4397bee2p3m2qdt6, edzj7i715cpyuuumcttajkc0l, bpzni5riygngh99pfbcu8f78q, 8uzx6yb66zjn0ke2rwqlg7wus, c3jxdm8s5meuohhv6hthhdy0a, e9q5sweea5ymhqqwh5tucuzth, 2trecv075gi4o78mfuyh4xiol, d7nx940m1bs3895u6vnu8ah1x, 7q001jk9hk2ylv31sv48fv7dg, eikthetfmpxyeqsisa7vs3hsl, eacqkvqbdrk7h93nzhwk0jff9, 2iaisohuaaw7ioyox0d9zuvl6, 2s9ra3bnhkcid5uz7abhdhr6d, l7librn1vzdub2poztkj3fv8, bzm752bvefjt54nj6ruf9tbtg",5726794655,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5726794645,59,"12, 11, 15, 2, 4, 3, 6, 25, 9, 18, 8, 1, 7, 10, 13, 14, 20, 21, 26, 29",5726794649,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814684373,1,34,16,0,0,33hzf6j2rd9r50g2n4agsytkd,1,0.0,0.0,2025-05-14T16:05:50.988Z,2025-05-14T16:55:56Z,,,,,5726794827,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5726794833,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5726794821,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5726794819,30,"kod0xzh15xxa52700ufz7kyd, 4nx0njulsjs2hegiee011dxpl, f1qvh9qszr743tj8zb3kcvaei, c8uz8jj2xzomls23oz4rcuiqy, 6nh2bvbggqul1m3t1gv9k7pqs, 7wesnkwthjcluc9b83s8ab1g4, 6ivuk1j53ybmv5hhzp55ybzzd, 7ctf2925tg7mc3a05unhxsd1w, 4psxc0t1nm2o7a984utuzwciy, bi57bgog4e5pmkde5tl4bvxg4, 1bufat0ubgsc88lkybvxb1bs9, f10q2mnvhe30a9au85fjnnt3o, 5ijbt4bhic3y1zasavky12311, aybt4s09eeonv6pdk2v9c9v6c, cpamr0c0qq5lf5u6de1cbvgx6, 3s86186xnukjddv1sqf3pvl9m, 8avm1vadcnc6nkjhwmok5dyhh, 1a112nxaob06fjynlat625u96, b3jbj4ayr4x1x0ynt9dcu5u6s, 6dljoel48bfd9nsmmnkck3owl",5726794829,194,kod0xzh15xxa52700ufz7kyd,5726794825,130,4,5726794831,197,23548,5726794823,59,"1, 12, 2, 7, 22, 4, 9, 32, 19, 16, 26, 5, 6, 10, 11, 13, 14, 18, 24, 28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814692619,2,32,1,0,0,6i936isoyj6d0uuxdj537uc97,1,0.0,0.0,2025-05-14T17:00:54.770Z,2025-05-14T17:00:54Z,,,,,5726846273,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814692621,2,32,1,0,0,33hzf6j2rd9r50g2n4agsytkd,1,0.0,0.0,2025-05-14T17:00:54.770Z,2025-05-14T17:00:57Z,,,,,5726846287,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814692629,3,1,1,0,0,6i936isoyj6d0uuxdj537uc97,1,50.1,50.0,2025-05-14T17:00:54.771Z,2025-05-14T17:00:58Z,bpzni5riygngh99pfbcu8f78q,A. Damnjanovic Nilsson,,,5726846329,140,32.6,5726846339,279,S,5726846335,213,3.23,5726846333,212,18.4,5726846331,141,47.6,5726846327,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814692643,4,1,1,0,3,6i936isoyj6d0uuxdj537uc97,1,31.9,43.1,2025-05-14T17:00:58.081Z,2025-05-14T17:01:00Z,bdw87kq6mx8rdkkpb9w5nar1m,F. Schyberg,,,5726846407,56,Back,5726846411,141,14.4,5726846413,212,19.6,5726846409,140,33.0,5726846415,213,4.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814692661,5,1,1,0,6,6i936isoyj6d0uuxdj537uc97,1,33.9,15.8,2025-05-14T17:01:00.850Z,2025-05-14T17:01:04Z,9uumw2ntt4397bee2p3m2qdt6,G. Wallentin,,,5726846513,140,72.1,5726846515,141,8.2,5726846521,1,,5726846509,157,,5726846519,213,6.16,5726846517,212,40.4,5726846511,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814692671,6,1,1,0,10,6i936isoyj6d0uuxdj537uc97,1,72.1,8.2,2025-05-14T17:01:04.818Z,2025-05-14T17:01:06Z,atxo9oz3czimyk1t4xigfrkrt,V. Granath,,,5726846581,3,,5726846587,141,15.5,5726846591,213,0.89,5726846583,56,Right,5726846585,140,75.9,5726846589,212,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814692677,7,1,1,0,11,6i936isoyj6d0uuxdj537uc97,1,75.3,15.9,2025-05-14T17:01:06.241Z,2025-05-14T17:04:17Z,c3jxdm8s5meuohhv6hthhdy0a,N. Mohammed,,,5726846611,56,Right,5726846617,212,9.4,5726846613,140,68.8,5726846619,213,3.90,5726846615,141,6.4,5726851817,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2814692681,8,61,1,0,13,6i936isoyj6d0uuxdj537uc97,0,68.8,6.4,2025-05-14T17:01:08.130Z,2025-05-14T17:01:08Z,atxo9oz3czimyk1t4xigfrkrt,V. Granath,,,5726846635,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
