id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId
2797218823,1,34,16,0,0,33hzf6j2rd9r50g2n4agsytkd,1,0.0,0.0,2025-04-06T13:41:43.326Z,2025-04-06T14:33:46Z,,,,,5630395481,30,"kod0xzh15xxa52700ufz7kyd, 5ijbt4bhic3y1zasavky12311, 4nx0njulsjs2hegiee011dxpl, 7ctf2925tg7mc3a05unhxsd1w, 7wesnkwthjcluc9b83s8ab1g4, b3jbj4ayr4x1x0ynt9dcu5u6s, bqid9rom7z7zb9kf10ft9ao7o, 7d9e5tvw9ghew36m4mh2nr23u, 6dljoel48bfd9nsmmnkck3owl, 6ivuk1j53ybmv5hhzp55ybzzd, aybt4s09eeonv6pdk2v9c9v6c, f1qvh9qszr743tj8zb3kcvaei, cpamr0c0qq5lf5u6de1cbvgx6, bi57bgog4e5pmkde5tl4bvxg4, 1a112nxaob06fjynlat625u96, 4psxc0t1nm2o7a984utuzwciy, 6nh2bvbggqul1m3t1gv9k7pqs, bi5afrvo7cv1elj9wxyn5vsut, 1bufat0ubgsc88lkybvxb1bs9, 84w4t01s1bykvkanduz20q4q2",5630395495,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5630395491,194,5ijbt4bhic3y1zasavky12311,5630395485,59,"1, 6, 12, 32, 4, 24, 21, 8, 28, 9, 10, 2, 11, 16, 18, 19, 22, 25, 26, 30",5630395493,197,23548,5630395483,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5630395487,130,4,5630395489,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797224553,1,34,16,0,0,spvvjmk37iid7hsky9g3nce7,1,0.0,0.0,2025-04-06T13:46:35.994Z,2025-04-06T14:34:51Z,,,,,5630427309,194,czfitwajt0sayki90i3fk5n85,5630427299,30,"4cytj4f9uirlo8vb8mcsv6v6y, 23iwje6cgkgc05szzf2l5z97u, 9hg51o20uf6u2bjgshjax9soa, 5h6xr50d54zcxnktz7q58oa1h, c1kv9ybtguhs625d1vwlwa6ay, 507n9mr51v21q8isz9ll3m6eh, drzdo6ouxi5n4jafhfajpor85, czfitwajt0sayki90i3fk5n85, dgxqp83lhb316dec1rpi5op62, 93qjy2eilbuufwu2kbwpfng7p, f0iow2x82mfh6x1olrrjo5puc, bomd9wl2cnqwck46ctwjqju1h, a0i74nqik3lbi02ngno0m0ys4, bbrdybdlcobf8cc9epxzeledw, 73h2980bizllhxfk8ic8uketw, 15mg49mqn215ce4ojukev0o2x, eb0ovd9v1dlil87ty5ueboy6s, to4j02so007q7mkqpnrrumtw, 43anppywo7v1ydan12sq816ac, 593l8h3nilz2d0x42d7phllp0",5630427313,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5630427305,130,13,5630427301,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5630427303,59,"1, 14, 17, 24, 13, 4, 10, 22, 16, 7, 19, 35, 5, 6, 9, 18, 27, 39, 26, 23",5630427311,197,7821,5630427307,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797266483,2,32,1,0,0,spvvjmk37iid7hsky9g3nce7,1,0.0,0.0,2025-04-06T14:31:13.058Z,2025-04-06T14:31:13Z,,,,,5630657373,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797266495,2,32,1,0,0,33hzf6j2rd9r50g2n4agsytkd,1,0.0,0.0,2025-04-06T14:31:13.058Z,2025-04-06T14:31:16Z,,,,,5630657449,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797266555,3,1,1,0,0,spvvjmk37iid7hsky9g3nce7,1,50.0,50.0,2025-04-06T14:31:13.059Z,2025-04-06T14:38:06Z,drzdo6ouxi5n4jafhfajpor85,N. Røjkjær,,,5630657791,213,3.28,5630657773,56,Back,5630657787,212,29.1,5630657777,140,22.6,5630657783,141,44.0,5630657793,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797266601,4,1,1,0,4,spvvjmk37iid7hsky9g3nce7,0,24.8,50.7,2025-04-06T14:31:17.571Z,2025-04-06T14:31:20Z,c1kv9ybtguhs625d1vwlwa6ay,J. Kiilerich,,,5630658039,56,Center,5630658045,212,54.7,5630658041,140,75.3,5630658043,141,30.9,5630658047,213,6.03,5630658037,157,,5630658049,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797266667,3,1,1,0,8,33hzf6j2rd9r50g2n4agsytkd,0,28.3,73.2,2025-04-06T14:31:21.201Z,2025-04-06T14:31:25Z,7d9e5tvw9ghew36m4mh2nr23u,W. Milovanovic,,,5630658401,212,12.6,5630658403,213,5.67,5630658399,141,62.6,5630658395,56,Back,5630658397,140,38.1,5630658393,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797266679,4,44,1,0,10,33hzf6j2rd9r50g2n4agsytkd,1,31.3,62.4,2025-04-06T14:31:23.730Z,2025-04-06T16:04:16Z,6dljoel48bfd9nsmmnkck3owl,L. Hedlund,,,5630658473,56,Back,5630658475,285,,5630658519,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797266659,5,44,1,0,10,spvvjmk37iid7hsky9g3nce7,0,68.7,37.6,2025-04-06T14:31:23.731Z,2025-04-06T16:04:17Z,czfitwajt0sayki90i3fk5n85,J. Gustavsson,,,5630658373,286,,5630658503,233,4,5630658371,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797276999,101,1,1,0,11,33hzf6j2rd9r50g2n4agsytkd,0,37.6,50.9,2025-04-06T14:31:24.072Z,2025-04-06T14:40:56Z,6dljoel48bfd9nsmmnkck3owl,L. Hedlund,,,5630717001,56,Back,5630717005,141,46.0,5630716999,3,,5630717007,212,9.8,5630717003,140,46.4,5630717009,213,5.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
