id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/13/value
2818799493,1,34,16,0,0,93ohqui2qgqm8408viwmm1ken,1,0.0,0.0,2025-05-25T11:08:08.828Z,2025-05-25T12:10:33Z,,,,,5749565441,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5749565433,130,10,5749565435,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5749565429,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5749565437,194,azcjwvw9799e6bawnlcb0lt2i,5749565439,197,25087,5749565427,30,"7iv79dtpsplpjl1jxod3swmlm, 1pkp4fqrgj87mk6x7lhryt6vo, lh30ckelpek3u7jbzotxuvze, carpl05zgalgbsd6gnk3akc89, as6coaak724tr7igyz1wwlfc9, 4yg4i2wvdz87rrxpn0rqn2xg5, d58ji96mcnebbci6skc46x9uc, azcjwvw9799e6bawnlcb0lt2i, 8ydeghsg8bdyovqjnr56hz8x5, 329r6jq5pn0m174v3berarh90, 5mb3g5nufbwhw09w3wgm6glwp, cj7aybqox4kzoicnzea7b64t1, duhvdeeqlyxgt2qve8fjgrpat, 90eoelhr2oxpg3ejr2whwwu6t, 62w849kqrnjm00xr12suencgl, 4az5n8aekw6ipzu7fagqhkys4, b9tsqyrv0xp0tt5nzwrmy9gb9, dvi2tleym136aqpvwfi4lustm, 7hugqbtot3c8fmxtfqld9l15g, 27w9691m35wlxy4ujti7sppn8",5749565431,59,"33, 37, 2, 25, 19, 17, 7, 23, 29, 32, 8, 1, 6, 9, 10, 11, 16, 22, 38, 40",,,,,,,,,,,,,,,,,,,,,,,,
2818799999,1,34,16,0,0,evf5hhqgnjhwjsth1m6pawxdp,1,0.0,0.0,2025-05-25T11:11:36.444Z,2025-05-25T13:05:23Z,,,,,5749567757,30,"1k2svnzs4woe6gpegqlrxjjf8, 1vla5l510mtb859zevvplneju, 8s2p8s6huogpkao0lce8m5n8, 1dy0207jxgg8gvuygsd95wdn8, 2erjnb3l5mngpxyicnzhk7phx, 3tbz518udos9vb9bqypn9il7t, 94i0qwhb3xu4pu37gofme9mnd, bm0bafkutd9qb9qee06cys9re, 80s55a7uw8kypoikefwhtdm5m, 4w0adddkbx4642lkebbcmxbzd, d9ta7wtarys9urr5lzoxqv3d, 7hi9yit8aifyojt7i0kg69as5, ckwgkqxv6u28byqau4rz47efp, 4cwcil3cb9unr1x7y5l2xiiac, as7qhgi67gngq0nb3zmwg8jro, dptjb2pmzpzagb4rcndchf7ro, 2vfhae70oyyzm0qttlckworqi, 8lnksuku11t9oyvqs0pwx45jo, dp55sn2vl9mg3tpjby7peun3e, b4bzaam658g6wf3knwxlghas5",5749567761,59,"25, 18, 22, 15, 13, 3, 23, 8, 9, 17, 14, 5, 6, 31, 7, 16, 21, 26, 29, 30",5749567769,197,22120,5749567771,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5749567767,194,2erjnb3l5mngpxyicnzhk7phx,5749567763,130,4,5749567765,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5749567759,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,
2818809287,2,32,1,0,0,evf5hhqgnjhwjsth1m6pawxdp,1,0.0,0.0,2025-05-25T12:03:31.156Z,2025-05-25T12:03:31Z,,,,,5749621075,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818809301,2,32,1,0,0,93ohqui2qgqm8408viwmm1ken,1,0.0,0.0,2025-05-25T12:03:31.156Z,2025-05-25T12:03:32Z,,,,,5749621115,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818809317,3,1,1,0,0,evf5hhqgnjhwjsth1m6pawxdp,1,49.7,50.1,2025-05-25T12:03:31.157Z,2025-05-25T12:03:34Z,80s55a7uw8kypoikefwhtdm5m,M. Fenger,,,5749621155,56,Back,5749621157,140,37.0,5749621161,212,14.0,5749621163,213,2.84,5749621165,279,S,5749621159,141,56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818809321,4,1,1,0,3,evf5hhqgnjhwjsth1m6pawxdp,1,36.0,60.9,2025-05-25T12:03:34.376Z,2025-05-25T12:03:36Z,1dy0207jxgg8gvuygsd95wdn8,D. Kruse,,,5749621217,140,35.8,5749621215,56,Back,5749621221,212,21.8,5749621223,213,1.58,5749621219,141,92.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818809325,5,1,1,0,5,evf5hhqgnjhwjsth1m6pawxdp,1,34.7,87.4,2025-05-25T12:03:36.157Z,2025-05-25T12:03:37Z,8s2p8s6huogpkao0lce8m5n8,N. Tolf,,,5749621239,141,70.2,5749621243,213,4.21,5749621235,56,Back,5749621241,212,13.3,5749621237,140,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818809331,6,1,1,0,6,evf5hhqgnjhwjsth1m6pawxdp,1,28.6,70.2,2025-05-25T12:03:37.214Z,2025-05-25T12:03:40Z,3tbz518udos9vb9bqypn9il7t,A. Erlingmark,,,5749621271,212,16.3,5749621267,140,26.8,5749621265,56,Back,5749621269,141,46.4,5749621273,213,4.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818809345,7,1,1,0,9,evf5hhqgnjhwjsth1m6pawxdp,1,26.0,43.4,2025-05-25T12:03:40.701Z,2025-05-25T12:03:43Z,2erjnb3l5mngpxyicnzhk7phx,G. Svensson,,,5749621329,140,6.6,5749621333,212,21.5,5749621335,213,2.82,5749621331,141,53.4,5749621327,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818809369,8,1,1,0,12,evf5hhqgnjhwjsth1m6pawxdp,1,9.3,53.6,2025-05-25T12:03:43.501Z,2025-05-25T12:03:47Z,1k2svnzs4woe6gpegqlrxjjf8,E. Bishesari,,,5749621427,56,Back,5749621431,141,28.8,5749621435,213,5.45,5749621433,212,22.7,5749621429,140,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818809393,9,1,1,0,16,evf5hhqgnjhwjsth1m6pawxdp,1,25.7,24.6,2025-05-25T12:03:47.454Z,2025-05-25T12:08:31Z,2erjnb3l5mngpxyicnzhk7phx,G. Svensson,,,5749621527,141,8.2,5749621531,213,6.02,5749621523,56,Right,5749621525,140,64.4,5749621533,1,,5749631547,155,,5749621529,212,42.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818809453,10,1,1,0,19,evf5hhqgnjhwjsth1m6pawxdp,1,61.9,8.9,2025-05-25T12:03:50.429Z,2025-05-25T12:03:58Z,4w0adddkbx4642lkebbcmxbzd,E. Marković,,,5749621813,212,11.0,5749621809,140,63.2,5749621815,213,1.45,5749621807,56,Center,5749621811,141,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818811619,49,1,1,0,19,evf5hhqgnjhwjsth1m6pawxdp,1,56.7,16.0,2025-05-25T12:03:50.523Z,2025-05-25T12:09:46Z,94i0qwhb3xu4pu37gofme9mnd,K. Þórðarson,,,5749634597,141,20.1,5749634599,212,7.7,5749634595,140,63.5,5749634593,56,Right,5749634601,213,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818811615,48,1,1,0,20,evf5hhqgnjhwjsth1m6pawxdp,0,68.7,10.3,2025-05-25T12:03:51.359Z,2025-05-25T12:09:56Z,80s55a7uw8kypoikefwhtdm5m,M. Fenger,,,5749635007,56,Right,5749635011,141,0.0,5749635015,213,4.08,5749635013,212,9.9,5749635009,140,63.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818809437,3,5,1,0,24,93ohqui2qgqm8408viwmm1ken,1,33.3,102.0,2025-05-25T12:03:55.301Z,2025-05-25T12:14:34Z,8ydeghsg8bdyovqjnr56hz8x5,S. Hakšabanović,,,5749621761,347,,5749646553,233,11,5749621759,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818809457,11,5,1,0,24,evf5hhqgnjhwjsth1m6pawxdp,0,66.7,-2.0,2025-05-25T12:03:55.301Z,2025-05-25T12:14:34Z,bm0bafkutd9qb9qee06cys9re,I. Jagne,,,5749646549,347,,5749621823,56,Right,5749646573,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818809549,4,1,1,0,31,93ohqui2qgqm8408viwmm1ken,1,27.0,100.0,2025-05-25T12:04:02.454Z,2025-05-25T12:04:07Z,lh30ckelpek3u7jbzotxuvze,J. Karlsson,,,5749622277,140,14.3,5749622283,213,3.86,5749622275,56,Back,5749622273,107,,5749622281,212,17.7,5749622279,141,84.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818809561,5,1,1,0,36,93ohqui2qgqm8408viwmm1ken,1,14.0,84.2,2025-05-25T12:04:07.254Z,2025-05-25T12:04:09Z,carpl05zgalgbsd6gnk3akc89,Gabriel Busanello,,,5749622341,141,51.6,5749622337,56,Back,5749622339,140,5.3,5749622345,213,4.32,5749622343,212,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818809569,6,1,1,0,37,93ohqui2qgqm8408viwmm1ken,1,5.3,51.6,2025-05-25T12:04:09.030Z,2025-05-25T12:04:11Z,7iv79dtpsplpjl1jxod3swmlm,M. Ellborg,,,5749622391,212,7.9,5749622385,56,Back,5749622387,140,10.6,5749622389,141,43.4,5749622393,213,5.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818809625,7,1,1,0,40,93ohqui2qgqm8408viwmm1ken,1,12.3,42.7,2025-05-25T12:04:11.301Z,2025-05-25T12:04:19Z,as6coaak724tr7igyz1wwlfc9,C. Rösler,,,5749622669,56,Back,5749622673,141,64.6,5749622675,212,18.7,5749622677,213,0.92,5749622671,140,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818809643,8,1,1,0,47,93ohqui2qgqm8408viwmm1ken,1,30.1,63.4,2025-05-25T12:04:19.078Z,2025-05-25T12:04:22Z,azcjwvw9799e6bawnlcb0lt2i,L. Berg Johnsen,,,5749622765,141,87.7,5749622769,213,1.05,5749622763,140,39.2,5749622761,56,Back,5749622767,212,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818809683,9,2,1,0,50,93ohqui2qgqm8408viwmm1ken,1,40.7,87.5,2025-05-25T12:04:21.982Z,2025-05-25T12:04:28Z,d58ji96mcnebbci6skc46x9uc,O. Rosengren,,,5749622969,7,lh30ckelpek3u7jbzotxuvze,5749622941,140,91.6,5749622973,56,Center,5749622971,1,,5749622943,141,74.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818809689,12,43,1,0,56,evf5hhqgnjhwjsth1m6pawxdp,1,0.0,0.0,2025-05-25T12:04:27.822Z,2025-05-25T12:06:27Z,1vla5l510mtb859zevvplneju,F. Eriksson,,,5749622975,56,Back,5749627005,144,5,5749622977,346,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818809801,14,1,1,1,11,evf5hhqgnjhwjsth1m6pawxdp,1,20.8,31.0,2025-05-25T12:04:42.158Z,2025-05-25T12:04:43Z,1vla5l510mtb859zevvplneju,F. Eriksson,,,5749623507,212,24.2,5749623505,141,66.0,5749623503,140,25.0,5749623499,241,,5749623497,5,,5749623501,56,Back,5749623509,213,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818809821,15,1,1,1,12,evf5hhqgnjhwjsth1m6pawxdp,1,26.4,69.7,2025-05-25T12:04:43.695Z,2025-05-25T12:04:47Z,3tbz518udos9vb9bqypn9il7t,A. Erlingmark,,,5749623631,141,95.1,5749623627,56,Back,5749623629,140,35.1,5749623635,213,1.08,5749623633,212,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818809835,16,1,1,1,15,evf5hhqgnjhwjsth1m6pawxdp,0,36.1,95.9,2025-05-25T12:04:46.974Z,2025-05-25T12:12:15Z,8s2p8s6huogpkao0lce8m5n8,N. Tolf,,,5749623691,212,38.1,5749623685,56,Left,5749623687,140,72.4,5749640763,157,,5749623689,141,95.3,5749623695,1,,5749623693,213,6.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818809869,10,1,1,1,18,93ohqui2qgqm8408viwmm1ken,1,31.1,27.9,2025-05-25T12:04:49.511Z,2025-05-25T12:04:51Z,as6coaak724tr7igyz1wwlfc9,C. Rösler,,,5749623889,213,6.15,5749623859,140,39.6,5749623855,3,,5749623861,141,26.1,5749623857,56,Back,5749623887,212,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818809879,11,1,1,1,20,93ohqui2qgqm8408viwmm1ken,1,44.5,25.9,2025-05-25T12:04:51.806Z,2025-05-25T12:04:53Z,azcjwvw9799e6bawnlcb0lt2i,L. Berg Johnsen,,,5749623935,213,5.25,5749623933,212,5.1,5749623929,140,47.0,5749623927,56,Back,5749623931,141,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818809903,13,1,1,1,22,93ohqui2qgqm8408viwmm1ken,1,47.1,19.2,2025-05-25T12:04:53.718Z,2025-05-25T12:04:56Z,8ydeghsg8bdyovqjnr56hz8x5,S. Hakšabanović,,,5749624071,212,7.0,5749624067,140,47.3,5749624065,56,Back,5749624069,141,8.9,5749624073,213,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818813357,84,83,1,1,23,evf5hhqgnjhwjsth1m6pawxdp,0,37.9,88.7,2025-05-25T12:04:54.362Z,2025-05-25T12:13:15Z,d9ta7wtarys9urr5lzoxqv3d,T. Heintz,,,5749643367,399,d58ji96mcnebbci6skc46x9uc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818809921,14,1,1,1,25,93ohqui2qgqm8408viwmm1ken,1,46.3,9.1,2025-05-25T12:04:56.846Z,2025-05-25T12:04:59Z,d58ji96mcnebbci6skc46x9uc,O. Rosengren,,,5749624181,56,Back,5749624189,213,2.86,5749624187,212,13.6,5749624185,141,14.7,5749624183,140,33.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818809939,15,1,1,1,28,93ohqui2qgqm8408viwmm1ken,1,28.1,18.5,2025-05-25T12:04:59.638Z,2025-05-25T12:05:01Z,4yg4i2wvdz87rrxpn0rqn2xg5,J. Stryger Larsen,,,5749624251,140,31.1,5749624255,212,8.6,5749624253,141,6.7,5749624249,56,Back,5749624257,213,5.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818809975,16,1,1,1,30,93ohqui2qgqm8408viwmm1ken,1,31.1,6.7,2025-05-25T12:05:01.590Z,2025-05-25T12:13:28Z,1pkp4fqrgj87mk6x7lhryt6vo,A. Skogmar,,,5749624461,140,21.5,5749624467,213,2.02,5749624465,212,23.3,5749624463,141,37.6,5749624459,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818814297,133,1,1,1,34,93ohqui2qgqm8408viwmm1ken,1,29.2,4.1,2025-05-25T12:05:05.862Z,2025-05-25T12:15:21Z,4yg4i2wvdz87rrxpn0rqn2xg5,J. Stryger Larsen,,,5749648639,213,1.88,5749648635,141,29.5,5749648633,140,23.9,5749648637,212,18.1,5749648631,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818809987,17,1,1,1,36,93ohqui2qgqm8408viwmm1ken,1,29.8,63.6,2025-05-25T12:05:07.631Z,2025-05-25T12:05:09Z,as6coaak724tr7igyz1wwlfc9,C. Rösler,,,5749624517,56,Back,5749624521,141,93.5,5749624523,212,26.8,5749624525,213,0.86,5749624519,140,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818809991,18,61,1,1,38,93ohqui2qgqm8408viwmm1ken,0,45.8,93.5,2025-05-25T12:05:09.240Z,2025-05-25T12:05:09Z,lh30ckelpek3u7jbzotxuvze,J. Karlsson,,,5749624531,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
