id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/value
2819944117,2,34,16,0,0,ac8jow4mdkvnsv5s0och4qqm,1,0.0,0.0,2025-05-29T15:05:06.919Z,2025-05-29T16:02:58Z,,,,,5755968525,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5755968517,130,8,5755968513,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5755968523,197,22113,5755968515,59,"25, 21, 77, 24, 2, 3, 19, 5, 23, 16, 7, 40, 4, 10, 14, 17, 27, 32, 33, 39",5755968521,194,8unnvgvft6knxupbp9oxh621h,5755968519,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5755968511,30,"8vl4hue7ixvxh4dtner52sfrp, aqjwz3wm0it916o2vb5tz9vxl, 4smb0sorl9dms1k26si6tbqzu, c9qk8n9d4130okk9go1brzskq, 253za05jf3mmaqkjndm10d2lm, 8unnvgvft6knxupbp9oxh621h, ci5y030e6r9umgyjbupwske7d, 17zz0x6tm20e9yfh4q5ehaf9x, 9niqy9wbsy6b03fa5iyx22gic, hm7w2b4a6j0q3bprq118r5uy, 7qgiqoaaarr6c2bs4yffqwju2, 89ow55pri5urh5lk857koiihg, 6a6ki8j5n8w1oa3wvdc00chqt, aw75jdzi3u012jkwj7t0eln2s, 3slq45oyri6a8smz52fezhct0, av9lz5umeimwlq7v4q4d7twr8, dxjb3lzx9qudbom1zbgyupt78, bpu2cfexsy3lcf7avl9im6gb8, c7uvrj36f6lhfurysy774ku8k, 32xfhqnf7sa2pyyttqac9u385",,,,,,,,,,,,,,,,,,,,,,,,,,,
2819944229,1,34,16,0,0,czkf5t3ai00ghwbga03i5aqxw,1,0.0,0.0,2025-05-29T15:05:51.715Z,2025-05-29T16:01:50Z,,,,,5755969125,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5755969131,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5755969123,30,"d5jgrd0clyl4rskqu6j8hcwkp, csd7qb9u0a9am2ltse9w31uz8, ab3og2sas7q4czd31wbdbnro, dkc69jkzi4e9ysgmwldz249as, 5jos8v6hr086q8at9iuyhwded, ebhyx7fm13sy9qjf4vylzg89h, a3jetivxcnpp4z36nhboz5ysq, 2zjl0xu23wp9j6ciq25irsq38, dvl8q7nwvz3o6d73220d1ag2d, 370kkwnidcltqyooh51z6uzqi, 3bepi58wwope38a478y7jwlxw, 26dlb4txygf7qzukjikr23mxh, 23p0dby12ymf55wwi0xz2fnx1, 6n7sw8r0fhcoa8hfuxrtm96tx, 1utyorvutnk14hp6dr079t1m2, bv57jiquzqjnzuxzw5r663aad, 9jszz4regvdvl0v4i8s41jbah, 820rgu4x8w0jmh6v9d6udhwyc, aklu4afzffv8ggxwn5wm5wphw, 1kmf6cvipol87w83cf6gb504",5755969127,59,"45, 12, 27, 20, 5, 4, 29, 32, 10, 7, 9, 35, 3, 8, 11, 18, 19, 25, 34, 36",5755969135,197,26350,5755969133,194,ebhyx7fm13sy9qjf4vylzg89h,5755969129,130,8,5755969137,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953223,2,32,1,0,0,czkf5t3ai00ghwbga03i5aqxw,1,0.0,0.0,2025-05-29T16:00:31.603Z,2025-05-29T16:00:31Z,,,,,5756021577,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953229,3,32,1,0,0,ac8jow4mdkvnsv5s0och4qqm,1,0.0,0.0,2025-05-29T16:00:31.603Z,2025-05-29T16:00:34Z,,,,,5756021601,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953231,4,1,1,0,0,ac8jow4mdkvnsv5s0och4qqm,1,50.4,50.1,2025-05-29T16:00:31.823Z,2025-05-29T16:00:35Z,ci5y030e6r9umgyjbupwske7d,Daleho Irandust,,,5756021605,56,Back,5756021611,212,24.3,5756021615,279,S,5756021607,140,29.5,5756021609,141,34.6,5756021613,213,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953237,5,1,1,0,3,ac8jow4mdkvnsv5s0och4qqm,1,30.0,34.9,2025-05-29T16:00:35.465Z,2025-05-29T16:01:27Z,253za05jf3mmaqkjndm10d2lm,H. Karlsson,,,5756021653,213,0.48,5756021649,141,70.3,5756021655,1,,5756021645,56,Center,5756021643,157,,5756021651,212,52.6,5756021647,140,74.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953239,6,44,1,0,6,ac8jow4mdkvnsv5s0och4qqm,1,67.7,81.8,2025-05-29T16:00:37.958Z,2025-05-29T17:00:42Z,9niqy9wbsy6b03fa5iyx22gic,E. Alladoh,,,5756021659,56,Left,5756021689,233,3,5756021661,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953245,3,44,1,0,6,czkf5t3ai00ghwbga03i5aqxw,0,32.3,18.2,2025-05-29T16:00:37.959Z,2025-05-29T16:00:39Z,5jos8v6hr086q8at9iuyhwded,M. Tenho,,,5756021687,285,,5756021693,233,6,5756021685,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819953249,7,1,1,0,6,ac8jow4mdkvnsv5s0och4qqm,1,74.6,70.9,2025-05-29T16:00:38.007Z,2025-05-29T16:08:22Z,9niqy9wbsy6b03fa5iyx22gic,E. Alladoh,,,5756021699,168,,5756021701,56,Center,5756021709,213,5.44,5756021697,3,,5756021705,141,63.0,5756021703,140,79.2,5756021707,212,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2819955111,69,50,1,0,7,ac8jow4mdkvnsv5s0och4qqm,1,80.9,76.2,2025-05-29T16:00:38.633Z,2025-05-29T16:57:55Z,hm7w2b4a6j0q3bprq118r5uy,A. Jakobsen,,,5756033055,233,92,5756032833,56,Center,5756032835,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
